date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	41.495	41.525	40.255	40.255	2136	EUR	
08/11/2012 00:00	40.54	40.54	40.14	40.235	8427	EUR	
09/11/2012 00:00	40.255	40.5	39.83	40.455	7384	EUR	
12/11/2012 00:00	40.375	40.38	40.23	40.295	15381	EUR	
13/11/2012 00:00	40.075	40.555	39.875	40.53	67461	EUR	
14/11/2012 00:00	40.405	40.565	40.165	40.165	8435	EUR	
15/11/2012 00:00	39.935	40.115	39.93	39.955	915	EUR	
16/11/2012 00:00	39.905	40.07	39.5	39.5	17667	EUR	
19/11/2012 00:00	39.87	40.64	39.87	40.64	10672	EUR	
20/11/2012 00:00	40.45	40.89	40.405	40.89	2814	EUR	
21/11/2012 00:00	40.815	41.095	40.715	41.095	2025	EUR	
22/11/2012 00:00	41.18	41.33	41.165	41.33	1366	EUR	
23/11/2012 00:00	41.395	41.705	41.135	41.705	4107	EUR	
26/11/2012 00:00	41.505	41.6	41.3	41.36	2585	EUR	
27/11/2012 00:00	41.73	41.73	41.325	41.38	1502	EUR	
28/11/2012 00:00	41.28	41.55	41.145	41.55	995	EUR	
29/11/2012 00:00	41.76	42.175	41.76	42.175	22509	EUR	
30/11/2012 00:00	42.17	42.365	42.065	42.065	7969	EUR	
03/12/2012 00:00	42.195	42.64	42.11	42.175	37212	EUR	
04/12/2012 00:00	42.205	42.505	42.205	42.32	4283	EUR	
05/12/2012 00:00	42.62	42.62	42.335	42.425	3787	EUR	
06/12/2012 00:00	42.6	42.78	42.485	42.545	3014	EUR	
07/12/2012 00:00	42.695	42.695	42.465	42.62	8061	EUR	
10/12/2012 00:00	42.48	42.685	42.27	42.685	7643	EUR	
11/12/2012 00:00	42.77	43.1	42.72	43.05	25059	EUR	
12/12/2012 00:00	43.065	43.13	43.035	43.115	9027	EUR	
13/12/2012 00:00	43.205	43.205	42.99	43.015	5308	EUR	
14/12/2012 00:00	43.09	43.18	42.985	43.065	16536	EUR	
17/12/2012 00:00	43.025	43.105	42.765	43.085	39977	EUR	
18/12/2012 00:00	43.195	43.28	43.065	43.21	19382	EUR	
19/12/2012 00:00	43.38	43.455	43.355	43.425	2870	EUR	
20/12/2012 00:00	43.31	43.5	43.31	43.45	15400	EUR	
21/12/2012 00:00	43.315	43.415	43.08	43.39	15318	EUR	
24/12/2012 00:00	43.44	43.495	43.215	43.215	1920	EUR	
27/12/2012 00:00	43.48	43.615	43.41	43.495	1244	EUR	
28/12/2012 00:00	43.555	43.555	42.875	42.905	1059	EUR	
31/12/2012 00:00	42.835	43.27	42.775	43.095	9875	EUR	
02/01/2013 00:00	43.935	44.175	43.805	44.175	8053	EUR	
03/01/2013 00:00	44.06	44.115	43.88	44.05	24239	EUR	
04/01/2013 00:00	43.88	44.18	43.765	44.18	4518	EUR	
07/01/2013 00:00	44.165	44.18	43.815	43.89	4314	EUR	
08/01/2013 00:00	43.785	44.115	43.785	43.905	8928	EUR	
09/01/2013 00:00	44.095	44.14	43.86	43.99	3539	EUR	
10/01/2013 00:00	44	44.105	43.76	43.865	42950	EUR	
11/01/2013 00:00	43.97	43.97	43.705	43.89	7753	EUR	
14/01/2013 00:00	44.055	44.145	43.9	43.96	39791	EUR	
15/01/2013 00:00	43.835	43.97	43.8	43.84	8092	EUR	
16/01/2013 00:00	43.77	43.995	43.61	43.92	44163	EUR	
