date	ouv	haut	bas	clot	vol	devise	
29/10/2015 00:00	38.031	38.218	38.031	38.218	1834	USD	
30/10/2015 00:00	38.304	38.304	38.283	38.283	0	USD	
02/11/2015 00:00	37.979	38.471	37.979	38.471	0	USD	
03/11/2015 00:00	38.402	38.569	38.402	38.569	0	USD	
04/11/2015 00:00	38.68	38.88	38.536	38.536	917	USD	
05/11/2015 00:00	38.591	38.856	38.459	38.635	1834	USD	
06/11/2015 00:00	38.526	38.987	38.526	38.843	3917	USD	
09/11/2015 00:00	38.836	38.836	38.301	38.301	0	USD	
10/11/2015 00:00	38.43	38.43	38.375	38.375	917	USD	
11/11/2015 00:00	38.809	38.809	38.624	38.624	3668	USD	
12/11/2015 00:00	38.415	38.644	37.956	37.956	1834	USD	
13/11/2015 00:00	37.9	37.9	37.694	37.694	2751	USD	
16/11/2015 00:00	37.382	37.716	37.382	37.716	0	USD	
17/11/2015 00:00	37.955	38.696	37.955	38.696	11004	USD	
18/11/2015 00:00	38.378	38.454	38.378	38.454	0	USD	
19/11/2015 00:00	38.735	38.735	38.677	38.677	0	USD	
20/11/2015 00:00	38.749	38.749	38.711	38.711	0	USD	
23/11/2015 00:00	38.614	38.662	38.614	38.662	0	USD	
24/11/2015 00:00	38.389	38.389	38.233	38.233	0	USD	
25/11/2015 00:00	38.259	38.797	38.259	38.797	0	USD	
26/11/2015 00:00	38.761	39.192	38.761	39.192	0	USD	
27/11/2015 00:00	38.97	39.088	38.97	39.088	0	USD	
30/11/2015 00:00	38.985	39.289	38.985	39.289	0	USD	
01/12/2015 00:00	39.35	39.35	38.99	38.99	13070	USD	
02/12/2015 00:00	39.066	39.066	38.864	38.864	0	USD	
03/12/2015 00:00	38.867	39.234	37.404	37.404	177	USD	
04/12/2015 00:00	37.339	37.339	37.275	37.275	0	USD	
07/12/2015 00:00	37.485	37.593	37.485	37.593	60000	USD	
08/12/2015 00:00	37.596	37.596	36.915	36.915	0	USD	
09/12/2015 00:00	36.974	36.974	36.672	36.672	0	USD	
10/12/2015 00:00	36.479	36.567	36.479	36.567	0	USD	
11/12/2015 00:00	36.45	36.45	35.808	35.808	0	USD	
14/12/2015 00:00	35.8	35.8	35.078	35.078	9782	USD	
15/12/2015 00:00	35.525	36.254	35.525	36.215	13257	USD	
16/12/2015 00:00	36.396	36.396	36.315	36.315	0	USD	
17/12/2015 00:00	37.066	37.34	36.982	36.982	22201	USD	
18/12/2015 00:00	36.694	36.694	36.495	36.495	0	USD	
21/12/2015 00:00	36.331	36.331	35.989	35.989	0	USD	
22/12/2015 00:00	36.21	36.21	35.964	35.964	0	USD	
23/12/2015 00:00	36.799	36.799	36.799	36.799	0	USD	
28/12/2015 00:00	36.559	36.614	36.559	36.561	10599	USD	
29/12/2015 00:00	36.814	37.118	36.814	37.118	0	USD	
30/12/2015 00:00	36.839	36.839	36.839	36.839	0	USD	
04/01/2016 00:00	35.88	35.88	35.486	35.486	6792	USD	
05/01/2016 00:00	35.762	35.762	35.606	35.606	0	USD	
06/01/2016 00:00	35.474	35.474	35.197	35.197	0	USD	
07/01/2016 00:00	34.288	34.582	34.25	34.582	100	USD	
08/01/2016 00:00	34.687	34.687	34.004	34.004	0	USD	
11/01/2016 00:00	33.948	33.948	33.948	33.948	0	USD	
12/01/2016 00:00	34.018	34.34	34.018	34.34	0	USD	
13/01/2016 00:00	34.781	34.781	34.453	34.453	0	USD	
14/01/2016 00:00	33.97	33.97	33.937	33.937	0	USD	
15/01/2016 00:00	33.109	33.109	33.109	33.109	0	USD	
18/01/2016 00:00	33.24	33.24	32.927	32.927	0	USD	
19/01/2016 00:00	33.598	33.598	33.421	33.421	0	USD	
20/01/2016 00:00	32.649	32.649	32.35	32.35	0	USD	
21/01/2016 00:00	32.45	32.994	32.45	32.994	0	USD	
22/01/2016 00:00	33.643	33.885	33.643	33.885	0	USD	
25/01/2016 00:00	33.99	33.99	33.668	33.668	0	USD	
26/01/2016 00:00	33.189	34.014	33.189	34.014	0	USD	
27/01/2016 00:00	33.832	34.135	33.722	34.135	40084	USD	
28/01/2016 00:00	34.019	34.019	33.445	33.445	0	USD	
29/01/2016 00:00	34.002	34.153	34.002	34.153	0	USD	
01/02/2016 00:00	34.09	34.09	33.906	33.906	0	USD	
02/02/2016 00:00	33.805	33.805	33.149	33.149	0	USD	
03/02/2016 00:00	32.989	32.989	32.516	32.516	0	USD	
04/02/2016 00:00	32.863	32.863	32.61	32.61	0	USD	
05/02/2016 00:00	32.647	32.647	32.312	32.312	0	USD	
08/02/2016 00:00	32.335	32.335	31.129	31.232	4585	USD	
09/02/2016 00:00	31.398	31.398	30.37	30.66	37348	USD	
10/02/2016 00:00	30.825	31.546	30.825	31.232	6419	USD	
11/02/2016 00:00	30.731	30.746	29.967	29.984	24844	USD	
12/02/2016 00:00	30.404	30.844	30.404	30.844	3668	USD	
15/02/2016 00:00	31.509	31.756	31.509	31.756	0	USD	
16/02/2016 00:00	31.986	31.989	31.48	31.65	7336	USD	
17/02/2016 00:00	31.684	32.505	31.684	32.505	0	USD	
18/02/2016 00:00	32.714	32.714	32.483	32.483	0	USD	
19/02/2016 00:00	32.421	32.421	32.218	32.218	0	USD	
22/02/2016 00:00	32.627	32.933	32.627	32.933	0	USD	
23/02/2016 00:00	32.404	32.404	32.404	32.404	0	USD	
24/02/2016 00:00	32.37	32.37	31.614	31.614	0	USD	
25/02/2016 00:00	32.062	32.291	32.062	32.291	0	USD	
26/02/2016 00:00	32.835	32.882	32.618	32.882	8348	USD	
