date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	138.49	138.54	135.07	135.07	637	EUR	
08/11/2012 00:00	135.9	135.9	134.38	134.38	780	EUR	
09/11/2012 00:00	134.68	134.68	132.43	133.71	663	EUR	
12/11/2012 00:00	133.61	134.17	133.53	133.84	691	EUR	
13/11/2012 00:00	132.87	133.75	132.46	133.75	3974	EUR	
14/11/2012 00:00	133.53	133.75	132.31	132.63	103	EUR	
15/11/2012 00:00	131.69	132.15	131.07	131.44	2130	EUR	
16/11/2012 00:00	131.47	131.47	129.72	129.72	555	EUR	
19/11/2012 00:00	130.99	132.93	130.85	132.93	3740	EUR	
20/11/2012 00:00	132.52	133.96	132.52	133.87	264	EUR	
21/11/2012 00:00	133.41	134.2	133.41	134.17	585	EUR	
22/11/2012 00:00	134.61	135.39	134.61	135.31	3079	EUR	
23/11/2012 00:00	135.57	136.51	134.93	136.44	328	EUR	
26/11/2012 00:00	136.18	136.37	135.96	136.19	184	EUR	
27/11/2012 00:00	137.25	137.43	136.74	136.98	5576	EUR	
28/11/2012 00:00	136.74	137.13	135.92	137.13	2262	EUR	
29/11/2012 00:00	137.83	138.38	137.83	138.22	510	EUR	
30/11/2012 00:00	138.28	138.92	138.28	138.43	179	EUR	
03/12/2012 00:00	138.53	139.77	138.53	138.81	3685	EUR	
04/12/2012 00:00	138.71	138.99	138.66	138.67	125	EUR	
05/12/2012 00:00	139.42	139.54	138.79	138.95	468	EUR	
06/12/2012 00:00	139.37	140.9	139.37	140.63	3064	EUR	
07/12/2012 00:00	140.71	140.71	139.89	140.2	2851	EUR	
10/12/2012 00:00	139.48	140.52	139.21	140.52	912	EUR	
11/12/2012 00:00	140.27	141.63	140.27	141.63	4123	EUR	
12/12/2012 00:00	141.9	142.07	141.73	141.94	528	EUR	
13/12/2012 00:00	141.97	141.97	141.18	141.18	189	EUR	
14/12/2012 00:00	141.73	141.79	141.25	141.51	2188	EUR	
17/12/2012 00:00	141.86	142	141.33	141.72	546	EUR	
18/12/2012 00:00	142.21	142.86	142.2	142.69	403	EUR	
19/12/2012 00:00	142.74	143.13	142.69	142.94	205	EUR	
20/12/2012 00:00	142.36	142.9	142.36	142.83	1323	EUR	
21/12/2012 00:00	142.57	142.57	141.54	142.42	8466	EUR	
