date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	57.77	57.77	55.98	55.98	14711	EUR	
08/11/2012 00:00	56.28	56.29	55.8	55.8	5244	EUR	
09/11/2012 00:00	55.83	55.83	55.19	55.81	324	EUR	
12/11/2012 00:00	55.66	55.66	55.46	55.5	736	EUR	
13/11/2012 00:00	55.09	56.03	54.9	56.03	437	EUR	
14/11/2012 00:00	55.82	56.05	55.81	55.81	64	EUR	
15/11/2012 00:00	55.47	55.81	55.47	55.74	300	EUR	
16/11/2012 00:00	55.58	55.58	54.78	54.78	4052	EUR	
19/11/2012 00:00	55.27	56.18	55.27	56.18	200	EUR	
20/11/2012 00:00	55.85	56.23	55.81	56.23	107	EUR	
21/11/2012 00:00	56.09	56.58	56.06	56.58	571	EUR	
22/11/2012 00:00	56.72	56.96	56.72	56.96	7	EUR	
23/11/2012 00:00	57.12	57.34	57.12	57.34	0	EUR	
26/11/2012 00:00	57.18	57.21	57.07	57.18	240	EUR	
27/11/2012 00:00	57.64	57.64	56.73	56.81	248	EUR	
28/11/2012 00:00	56.72	56.95	56.72	56.95	117	EUR	
29/11/2012 00:00	57.27	57.79	57.27	57.79	51	EUR	
30/11/2012 00:00	57.75	58	57.73	57.73	450	EUR	
03/12/2012 00:00	57.89	58.36	57.72	57.72	324	EUR	
04/12/2012 00:00	57.77	57.82	57.75	57.79	114	EUR	
05/12/2012 00:00	58.14	58.14	57.86	57.98	268	EUR	
06/12/2012 00:00	57.78	57.92	57.64	57.8	3970	EUR	
07/12/2012 00:00	58	58	57.54	57.61	4440	EUR	
10/12/2012 00:00	57.24	57.49	57.02	57.49	161	EUR	
11/12/2012 00:00	57.62	58.2	57.62	58.2	181	EUR	
12/12/2012 00:00	58.31	58.66	58.31	58.66	674	EUR	
13/12/2012 00:00	58.83	58.83	58.66	58.75	4	EUR	
14/12/2012 00:00	58.87	58.89	58.72	58.78	181	EUR	
17/12/2012 00:00	58.86	58.93	58.64	58.93	3224	EUR	
18/12/2012 00:00	59.03	59.29	59.03	59.29	5608	EUR	
19/12/2012 00:00	58.81	59.45	58.81	59.38	852	EUR	
20/12/2012 00:00	59.19	59.42	59.19	59.42	212	EUR	
21/12/2012 00:00	59.69	59.69	59.05	59.66	20954	EUR	
27/12/2012 00:00	60.38	60.38	59.83	59.83	450	EUR	
28/12/2012 00:00	59.95	59.95	59.06	59.06	1188	EUR	
02/01/2013 00:00	60.42	61.07	60.42	60.86	1432	EUR	
03/01/2013 00:00	60.89	60.93	60.67	60.93	425	EUR	
04/01/2013 00:00	60.86	60.98	60.83	60.98	387	EUR	
07/01/2013 00:00	61.15	61.15	60.8	60.8	333	EUR	
08/01/2013 00:00	60.62	60.88	60.62	60.7	1252	EUR	
09/01/2013 00:00	60.83	61.32	60.83	61.32	54	EUR	
10/01/2013 00:00	61.39	61.48	61.31	61.31	626	EUR	
11/01/2013 00:00	61.57	61.58	61.57	61.58	0	EUR	
14/01/2013 00:00	61.89	62.06	61.81	61.81	413	EUR	
15/01/2013 00:00	61.65	61.87	61.51	61.67	1294	EUR	
16/01/2013 00:00	61.62	61.74	61.36	61.57	1208	EUR	
17/01/2013 00:00	61.6	61.97	61.5	61.7	6742	EUR	
18/01/2013 00:00	62.06	62.06	61.54	61.54	950	EUR	
21/01/2013 00:00	61.62	61.8	61.57	61.8	515	EUR	
22/01/2013 00:00	61.69	61.69	61.29	61.45	528	EUR	
23/01/2013 00:00	61.47	61.47	61.25	61.32	252	EUR	
24/01/2013 00:00	61.14	61.63	61.12	61.63	298	EUR	
25/01/2013 00:00	61.57	61.95	61.52	61.87	6923	EUR	
28/01/2013 00:00	62.17	62.17	61.85	61.88	1893	EUR	
29/01/2013 00:00	62.08	62.21	61.97	62.21	604	EUR	
30/01/2013 00:00	62.37	62.42	61.91	61.91	312	EUR	
31/01/2013 00:00	61.8	61.8	61.24	61.24	3908	EUR	
01/02/2013 00:00	60.72	60.99	60.72	60.99	366	EUR	
04/02/2013 00:00	61	61	59.14	59.14	498	EUR	
05/02/2013 00:00	59.03	59.85	59.03	59.85	3734	EUR	
06/02/2013 00:00	59.69	59.96	59.11	59.48	863	EUR	
07/02/2013 00:00	59.7	60.02	59.2	59.2	1554	EUR	
08/02/2013 00:00	59.36	59.78	59.25	59.78	1637	EUR	
11/02/2013 00:00	59.7	59.76	59.49	59.52	737	EUR	
12/02/2013 00:00	59.3	59.83	59.22	59.83	3892	EUR	
13/02/2013 00:00	60.07	60.21	59.79	60.18	13302	EUR	
14/02/2013 00:00	59.97	60.11	59.37	59.58	623	EUR	
15/02/2013 00:00	59.56	59.56	58.94	58.94	538	EUR	
18/02/2013 00:00	58.84	58.96	58.65	58.96	108	EUR	
19/02/2013 00:00	59.7	59.97	58.97	59.97	4244	EUR	
20/02/2013 00:00	60	60	59.35	59.35	124	EUR	
21/02/2013 00:00	58.97	58.97	58.1	58.1	2622	EUR	
22/02/2013 00:00	58.49	59.37	58.49	59.37	775	EUR	
25/02/2013 00:00	59.88	60.75	59.77	59.94	1688	EUR	
26/02/2013 00:00	58.5	58.88	58.18	58.18	385	EUR	
27/02/2013 00:00	58.61	59.31	58.44	59.31	293	EUR	
28/02/2013 00:00	59.76	59.81	59.37	59.81	5891	EUR	
01/03/2013 00:00	59.77	59.88	59.49	59.49	266	EUR	
04/03/2013 00:00	59.28	59.83	59.28	59.83	247	EUR	
05/03/2013 00:00	60.51	61.01	60.5	61.01	238	EUR	
06/03/2013 00:00	61.06	61.37	60.95	60.95	345	EUR	
07/03/2013 00:00	61.11	61.25	60.96	61.13	2781	EUR	
08/03/2013 00:00	61.62	62.04	61.62	62.04	492	EUR	
11/03/2013 00:00	61.93	61.93	61.54	61.83	744	EUR	
12/03/2013 00:00	61.78	62.04	61.74	61.74	303	EUR	
13/03/2013 00:00	61.71	61.71	61.45	61.67	322	EUR	
14/03/2013 00:00	61.93	62.67	61.93	62.67	519	EUR	
15/03/2013 00:00	62.76	62.76	62.26	62.53	388	EUR	
18/03/2013 00:00	61.21	62.01	61.21	62.01	61	EUR	
19/03/2013 00:00	61.91	62.06	61.35	61.35	3047	EUR	
20/03/2013 00:00	61.85	62.06	61.76	62	2698	EUR	
21/03/2013 00:00	61.88	62.05	61.64	61.49	767	EUR	
22/03/2013 00:00	61.43	61.78	61.18	61.59	5771	EUR	
25/03/2013 00:00	62.23	62.44	60.7	60.7	550	EUR	
26/03/2013 00:00	60.92	60.92	60.13	60.13	3264	EUR	
27/03/2013 00:00	60.23	60.23	59.32	59.32	52	EUR	
28/03/2013 00:00	59.33	59.51	58.91	59.11	147	EUR	
02/04/2013 00:00	59.25	60.4	59.25	60.4	698	EUR	
03/04/2013 00:00	60.01	60.12	59.32	59.32	2302	EUR	
04/04/2013 00:00	59.57	59.86	59.07	59.07	962	EUR	
05/04/2013 00:00	59.19	59.65	58.36	58.53	1261	EUR	
08/04/2013 00:00	58.77	58.87	58.39	58.39	437	EUR	
09/04/2013 00:00	58.74	58.8	58.62	58.8	214	EUR	
10/04/2013 00:00	59.63	60.47	59.63	60.47	6817	EUR	
11/04/2013 00:00	60.6	60.88	60.45	60.88	2957	EUR	
12/04/2013 00:00	60.54	60.54	60.11	60.11	126	EUR	
15/04/2013 00:00	60.28	60.28	59.7	59.7	106	EUR	
16/04/2013 00:00	59.28	59.71	59.08	59.34	690	EUR	
17/04/2013 00:00	59.5	59.5	58.25	58.25	253	EUR	
18/04/2013 00:00	58.46	58.46	58.2	58.2	17	EUR	
19/04/2013 00:00	58.68	58.74	58.3	58.55	254	EUR	
22/04/2013 00:00	59.1	59.43	59.1	59.26	287	EUR	
23/04/2013 00:00	59.46	61.09	59.46	61.09	592	EUR	
24/04/2013 00:00	61.25	61.87	61.25	61.87	942	EUR	
25/04/2013 00:00	61.76	62.16	61.6	62.16	102	EUR	
26/04/2013 00:00	62.06	62.06	61.27	61.49	12211	EUR	
29/04/2013 00:00	61.95	62.46	61.95	62.46	593	EUR	
30/04/2013 00:00	62.9	62.92	62.44	62.44	169	EUR	
02/05/2013 00:00	62.65	62.84	62.14	62.45	3729	EUR	
03/05/2013 00:00	62.45	63.55	62.4	63.55	1697	EUR	
06/05/2013 00:00	63.45	63.53	63.33	63.33	863	EUR	
07/05/2013 00:00	63.57	63.83	63.42	63.56	2038	EUR	
08/05/2013 00:00	63.6	64.13	63.6	64.13	434	EUR	
09/05/2013 00:00	64.05	64.05	63.87	63.99	1135	EUR	
10/05/2013 00:00	64.19	64.45	63.84	63.98	572	EUR	
13/05/2013 00:00	64.06	64.06	63.66	63.78	165	EUR	
14/05/2013 00:00	63.87	64.07	63.65	64.07	230	EUR	
15/05/2013 00:00	64.04	64.37	63.97	64.36	148	EUR	
16/05/2013 00:00	64.28	64.39	64.14	64.26	895	EUR	
17/05/2013 00:00	64.33	64.9	64.33	64.74	297	EUR	
20/05/2013 00:00	64.97	64.97	64.95	64.95	46	EUR	
21/05/2013 00:00	65.05	65.05	64.47	64.84	189	EUR	
22/05/2013 00:00	65.06	65.14	64.48	65.05	5903	EUR	
23/05/2013 00:00	63.73	63.92	63.65	63.92	563	EUR	
24/05/2013 00:00	64.14	64.18	63.36	63.56	2905	EUR	
27/05/2013 00:00	64.03	64.09	63.93	64.09	3063	EUR	
28/05/2013 00:00	64.6	65.45	64.53	65.28	4131	EUR	
29/05/2013 00:00	64.84	64.84	64.43	64.43	217	EUR	
30/05/2013 00:00	64.29	64.65	64.29	64.65	943	EUR	
31/05/2013 00:00	64.59	64.59	64	64	0	EUR	
03/06/2013 00:00	63.57	64.04	62.99	63.53	8651	EUR	
04/06/2013 00:00	64.07	64.07	63.56	63.71	20932	EUR	
05/06/2013 00:00	63.36	63.73	62.88	62.88	799	EUR	
06/06/2013 00:00	63.07	63.23	62.16	62.16	540	EUR	
07/06/2013 00:00	62.31	63.08	62.13	63.08	434	EUR	
10/06/2013 00:00	63.02	63.37	63.02	63.15	208	EUR	
11/06/2013 00:00	62.94	62.94	62.12	62.59	1845	EUR	
12/06/2013 00:00	62.59	62.93	62.4	62.4	1426	EUR	
13/06/2013 00:00	61.58	62.33	61.58	62.33	182	EUR	
14/06/2013 00:00	62.73	62.92	62.67	62.67	1024	EUR	
17/06/2013 00:00	63.16	63.66	63.16	63.36	206	EUR	
18/06/2013 00:00	63.23	63.69	63.23	63.58	657	EUR	
19/06/2013 00:00	63.69	63.69	63.25	63.34	930	EUR	
20/06/2013 00:00	62.5	62.65	61.4	61.48	30290	EUR	
21/06/2013 00:00	61.76	61.81	60.7	60.71	37465	EUR	
24/06/2013 00:00	60.57	60.71	59.56	59.56	38396	EUR	
25/06/2013 00:00	60.13	60.4	60.01	60.2	11628	EUR	
26/06/2013 00:00	60.14	61.27	60.14	61.22	17956	EUR	
27/06/2013 00:00	61.4	61.91	61.24	61.91	156	EUR	
28/06/2013 00:00	62.39	62.39	61.86	61.86	366	EUR	
01/07/2013 00:00	62.28	62.49	61.91	62.38	901	EUR	
02/07/2013 00:00	62.43	62.43	62.14	62.35	407	EUR	
03/07/2013 00:00	61.76	61.76	61.09	61.69	320	EUR	
04/07/2013 00:00	62.07	63.02	62.07	63.02	8599	EUR	
05/07/2013 00:00	63.1	63.16	62.3	62.3	1754	EUR	
08/07/2013 00:00	62.7	63.64	62.7	63.33	1844	EUR	
09/07/2013 00:00	63.68	63.68	63.64	63.64	0	EUR	
10/07/2013 00:00	63.54	63.81	63.32	63.8	2015	EUR	
11/07/2013 00:00	64.47	64.47	64.12	64.19	508	EUR	
12/07/2013 00:00	62.81	64.2	62.75	63.7	7884	EUR	
15/07/2013 00:00	64.14	64.15	63.67	63.93	588	EUR	
16/07/2013 00:00	64.02	64.02	63.61	63.84	1031	EUR	
17/07/2013 00:00	63.87	64.19	63.53	64.11	398	EUR	
18/07/2013 00:00	64.22	65.01	64.22	65.01	468	EUR	
19/07/2013 00:00	64.72	65.35	64	65.35	10331	EUR	
