date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	132.95	132.95	129.23	129.23	34	EUR	
08/11/2012 00:00	130.39	130.39	128.89	129.1	817	EUR	
09/11/2012 00:00	129.17	129.75	127.95	129.75	576	EUR	
12/11/2012 00:00	129.5	129.5	129.31	129.32	352	EUR	
13/11/2012 00:00	128.59	130.02	128.08	130.02	134	EUR	
14/11/2012 00:00	129.61	129.61	128.96	128.96	0	EUR	
15/11/2012 00:00	128.29	128.29	128.22	128.22	0	EUR	
16/11/2012 00:00	128.05	128.44	126.84	126.84	557	EUR	
19/11/2012 00:00	127.98	130.2	127.98	130.2	51	EUR	
20/11/2012 00:00	129.64	131	129.64	131	0	EUR	
21/11/2012 00:00	130.73	131.57	130.56	131.57	17	EUR	
22/11/2012 00:00	131.9	132.38	131.9	132.38	0	EUR	
23/11/2012 00:00	132.64	133.5	132.64	133.5	100	EUR	
26/11/2012 00:00	132.97	132.97	132.42	132.42	5800	EUR	
27/11/2012 00:00	133.53	133.53	132.6	132.6	0	EUR	
28/11/2012 00:00	132.37	133.13	131.87	133.13	51	EUR	
29/11/2012 00:00	133.74	135	133.74	135	0	EUR	
30/11/2012 00:00	134.9	134.9	134.78	134.78	100	EUR	
03/12/2012 00:00	135.09	135.1	135.09	135.09	0	EUR	
04/12/2012 00:00	135.18	135.95	135.18	135.45	3601	EUR	
05/12/2012 00:00	136.29	136.29	135.8	135.8	0	EUR	
06/12/2012 00:00	136.37	136.37	135.91	136.28	1250	EUR	
07/12/2012 00:00	136.74	136.74	136.13	136.55	2542	EUR	
10/12/2012 00:00	136.16	136.78	136.16	136.78	0	EUR	
11/12/2012 00:00	136.88	137.84	136.88	137.84	0	EUR	
12/12/2012 00:00	138.01	138.04	138.01	138.04	0	EUR	
13/12/2012 00:00	138.36	138.36	137.7	137.7	0	EUR	
14/12/2012 00:00	137.87	137.87	137.74	137.74	0	EUR	
17/12/2012 00:00	137.75	137.75	137.64	137.64	0	EUR	
18/12/2012 00:00	138.1	138.19	138.1	138.19	0	EUR	
19/12/2012 00:00	138.52	138.8	138.52	138.8	0	EUR	
20/12/2012 00:00	138.26	138.91	138.26	138.91	0	EUR	
21/12/2012 00:00	138.37	138.49	138.22	138.49	1000	EUR	
24/12/2012 00:00	138.71	138.71	138.08	138.08	1000	EUR	
27/12/2012 00:00	138.55	138.82	138.55	138.82	0	EUR	
28/12/2012 00:00	138.97	138.97	137.05	137.05	0	EUR	
31/12/2012 00:00	136.74	137.8	136.74	137.8	2000	EUR	
02/01/2013 00:00	140.14	140.76	140.14	140.76	0	EUR	
03/01/2013 00:00	140.53	140.69	140.53	140.62	1000	EUR	
04/01/2013 00:00	140.18	140.96	140.18	140.82	235	EUR	
07/01/2013 00:00	141.02	141.02	140.05	140.05	15	EUR	
08/01/2013 00:00	139.76	140.19	139.76	140.19	0	EUR	
09/01/2013 00:00	140.75	140.75	140.42	140.42	0	EUR	
10/01/2013 00:00	140.37	140.37	139.85	139.85	0	EUR	
11/01/2013 00:00	140.29	140.29	139.91	139.91	0	EUR	
