date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	112.88	113.17	111.13	111.13	48	EUR	
08/11/2012 00:00	111.92	111.92	111.14	111.14	129	EUR	
09/11/2012 00:00	111.28	111.28	110.89	110.89	0	EUR	
12/11/2012 00:00	110.8	111.02	110.8	111.02	0	EUR	
13/11/2012 00:00	110.62	111.45	110.62	111.45	0	EUR	
14/11/2012 00:00	111.29	111.29	110.87	110.87	0	EUR	
15/11/2012 00:00	109.99	109.99	108.93	108.93	9	EUR	
16/11/2012 00:00	108.6	108.61	107.3	107.3	1	EUR	
19/11/2012 00:00	107.9	108.83	107.9	108.83	0	EUR	
20/11/2012 00:00	108.6	109.65	108.6	109.65	0	EUR	
21/11/2012 00:00	109.34	109.59	109.34	109.59	0	EUR	
22/11/2012 00:00	109.83	110.26	109.83	110.26	0	EUR	
23/11/2012 00:00	110.5	111.52	110.5	111.52	3991	EUR	
26/11/2012 00:00	111.41	111.59	111.41	111.46	12385	EUR	
27/11/2012 00:00	112.26	112.46	112.26	112.35	1808	EUR	
28/11/2012 00:00	112.02	112.98	112.02	112.89	269	EUR	
29/11/2012 00:00	113.49	113.9	113.49	113.9	0	EUR	
30/11/2012 00:00	113.93	114.09	113.46	113.46	1540	EUR	
03/12/2012 00:00	113.55	113.97	113.55	113.76	1286	EUR	
04/12/2012 00:00	113.71	114.35	113.71	113.76	1971	EUR	
05/12/2012 00:00	114.28	114.28	114.25	114.25	0	EUR	
06/12/2012 00:00	114.6	115.1	114.6	115.1	0	EUR	
07/12/2012 00:00	115.42	115.52	115.42	115.52	0	EUR	
10/12/2012 00:00	115.38	115.38	115.37	115.37	4	EUR	
11/12/2012 00:00	115.31	115.63	115.31	115.63	0	EUR	
12/12/2012 00:00	115.65	115.65	115.51	115.51	0	EUR	
13/12/2012 00:00	115.53	115.53	115.29	115.29	0	EUR	
14/12/2012 00:00	115.69	115.89	115.69	115.7	80	EUR	
17/12/2012 00:00	115.54	115.54	115.09	115.09	89	EUR	
18/12/2012 00:00	115.36	115.36	114.92	115.14	50	EUR	
19/12/2012 00:00	115.27	115.73	115.27	115.73	0	EUR	
20/12/2012 00:00	115.44	116.04	115.44	116.04	0	EUR	
21/12/2012 00:00	115.79	115.79	115.15	115.15	35	EUR	
24/12/2012 00:00	115.54	115.54	115.38	115.38	0	EUR	
27/12/2012 00:00	114.99	115.26	114.99	115.26	0	EUR	
28/12/2012 00:00	115.43	115.43	114.42	114.42	0	EUR	
31/12/2012 00:00	113.81	114.81	113.81	114.81	34	EUR	
02/01/2013 00:00	117.04	117.26	116.4	117.26	4	EUR	
03/01/2013 00:00	117.43	117.45	117.43	117.45	0	EUR	
04/01/2013 00:00	117.17	117.6	117.17	117.6	5	EUR	
07/01/2013 00:00	117.58	117.59	117.58	117.59	0	EUR	
08/01/2013 00:00	117.42	117.42	117.09	117.09	0	EUR	
09/01/2013 00:00	117.55	117.71	117.52	117.71	17	EUR	
10/01/2013 00:00	117.97	118.37	117.97	118.07	220	EUR	
11/01/2013 00:00	118.33	118.33	117.86	117.87	34	EUR	
14/01/2013 00:00	117.86	117.9	117.13	117.13	11693	EUR	
15/01/2013 00:00	116.94	117.26	116.94	117.26	0	EUR	
16/01/2013 00:00	117.15	118.03	117.15	117.86	5528	EUR	
17/01/2013 00:00	117.61	118.67	117.61	118.67	0	EUR	
18/01/2013 00:00	119.04	119.04	118.35	118.35	0	EUR	
21/01/2013 00:00	118.62	118.86	118.62	118.86	2501	EUR	
22/01/2013 00:00	118.93	119.09	118.93	119.09	0	EUR	
23/01/2013 00:00	119.98	119.98	119.14	119.14	1200	EUR	
24/01/2013 00:00	119.01	119.49	119.01	119.49	0	EUR	
25/01/2013 00:00	119.42	120.18	119.42	120.18	0	EUR	
28/01/2013 00:00	120.48	120.74	120.48	120.74	0	EUR	
29/01/2013 00:00	120.65	120.97	120.65	120.97	1650	EUR	
30/01/2013 00:00	121.05	121.17	121.05	121.17	0	EUR	
31/01/2013 00:00	121.14	121.14	120.68	120.68	0	EUR	
01/02/2013 00:00	120.76	121.28	120.76	121.28	0	EUR	
04/02/2013 00:00	121.44	121.44	119.29	119.45	323	EUR	
05/02/2013 00:00	119.02	119.03	118.57	118.83	1755	EUR	
06/02/2013 00:00	118.69	118.69	118.07	118.07	25	EUR	
07/02/2013 00:00	118.04	118.04	117.63	117.63	0	EUR	
08/02/2013 00:00	117.79	118.03	117.79	118.03	6	EUR	
11/02/2013 00:00	118.38	118.48	118.1	118.11	591	EUR	
12/02/2013 00:00	117.78	118.52	117.78	118.52	21	EUR	
13/02/2013 00:00	118.69	118.94	118.69	118.69	10	EUR	
14/02/2013 00:00	118.29	119.01	118.29	119.01	0	EUR	
15/02/2013 00:00	118.99	118.99	118.2	118.2	0	EUR	
18/02/2013 00:00	118.04	118.04	117.83	117.83	15	EUR	
19/02/2013 00:00	117.55	119.32	117.55	119.32	8	EUR	
20/02/2013 00:00	118.81	118.81	118.13	118.13	1650	EUR	
21/02/2013 00:00	117.37	117.37	115.28	115.49	551	EUR	
22/02/2013 00:00	115.64	116.81	115.64	116.81	637	EUR	
25/02/2013 00:00	117.46	118.18	117	117	153	EUR	
26/02/2013 00:00	114.71	115.24	114.71	115.24	0	EUR	
27/02/2013 00:00	115.38	115.75	115.38	115.75	0	EUR	
28/02/2013 00:00	116.11	116.82	116.11	116.82	0	EUR	
01/03/2013 00:00	116.55	116.55	116.35	116.35	0	EUR	
04/03/2013 00:00	115.86	116.75	115.86	116.75	0	EUR	
05/03/2013 00:00	117.74	119.05	117.74	119.05	300	EUR	
06/03/2013 00:00	118.92	119.45	118.92	119.45	35	EUR	
