date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	134.73	134.73	130.11	130.11	0	EUR	
08/11/2012 00:00	131.1	131.1	129.93	129.93	7	EUR	
09/11/2012 00:00	130.12	130.27	128.65	130.27	20	EUR	
12/11/2012 00:00	129.37	129.37	128.74	128.93	17	EUR	
13/11/2012 00:00	128.12	131.51	128.12	131.51	221	EUR	
14/11/2012 00:00	131.03	131.03	131	131	0	EUR	
15/11/2012 00:00	130.08	131.71	130.08	131.52	232	EUR	
16/11/2012 00:00	131.45	131.45	129.54	129.54	0	EUR	
19/11/2012 00:00	130.63	132.52	130.63	132.52	0	EUR	
20/11/2012 00:00	131.78	132.54	131.78	132.54	0	EUR	
21/11/2012 00:00	132.1	133.29	132.1	133.07	8	EUR	
22/11/2012 00:00	133.53	134.53	133.53	134.34	205	EUR	
23/11/2012 00:00	134.76	134.93	134.25	134.93	110	EUR	
26/11/2012 00:00	134.45	134.69	134.32	134.69	21010	EUR	
27/11/2012 00:00	135.78	135.78	133.91	133.91	10	EUR	
28/11/2012 00:00	133.95	133.95	133.65	133.77	700	EUR	
29/11/2012 00:00	134.79	136.16	134.79	136.16	700	EUR	
30/11/2012 00:00	136.12	136.2	135.39	135.39	1184	EUR	
03/12/2012 00:00	135.86	135.92	134.73	134.73	137	EUR	
04/12/2012 00:00	135.12	135.65	135.11	135.11	4482	EUR	
05/12/2012 00:00	136.14	136.37	134.63	134.85	761	EUR	
06/12/2012 00:00	135.16	135.78	135.16	135.28	500	EUR	
07/12/2012 00:00	135.64	135.64	133.83	133.83	60	EUR	
10/12/2012 00:00	132.63	133.47	131.56	133.47	481	EUR	
11/12/2012 00:00	133.73	136.44	133.73	135.28	1299	EUR	
12/12/2012 00:00	135.76	137.41	135.54	137.41	1652	EUR	
13/12/2012 00:00	137.22	137.44	136.54	136.96	2323	EUR	
14/12/2012 00:00	137.13	137.42	137.13	137.27	1942	EUR	
17/12/2012 00:00	137.22	137.33	136.68	137.33	2331	EUR	
18/12/2012 00:00	137.81	138.68	137.81	138.68	208	EUR	
19/12/2012 00:00	139.92	141.95	139.92	141.76	628	EUR	
20/12/2012 00:00	140.3	141.33	140.3	141.33	1237	EUR	
21/12/2012 00:00	140.87	141.16	140.22	141.16	1683	EUR	
27/12/2012 00:00	142.8	142.8	141.41	141.41	1563	EUR	
28/12/2012 00:00	141.74	141.74	138.93	139.49	1280	EUR	
