date	ouv	haut	bas	clot	vol	devise	
15/05/2019 00:00	19.001	19.001	19.001	19.001	0	EUR	
17/05/2019 00:00	19.148	19.179	19.148	19.179	84	EUR	
20/05/2019 00:00	19.166	19.166	18.999	19.004	540	EUR	
21/05/2019 00:00	19.107	19.156	19.08	19.156	1087	EUR	
22/05/2019 00:00	19.053	19.102	19.017	19.017	7013	EUR	
23/05/2019 00:00	18.944	18.951	18.787	18.795	2606	EUR	
24/05/2019 00:00	19.046	19.063	18.944	18.961	9222	EUR	
27/05/2019 00:00	19.098	19.119	19.086	19.086	6125	EUR	
28/05/2019 00:00	19.103	19.66	18.966	18.966	5849	EUR	
29/05/2019 00:00	18.857	19.35	18.762	18.762	13305	EUR	
30/05/2019 00:00	18.887	18.887	18.85	18.85	0	EUR	
31/05/2019 00:00	18.592	18.592	18.428	18.553	5371	EUR	
03/06/2019 00:00	18.478	18.97	18.43	18.555	12399	EUR	
04/06/2019 00:00	18.405	18.96	18.405	18.671	7831	EUR	
05/06/2019 00:00	18.825	19.39	18.744	18.779	15873	EUR	
06/06/2019 00:00	18.783	18.859	18.783	18.808	8970	EUR	
07/06/2019 00:00	18.91	19.49	18.858	18.961	17220	EUR	
10/06/2019 00:00	19.169	19.216	19.169	19.216	603	EUR	
11/06/2019 00:00	19.237	19.337	19.237	19.238	6606	EUR	
12/06/2019 00:00	19.141	19.68	19.074	19.094	14143	EUR	
13/06/2019 00:00	18.979	19.55	18.953	18.953	13765	EUR	
14/06/2019 00:00	19.008	19.008	18.9	18.937	12498	EUR	
17/06/2019 00:00	19.004	19.5	18.966	18.995	11814	EUR	
18/06/2019 00:00	18.847	19.417	18.799	19.049	11960	EUR	
19/06/2019 00:00	19.139	19.589	19.12	19.14	11279	EUR	
20/06/2019 00:00	19.238	19.749	19.177	19.177	12554	EUR	
21/06/2019 00:00	19.077	19.61	19.044	19.105	18286	EUR	
24/06/2019 00:00	19.074	19.074	19.008	19.008	8872	EUR	
25/06/2019 00:00	19.49	19.499	18.931	18.931	11673	EUR	
26/06/2019 00:00	18.927	19.25	18.921	18.99	11789	EUR	
27/06/2019 00:00	19.162	19.68	19.056	19.056	7324	EUR	
28/06/2019 00:00	19.142	19.389	19.142	19.166	6012	EUR	
01/07/2019 00:00	20.18	20.18	19.514	19.514	13867	EUR	
02/07/2019 00:00	19.617	20.13	19.522	19.522	14793	EUR	
03/07/2019 00:00	19.484	19.567	19.462	19.559	13258	EUR	
04/07/2019 00:00	19.609	20.131	19.595	19.72	20459	EUR	
05/07/2019 00:00	19.634	19.739	19.504	19.572	16853	EUR	
08/07/2019 00:00	19.493	19.537	19.484	19.523	9716	EUR	
09/07/2019 00:00	19.383	19.883	19.101	19.334	11122	EUR	
10/07/2019 00:00	19.589	19.907	19.37	19.409	12678	EUR	
11/07/2019 00:00	19.481	19.58	19.393	19.406	10171	EUR	
12/07/2019 00:00	19.381	19.749	19.33	19.33	10943	EUR	
15/07/2019 00:00	19.419	19.449	19.37	19.38	5508	EUR	
16/07/2019 00:00	19.347	19.599	19.26	19.306	5146	EUR	
17/07/2019 00:00	19.309	19.323	19.241	19.241	2532	EUR	
18/07/2019 00:00	18.924	19.48	18.924	18.926	4185	EUR	
19/07/2019 00:00	19.223	19.399	19.17	19.188	3038	EUR	
22/07/2019 00:00	19.161	19.207	19.156	19.156	4806	EUR	
23/07/2019 00:00	19.699	19.75	19.356	19.362	7882	EUR	
