date	ouv	haut	bas	clot	vol	devise	
15/05/2019 00:00	19.238	19.238	19.238	19.238	0	EUR	
17/05/2019 00:00	19.424	19.424	19.424	19.424	0	EUR	
20/05/2019 00:00	19.377	19.377	19.22	19.22	0	EUR	
21/05/2019 00:00	19.328	19.333	19.28	19.28	437	EUR	
22/05/2019 00:00	19.235	19.235	19.212	19.212	284	EUR	
23/05/2019 00:00	19.179	19.179	19.079	19.079	26	EUR	
24/05/2019 00:00	19.288	19.288	19.236	19.236	0	EUR	
27/05/2019 00:00	19.35	19.4	19.349	19.349	1417	EUR	
28/05/2019 00:00	19.383	19.383	19.258	19.258	331	EUR	
29/05/2019 00:00	19.235	19.235	19.167	19.167	611	EUR	
30/05/2019 00:00	19.216	19.228	19.184	19.184	178	EUR	
31/05/2019 00:00	19.081	19.081	19.049	19.049	153	EUR	
03/06/2019 00:00	19.002	19.021	18.994	18.994	242	EUR	
04/06/2019 00:00	18.819	19.073	18.819	19.073	184	EUR	
05/06/2019 00:00	19.22	19.22	19.185	19.185	50	EUR	
06/06/2019 00:00	19.244	19.244	19.144	19.144	321	EUR	
07/06/2019 00:00	19.24	19.241	19.24	19.241	124	EUR	
10/06/2019 00:00	19.395	19.475	19.395	19.475	242	EUR	
11/06/2019 00:00	19.474	19.52	19.474	19.49	937	EUR	
12/06/2019 00:00	19.386	19.39	19.351	19.39	178	EUR	
13/06/2019 00:00	19.278	19.358	19.278	19.285	26	EUR	
14/06/2019 00:00	19.372	19.372	19.335	19.357	52	EUR	
17/06/2019 00:00	19.402	19.402	19.367	19.367	512	EUR	
18/06/2019 00:00	19.274	19.513	19.274	19.513	650	EUR	
19/06/2019 00:00	19.625	19.625	19.576	19.576	250	EUR	
20/06/2019 00:00	19.722	19.723	19.66	19.66	794	EUR	
21/06/2019 00:00	19.578	19.578	19.497	19.535	1680	EUR	
24/06/2019 00:00	19.413	19.413	19.34	19.34	375	EUR	
25/06/2019 00:00	19.39	19.39	19.356	19.356	23	EUR	
26/06/2019 00:00	19.275	19.29	19.26	19.26	27	EUR	
27/06/2019 00:00	19.397	19.397	19.361	19.361	251	EUR	
28/06/2019 00:00	19.41	19.472	19.41	19.445	352	EUR	
01/07/2019 00:00	19.844	19.85	19.819	19.819	425	EUR	
02/07/2019 00:00	19.957	19.957	19.904	19.904	234	EUR	
03/07/2019 00:00	19.958	20.032	19.958	20.032	653	EUR	
04/07/2019 00:00	20.072	20.072	20.052	20.06	150	EUR	
05/07/2019 00:00	20.081	20.081	19.996	20.008	429	EUR	
08/07/2019 00:00	19.963	19.964	19.939	19.946	218	EUR	
09/07/2019 00:00	19.786	19.786	19.731	19.74	1345	EUR	
10/07/2019 00:00	19.74	19.85	19.74	19.779	550	EUR	
11/07/2019 00:00	19.898	19.898	19.8	19.807	675	EUR	
12/07/2019 00:00	19.733	19.8	19.733	19.791	1112	EUR	
15/07/2019 00:00	19.842	19.856	19.84	19.856	120	EUR	
16/07/2019 00:00	19.787	19.791	19.787	19.791	132	EUR	
17/07/2019 00:00	19.826	19.95	19.734	19.734	3334	EUR	
18/07/2019 00:00	19.467	19.484	19.467	19.481	3366	EUR	
19/07/2019 00:00	19.742	19.77	19.742	19.766	1096	EUR	
22/07/2019 00:00	19.701	19.747	19.701	19.71	68	EUR	
23/07/2019 00:00	19.924	20.01	19.924	20.01	260	EUR	
24/07/2019 00:00	20.036	20.036	20.013	20.017	751	EUR	
25/07/2019 00:00	20.113	20.118	19.879	19.879	1815	EUR	
26/07/2019 00:00	19.921	19.947	19.89	19.947	1181	EUR	
29/07/2019 00:00	19.907	19.959	19.878	19.878	2515	EUR	
30/07/2019 00:00	19.969	19.969	19.755	19.755	11230	EUR	
31/07/2019 00:00	19.815	19.909	19.815	19.909	837	EUR	
01/08/2019 00:00	19.945	20.085	19.945	20.085	77	EUR	
02/08/2019 00:00	19.77	19.77	19.554	19.554	607	EUR	
05/08/2019 00:00	19.554	19.554	19.104	19.114	237	EUR	
06/08/2019 00:00	19.26	19.26	19.093	19.093	254	EUR	
07/08/2019 00:00	19.323	19.405	19.111	19.229	1028	EUR	
08/08/2019 00:00	19.336	19.452	19.33	19.452	101	EUR	
09/08/2019 00:00	19.407	19.42	19.262	19.262	225	EUR	
12/08/2019 00:00	19.448	19.95	19.177	19.177	563	EUR	
13/08/2019 00:00	19.225	19.388	19.138	19.356	216	EUR	
14/08/2019 00:00	19.251	19.262	19.058	19.058	616	EUR	
15/08/2019 00:00	19.249	19.298	19.216	19.216	4570	EUR	
16/08/2019 00:00	19.31	19.443	19.31	19.443	49	EUR	
19/08/2019 00:00	19.478	19.506	19.471	19.495	355	EUR	
20/08/2019 00:00	19.533	19.569	19.443	19.443	1121	EUR	
21/08/2019 00:00	19.414	19.512	19.414	19.507	371	EUR	
22/08/2019 00:00	19.481	19.481	19.4	19.416	154	EUR	
23/08/2019 00:00	19.527	19.527	19.23	19.23	250	EUR	
26/08/2019 00:00	19.46	19.57	19.423	19.475	222	EUR	
27/08/2019 00:00	19.421	19.514	19.409	19.512	14	EUR	
28/08/2019 00:00	19.482	19.497	19.443	19.485	1871	EUR	
29/08/2019 00:00	19.484	19.63	19.484	19.623	791	EUR	
30/08/2019 00:00	19.719	19.791	19.719	19.791	365	EUR	
02/09/2019 00:00	19.795	19.97	19.765	19.81	452	EUR	
03/09/2019 00:00	19.92	19.92	19.852	19.852	1022	EUR	
04/09/2019 00:00	19.881	19.881	19.847	19.847	80	EUR	
05/09/2019 00:00	19.994	19.994	19.947	19.993	114	EUR	
06/09/2019 00:00	19.99	20.002	19.95	20.002	251	EUR	
09/09/2019 00:00	20.183	20.183	20.14	20.14	323	EUR	
10/09/2019 00:00	20.11	20.156	20.11	20.156	0	EUR	
11/09/2019 00:00	20.374	20.443	20.374	20.443	145	EUR	
12/09/2019 00:00	20.594	20.6	20.5	20.5	203	EUR	
13/09/2019 00:00	20.569	20.744	20.569	20.738	67	EUR	
16/09/2019 00:00	20.659	20.761	20.64	20.761	743	EUR	
17/09/2019 00:00	20.787	20.787	20.648	20.671	303	EUR	
18/09/2019 00:00	20.61	20.662	20.598	20.618	220	EUR	
19/09/2019 00:00	20.782	20.92	20.782	20.92	534	EUR	
20/09/2019 00:00	20.796	20.961	20.796	20.961	5269	EUR	
23/09/2019 00:00	20.915	20.915	20.874	20.874	622	EUR	
24/09/2019 00:00	21.04	21.04	21.015	21.015	135	EUR	
25/09/2019 00:00	20.996	21.055	20.918	21.055	507	EUR	
26/09/2019 00:00	21.073	21.272	21.073	21.174	35	EUR	
27/09/2019 00:00	21.047	21.048	20.918	20.939	281	EUR	
30/09/2019 00:00	20.821	20.943	20.82	20.943	3063	EUR	
01/10/2019 00:00	21.136	21.136	20.916	20.916	189	EUR	
02/10/2019 00:00	20.934	20.934	20.607	20.607	150	EUR	
03/10/2019 00:00	20.663	20.663	20.532	20.532	157	EUR	
04/10/2019 00:00	20.702	20.797	20.692	20.797	385	EUR	
07/10/2019 00:00	20.774	20.849	20.774	20.849	300	EUR	
08/10/2019 00:00	20.836	20.836	20.733	20.733	63	EUR	
09/10/2019 00:00	20.788	20.848	20.788	20.828	509	EUR	
10/10/2019 00:00	20.794	20.794	20.794	20.794	0	EUR	
11/10/2019 00:00	20.76	21.01	20.76	21.01	277	EUR	
14/10/2019 00:00	21.029	21.029	20.894	20.894	81	EUR	
15/10/2019 00:00	21.011	21.14	21.011	21.14	158	EUR	
16/10/2019 00:00	21.012	21.062	21.012	21.027	3	EUR	
17/10/2019 00:00	20.864	20.886	20.847	20.847	417	EUR	
18/10/2019 00:00	20.773	20.787	20.76	20.782	1804	EUR	
21/10/2019 00:00	20.856	20.968	20.8	20.968	315	EUR	
22/10/2019 00:00	20.99	21.039	20.79	21.013	260	EUR	
23/10/2019 00:00	21.009	21.151	21.009	21.151	24	EUR	
24/10/2019 00:00	21.066	21.165	21.066	21.165	150	EUR	
25/10/2019 00:00	21.125	21.196	21.098	21.196	80	EUR	
28/10/2019 00:00	21.202	21.226	21.167	21.207	521	EUR	
29/10/2019 00:00	21.289	21.297	21.289	21.297	521	EUR	
30/10/2019 00:00	21.307	21.336	21.25	21.26	838	EUR	
31/10/2019 00:00	21.276	21.276	21.21	21.21	368	EUR	
01/11/2019 00:00	21.384	21.492	21.36	21.432	117	EUR	
04/11/2019 00:00	21.49	21.619	21.49	21.619	263	EUR	
05/11/2019 00:00	21.666	21.832	21.666	21.832	5360	EUR	
