date	ouv	haut	bas	clot	vol	devise	
15/05/2019 00:00	18.676	18.676	18.676	18.676	0	EUR	
17/05/2019 00:00	18.676	18.676	18.401	18.417	1100	EUR	
20/05/2019 00:00	18.396	18.396	18.237	18.24	1619	EUR	
21/05/2019 00:00	18.416	18.416	18.362	18.364	859	EUR	
22/05/2019 00:00	18.379	18.406	18.347	18.347	545	EUR	
23/05/2019 00:00	18.174	18.178	18.077	18.111	1694	EUR	
24/05/2019 00:00	18.129	18.16	18.02	18.02	737	EUR	
27/05/2019 00:00	18.121	18.121	18.074	18.074	1430	EUR	
28/05/2019 00:00	18.111	18.245	18.111	18.15	5021	EUR	
29/05/2019 00:00	18.06	18.55	18.019	18.092	13398	EUR	
30/05/2019 00:00	18.246	18.285	18.246	18.285	160	EUR	
31/05/2019 00:00	18.256	18.318	18.169	18.318	1259	EUR	
03/06/2019 00:00	18.443	18.86	18.399	18.454	4148	EUR	
04/06/2019 00:00	18.122	18.31	18.122	18.31	1117	EUR	
05/06/2019 00:00	18.233	18.83	18.197	18.204	1437	EUR	
06/06/2019 00:00	18.233	18.233	18.12	18.132	522	EUR	
07/06/2019 00:00	18.204	18.342	18.204	18.26	3794	EUR	
10/06/2019 00:00	18.375	18.483	18.375	18.483	0	EUR	
11/06/2019 00:00	18.567	18.638	18.567	18.638	771	EUR	
12/06/2019 00:00	18.464	18.51	18.397	18.397	1743	EUR	
13/06/2019 00:00	18.376	18.505	18.376	18.408	2278	EUR	
14/06/2019 00:00	18.343	18.848	18.31	18.337	1731	EUR	
17/06/2019 00:00	18.392	18.395	18.311	18.334	2133	EUR	
18/06/2019 00:00	18.428	18.95	18.428	18.845	840	EUR	
19/06/2019 00:00	18.899	18.923	18.873	18.873	6078	EUR	
20/06/2019 00:00	19.044	19.669	19.044	19.164	1996	EUR	
21/06/2019 00:00	19.063	19.074	19.033	19.063	1915	EUR	
24/06/2019 00:00	18.952	18.952	18.93	18.942	1247	EUR	
25/06/2019 00:00	18.77	18.865	18.77	18.844	1052	EUR	
26/06/2019 00:00	18.854	18.986	18.854	18.945	700	EUR	
27/06/2019 00:00	19.116	19.116	19.068	19.068	397	EUR	
28/06/2019 00:00	19.049	19.093	19.019	19.028	858	EUR	
01/07/2019 00:00	19.432	19.465	19.432	19.449	1600	EUR	
02/07/2019 00:00	19.464	19.471	19.429	19.448	824	EUR	
03/07/2019 00:00	19.308	19.38	19.308	19.364	5757	EUR	
04/07/2019 00:00	19.399	19.44	19.394	19.42	528	EUR	
05/07/2019 00:00	19.367	19.385	19.26	19.294	2466	EUR	
08/07/2019 00:00	19.089	19.15	19.074	19.117	24645	EUR	
09/07/2019 00:00	18.961	19.038	18.961	19.038	28525	EUR	
10/07/2019 00:00	19.3	20	19	19.115	1994	EUR	
11/07/2019 00:00	19.69	19.69	19.1	19.1	3251	EUR	
12/07/2019 00:00	19.101	19.154	19.051	19.051	25791	EUR	
15/07/2019 00:00	19.174	19.198	19.145	19.198	1354	EUR	
16/07/2019 00:00	19.291	19.358	19.291	19.321	2683	EUR	
17/07/2019 00:00	19.292	19.292	19.2	19.213	1333	EUR	
18/07/2019 00:00	19.161	19.203	19.155	19.167	1078	EUR	
19/07/2019 00:00	19.301	19.329	19.301	19.309	20346	EUR	
22/07/2019 00:00	19.229	19.271	19.229	19.26	580	EUR	
23/07/2019 00:00	19.82	19.82	19.34	19.37	8450	EUR	
24/07/2019 00:00	19.429	19.46	19.41	19.434	11261	EUR	
25/07/2019 00:00	19.526	19.526	19.3	19.312	7183	EUR	
26/07/2019 00:00	19.95	19.95	19.377	19.377	1654	EUR	
29/07/2019 00:00	19.257	19.29	19.23	19.23	3039	EUR	
