date	ouv	haut	bas	clot	vol	devise	
15/05/2019 00:00	18.774	18.774	18.774	18.774	0	EUR	
17/05/2019 00:00	18.52	18.52	18.52	18.52	0	EUR	
20/05/2019 00:00	18.494	18.494	18.343	18.343	1079	EUR	
21/05/2019 00:00	18.5	18.5	18.405	18.469	2579	EUR	
22/05/2019 00:00	19	19	18.482	18.488	10037	EUR	
23/05/2019 00:00	18.317	18.335	18.225	18.264	3977	EUR	
24/05/2019 00:00	18.299	18.34	18.151	18.179	14725	EUR	
27/05/2019 00:00	18.289	18.77	18.228	18.26	16803	EUR	
28/05/2019 00:00	18.79	18.79	18.25	18.303	19619	EUR	
29/05/2019 00:00	18.191	18.73	18.186	18.329	39972	EUR	
30/05/2019 00:00	18.505	19.03	18.2	18.565	3524	EUR	
31/05/2019 00:00	18.449	19.01	18.376	18.608	14271	EUR	
03/06/2019 00:00	18.673	19.25	18.621	18.715	19358	EUR	
04/06/2019 00:00	18.439	19.06	18.439	18.607	16715	EUR	
05/06/2019 00:00	18.551	19.12	18.471	18.508	30419	EUR	
06/06/2019 00:00	18.529	19.09	18.414	18.434	20268	EUR	
07/06/2019 00:00	18.516	19.05	18.473	18.587	23981	EUR	
10/06/2019 00:00	18.702	18.815	18.7	18.815	6498	EUR	
11/06/2019 00:00	18.883	19.031	18.883	18.963	15579	EUR	
12/06/2019 00:00	18.818	19.379	18.795	18.795	27280	EUR	
13/06/2019 00:00	18.74	19.42	18.74	19.345	32556	EUR	
14/06/2019 00:00	18.744	19.3	18.708	18.775	30941	EUR	
17/06/2019 00:00	18.76	19.279	18.66	18.731	19725	EUR	
18/06/2019 00:00	18.8	19.278	18.758	19.236	23757	EUR	
19/06/2019 00:00	19.273	19.789	19.195	19.216	23478	EUR	
20/06/2019 00:00	20.04	20.04	19.408	19.46	23448	EUR	
21/06/2019 00:00	19.402	19.958	19.338	19.369	55681	EUR	
24/06/2019 00:00	19.312	19.826	19.243	19.262	65815	EUR	
25/06/2019 00:00	19.154	19.499	19.124	19.173	17451	EUR	
26/06/2019 00:00	19.162	19.85	19.1	19.267	23064	EUR	
27/06/2019 00:00	19.412	19.422	19.32	19.334	17543	EUR	
28/06/2019 00:00	19.348	19.76	19.29	19.325	37110	EUR	
01/07/2019 00:00	19.99	20.259	19.67	19.7	31443	EUR	
02/07/2019 00:00	19.67	20.189	19.63	19.64	24256	EUR	
03/07/2019 00:00	19.57	20.173	19.5	19.603	32684	EUR	
04/07/2019 00:00	19.667	20.089	19.5	19.723	32249	EUR	
05/07/2019 00:00	19.704	19.849	19.547	19.634	35391	EUR	
08/07/2019 00:00	19.441	19.62	19.4	19.509	23335	EUR	
09/07/2019 00:00	19.404	20.015	19.35	19.443	35425	EUR	
10/07/2019 00:00	19.69	19.899	19.401	19.545	26098	EUR	
11/07/2019 00:00	19.6	19.739	19.503	19.517	25497	EUR	
12/07/2019 00:00	19.516	19.849	19.32	19.469	46196	EUR	
15/07/2019 00:00	19.58	19.799	19.545	19.61	18389	EUR	
16/07/2019 00:00	19.66	20.132	19.646	19.728	23142	EUR	
17/07/2019 00:00	19.68	20.139	19.5	19.581	9589	EUR	
18/07/2019 00:00	19.566	20.09	19.5	19.578	19559	EUR	
19/07/2019 00:00	19.731	19.76	19.68	19.688	26579	EUR	
22/07/2019 00:00	19.6	20.129	19.553	19.653	10153	EUR	
23/07/2019 00:00	20.25	20.399	19.704	19.723	14049	EUR	
24/07/2019 00:00	19.784	20.299	19.74	19.779	18912	EUR	
25/07/2019 00:00	19.839	20.279	19.55	19.627	21473	EUR	
26/07/2019 00:00	20.14	20.149	19.65	19.678	10914	EUR	
29/07/2019 00:00	19.575	19.939	19.56	19.591	13552	EUR	
