date	ouv	haut	bas	clot	vol	devise	
15/05/2019 00:00	18.716	18.716	18.716	18.716	0	EUR	
17/05/2019 00:00	18.408	18.408	18.408	18.408	0	EUR	
20/05/2019 00:00	18.222	18.338	18.222	18.338	0	EUR	
21/05/2019 00:00	18.568	18.779	18.568	18.779	0	EUR	
22/05/2019 00:00	18.962	18.976	18.962	18.976	0	EUR	
23/05/2019 00:00	18.784	18.9	18.784	18.9	100	EUR	
24/05/2019 00:00	18.841	18.841	18.695	18.695	0	EUR	
27/05/2019 00:00	18.761	18.761	18.761	18.761	0	EUR	
28/05/2019 00:00	18.81	18.81	18.81	18.81	0	EUR	
29/05/2019 00:00	18.829	19.195	18.825	19.195	208	EUR	
30/05/2019 00:00	19.47	19.633	19.47	19.633	0	EUR	
31/05/2019 00:00	19.127	19.595	19.127	19.595	0	EUR	
03/06/2019 00:00	19.48	19.48	19.41	19.463	10	EUR	
04/06/2019 00:00	19.364	19.659	19.364	19.659	0	EUR	
05/06/2019 00:00	19.656	19.656	19.469	19.469	45	EUR	
06/06/2019 00:00	19.387	19.404	19.387	19.404	0	EUR	
07/06/2019 00:00	19.535	19.633	19.535	19.633	0	EUR	
10/06/2019 00:00	19.771	19.8	19.617	19.672	1025	EUR	
11/06/2019 00:00	19.722	19.871	19.722	19.871	0	EUR	
12/06/2019 00:00	19.951	20.12	19.951	20.12	500	EUR	
13/06/2019 00:00	19.89	20.106	19.89	20.106	73	EUR	
14/06/2019 00:00	20.005	20.054	20.005	20.054	0	EUR	
17/06/2019 00:00	19.895	19.895	19.878	19.878	113	EUR	
18/06/2019 00:00	19.794	20.298	19.794	20.257	172	EUR	
19/06/2019 00:00	20.301	20.301	20.15	20.15	0	EUR	
20/06/2019 00:00	20.566	20.566	20.561	20.561	0	EUR	
21/06/2019 00:00	20.661	20.661	20.603	20.603	506	EUR	
24/06/2019 00:00	20.652	20.652	20.529	20.529	75	EUR	
25/06/2019 00:00	20.454	20.454	20.437	20.437	0	EUR	
26/06/2019 00:00	20.234	20.4	20.234	20.343	167	EUR	
27/06/2019 00:00	20.482	20.482	20.149	20.149	0	EUR	
28/06/2019 00:00	20.403	20.5	20.382	20.382	10	EUR	
01/07/2019 00:00	20.65	20.65	20.65	20.65	0	EUR	
02/07/2019 00:00	20.615	20.615	20.417	20.417	0	EUR	
03/07/2019 00:00	20.43	20.517	20.4	20.517	24	EUR	
04/07/2019 00:00	20.781	21.145	20.781	21.145	0	EUR	
05/07/2019 00:00	21.019	21.092	21.019	21.092	0	EUR	
08/07/2019 00:00	21.048	21.318	21.048	21.318	145	EUR	
09/07/2019 00:00	21.207	21.22	21.149	21.22	4487	EUR	
10/07/2019 00:00	21.2	21.411	21.2	21.411	10	EUR	
11/07/2019 00:00	21.533	21.694	21.321	21.321	120	EUR	
12/07/2019 00:00	21.394	21.394	21.251	21.251	3714	EUR	
15/07/2019 00:00	21.363	21.363	21.303	21.303	125	EUR	
16/07/2019 00:00	21.208	21.274	21.208	21.274	180	EUR	
17/07/2019 00:00	21.193	21.318	21.193	21.251	577	EUR	
18/07/2019 00:00	21.042	21.298	21.042	21.238	207	EUR	
19/07/2019 00:00	21.379	21.379	21.158	21.158	3026	EUR	
22/07/2019 00:00	21.025	21.199	21.025	21.199	0	EUR	
23/07/2019 00:00	21.065	21.065	21.065	21.065	0	EUR	
24/07/2019 00:00	21.038	21.208	21.038	21.06	1285	EUR	
25/07/2019 00:00	21.081	21.081	20.799	20.799	2642	EUR	
26/07/2019 00:00	20.887	20.887	20.887	20.887	0	EUR	
29/07/2019 00:00	20.845	20.846	20.845	20.846	0	EUR	
30/07/2019 00:00	20.964	20.964	20.826	20.862	113	EUR	
31/07/2019 00:00	20.784	20.886	20.775	20.775	719	EUR	
01/08/2019 00:00	20.71	20.816	20.7	20.816	508	EUR	
02/08/2019 00:00	20.396	20.396	20.065	20.065	0	EUR	
05/08/2019 00:00	19.866	19.866	19.404	19.404	125	EUR	
06/08/2019 00:00	19.304	19.343	19.304	19.343	362	EUR	
07/08/2019 00:00	19.514	19.514	19.392	19.392	0	EUR	
08/08/2019 00:00	19.862	20.013	19.862	20.013	0	EUR	
09/08/2019 00:00	20.122	20.122	19.912	19.912	0	EUR	
12/08/2019 00:00	20.033	20.033	19.202	19.202	100	EUR	
13/08/2019 00:00	19.135	19.613	19.135	19.613	0	EUR	
14/08/2019 00:00	19.521	19.521	19.077	19.077	0	EUR	
15/08/2019 00:00	18.937	18.937	18.937	18.937	0	EUR	
16/08/2019 00:00	19.05	19.152	19.05	19.152	0	EUR	
19/08/2019 00:00	19.275	19.275	19.086	19.129	682	EUR	
20/08/2019 00:00	18.845	18.922	18.845	18.922	0	EUR	
21/08/2019 00:00	19.028	19.115	19.028	19.115	0	EUR	
22/08/2019 00:00	19.24	19.24	19.094	19.094	0	EUR	
23/08/2019 00:00	19.044	19.044	18.522	18.522	0	EUR	
26/08/2019 00:00	18.348	18.348	18.215	18.215	27	EUR	
27/08/2019 00:00	17.915	18.256	17.915	18.256	19	EUR	
28/08/2019 00:00	18.36	18.4	18.194	18.399	44	EUR	
29/08/2019 00:00	18.244	18.713	18.244	18.713	0	EUR	
30/08/2019 00:00	18.906	19.175	18.906	19.175	0	EUR	
02/09/2019 00:00	19.209	19.209	19.098	19.098	1007	EUR	
03/09/2019 00:00	18.946	18.956	18.946	18.956	0	EUR	
04/09/2019 00:00	19.119	19.189	19.119	19.189	0	EUR	
05/09/2019 00:00	19.476	19.601	19.476	19.576	50	EUR	
06/09/2019 00:00	19.56	19.745	19.56	19.745	7	EUR	
09/09/2019 00:00	19.899	19.899	19.8	19.809	341	EUR	
10/09/2019 00:00	19.66	19.66	19.5	19.58	30	EUR	
11/09/2019 00:00	19.749	19.953	19.749	19.953	0	EUR	
12/09/2019 00:00	19.948	20.25	19.948	19.951	90	EUR	
13/09/2019 00:00	19.98	20	19.98	20	0	EUR	
16/09/2019 00:00	19.749	20.032	19.749	20.032	0	EUR	
17/09/2019 00:00	19.973	19.973	19.922	19.922	0	EUR	
18/09/2019 00:00	20.128	20.128	19.962	19.962	0	EUR	
19/09/2019 00:00	19.85	19.987	19.85	19.987	0	EUR	
20/09/2019 00:00	19.791	19.83	19.791	19.83	0	EUR	
23/09/2019 00:00	19.968	19.968	19.827	19.827	0	EUR	
24/09/2019 00:00	19.903	19.903	19.712	19.712	0	EUR	
25/09/2019 00:00	19.694	19.694	19.666	19.666	2087	EUR	
26/09/2019 00:00	19.795	19.911	19.795	19.911	0	EUR	
27/09/2019 00:00	19.998	20.075	19.998	20.075	0	EUR	
30/09/2019 00:00	20.002	20.002	19.893	19.893	3050	EUR	
01/10/2019 00:00	20.005	20.005	19.79	19.79	24	EUR	
02/10/2019 00:00	19.708	19.708	19.297	19.297	4255	EUR	
03/10/2019 00:00	19.413	19.415	19.413	19.415	0	EUR	
04/10/2019 00:00	19.554	19.763	19.554	19.763	0	EUR	
07/10/2019 00:00	19.804	19.804	19.753	19.753	0	EUR	
08/10/2019 00:00	19.653	19.653	19.585	19.585	0	EUR	
09/10/2019 00:00	19.356	19.424	19.356	19.424	0	EUR	
10/10/2019 00:00	20	20	19.519	19.664	200	EUR	
11/10/2019 00:00	19.731	20.047	19.731	20.047	0	EUR	
14/10/2019 00:00	19.935	19.935	19.935	19.935	0	EUR	
15/10/2019 00:00	20.033	20.05	19.973	19.973	50	EUR	
16/10/2019 00:00	19.799	19.801	19.799	19.801	0	EUR	
17/10/2019 00:00	19.98	19.98	19.858	19.858	4591	EUR	
18/10/2019 00:00	19.828	19.908	19.828	19.908	0	EUR	
21/10/2019 00:00	19.899	19.899	19.727	19.727	50	EUR	
22/10/2019 00:00	19.96	20.276	19.96	20.276	174	EUR	
23/10/2019 00:00	20.144	20.351	20.144	20.351	486	EUR	
24/10/2019 00:00	20.476	20.618	20.434	20.618	56	EUR	
25/10/2019 00:00	20.475	20.65	20.475	20.65	0	EUR	
28/10/2019 00:00	20.799	20.799	20.799	20.799	0	EUR	
29/10/2019 00:00	20.82	20.82	20.659	20.659	200	EUR	
30/10/2019 00:00	20.608	20.608	20.371	20.371	0	EUR	
31/10/2019 00:00	20.622	20.622	20.222	20.222	12	EUR	
01/11/2019 00:00	20.359	20.608	20.3	20.608	1000	EUR	
04/11/2019 00:00	20.822	20.836	20.726	20.726	347	EUR	
05/11/2019 00:00	20.757	20.835	20.749	20.749	5	EUR	
06/11/2019 00:00	20.576	20.576	20.576	20.576	5	EUR	
07/11/2019 00:00	20.674	20.674	20.58	20.636	33	EUR	
08/11/2019 00:00	20.602	20.602	20.424	20.424	0	EUR	
11/11/2019 00:00	20.008	20.222	20.008	20.222	0	EUR	
12/11/2019 00:00	20.349	20.349	19.96	19.96	200	EUR	
13/11/2019 00:00	19.821	19.821	19.707	19.707	0	EUR	
14/11/2019 00:00	19.754	19.754	19.707	19.724	50	EUR	
15/11/2019 00:00	19.855	20.07	19.855	20.07	0	EUR	
18/11/2019 00:00	20.148	20.148	19.909	19.909	36	EUR	
19/11/2019 00:00	19.8	19.8	19.583	19.583	0	EUR	
20/11/2019 00:00	19.554	19.679	19.54	19.679	40	EUR	
21/11/2019 00:00	19.508	19.722	19.508	19.572	75	EUR	
22/11/2019 00:00	19.907	20.007	19.907	20.007	0	EUR	
25/11/2019 00:00	20.168	20.168	19.985	19.985	0	EUR	
26/11/2019 00:00	19.57	19.57	19.498	19.498	3108	EUR	
27/11/2019 00:00	19.788	19.788	19.432	19.432	656	EUR	
28/11/2019 00:00	19.54	19.546	19.54	19.546	403	EUR	
29/11/2019 00:00	19.763	19.763	19.635	19.635	480	EUR	
02/12/2019 00:00	19.749	19.749	19.715	19.715	130	EUR	
03/12/2019 00:00	19.781	19.781	19.61	19.61	0	EUR	
04/12/2019 00:00	19.587	19.909	19.587	19.909	0	EUR	
05/12/2019 00:00	19.971	20.044	19.971	20.044	0	EUR	
06/12/2019 00:00	20.137	20.258	20.137	20.258	0	EUR	
09/12/2019 00:00	20.349	20.351	20.349	20.351	0	EUR	
10/12/2019 00:00	20.306	20.306	20.258	20.258	0	EUR	
11/12/2019 00:00	20.378	20.461	20.378	20.461	1985	EUR	
12/12/2019 00:00	20.699	20.699	20.699	20.699	0	EUR	
13/12/2019 00:00	20.853	20.859	20.776	20.776	95	EUR	
16/12/2019 00:00	20.902	21.117	20.902	21.117	1228	EUR	
17/12/2019 00:00	20.976	20.976	20.964	20.964	1267	EUR	
18/12/2019 00:00	21.034	21.241	21.034	21.129	70	EUR	
19/12/2019 00:00	21.357	21.42	21.357	21.42	0	EUR	
20/12/2019 00:00	21.431	21.504	21.431	21.504	744	EUR	
23/12/2019 00:00	21.457	21.485	21.457	21.485	30	EUR	
24/12/2019 00:00	21.507	21.507	21.507	21.507	0	EUR	
27/12/2019 00:00	21.7	21.7	21.573	21.573	90	EUR	
30/12/2019 00:00	21.544	21.544	21.501	21.501	0	EUR	
31/12/2019 00:00	21.375	21.375	21.345	21.345	0	EUR	
02/01/2020 00:00	21.485	21.687	21.485	21.687	0	EUR	
03/01/2020 00:00	21.872	21.872	21.664	21.814	5	EUR	
06/01/2020 00:00	21.711	21.711	21.61	21.679	227	EUR	
07/01/2020 00:00	21.623	21.623	21.525	21.525	300	EUR	
08/01/2020 00:00	21.538	21.618	21.538	21.618	0	EUR	
09/01/2020 00:00	21.862	21.862	21.615	21.615	0	EUR	
10/01/2020 00:00	21.61	21.71	21.61	21.644	427	EUR	
13/01/2020 00:00	21.593	21.593	21.479	21.479	46	EUR	
14/01/2020 00:00	21.431	21.431	21.398	21.398	0	EUR	
15/01/2020 00:00	21.521	21.521	21.123	21.123	670	EUR	
16/01/2020 00:00	21.241	21.29	21.241	21.275	117	EUR	
17/01/2020 00:00	21.359	21.511	21.359	21.511	0	EUR	
20/01/2020 00:00	21.703	21.703	21.697	21.697	0	EUR	
21/01/2020 00:00	21.414	21.453	21.414	21.453	5225	EUR	
22/01/2020 00:00	21.565	21.565	21.501	21.501	2449	EUR	
23/01/2020 00:00	21.502	21.502	21.502	21.502	0	EUR	
24/01/2020 00:00	21.812	21.812	21.562	21.562	0	EUR	
27/01/2020 00:00	21.085	21.085	20.823	20.823	0	EUR	
28/01/2020 00:00	20.881	21.038	20.881	21.038	120	EUR	
29/01/2020 00:00	21.243	21.29	21.137	21.137	27	EUR	
30/01/2020 00:00	20.691	20.691	20.556	20.556	523	EUR	
31/01/2020 00:00	20.835	20.835	20.287	20.287	25	EUR	
03/02/2020 00:00	20.457	20.769	20.457	20.769	0	EUR	
04/02/2020 00:00	20.997	21.094	20.997	21.094	0	EUR	
05/02/2020 00:00	20.917	21.521	20.917	21.485	2839	EUR	
06/02/2020 00:00	21.379	21.379	21.149	21.149	75	EUR	
07/02/2020 00:00	20.908	20.908	20.798	20.798	0	EUR	
10/02/2020 00:00	20.665	20.665	20.665	20.665	0	EUR	
11/02/2020 00:00	20.714	20.95	20.714	20.95	3530	EUR	
12/02/2020 00:00	21.062	21.208	21.062	21.176	92	EUR	
13/02/2020 00:00	21.068	21.193	21.068	21.193	6062	EUR	
14/02/2020 00:00	21.258	21.258	21.137	21.137	0	EUR	
17/02/2020 00:00	21.247	21.25	21.242	21.249	4251	EUR	
18/02/2020 00:00	21.01	21.087	20.953	20.994	8592	EUR	
19/02/2020 00:00	21.192	21.218	21.178	21.178	1849	EUR	
20/02/2020 00:00	21.189	21.189	20.854	20.854	0	EUR	
21/02/2020 00:00	20.632	20.632	20.632	20.632	0	EUR	
24/02/2020 00:00	20.111	20.111	19.681	19.681	0	EUR	
25/02/2020 00:00	19.91	19.91	19.462	19.462	0	EUR	
26/02/2020 00:00	19.334	19.362	19.334	19.362	8957	EUR	
27/02/2020 00:00	18.825	18.825	18.43	18.43	27	EUR	
