date	ouv	haut	bas	clot	vol	devise	
15/05/2019 00:00	19.522	19.522	19.522	19.522	0	EUR	
17/05/2019 00:00	19.696	19.696	19.696	19.696	0	EUR	
20/05/2019 00:00	19.696	19.696	19.514	19.514	0	EUR	
21/05/2019 00:00	19.592	19.648	19.592	19.634	194	EUR	
22/05/2019 00:00	19.608	19.626	19.608	19.624	101	EUR	
23/05/2019 00:00	19.49	19.49	19.332	19.332	40	EUR	
24/05/2019 00:00	19.42	19.452	19.42	19.452	0	EUR	
27/05/2019 00:00	19.584	19.584	19.518	19.518	1029	EUR	
28/05/2019 00:00	19.554	19.554	19.438	19.466	1695	EUR	
29/05/2019 00:00	19.326	19.326	19.196	19.196	2871	EUR	
30/05/2019 00:00	19.276	19.34	19.276	19.292	2035	EUR	
31/05/2019 00:00	19.102	19.128	19.042	19.128	553	EUR	
03/06/2019 00:00	19.018	19.194	19.018	19.194	677	EUR	
04/06/2019 00:00	19.068	19.348	19.068	19.302	203	EUR	
05/06/2019 00:00	19.322	19.406	19.322	19.36	984	EUR	
06/06/2019 00:00	19.392	19.484	19.35	19.378	3452	EUR	
07/06/2019 00:00	19.47	19.552	19.47	19.552	382	EUR	
10/06/2019 00:00	19.64	19.64	19.628	19.628	1048	EUR	
11/06/2019 00:00	19.672	19.804	19.672	19.748	1978	EUR	
12/06/2019 00:00	19.642	19.684	19.64	19.684	118	EUR	
13/06/2019 00:00	19.652	19.742	19.65	19.704	111	EUR	
14/06/2019 00:00	19.638	19.64	19.6	19.638	548	EUR	
17/06/2019 00:00	19.668	19.67	19.6	19.614	1087	EUR	
18/06/2019 00:00	19.618	19.938	19.58	19.938	1510	EUR	
19/06/2019 00:00	19.954	19.966	19.936	19.95	401	EUR	
20/06/2019 00:00	20.085	20.105	20.035	20.035	284	EUR	
21/06/2019 00:00	20.075	20.075	19.962	19.962	1165	EUR	
24/06/2019 00:00	19.966	19.966	19.918	19.918	325	EUR	
25/06/2019 00:00	19.852	19.892	19.852	19.892	110	EUR	
26/06/2019 00:00	19.84	19.916	19.84	19.86	617	EUR	
27/06/2019 00:00	19.862	19.9	19.822	19.822	5	EUR	
28/06/2019 00:00	19.852	19.954	19.852	19.954	581	EUR	
01/07/2019 00:00	20.48	20.48	20.12	20.12	650	EUR	
02/07/2019 00:00	20.175	20.215	20.14	20.195	4174	EUR	
03/07/2019 00:00	20.26	20.375	20.26	20.365	141	EUR	
04/07/2019 00:00	20.39	20.415	20.38	20.385	2026	EUR	
05/07/2019 00:00	20.38	20.38	20.25	20.3	7606	EUR	
08/07/2019 00:00	20.205	20.26	20.205	20.26	3602	EUR	
09/07/2019 00:00	20.155	20.155	20.065	20.13	291	EUR	
10/07/2019 00:00	20.13	20.21	20.085	20.1	767	EUR	
11/07/2019 00:00	20.165	20.165	20.06	20.06	713	EUR	
12/07/2019 00:00	20.065	20.125	20.06	20.06	4310	EUR	
15/07/2019 00:00	20.11	20.14	20.04	20.11	8097	EUR	
16/07/2019 00:00	20.125	20.18	20.125	20.18	172	EUR	
17/07/2019 00:00	20.19	20.2	20.095	20.095	368	EUR	
18/07/2019 00:00	19.998	20.09	19.998	20.06	983	EUR	
19/07/2019 00:00	20.155	20.175	20.05	20.075	5962	EUR	
22/07/2019 00:00	20.06	20.13	20.06	20.105	20844	EUR	
23/07/2019 00:00	20.4	20.4	20.22	20.305	221	EUR	
24/07/2019 00:00	20.315	20.6	20.305	20.32	4718	EUR	
25/07/2019 00:00	20.42	20.495	20.14	20.2	1989	EUR	
26/07/2019 00:00	20.4	20.505	20.25	20.275	2470	EUR	
29/07/2019 00:00	20.235	20.36	20.235	20.3	3077	EUR	
30/07/2019 00:00	20.2	20.2	20	20	1550	EUR	
31/07/2019 00:00	19.984	20.06	19.978	20.02	2360	EUR	
01/08/2019 00:00	19.976	20.12	19.976	20.12	290	EUR	
02/08/2019 00:00	19.756	19.796	19.6	19.602	1195	EUR	
05/08/2019 00:00	19.444	19.448	19.12	19.142	4803	EUR	
06/08/2019 00:00	19.154	19.27	19.04	19.04	2761	EUR	
07/08/2019 00:00	19.1	19.25	19	19.098	778	EUR	
08/08/2019 00:00	19.298	19.464	19.298	19.464	0	EUR	
09/08/2019 00:00	19.406	19.406	19.292	19.292	5	EUR	
12/08/2019 00:00	19.404	19.404	19.23	19.23	6823	EUR	
13/08/2019 00:00	19.168	19.412	19.08	19.328	1788	EUR	
14/08/2019 00:00	19.326	19.326	19.014	19.024	1105	EUR	
15/08/2019 00:00	19.064	19.064	18.8	18.972	1320	EUR	
16/08/2019 00:00	19.03	19.218	19.03	19.218	202	EUR	
19/08/2019 00:00	19.382	19.426	19.334	19.426	181	EUR	
20/08/2019 00:00	19.446	19.49	19.304	19.304	932	EUR	
21/08/2019 00:00	19.378	19.562	19.378	19.524	252	EUR	
22/08/2019 00:00	19.462	19.506	19.448	19.448	100	EUR	
23/08/2019 00:00	19.536	19.536	19.286	19.286	70	EUR	
26/08/2019 00:00	19.242	19.33	19.242	19.326	109	EUR	
27/08/2019 00:00	19.262	19.428	19.26	19.428	81	EUR	
28/08/2019 00:00	19.66	19.66	19.296	19.402	10507	EUR	
29/08/2019 00:00	19.378	19.616	19.378	19.6	132	EUR	
30/08/2019 00:00	19.612	19.996	19.612	19.776	23962	EUR	
02/09/2019 00:00	19.81	19.848	19.78	19.802	355	EUR	
03/09/2019 00:00	19.752	19.784	19.71	19.758	207	EUR	
04/09/2019 00:00	19.902	19.97	19.902	19.912	18859	EUR	
05/09/2019 00:00	20.075	20.085	20.04	20.085	14	EUR	
06/09/2019 00:00	20.075	20.14	20.075	20.14	425	EUR	
09/09/2019 00:00	20.205	20.205	20.09	20.095	115	EUR	
10/09/2019 00:00	20.075	20.12	20.075	20.12	3	EUR	
11/09/2019 00:00	20.21	20.295	20.21	20.295	133	EUR	
12/09/2019 00:00	20.335	20.47	20.3	20.355	47986	EUR	
13/09/2019 00:00	20.34	20.385	20.07	20.385	672	EUR	
16/09/2019 00:00	20.34	20.345	20.29	20.29	739	EUR	
17/09/2019 00:00	20.24	20.275	20.2	20.255	403	EUR	
18/09/2019 00:00	20.26	20.305	20.26	20.27	342	EUR	
19/09/2019 00:00	20.27	20.405	20.26	20.405	673	EUR	
20/09/2019 00:00	20.48	20.48	20.45	20.455	1592	EUR	
23/09/2019 00:00	20.435	20.435	20.24	20.305	806	EUR	
24/09/2019 00:00	20.375	20.375	20.315	20.315	77	EUR	
25/09/2019 00:00	20.21	20.21	20.045	20.165	831	EUR	
26/09/2019 00:00	20.155	20.345	20.155	20.315	166	EUR	
27/09/2019 00:00	20.41	20.41	20.395	20.41	34	EUR	
30/09/2019 00:00	20.4	20.51	20.4	20.475	683	EUR	
01/10/2019 00:00	20.545	20.545	20.16	20.16	5383	EUR	
02/10/2019 00:00	20.17	20.17	19.634	19.634	1012	EUR	
03/10/2019 00:00	19.654	19.68	19.5	19.636	2971	EUR	
04/10/2019 00:00	19.68	19.806	19.678	19.806	762	EUR	
07/10/2019 00:00	19.8	19.95	19.8	19.95	90	EUR	
08/10/2019 00:00	19.948	19.958	19.71	19.71	262	EUR	
09/10/2019 00:00	19.698	19.846	19.698	19.81	573	EUR	
10/10/2019 00:00	19.752	19.974	19.752	19.974	14	EUR	
11/10/2019 00:00	20.035	20.38	20.035	20.38	715	EUR	
14/10/2019 00:00	20.6	20.6	20.18	20.295	323	EUR	
15/10/2019 00:00	20.42	20.54	20.37	20.525	253	EUR	
16/10/2019 00:00	20.505	20.515	20.43	20.465	2928	EUR	
17/10/2019 00:00	20.425	20.625	20.425	20.445	1297	EUR	
18/10/2019 00:00	20.435	20.435	20.35	20.39	382	EUR	
21/10/2019 00:00	20.45	20.515	20.45	20.515	511	EUR	
22/10/2019 00:00	20.51	20.55	20.44	20.55	810	EUR	
23/10/2019 00:00	20.465	20.565	20.465	20.565	400	EUR	
24/10/2019 00:00	20.625	20.73	20.62	20.685	3817	EUR	
25/10/2019 00:00	20.735	20.735	20.605	20.72	2594	EUR	
28/10/2019 00:00	21.03	21.03	20.72	20.77	10784	EUR	
29/10/2019 00:00	20.765	20.765	20.67	20.735	3857	EUR	
30/10/2019 00:00	20.73	20.76	20.73	20.76	265	EUR	
31/10/2019 00:00	20.755	20.79	20.655	20.655	1004	EUR	
01/11/2019 00:00	20.72	20.83	20.72	20.785	148	EUR	
04/11/2019 00:00	20.895	21.015	20.895	21.015	594	EUR	
05/11/2019 00:00	21.015	21.055	21.015	21.04	54	EUR	
06/11/2019 00:00	21.05	21.1	21.02	21.095	396	EUR	
07/11/2019 00:00	21.16	21.195	21.14	21.165	845	EUR	
08/11/2019 00:00	21.105	21.115	21.08	21.115	988	EUR	
11/11/2019 00:00	21.07	21.095	21	21.095	1287	EUR	
12/11/2019 00:00	21.165	21.19	21.13	21.19	1032	EUR	
13/11/2019 00:00	21.15	21.15	21.01	21.145	370	EUR	
14/11/2019 00:00	21.13	21.13	21.065	21.07	337	EUR	
15/11/2019 00:00	21.145	21.16	21.105	21.14	853	EUR	
18/11/2019 00:00	21.18	21.19	21.105	21.14	1440	EUR	
19/11/2019 00:00	21.175	21.3	21.105	21.105	1280	EUR	
20/11/2019 00:00	21	21.015	20.95	21.015	2953	EUR	
21/11/2019 00:00	20.89	20.965	20.88	20.94	855	EUR	
22/11/2019 00:00	21.005	21.075	21.005	21.04	337	EUR	
25/11/2019 00:00	21.185	21.26	21.185	21.255	137	EUR	
26/11/2019 00:00	21.24	21.265	21.215	21.265	72	EUR	
27/11/2019 00:00	21.34	21.37	21.335	21.345	573	EUR	
28/11/2019 00:00	21.3	21.315	21.295	21.295	778	EUR	
29/11/2019 00:00	21.23	21.295	21.215	21.215	252	EUR	
02/12/2019 00:00	21.28	21.33	20.87	20.87	1790	EUR	
03/12/2019 00:00	20.955	20.955	20.7	20.735	1606	EUR	
04/12/2019 00:00	20.78	20.975	20.78	20.96	315	EUR	
05/12/2019 00:00	21.025	21.1	20.93	20.93	401	EUR	
06/12/2019 00:00	21.02	21.2	20.98	21.2	428	EUR	
09/12/2019 00:00	21.205	21.205	21.14	21.14	364	EUR	
10/12/2019 00:00	21.09	21.105	20.925	21.105	1180	EUR	
11/12/2019 00:00	21.13	21.17	20.99	21.125	763	EUR	
12/12/2019 00:00	21.19	21.235	21.1	21.235	3124	EUR	
13/12/2019 00:00	21.455	21.455	21.43	21.43	303	EUR	
16/12/2019 00:00	21.565	21.745	21.565	21.745	953	EUR	
17/12/2019 00:00	21.67	21.67	21.58	21.58	1308	EUR	
18/12/2019 00:00	21.605	21.685	21.605	21.61	368	EUR	
19/12/2019 00:00	21.625	21.625	21.55	21.615	332	EUR	
20/12/2019 00:00	21.66	21.78	21.655	21.77	2062	EUR	
23/12/2019 00:00	21.795	21.83	21.77	21.83	1351	EUR	
24/12/2019 00:00	21.85	21.86	21.715	21.805	367	EUR	
27/12/2019 00:00	21.835	22.055	21.835	21.855	11508	EUR	
30/12/2019 00:00	21.84	21.84	21.64	21.64	8052	EUR	
31/12/2019 00:00	21.695	21.75	21.67	21.67	270	EUR	
02/01/2020 00:00	21.815	21.93	21.81	21.88	3353	EUR	
03/01/2020 00:00	21.72	21.785	21.68	21.785	468	EUR	
06/01/2020 00:00	21.68	21.73	21.515	21.71	2011	EUR	
07/01/2020 00:00	21.815	21.865	21.7	21.755	1237	EUR	
08/01/2020 00:00	21.695	21.82	21.68	21.79	1530	EUR	
09/01/2020 00:00	21.925	21.96	21.85	21.86	958	EUR	
10/01/2020 00:00	21.925	21.925	21.825	21.825	1128	EUR	
13/01/2020 00:00	21.84	21.84	21.75	21.775	731	EUR	
14/01/2020 00:00	21.795	21.835	21.705	21.835	851	EUR	
15/01/2020 00:00	21.88	21.88	21.795	21.86	157	EUR	
16/01/2020 00:00	21.89	21.9	21.86	21.9	919	EUR	
17/01/2020 00:00	22	22.125	22	22.115	340	EUR	
20/01/2020 00:00	22.11	22.13	22.09	22.1	2689	EUR	
