date	ouv	haut	bas	clot	vol	devise	
15/05/2019 00:00	19.091	19.091	19.091	19.091	0	EUR	
17/05/2019 00:00	19.371	19.371	19.371	19.371	0	EUR	
20/05/2019 00:00	19.213	19.25	18.91	18.91	475	EUR	
21/05/2019 00:00	18.992	19.065	18.992	19.047	2294	EUR	
22/05/2019 00:00	19.014	19.025	19.014	19.025	0	EUR	
23/05/2019 00:00	18.843	18.843	18.69	18.69	505	EUR	
24/05/2019 00:00	18.702	18.763	18.652	18.652	523	EUR	
27/05/2019 00:00	18.635	18.656	18.635	18.636	478	EUR	
28/05/2019 00:00	18.707	18.764	18.676	18.719	3219	EUR	
29/05/2019 00:00	18.508	18.52	18.474	18.475	4234	EUR	
30/05/2019 00:00	18.562	18.562	18.536	18.536	188	EUR	
31/05/2019 00:00	18.379	18.379	18.27	18.369	1585	EUR	
03/06/2019 00:00	18.114	18.116	18.02	18.031	1802	EUR	
04/06/2019 00:00	17.697	18.103	17.697	18.103	1203	EUR	
05/06/2019 00:00	18.198	18.298	18.198	18.266	2027	EUR	
06/06/2019 00:00	18.369	18.428	18.321	18.321	2050	EUR	
07/06/2019 00:00	18.466	18.7	18.432	18.678	3345	EUR	
10/06/2019 00:00	18.772	19.071	18.772	19.071	1072	EUR	
11/06/2019 00:00	19.003	19.136	18.976	18.976	322	EUR	
12/06/2019 00:00	18.833	18.877	18.82	18.877	101	EUR	
13/06/2019 00:00	18.856	19.055	18.856	18.992	2023	EUR	
14/06/2019 00:00	18.935	19.036	18.935	19.036	659	EUR	
17/06/2019 00:00	19.091	19.145	19.091	19.145	497	EUR	
18/06/2019 00:00	19.152	19.6	19.107	19.551	1112	EUR	
19/06/2019 00:00	19.523	19.523	19.4	19.425	1180	EUR	
20/06/2019 00:00	19.613	19.678	19.526	19.526	737	EUR	
21/06/2019 00:00	19.531	19.581	19.499	19.565	1161	EUR	
24/06/2019 00:00	19.462	19.462	19.405	19.405	3914	EUR	
25/06/2019 00:00	19.327	19.362	19.218	19.218	710	EUR	
26/06/2019 00:00	19.13	19.323	19.117	19.188	679	EUR	
27/06/2019 00:00	19.294	19.294	19.178	19.178	1769	EUR	
28/06/2019 00:00	19.23	19.347	19.201	19.221	11408	EUR	
01/07/2019 00:00	20.197	20.218	19.624	19.624	4690	EUR	
02/07/2019 00:00	19.663	19.684	19.595	19.626	1124	EUR	
03/07/2019 00:00	19.805	19.858	19.787	19.858	5734	EUR	
04/07/2019 00:00	19.906	19.956	19.9	19.949	996	EUR	
05/07/2019 00:00	19.957	19.957	19.8	19.878	1957	EUR	
08/07/2019 00:00	20.4	20.4	19.807	19.807	851	EUR	
09/07/2019 00:00	19.712	19.874	19.69	19.874	2297	EUR	
10/07/2019 00:00	20.57	20.57	19.885	19.985	9629	EUR	
11/07/2019 00:00	20.078	20.109	20.078	20.109	108	EUR	
12/07/2019 00:00	20.029	20.118	20.029	20.106	929	EUR	
15/07/2019 00:00	20.704	20.704	20.123	20.157	5066	EUR	
16/07/2019 00:00	20.226	20.367	20.218	20.237	1240	EUR	
17/07/2019 00:00	20.233	20.237	20.124	20.124	2624	EUR	
18/07/2019 00:00	19.908	20.085	19.9	19.94	2695	EUR	
19/07/2019 00:00	20.136	20.229	20.13	20.13	5004	EUR	
22/07/2019 00:00	19.966	20.112	19.966	20.112	1482	EUR	
23/07/2019 00:00	20.224	20.32	20.224	20.264	1928	EUR	
