date	ouv	haut	bas	clot	vol	devise	
17/05/2019 00:00	19.669	19.669	19.669	19.669	0	EUR	
20/05/2019 00:00	19.585	19.585	19.422	19.458	100	EUR	
21/05/2019 00:00	19.483	19.558	19.483	19.558	224	EUR	
22/05/2019 00:00	19.53	19.53	19.5	19.521	2550	EUR	
23/05/2019 00:00	19.385	19.385	19.258	19.364	3052	EUR	
24/05/2019 00:00	19.335	19.335	19.296	19.296	0	EUR	
27/05/2019 00:00	19.367	19.367	19.339	19.34	5598	EUR	
28/05/2019 00:00	19.359	19.359	19.295	19.295	170	EUR	
29/05/2019 00:00	19.034	19.034	18.958	18.958	55	EUR	
30/05/2019 00:00	19.041	19.045	19.009	19.009	20	EUR	
31/05/2019 00:00	18.863	18.887	18.863	18.887	0	EUR	
03/06/2019 00:00	18.708	18.813	18.708	18.813	10	EUR	
04/06/2019 00:00	18.756	19.023	18.756	19.023	77	EUR	
05/06/2019 00:00	19.155	19.208	19.155	19.208	250	EUR	
06/06/2019 00:00	19.283	19.86	19.283	19.345	52	EUR	
07/06/2019 00:00	19.437	19.616	19.437	19.616	0	EUR	
10/06/2019 00:00	19.657	19.781	19.657	19.781	492	EUR	
11/06/2019 00:00	19.743	19.743	19.712	19.712	300	EUR	
12/06/2019 00:00	19.636	19.648	19.623	19.648	2550	EUR	
13/06/2019 00:00	19.633	19.71	19.633	19.688	50	EUR	
14/06/2019 00:00	19.695	19.695	19.692	19.692	0	EUR	
17/06/2019 00:00	19.742	19.742	19.72	19.734	162	EUR	
18/06/2019 00:00	19.707	19.929	19.707	19.929	0	EUR	
19/06/2019 00:00	19.926	19.926	19.895	19.895	713	EUR	
20/06/2019 00:00	20.079	20.142	20.054	20.054	12	EUR	
21/06/2019 00:00	20.117	20.168	20.117	20.168	0	EUR	
24/06/2019 00:00	20.157	20.157	20.131	20.131	4605	EUR	
25/06/2019 00:00	20.049	20.049	19.999	19.999	100	EUR	
26/06/2019 00:00	19.901	19.915	19.901	19.915	3	EUR	
27/06/2019 00:00	19.954	19.954	19.946	19.946	0	EUR	
28/06/2019 00:00	19.966	19.99	19.966	19.99	28347	EUR	
01/07/2019 00:00	20.264	20.275	20.196	20.196	2725	EUR	
