date	ouv	haut	bas	clot	vol	devise	
15/05/2019 00:00	19.407	19.407	19.407	19.407	0	EUR	
17/05/2019 00:00	19.679	19.679	19.679	19.679	0	EUR	
20/05/2019 00:00	19.7	19.7	19.413	19.448	719	EUR	
21/05/2019 00:00	19.526	19.601	19.526	19.573	982	EUR	
22/05/2019 00:00	19.564	19.565	19.509	19.55	5269	EUR	
23/05/2019 00:00	19.45	19.45	19.272	19.272	0	EUR	
24/05/2019 00:00	19.315	19.369	19.244	19.244	270	EUR	
27/05/2019 00:00	19.312	19.315	19.295	19.3	535	EUR	
28/05/2019 00:00	19.361	19.361	19.292	19.292	18393	EUR	
29/05/2019 00:00	19.084	19.087	19.052	19.052	3336	EUR	
30/05/2019 00:00	19.134	19.144	19.085	19.085	1876	EUR	
31/05/2019 00:00	18.948	18.948	18.89	18.943	490	EUR	
03/06/2019 00:00	18.739	18.819	18.708	18.777	978	EUR	
04/06/2019 00:00	18.617	18.939	18.617	18.939	1019	EUR	
05/06/2019 00:00	19.038	19.108	19	19.108	1376	EUR	
06/06/2019 00:00	19.227	19.8	19.14	19.175	5729	EUR	
07/06/2019 00:00	19.33	19.391	19.21	19.375	5940	EUR	
10/06/2019 00:00	19.477	19.588	19.477	19.584	8649	EUR	
11/06/2019 00:00	19.547	19.638	19.513	19.513	6517	EUR	
12/06/2019 00:00	19.412	19.97	19.4	19.449	8340	EUR	
13/06/2019 00:00	19.469	19.588	19.469	19.561	1175	EUR	
14/06/2019 00:00	19.569	19.661	19.569	19.661	730	EUR	
17/06/2019 00:00	19.731	19.731	19.66	19.686	2318	EUR	
18/06/2019 00:00	19.662	20.346	19.627	19.957	3385	EUR	
19/06/2019 00:00	19.958	19.958	19.889	19.89	5536	EUR	
20/06/2019 00:00	19.969	19.996	19.949	19.949	1075	EUR	
21/06/2019 00:00	19.991	20.007	19.897	19.986	17527	EUR	
24/06/2019 00:00	19.867	19.867	19.797	19.813	7930	EUR	
25/06/2019 00:00	19.737	19.779	19.709	19.709	1095	EUR	
26/06/2019 00:00	19.66	19.721	19.63	19.636	2027	EUR	
27/06/2019 00:00	19.708	19.708	19.6	19.684	2726	EUR	
28/06/2019 00:00	19.711	20.272	19.68	19.711	6234	EUR	
01/07/2019 00:00	19.6	20.647	19.6	20.034	21245	EUR	
02/07/2019 00:00	20.055	20.077	20.02	20.031	3750	EUR	
03/07/2019 00:00	20.176	20.274	20.175	20.274	2537	EUR	
04/07/2019 00:00	20.599	20.599	20.3	20.334	2746	EUR	
05/07/2019 00:00	20.349	20.349	20.276	20.313	6870	EUR	
08/07/2019 00:00	20.699	20.699	20.27	20.29	18467	EUR	
09/07/2019 00:00	20.221	20.303	20.22	20.293	10219	EUR	
10/07/2019 00:00	20.699	20.699	20.25	20.328	1343	EUR	
11/07/2019 00:00	20.362	20.4	20.35	20.388	1381	EUR	
12/07/2019 00:00	20.399	20.503	20.399	20.439	7863	EUR	
15/07/2019 00:00	21.027	21.027	20.462	20.462	15897	EUR	
16/07/2019 00:00	20.499	20.586	20.499	20.542	2288	EUR	
17/07/2019 00:00	21.039	21.039	20.404	20.404	2354	EUR	
18/07/2019 00:00	20.259	20.39	20.237	20.284	6526	EUR	
19/07/2019 00:00	20.415	20.518	20.4	20.442	4071	EUR	
22/07/2019 00:00	20.316	20.819	20.31	20.364	14115	EUR	
23/07/2019 00:00	20.457	20.563	20.442	20.519	2064	EUR	
24/07/2019 00:00	20.819	20.819	20.58	20.636	5406	EUR	
25/07/2019 00:00	21.149	21.149	20.6	20.66	22382	EUR	
26/07/2019 00:00	21.149	21.149	20.69	20.74	8034	EUR	
29/07/2019 00:00	21.338	21.338	20.74	20.757	30193	EUR	
30/07/2019 00:00	20.775	21.287	20.63	20.693	29655	EUR	
31/07/2019 00:00	20.688	21.271	20.688	20.72	4422	EUR	
01/08/2019 00:00	20.642	20.833	20.642	20.831	7446	EUR	
02/08/2019 00:00	20.359	20.457	20.11	20.135	11370	EUR	
05/08/2019 00:00	20.5	20.56	19.58	19.63	9180	EUR	
06/08/2019 00:00	19.43	19.678	19.391	19.51	8709	EUR	
07/08/2019 00:00	19.642	19.8	19.3	19.503	5020	EUR	
08/08/2019 00:00	19.77	19.92	19.73	19.905	1447	EUR	
09/08/2019 00:00	20.05	20.056	19.842	19.842	1132	EUR	
12/08/2019 00:00	20.03	20.171	19.722	19.722	4967	EUR	
13/08/2019 00:00	20.24	20.24	19.629	19.974	1999	EUR	
14/08/2019 00:00	20.06	20.078	19.701	19.824	1884	EUR	
15/08/2019 00:00	19.686	19.712	19.41	19.598	2442	EUR	
16/08/2019 00:00	19.74	19.941	19.74	19.941	675	EUR	
19/08/2019 00:00	20.172	20.22	20.106	20.22	29300	EUR	
20/08/2019 00:00	20.255	20.28	20.13	20.178	4710	EUR	
21/08/2019 00:00	20.142	20.233	20.139	20.213	965	EUR	
22/08/2019 00:00	20.225	20.313	20.052	20.052	6745	EUR	
23/08/2019 00:00	20.33	20.33	19.79	19.79	8094	EUR	
26/08/2019 00:00	19.809	20.199	19.7	20.199	7464	EUR	
27/08/2019 00:00	19.854	20.059	19.82	19.9	11655	EUR	
28/08/2019 00:00	19.85	19.962	19.769	19.962	15879	EUR	
29/08/2019 00:00	20.06	20.283	19.98	20.283	16263	EUR	
30/08/2019 00:00	20.48	20.48	20.373	20.389	7900	EUR	
02/09/2019 00:00	20.82	20.82	20.376	20.384	1900	EUR	
03/09/2019 00:00	20.468	20.468	20.267	20.315	1737	EUR	
04/09/2019 00:00	20.468	20.482	20.361	20.392	865	EUR	
05/09/2019 00:00	20.679	20.711	20.554	20.698	3634	EUR	
06/09/2019 00:00	21.3	21.34	20.601	20.708	2469	EUR	
09/09/2019 00:00	20.806	21.381	20.702	20.707	2889	EUR	
10/09/2019 00:00	21.214	21.214	20.562	20.562	1756	EUR	
11/09/2019 00:00	20.696	20.87	20.696	20.867	759	EUR	
12/09/2019 00:00	20.946	21.45	20.917	20.932	5492	EUR	
13/09/2019 00:00	20.894	20.931	20.827	20.931	1115	EUR	
16/09/2019 00:00	21.2	21.2	20.721	20.907	21565	EUR	
17/09/2019 00:00	21.419	21.447	20.82	20.82	1779	EUR	
18/09/2019 00:00	21.373	21.373	20.791	20.798	4900	EUR	
