date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	45.515	45.56	44.12	44.12	419653	EUR	
08/11/2012 00:00	44.49	44.5	43.99	44.13	62727	EUR	
09/11/2012 00:00	44.18	44.26	43.475	44.165	57471	EUR	
12/11/2012 00:00	44.06	44.15	43.905	44.04	4711	EUR	
13/11/2012 00:00	43.755	44.405	43.63	44.36	9402	EUR	
14/11/2012 00:00	44.24	44.375	43.925	44.005	2512	EUR	
15/11/2012 00:00	43.7	43.925	43.7	43.815	15998	EUR	
16/11/2012 00:00	43.765	43.805	43.22	43.22	28676	EUR	
19/11/2012 00:00	43.635	44.42	43.555	44.42	16981	EUR	
20/11/2012 00:00	44.23	44.695	44.2	44.66	68387	EUR	
21/11/2012 00:00	44.495	44.9	44.45	44.825	192984	EUR	
22/11/2012 00:00	44.935	45.145	44.935	45.145	61909	EUR	
23/11/2012 00:00	45.22	45.475	45	45.475	7827	EUR	
26/11/2012 00:00	45.315	45.355	45.225	45.27	11147	EUR	
27/11/2012 00:00	45.64	45.64	45.2	45.235	93331	EUR	
28/11/2012 00:00	45.165	45.33	44.955	45.33	184707	EUR	
29/11/2012 00:00	45.61	45.965	45.61	45.965	136413	EUR	
30/11/2012 00:00	45.915	46.155	45.89	45.89	35571	EUR	
03/12/2012 00:00	46.01	46.455	45.95	45.95	13513	EUR	
04/12/2012 00:00	46.02	46.3	46.02	46.115	4626	EUR	
05/12/2012 00:00	46.44	46.465	46	46.155	85236	EUR	
06/12/2012 00:00	46.245	46.64	46.18	46.385	170682	EUR	
07/12/2012 00:00	46.49	46.55	46.145	46.315	104289	EUR	
10/12/2012 00:00	46.02	46.24	45.735	46.24	42841	EUR	
11/12/2012 00:00	46.285	46.74	46.285	46.705	23904	EUR	
12/12/2012 00:00	46.78	46.875	46.71	46.83	137750	EUR	
13/12/2012 00:00	46.955	46.955	46.67	46.765	187301	EUR	
14/12/2012 00:00	46.835	46.91	46.695	46.835	186136	EUR	
17/12/2012 00:00	46.83	46.91	46.555	46.835	99681	EUR	
18/12/2012 00:00	46.995	47.15	46.9	47.11	54614	EUR	
19/12/2012 00:00	47.245	47.395	47.17	47.295	56661	EUR	
20/12/2012 00:00	47.11	47.43	47.11	47.345	46801	EUR	
21/12/2012 00:00	47.16	47.245	47	47.225	29264	EUR	
27/12/2012 00:00	47.365	47.555	47.34	47.42	85228	EUR	
