date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	25.475	25.475	24.63	24.63	45178	EUR	
08/11/2012 00:00	24.76	24.78	24.38	24.47	22995	EUR	
09/11/2012 00:00	24.53	24.58	24.14	24.445	38344	EUR	
12/11/2012 00:00	24.43	24.61	24.345	24.405	135968	EUR	
13/11/2012 00:00	24.245	24.76	24.145	24.74	22725	EUR	
14/11/2012 00:00	24.64	24.83	24.505	24.585	5299	EUR	
15/11/2012 00:00	24.38	24.59	24.38	24.43	7045	EUR	
16/11/2012 00:00	24.43	24.49	23.93	23.94	41190	EUR	
19/11/2012 00:00	24.195	24.735	24.165	24.675	22692	EUR	
20/11/2012 00:00	24.565	24.705	24.44	24.63	40185	EUR	
21/11/2012 00:00	24.565	24.89	24.515	24.82	9493	EUR	
22/11/2012 00:00	24.89	25.135	24.89	25.09	39626	EUR	
23/11/2012 00:00	25.15	25.275	24.945	25.255	33978	EUR	
26/11/2012 00:00	25.155	25.23	25.055	25.09	15029	EUR	
27/11/2012 00:00	25.325	25.325	24.895	24.99	77340	EUR	
28/11/2012 00:00	24.94	24.99	24.71	24.95	30920	EUR	
29/11/2012 00:00	25.115	25.675	25.115	25.675	32517	EUR	
30/11/2012 00:00	25.605	25.75	25.49	25.49	23570	EUR	
03/12/2012 00:00	25.645	26	25.595	25.595	25813	EUR	
04/12/2012 00:00	25.695	25.97	25.64	25.92	18523	EUR	
05/12/2012 00:00	25.885	26.19	25.55	25.55	47974	EUR	
06/12/2012 00:00	25.495	25.995	25.36	25.59	53502	EUR	
07/12/2012 00:00	25.315	25.64	25.16	25.585	42653	EUR	
10/12/2012 00:00	25	25.045	24.43	25.045	13692	EUR	
11/12/2012 00:00	24.605	25.2	24.605	25.155	43527	EUR	
12/12/2012 00:00	25.275	25.495	25.2	25.48	13873	EUR	
13/12/2012 00:00	25.38	25.745	25.38	25.64	17679	EUR	
14/12/2012 00:00	25.695	25.72	25.575	25.72	13459	EUR	
17/12/2012 00:00	25.985	25.985	25.57	25.67	44146	EUR	
18/12/2012 00:00	25.98	26.095	25.895	26.095	51226	EUR	
19/12/2012 00:00	26.45	26.45	26.18	26.375	7898	EUR	
20/12/2012 00:00	26.215	26.64	26.215	26.64	61231	EUR	
21/12/2012 00:00	26.5	26.54	26.215	26.54	32733	EUR	
27/12/2012 00:00	26.72	26.8	26.25	26.54	75593	EUR	
28/12/2012 00:00	26.345	26.63	26.3	26.47	49695	EUR	
02/01/2013 00:00	26.86	27.305	26.75	27.285	53794	EUR	
03/01/2013 00:00	27.025	27.325	27.025	27.315	20271	EUR	
04/01/2013 00:00	27.23	27.435	27.13	27.435	32287	EUR	
07/01/2013 00:00	27.205	27.59	27.205	27.285	19899	EUR	
08/01/2013 00:00	27.18	27.565	27.18	27.405	22184	EUR	
09/01/2013 00:00	27.61	28	27.58	28	42249	EUR	
10/01/2013 00:00	28.375	28.375	27.84	28.22	15896	EUR	
11/01/2013 00:00	28.305	28.305	28.025	28.235	147034	EUR	
14/01/2013 00:00	28.415	28.55	27.9	28.105	48155	EUR	
15/01/2013 00:00	28	28.23	27.945	28.19	24549	EUR	
16/01/2013 00:00	28.45	28.45	27.77	28.005	12140	EUR	
17/01/2013 00:00	28.27	28.42	27.99	28.42	43353	EUR	
18/01/2013 00:00	28.78	28.78	28.25	28.355	27645	EUR	
21/01/2013 00:00	28.42	28.475	28.245	28.475	7469	EUR	
22/01/2013 00:00	28.495	28.675	28.15	28.575	28034	EUR	
23/01/2013 00:00	28.575	28.605	28.36	28.415	96828	EUR	
24/01/2013 00:00	28.26	28.67	28.23	28.65	20527	EUR	
25/01/2013 00:00	28.6	28.835	28.53	28.655	32435	EUR	
28/01/2013 00:00	28.72	28.93	28.66	28.875	33147	EUR	
29/01/2013 00:00	29.21	29.21	28.71	28.895	37940	EUR	
30/01/2013 00:00	28.44	28.555	27.925	27.93	34854	EUR	
31/01/2013 00:00	27.69	28.26	27.61	28.09	44553	EUR	
01/02/2013 00:00	27.86	28.365	27.67	27.975	51964	EUR	
04/02/2013 00:00	27.775	27.79	26.7	26.7	17693	EUR	
05/02/2013 00:00	26.5	27.085	26.5	26.945	14280	EUR	
06/02/2013 00:00	26.935	27.07	26.5	26.83	7170	EUR	
07/02/2013 00:00	26.825	27.1	26.465	26.465	12025	EUR	
08/02/2013 00:00	26.525	26.88	26.495	26.825	5491	EUR	
11/02/2013 00:00	26.74	26.95	26.695	26.71	7168	EUR	
12/02/2013 00:00	26.55	26.905	26.46	26.905	45036	EUR	
