date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	198.09	198.95	195.71	195.71	4681	EUR	
08/11/2012 00:00	194.63	196	194.27	194.6	4085	EUR	
09/11/2012 00:00	193.22	194.83	192.63	194.83	5874	EUR	
12/11/2012 00:00	194.37	194.59	193.76	194.19	7822	EUR	
13/11/2012 00:00	191.16	191.48	189.98	191.45	25718	EUR	
14/11/2012 00:00	192.91	193.48	190.92	190.92	3461	EUR	
15/11/2012 00:00	189.81	189.94	188.4	188.72	18288	EUR	
16/11/2012 00:00	189.65	190.06	189.05	189.26	3988	EUR	
19/11/2012 00:00	190.41	192.67	190.41	192.67	5005	EUR	
20/11/2012 00:00	189.42	190.14	189	189.35	6882	EUR	
21/11/2012 00:00	192.24	193.04	191.54	191.81	2572	EUR	
22/11/2012 00:00	193.25	193.66	192.95	193.45	2328	EUR	
23/11/2012 00:00	194.08	194.39	193.72	194.02	555	EUR	
26/11/2012 00:00	192.25	193	192.25	192.47	562	EUR	
27/11/2012 00:00	191.66	192.38	191.14	192.04	2274	EUR	
28/11/2012 00:00	190.15	190.91	189	190.6	3464	EUR	
29/11/2012 00:00	191.5	192.39	190.99	191.27	6670	EUR	
30/11/2012 00:00	192.73	194.05	192.05	192.05	978	EUR	
03/12/2012 00:00	190.32	191.17	189.6	189.6	2454	EUR	
04/12/2012 00:00	190.3	192.36	190.3	191.46	4287	EUR	
05/12/2012 00:00	195.38	197.67	195.18	197.09	5256	EUR	
06/12/2012 00:00	196.41	198.33	195.98	198.05	501	EUR	
07/12/2012 00:00	199.21	201.16	199.21	200.8	2004	EUR	
10/12/2012 00:00	201.75	203.72	200.85	203.58	3169	EUR	
11/12/2012 00:00	200.45	201.83	200.39	201.83	1105	EUR	
12/12/2012 00:00	203.02	203.7	202.49	202.49	11086	EUR	
13/12/2012 00:00	201.34	201.66	200.62	200.8	3077	EUR	
14/12/2012 00:00	203	203.55	203	203.13	277	EUR	
17/12/2012 00:00	203.05	203.27	202	203.27	6254	EUR	
18/12/2012 00:00	202.44	202.94	201.58	202.63	5837	EUR	
19/12/2012 00:00	202.88	203.19	202.11	203.02	572	EUR	
20/12/2012 00:00	202.84	203.55	202	203.55	1216	EUR	
21/12/2012 00:00	200.88	201.23	200	200.84	4158	EUR	
24/12/2012 00:00	202.04	202.04	201.41	201.41	126	EUR	
27/12/2012 00:00	203.22	203.22	201.65	202.35	1200	EUR	
28/12/2012 00:00	203	203.5	202.16	202.95	3314	EUR	
31/12/2012 00:00	205.48	205.48	204.25	204.25	173	EUR	
02/01/2013 00:00	208.88	214.92	208.88	214.92	3947	EUR	
