date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	123.18	123.18	120.49	120.49	1300	EUR	
08/11/2012 00:00	120.92	121.43	120.57	120.57	3140	EUR	
09/11/2012 00:00	119.84	120.45	119.63	120.45	3093	EUR	
12/11/2012 00:00	120.13	120.41	119.91	119.91	4109	EUR	
13/11/2012 00:00	119.57	120.55	119.4	120.55	845	EUR	
14/11/2012 00:00	120.04	120.11	118.74	118.74	2241	EUR	
15/11/2012 00:00	117.9	117.9	116.99	116.99	2808	EUR	
16/11/2012 00:00	117.35	117.74	117.01	117.01	12628	EUR	
19/11/2012 00:00	118.46	119.39	118.46	119.23	2473	EUR	
20/11/2012 00:00	119.62	119.82	119.56	119.82	2963	EUR	
21/11/2012 00:00	120.13	120.17	119.84	119.84	1056	EUR	
22/11/2012 00:00	120.09	120.12	119.79	119.79	95	EUR	
23/11/2012 00:00	119.66	119.91	119.48	119.91	3257	EUR	
26/11/2012 00:00	119.71	119.81	119.42	119.42	2730	EUR	
27/11/2012 00:00	120.08	120.25	120.02	120.24	546	EUR	
28/11/2012 00:00	119.84	119.99	119.48	119.84	7967	EUR	
29/11/2012 00:00	120.65	121.07	120.65	120.94	3100	EUR	
30/11/2012 00:00	120.36	120.94	120.08	120.08	6722	EUR	
03/12/2012 00:00	120.39	120.87	119.88	119.88	8626	EUR	
04/12/2012 00:00	119.36	119.52	119.14	119.14	177	EUR	
05/12/2012 00:00	119.31	119.47	118.64	119.32	106	EUR	
06/12/2012 00:00	119.55	120.78	119.47	120.78	8271	EUR	
07/12/2012 00:00	121.19	122.07	121.19	121.19	2488	EUR	
10/12/2012 00:00	121.51	121.96	121.45	121.77	28684	EUR	
11/12/2012 00:00	121.54	122.22	121.54	122.22	25049	EUR	
12/12/2012 00:00	122.1	122.3	121.59	121.59	2424	EUR	
13/12/2012 00:00	121.22	121.28	120.71	120.71	4078	EUR	
14/12/2012 00:00	120.5	120.57	119.39	119.39	1271	EUR	
17/12/2012 00:00	119.86	119.98	119.5	119.98	11876	EUR	
18/12/2012 00:00	121.04	121.04	120.55	120.77	9177	EUR	
19/12/2012 00:00	121.33	121.33	120.74	120.89	5020	EUR	
20/12/2012 00:00	120.07	120.55	120.07	120.42	1489	EUR	
21/12/2012 00:00	120.24	120.43	119.49	120.03	7482	EUR	
24/12/2012 00:00	119.68	119.77	119.61	119.61	1693	EUR	
27/12/2012 00:00	120.25	120.25	118.03	118.28	5700	EUR	
28/12/2012 00:00	118.65	119.18	118.21	118.38	592	EUR	
31/12/2012 00:00	117.33	117.33	117.03	117.25	1825	EUR	
02/01/2013 00:00	119.5	122.03	119.5	122.03	6962	EUR	
03/01/2013 00:00	122.91	123.89	122.91	123.89	10932	EUR	
04/01/2013 00:00	125.79	125.79	124.41	124.57	5312	EUR	
07/01/2013 00:00	124.71	124.71	123.76	123.79	1967	EUR	
08/01/2013 00:00	123.4	123.9	123.3	123.52	904	EUR	
09/01/2013 00:00	123.84	124.7	123.84	124.52	3309	EUR	
10/01/2013 00:00	124.5	124.65	123.09	123.09	2591	EUR	
