date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	132.45	132.57	129.81	129.81	546	EUR	
08/11/2012 00:00	130.44	130.44	129.9	129.9	1035	EUR	
09/11/2012 00:00	129.56	129.92	128.54	129.83	745	EUR	
12/11/2012 00:00	129.55	129.71	129.4	129.4	1173	EUR	
13/11/2012 00:00	128.98	130	128.98	129.89	136	EUR	
14/11/2012 00:00	129.45	129.51	128.13	128.13	3196	EUR	
15/11/2012 00:00	127.49	127.59	126.72	126.72	854	EUR	
16/11/2012 00:00	127.12	127.46	126.54	126.54	626	EUR	
19/11/2012 00:00	127.97	128.95	127.85	128.95	1853	EUR	
20/11/2012 00:00	129	129.38	129	129.28	3219	EUR	
21/11/2012 00:00	129.54	129.66	129.41	129.47	93	EUR	
22/11/2012 00:00	129.82	129.83	129.73	129.73	239	EUR	
23/11/2012 00:00	129.65	130.07	129.65	130.07	176	EUR	
26/11/2012 00:00	129.69	129.69	129.52	129.52	91	EUR	
27/11/2012 00:00	130.01	130.08	130.01	130.08	0	EUR	
28/11/2012 00:00	129.76	129.88	129.18	129.88	21389	EUR	
29/11/2012 00:00	130.71	131.24	130.71	131.09	1189	EUR	
30/11/2012 00:00	130.74	131.4	130.74	130.93	2676	EUR	
03/12/2012 00:00	130.68	131.41	130.68	130.78	8972	EUR	
04/12/2012 00:00	129.95	130.09	129.89	129.89	244	EUR	
05/12/2012 00:00	130.5	130.5	130.16	130.16	507	EUR	
06/12/2012 00:00	130.5	131.61	130.5	131.32	1900	EUR	
07/12/2012 00:00	131.55	132.42	131.55	131.8	5288	EUR	
10/12/2012 00:00	132.53	132.53	131.85	132.44	2073	EUR	
11/12/2012 00:00	132.15	132.8	132.15	132.8	440	EUR	
12/12/2012 00:00	132.75	132.88	132.48	132.48	7398	EUR	
13/12/2012 00:00	132.15	132.2	131.65	131.66	5846	EUR	
14/12/2012 00:00	131.47	131.47	130.77	130.77	3024	EUR	
17/12/2012 00:00	130.85	131.02	130.85	131.02	100	EUR	
18/12/2012 00:00	131.91	131.94	131.46	131.82	5561	EUR	
19/12/2012 00:00	132.54	132.54	132.19	132.19	43	EUR	
20/12/2012 00:00	131.86	132.11	131.67	132.04	342	EUR	
21/12/2012 00:00	131.58	131.89	131.02	131.61	492	EUR	
24/12/2012 00:00	131.84	131.84	131.56	131.56	100	EUR	
27/12/2012 00:00	131.16	131.16	130.56	130.56	2774	EUR	
28/12/2012 00:00	130.84	131	130.25	131	6806	EUR	
31/12/2012 00:00	129.83	130.25	129.64	129.64	212	EUR	
02/01/2013 00:00	132.29	134.17	132.29	134.17	1140	EUR	
03/01/2013 00:00	135.31	135.74	134.83	135.6	2521	EUR	
04/01/2013 00:00	135.37	135.92	135.37	135.92	1859	EUR	
07/01/2013 00:00	135.82	136.09	135.06	135.06	4039	EUR	
08/01/2013 00:00	134.6	135.1	134.6	134.67	72	EUR	
09/01/2013 00:00	135.43	136.38	135.43	135.7	1091	EUR	
10/01/2013 00:00	136.18	136.18	134.78	134.78	15661	EUR	
11/01/2013 00:00	134.83	134.83	133.92	133.92	934	EUR	
14/01/2013 00:00	134.38	134.45	133.84	133.97	2550	EUR	
15/01/2013 00:00	133.75	134.01	133.75	134.01	0	EUR	
16/01/2013 00:00	134.32	134.38	134.08	134.38	3007	EUR	
17/01/2013 00:00	134.24	134.66	133.87	134.66	1700	EUR	
18/01/2013 00:00	134.6	134.91	134.6	134.91	0	EUR	
21/01/2013 00:00	135.13	135.44	135.13	135.44	35	EUR	
22/01/2013 00:00	134.98	135.16	134.91	135.16	40	EUR	
23/01/2013 00:00	135.72	135.8	135.59	135.59	2735	EUR	
24/01/2013 00:00	135.48	136.05	135.35	135.9	429	EUR	
25/01/2013 00:00	135.21	135.36	134.72	135.1	7995	EUR	
28/01/2013 00:00	135.21	135.68	135.13	135.13	685	EUR	
29/01/2013 00:00	135.58	135.66	135.28	135.66	87	EUR	
30/01/2013 00:00	135.91	135.91	134.82	134.82	82	EUR	
31/01/2013 00:00	134.71	134.82	134.31	134.31	8061	EUR	
01/02/2013 00:00	134.19	134.4	133.87	133.87	7757	EUR	
04/02/2013 00:00	135.03	135.03	134	134	232	EUR	
05/02/2013 00:00	134.48	134.68	134.2	134.2	3729	EUR	
06/02/2013 00:00	134.9	134.9	134.63	134.66	65	EUR	
07/02/2013 00:00	134.8	135.14	134.58	135.04	734	EUR	
08/02/2013 00:00	135.72	136.83	135.72	136.43	2149	EUR	
11/02/2013 00:00	136.75	136.82	136.2	136.2	17330	EUR	
12/02/2013 00:00	136.13	136.17	136.04	136.07	980	EUR	
13/02/2013 00:00	136.28	136.63	136.18	136.48	5989	EUR	
14/02/2013 00:00	136.73	137.38	136.68	137.17	913	EUR	
15/02/2013 00:00	136.97	137.31	136.95	136.96	842	EUR	
18/02/2013 00:00	137.41	137.41	136.75	136.95	277	EUR	
19/02/2013 00:00	136.85	137.99	136.85	137.58	4345	EUR	
20/02/2013 00:00	137.83	137.9	137.62	137.62	1279	EUR	
21/02/2013 00:00	137.31	137.31	136.6	136.6	463	EUR	
22/02/2013 00:00	137.13	137.99	137.13	137.91	1305	EUR	
