date	ouv	haut	bas	clot	vol	devise	
21/01/2014 00:00	116.03	116.03	115.3	115.3	317	EUR	
22/01/2014 00:00	115.67	115.96	115.67	115.96	951	EUR	
23/01/2014 00:00	114.26	114.26	114.26	114.26	0	EUR	
24/01/2014 00:00	111.81	111.81	111.81	111.81	0	EUR	
27/01/2014 00:00	112.1	112.1	110.68	110.68	113	EUR	
28/01/2014 00:00	111.49	111.49	111.1	111.1	36	EUR	
29/01/2014 00:00	110.7	110.7	110.7	110.7	0	EUR	
30/01/2014 00:00	110.99	112.5	110.99	112.5	235	EUR	
31/01/2014 00:00	111.37	111.85	111.37	111.85	2	EUR	
03/02/2014 00:00	111.8	111.8	109.52	109.52	30	EUR	
04/02/2014 00:00	109.07	109.75	109.07	109.75	1268	EUR	
05/02/2014 00:00	108.14	108.14	107.46	107.46	0	EUR	
06/02/2014 00:00	108.79	108.79	108.79	108.79	0	EUR	
07/02/2014 00:00	108.54	109.01	108.54	109.01	0	EUR	
10/02/2014 00:00	109.04	109.11	108.65	108.65	872	EUR	
11/02/2014 00:00	109.61	109.8	109.55	109.59	2433	EUR	
12/02/2014 00:00	110.61	111.79	110.61	111.07	213	EUR	
13/02/2014 00:00	110.66	111.2	110.17	111.2	443	EUR	
14/02/2014 00:00	111.34	112.04	111.34	111.69	152	EUR	
17/02/2014 00:00	112.21	112.29	112.09	112.09	421	EUR	
18/02/2014 00:00	112.07	112.83	111.74	112.83	521	EUR	
19/02/2014 00:00	112.54	114	112.31	112.8	248	EUR	
20/02/2014 00:00	111.49	112.83	111.49	112.72	1539	EUR	
21/02/2014 00:00	113.56	113.7	113.39	113.7	1106	EUR	
24/02/2014 00:00	113.3	115.3	113.3	114.42	201	EUR	
25/02/2014 00:00	114.02	114.56	113.87	114.5	469	EUR	
26/02/2014 00:00	114.85	115.7	114.75	115.7	143	EUR	
27/02/2014 00:00	115.75	115.79	114.97	115.4	801	EUR	
28/02/2014 00:00	115.72	115.72	114.92	115.25	322	EUR	
03/03/2014 00:00	115.2	115.2	113.4	113.4	313	EUR	
04/03/2014 00:00	115.03	117.48	115.03	117.48	1242	EUR	
05/03/2014 00:00	117.46	118.99	117.13	117.13	524	EUR	
06/03/2014 00:00	117.76	117.82	116.45	116.45	10235	EUR	
07/03/2014 00:00	116.19	116.29	115.63	115.7	177	EUR	
10/03/2014 00:00	115.4	115.91	115.34	115.34	179	EUR	
11/03/2014 00:00	115.8	116.33	115.04	115.04	213	EUR	
12/03/2014 00:00	114.43	114.43	113.97	114.02	316	EUR	
13/03/2014 00:00	114.49	114.56	113.33	113.33	124	EUR	
14/03/2014 00:00	113.7	113.7	113.13	113.44	11765	EUR	
17/03/2014 00:00	113.9	114.69	113.9	114.69	250	EUR	
18/03/2014 00:00	114.04	115.53	113.83	115.35	115	EUR	
19/03/2014 00:00	115.71	115.79	115.38	115.38	459	EUR	
20/03/2014 00:00	115.49	116.45	115.49	116.21	341	EUR	
21/03/2014 00:00	116.76	117.29	116.71	117.14	28915	EUR	
24/03/2014 00:00	115.94	115.94	115.72	115.89	1863	EUR	
25/03/2014 00:00	113.84	115.46	113.84	113.89	599	EUR	
26/03/2014 00:00	114.1	115.19	113.55	113.55	15622	EUR	
27/03/2014 00:00	112.32	112.75	111.5	112.12	14559	EUR	
28/03/2014 00:00	112.52	113.49	112.15	113.15	21150	EUR	
31/03/2014 00:00	112.6	113	112.2	113	10553	EUR	
01/04/2014 00:00	113.88	114.9	113.84	114.27	192	EUR	
02/04/2014 00:00	115.33	117.47	115.27	115.71	5562	EUR	
03/04/2014 00:00	115.75	116.16	115.4	115.4	6160	EUR	
04/04/2014 00:00	115.6	116.08	114.37	114.37	230	EUR	
07/04/2014 00:00	112.31	112.46	111.02	111.02	12642	EUR	
08/04/2014 00:00	110.84	111.02	109.54	111.02	12730	EUR	
09/04/2014 00:00	110.95	111.16	110.95	111.01	125	EUR	
10/04/2014 00:00	112.02	112.04	109.6	109.6	2103	EUR	
11/04/2014 00:00	108.65	108.65	107.84	108.33	13559	EUR	
14/04/2014 00:00	108.3	108.89	107.32	108.89	8767	EUR	
15/04/2014 00:00	108.07	109.29	106.82	107.37	16406	EUR	
16/04/2014 00:00	108.93	109.97	108.93	108.99	2029	EUR	
17/04/2014 00:00	108.93	110.21	108.51	109.87	5566	EUR	
22/04/2014 00:00	110.9	111.95	110.67	111.95	603	EUR	
23/04/2014 00:00	111.98	111.98	111.28	111.5	10964	EUR	
24/04/2014 00:00	111.72	112.77	110.53	111.19	1571	EUR	
25/04/2014 00:00	110.67	110.67	109.03	109.03	2959	EUR	
28/04/2014 00:00	108.85	108.95	107.77	107.77	2342	EUR	
29/04/2014 00:00	108.23	109.34	108.18	108.73	4275	EUR	
30/04/2014 00:00	108.24	108.24	107.6	107.62	223	EUR	
02/05/2014 00:00	109	109.31	108.92	109.31	532	EUR	
05/05/2014 00:00	108.67	108.78	107.75	108.49	269	EUR	
06/05/2014 00:00	108.61	108.61	107.34	107.34	750	EUR	
07/05/2014 00:00	106.25	106.46	105.73	105.73	111	EUR	
08/05/2014 00:00	106.54	107.85	106.54	107.85	2537	EUR	
09/05/2014 00:00	106.29	107.12	106.18	106.61	456	EUR	
12/05/2014 00:00	107.81	110.04	107.79	110.04	105	EUR	
13/05/2014 00:00	110.36	111.76	110.06	110.06	2644	EUR	
14/05/2014 00:00	109.36	109.36	108.34	108.56	4609	EUR	
15/05/2014 00:00	107.73	108.1	105.81	105.81	86	EUR	
16/05/2014 00:00	106.81	107.21	106.69	106.86	152	EUR	
19/05/2014 00:00	108.33	108.33	107.42	108.13	1351	EUR	
20/05/2014 00:00	108.74	108.94	107.63	107.66	9537	EUR	
21/05/2014 00:00	107.08	108.45	107.08	107.66	187	EUR	
22/05/2014 00:00	108.59	109.46	108.27	109.46	3555	EUR	
23/05/2014 00:00	109.2	110.04	109.2	110.04	59	EUR	
26/05/2014 00:00	110.92	111.33	110.92	111.23	3333	EUR	
27/05/2014 00:00	111.04	112.2	111.04	112.2	3333	EUR	
28/05/2014 00:00	112.55	113.8	111.55	112.05	778	EUR	
29/05/2014 00:00	112.15	112.23	111.92	112.23	53	EUR	
30/05/2014 00:00	112.06	112.21	111.54	111.54	97	EUR	
02/06/2014 00:00	111.77	111.77	110.38	111.17	1654	EUR	
03/06/2014 00:00	110.91	110.92	110.18	110.18	1923	EUR	
04/06/2014 00:00	110.54	111.13	110.16	111.13	3034	EUR	
05/06/2014 00:00	111.39	112.21	111.39	112.21	133	EUR	
06/06/2014 00:00	113.34	114.65	113.34	114.47	188	EUR	
09/06/2014 00:00	114.23	115.96	114.23	115.96	1682	EUR	
10/06/2014 00:00	115.55	116.88	115.5	115.74	1808	EUR	
11/06/2014 00:00	116.07	116.07	115.4	115.55	202	EUR	
12/06/2014 00:00	115.78	116.25	114.6	115.09	463	EUR	
13/06/2014 00:00	114.8	115.21	114.61	114.94	1100	EUR	
16/06/2014 00:00	114.67	114.83	114.29	114.29	1268	EUR	
17/06/2014 00:00	115.48	116.47	115.48	116.47	2123	EUR	
18/06/2014 00:00	116.24	116.3	115.82	115.82	1797	EUR	
