date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	5.783	5.783	5.613	5.613	12888	EUR	
08/11/2012 00:00	5.66	5.66	5.611	5.611	24996	EUR	
09/11/2012 00:00	5.608	5.641	5.563	5.641	12552	EUR	
12/11/2012 00:00	5.638	5.648	5.607	5.619	12660	EUR	
13/11/2012 00:00	5.586	5.65	5.567	5.65	2328	EUR	
14/11/2012 00:00	5.627	5.63	5.599	5.599	10392	EUR	
15/11/2012 00:00	5.572	5.59	5.568	5.568	12276	EUR	
16/11/2012 00:00	5.562	5.578	5.508	5.508	52193	EUR	
19/11/2012 00:00	5.566	5.663	5.566	5.663	29315	EUR	
20/11/2012 00:00	5.638	5.698	5.638	5.698	10854	EUR	
21/11/2012 00:00	5.688	5.725	5.688	5.721	204728	EUR	
22/11/2012 00:00	5.744	5.762	5.738	5.759	100834	EUR	
23/11/2012 00:00	5.768	5.809	5.75	5.809	31733	EUR	
26/11/2012 00:00	5.785	5.785	5.763	5.763	122398	EUR	
27/11/2012 00:00	5.816	5.816	5.752	5.767	50255	EUR	
28/11/2012 00:00	5.758	5.795	5.729	5.792	201524	EUR	
29/11/2012 00:00	5.825	5.878	5.825	5.878	73493	EUR	
30/11/2012 00:00	5.878	5.902	5.863	5.863	278004	EUR	
03/12/2012 00:00	5.875	5.922	5.875	5.878	104926	EUR	
04/12/2012 00:00	5.882	5.925	5.882	5.893	47597	EUR	
05/12/2012 00:00	5.933	5.939	5.903	5.912	15474	EUR	
06/12/2012 00:00	5.933	5.967	5.913	5.923	93304	EUR	
07/12/2012 00:00	5.951	5.951	5.923	5.936	55841	EUR	
10/12/2012 00:00	5.919	5.958	5.897	5.958	58397	EUR	
11/12/2012 00:00	5.955	6.012	5.947	5.997	329291	EUR	
12/12/2012 00:00	6.001	6.015	6	6.011	93736	EUR	
13/12/2012 00:00	6.02	6.02	5.985	5.995	104632	EUR	
14/12/2012 00:00	6.011	6.011	5.987	6.003	52529	EUR	
17/12/2012 00:00	6.003	6.008	5.98	6.008	808238	EUR	
18/12/2012 00:00	6.019	6.033	6	6.031	26837	EUR	
19/12/2012 00:00	6.042	6.058	6.036	6.052	8946	EUR	
20/12/2012 00:00	6.033	6.063	6.033	6.057	76288	EUR	
21/12/2012 00:00	6.04	6.055	6.012	6.053	256759	EUR	
