date	ouv	haut	bas	clot	vol	devise	
27/07/2015 00:00	8.685	8.685	8.685	8.685	2994	EUR	
28/07/2015 00:00	8.515	8.562	8.507	8.554	8034	EUR	
29/07/2015 00:00	8.61	8.61	8.605	8.605	0	EUR	
30/07/2015 00:00	8.657	8.657	8.624	8.624	0	EUR	
31/07/2015 00:00	8.63	8.669	8.63	8.669	342	EUR	
03/08/2015 00:00	8.67	8.759	8.665	8.759	24060	EUR	
04/08/2015 00:00	8.719	8.719	8.694	8.717	2604	EUR	
05/08/2015 00:00	8.755	8.845	8.755	8.84	860479	EUR	
06/08/2015 00:00	8.822	8.852	8.822	8.829	8286	EUR	
07/08/2015 00:00	8.794	8.814	8.759	8.759	46487	EUR	
10/08/2015 00:00	8.81	8.852	8.78	8.852	96634	EUR	
11/08/2015 00:00	8.817	8.817	8.682	8.682	2580	EUR	
12/08/2015 00:00	8.554	8.554	8.382	8.392	113314	EUR	
13/08/2015 00:00	8.517	8.527	8.467	8.47	690664	EUR	
14/08/2015 00:00	8.47	8.504	8.407	8.407	78712	EUR	
17/08/2015 00:00	8.5	8.5	8.34	8.424	182114	EUR	
18/08/2015 00:00	8.412	8.432	8.407	8.422	92608	EUR	
19/08/2015 00:00	8.37	8.37	8.269	8.269	152997	EUR	
20/08/2015 00:00	8.242	8.242	8.063	8.077	9804	EUR	
21/08/2015 00:00	7.953	8.05	7.818	7.818	13488	EUR	
24/08/2015 00:00	7.568	7.677	7.377	7.45	414076	EUR	
25/08/2015 00:00	7.517	7.758	7.493	7.755	373187	EUR	
26/08/2015 00:00	7.625	7.732	7.577	7.653	816806	EUR	
27/08/2015 00:00	7.827	7.917	7.827	7.907	86074	EUR	
28/08/2015 00:00	7.923	7.923	7.847	7.923	206186	EUR	
31/08/2015 00:00	7.872	7.883	7.838	7.882	134403	EUR	
01/09/2015 00:00	7.762	7.777	7.64	7.69	472839	EUR	
02/09/2015 00:00	7.705	7.785	7.705	7.707	95998	EUR	
03/09/2015 00:00	7.775	7.868	7.775	7.868	970451	EUR	
04/09/2015 00:00	7.785	7.785	7.65	7.662	50129	EUR	
07/09/2015 00:00	7.757	7.757	7.688	7.703	111304	EUR	
08/09/2015 00:00	7.78	7.823	7.78	7.788	58001	EUR	
09/09/2015 00:00	7.968	7.998	7.88	7.88	4818	EUR	
10/09/2015 00:00	7.805	7.833	7.748	7.763	43217	EUR	
11/09/2015 00:00	7.773	7.773	7.682	7.682	3624	EUR	
14/09/2015 00:00	7.688	7.758	7.652	7.652	58517	EUR	
15/09/2015 00:00	7.685	7.732	7.675	7.732	703066	EUR	
16/09/2015 00:00	7.805	7.838	7.805	7.835	45761	EUR	
17/09/2015 00:00	7.858	7.858	7.798	7.845	15738	EUR	
18/09/2015 00:00	7.753	7.767	7.567	7.6	153813	EUR	
21/09/2015 00:00	7.605	7.677	7.605	7.677	59681	EUR	
22/09/2015 00:00	7.658	7.658	7.428	7.428	385324	EUR	
23/09/2015 00:00	7.447	7.513	7.375	7.417	430305	EUR	
24/09/2015 00:00	7.405	7.435	7.235	7.275	1179888	EUR	
25/09/2015 00:00	7.395	7.535	7.395	7.502	691312	EUR	
28/09/2015 00:00	7.48	7.485	7.335	7.342	403846	EUR	
29/09/2015 00:00	7.232	7.358	7.232	7.303	116620	EUR	
30/09/2015 00:00	7.453	7.517	7.417	7.478	184316	EUR	
01/10/2015 00:00	7.558	7.572	7.398	7.398	113638	EUR	
02/10/2015 00:00	7.478	7.515	7.323	7.455	251491	EUR	
05/10/2015 00:00	7.578	7.693	7.578	7.693	210962	EUR	
06/10/2015 00:00	7.695	7.762	7.695	7.762	0	EUR	
07/10/2015 00:00	7.8	7.858	7.78	7.78	95212	EUR	
08/10/2015 00:00	7.775	7.785	7.728	7.78	177608	EUR	
09/10/2015 00:00	7.857	7.88	7.822	7.837	38201	EUR	
12/10/2015 00:00	7.843	7.843	7.8	7.833	6882	EUR	
13/10/2015 00:00	7.81	7.81	7.71	7.77	52961	EUR	
14/10/2015 00:00	7.695	7.782	7.695	7.698	3996	EUR	
15/10/2015 00:00	7.76	7.818	7.76	7.813	18096	EUR	
16/10/2015 00:00	7.848	7.888	7.848	7.878	15978	EUR	
19/10/2015 00:00	7.883	7.917	7.862	7.898	9360	EUR	
20/10/2015 00:00	7.895	7.895	7.832	7.857	3114	EUR	
21/10/2015 00:00	7.877	7.898	7.877	7.897	25199	EUR	
22/10/2015 00:00	7.865	8.097	7.865	8.097	115108	EUR	
23/10/2015 00:00	8.16	8.312	8.16	8.267	55859	EUR	
26/10/2015 00:00	8.24	8.264	8.215	8.242	62315	EUR	
27/10/2015 00:00	8.207	8.244	8.172	8.172	135795	EUR	
28/10/2015 00:00	8.205	8.28	8.19	8.259	247027	EUR	
29/10/2015 00:00	8.297	8.297	8.197	8.24	205424	EUR	
30/10/2015 00:00	8.264	8.267	8.202	8.262	88306	EUR	
02/11/2015 00:00	8.187	8.3	8.187	8.3	4716	EUR	
03/11/2015 00:00	8.282	8.322	8.265	8.322	185402	EUR	
04/11/2015 00:00	8.345	8.345	8.312	8.314	63161	EUR	
05/11/2015 00:00	8.317	8.387	8.317	8.335	184160	EUR	
06/11/2015 00:00	8.309	8.409	8.309	8.38	3948	EUR	
09/11/2015 00:00	8.372	8.372	8.262	8.262	26909	EUR	
10/11/2015 00:00	8.29	8.3	8.21	8.279	35333	EUR	
11/11/2015 00:00	8.299	8.365	8.299	8.335	117874	EUR	
12/11/2015 00:00	8.295	8.295	8.189	8.189	105730	EUR	
13/11/2015 00:00	8.172	8.195	8.089	8.134	143109	EUR	
16/11/2015 00:00	8.052	8.155	8.052	8.13	96652	EUR	
17/11/2015 00:00	8.187	8.349	8.187	8.349	87298	EUR	
18/11/2015 00:00	8.284	8.309	8.284	8.302	28805	EUR	
19/11/2015 00:00	8.36	8.404	8.344	8.344	25601	EUR	
20/11/2015 00:00	8.362	8.362	8.325	8.354	12288	EUR	
23/11/2015 00:00	8.329	8.342	8.289	8.342	66551	EUR	
