date	ouv	haut	bas	clot	vol	devise	
06/09/2016 00:00	102.89	103.71	102.89	103.71	0	USD	
07/09/2016 00:00	104.56	104.56	104.22	104.22	0	USD	
08/09/2016 00:00	103.69	103.69	103.62	103.62	0	USD	
09/09/2016 00:00	102.29	102.29	101.33	101.33	0	USD	
12/09/2016 00:00	99.65	99.96	99.65	99.96	0	USD	
13/09/2016 00:00	99.74	99.74	98.76	98.76	0	USD	
14/09/2016 00:00	98.86	98.86	98.77	98.77	0	USD	
15/09/2016 00:00	98.37	99.4	98.37	99.4	0	USD	
16/09/2016 00:00	99.41	99.41	98.69	98.69	0	USD	
19/09/2016 00:00	100.63	101.07	100.63	101.07	0	USD	
20/09/2016 00:00	100.9	101.11	100.9	101.11	0	USD	
21/09/2016 00:00	101.62	101.86	101.62	101.86	0	USD	
22/09/2016 00:00	103.13	103.49	103.13	103.49	0	USD	
23/09/2016 00:00	103.58	103.58	103.54	103.54	0	USD	
26/09/2016 00:00	102.36	102.36	102.24	102.24	0	USD	
27/09/2016 00:00	103.17	103.17	102.77	102.77	0	USD	
28/09/2016 00:00	102.98	102.98	102.59	102.59	0	USD	
29/09/2016 00:00	103.09	103.09	103.07	103.07	0	USD	
30/09/2016 00:00	101.64	102.43	101.64	102.43	0	USD	
03/10/2016 00:00	102.88	102.88	102.88	102.88	0	USD	
04/10/2016 00:00	103.07	103.3	103.07	103.3	0	USD	
05/10/2016 00:00	102.61	103.05	102.61	103.05	0	USD	
06/10/2016 00:00	103.11	103.11	102.47	102.47	0	USD	
07/10/2016 00:00	102.09	102.3	102.09	102.3	0	USD	
10/10/2016 00:00	102.78	103.14	102.78	103.14	0	USD	
11/10/2016 00:00	102.5	102.5	101.58	101.58	0	USD	
12/10/2016 00:00	101.62	101.68	101.62	101.68	0	USD	
13/10/2016 00:00	100.55	100.75	100.55	100.75	0	USD	
14/10/2016 00:00	101.18	101.18	101.18	101.18	0	USD	
17/10/2016 00:00	100.55	100.87	100.55	100.87	0	USD	
18/10/2016 00:00	101.92	102.53	101.92	102.53	0	USD	
19/10/2016 00:00	102.95	103.21	102.95	103.21	0	USD	
20/10/2016 00:00	103.27	103.27	103.23	103.23	0	USD	
21/10/2016 00:00	105.8	105.8	102.88	102.88	100	USD	
24/10/2016 00:00	103.59	103.59	103.48	103.48	0	USD	
25/10/2016 00:00	103.57	103.58	103.57	103.58	0	USD	
26/10/2016 00:00	103.1	103.1	102.93	102.93	0	USD	
27/10/2016 00:00	102.29	102.36	102.29	102.36	0	USD	
28/10/2016 00:00	101.82	102.34	101.82	102.34	0	USD	
31/10/2016 00:00	102.08	102.32	102.08	102.32	0	USD	
01/11/2016 00:00	103.16	103.16	101.46	101.46	0	USD	
02/11/2016 00:00	100.49	100.49	100.49	100.49	0	USD	
03/11/2016 00:00	100.68	100.68	100.5	100.5	0	USD	
04/11/2016 00:00	100	100	100	100	0	USD	
07/11/2016 00:00	102.61	102.61	102.61	102.61	0	USD	
08/11/2016 00:00	102.56	103.84	102.56	103.84	0	USD	
09/11/2016 00:00	100.21	101.78	100.21	101.78	0	USD	
10/11/2016 00:00	101.66	101.66	97.95	97.95	0	USD	
11/11/2016 00:00	96.57	96.57	94	94	0	USD	
14/11/2016 00:00	94.44	94.44	93.54	93.54	0	USD	
15/11/2016 00:00	95.23	95.23	95.23	95.23	0	USD	
16/11/2016 00:00	95.31	95.31	94.61	94.61	0	USD	
17/11/2016 00:00	95.09	95.54	95.09	95.54	0	USD	
18/11/2016 00:00	94.48	94.48	94.42	94.42	0	USD	
21/11/2016 00:00	94.47	94.94	94.47	94.94	0	USD	
22/11/2016 00:00	95.76	95.76	95.73	95.73	0	USD	
23/11/2016 00:00	95.93	95.93	94.9	94.9	0	USD	
24/11/2016 00:00	95.36	95.39	95.36	95.39	0	USD	
25/11/2016 00:00	95.38	95.56	95.38	95.41	10212	USD	
28/11/2016 00:00	96.12	96.21	95.9	96.21	2502	USD	
29/11/2016 00:00	96.48	96.48	96.4	96.4	0	USD	
30/11/2016 00:00	96.22	96.66	96.12	96.44	13344	USD	
01/12/2016 00:00	96.11	96.11	95.41	95.41	834	USD	
02/12/2016 00:00	94.47	95.08	94.47	95.08	0	USD	
05/12/2016 00:00	94.34	95.53	94.34	95.53	0	USD	
06/12/2016 00:00	95.77	95.77	95.77	95.77	417	USD	
07/12/2016 00:00	96.33	97.04	96.33	97.04	0	USD	
08/12/2016 00:00	98.24	98.24	98.1	98.1	0	USD	
09/12/2016 00:00	98.49	98.49	98.49	98.49	0	USD	
12/12/2016 00:00	97.67	97.68	97.67	97.68	0	USD	
13/12/2016 00:00	98.25	98.78	98.25	98.78	0	USD	
14/12/2016 00:00	98.6	98.6	98.36	98.36	0	USD	
15/12/2016 00:00	96.82	96.82	96.35	96.35	0	USD	
16/12/2016 00:00	96.37	96.37	96.06	96.06	0	USD	
19/12/2016 00:00	96.16	96.16	96.02	96.02	0	USD	
20/12/2016 00:00	95.64	95.92	95.64	95.83	1585	USD	
21/12/2016 00:00	95.93	95.93	95.61	95.61	0	USD	
22/12/2016 00:00	94.77	94.77	93.68	93.68	0	USD	
23/12/2016 00:00	94.44	94.44	94.44	94.44	0	USD	
27/12/2016 00:00	95.34	95.34	95.34	95.34	0	USD	
28/12/2016 00:00	96.42	96.42	96.23	96.23	0	USD	
29/12/2016 00:00	96.74	97.46	96.74	97.27	1268	USD	
30/12/2016 00:00	97.44	97.45	97.02	97.11	2555	USD	
03/01/2017 00:00	97.58	97.74	97.58	97.74	0	USD	
04/01/2017 00:00	98.05	98.54	98.03	98.54	1585	USD	
05/01/2017 00:00	99.17	99.37	99.17	99.37	2853	USD	
06/01/2017 00:00	99.13	99.13	98.91	98.91	0	USD	
09/01/2017 00:00	98.74	99.04	98.74	99.04	0	USD	
10/01/2017 00:00	98.96	99.63	98.96	99.63	0	USD	
11/01/2017 00:00	99.52	99.52	98.95	98.95	1268	USD	
12/01/2017 00:00	99.62	100.18	99.62	99.92	1585	USD	
13/01/2017 00:00	100.23	100.29	100.23	100.29	0	USD	
16/01/2017 00:00	99.51	99.51	99.51	99.51	0	USD	
17/01/2017 00:00	99.98	100.2	99.98	100.2	0	USD	
18/01/2017 00:00	100.63	100.63	100.47	100.47	0	USD	
19/01/2017 00:00	99.89	99.89	99.56	99.56	0	USD	
20/01/2017 00:00	99.49	99.49	99.23	99.23	0	USD	
23/01/2017 00:00	100.18	100.69	100.18	100.69	0	USD	
24/01/2017 00:00	101.07	101.94	101.07	101.67	5317	USD	
25/01/2017 00:00	101.95	102.61	101.95	102.61	0	USD	
26/01/2017 00:00	103.08	103.08	102.4	102.4	0	USD	
27/01/2017 00:00	102.38	102.38	102.27	102.27	0	USD	
30/01/2017 00:00	101.98	101.98	101.37	101.37	0	USD	
31/01/2017 00:00	101.45	101.59	101.45	101.59	0	USD	
01/02/2017 00:00	101.98	102	101.98	102	0	USD	
02/02/2017 00:00	102.03	102.54	102.03	102.54	0	USD	
03/02/2017 00:00	102.27	103.28	102.27	103.28	0	USD	
06/02/2017 00:00	103.53	103.56	103.33	103.33	112	USD	
07/02/2017 00:00	102.34	102.34	102.24	102.24	0	USD	
08/02/2017 00:00	102.32	102.82	102.32	102.82	0	USD	
09/02/2017 00:00	102.8	102.8	102.8	102.8	0	USD	
10/02/2017 00:00	103.38	104.09	103.38	104.09	0	USD	
13/02/2017 00:00	104.4	104.68	104.4	104.68	0	USD	
14/02/2017 00:00	104.85	105.15	104.85	104.91	3804	USD	
15/02/2017 00:00	105.65	105.95	105.65	105.95	0	USD	
16/02/2017 00:00	105.89	105.89	105.87	105.87	0	USD	
17/02/2017 00:00	105.46	105.46	105.05	105.05	0	USD	
20/02/2017 00:00	105.45	105.67	105.45	105.67	0	USD	
21/02/2017 00:00	105.52	105.73	105.52	105.7	5072	USD	
22/02/2017 00:00	105.79	105.79	105.69	105.69	0	USD	
23/02/2017 00:00	105.85	106.04	105.85	106.04	6847	USD	
24/02/2017 00:00	106.15	106.15	105.38	105.38	1268	USD	
27/02/2017 00:00	105.59	105.59	105.23	105.58	4685	USD	
28/02/2017 00:00	105.26	105.26	104.82	104.82	0	USD	
01/03/2017 00:00	105.6	105.6	105.6	105.6	0	USD	
02/03/2017 00:00	105.44	105.44	104.55	104.55	0	USD	
03/03/2017 00:00	103.82	104.42	103.82	104.42	317	USD	
06/03/2017 00:00	104.58	104.95	104.58	104.69	317	USD	
07/03/2017 00:00	105.22	105.22	105.04	105.04	0	USD	
08/03/2017 00:00	105.25	105.25	104.66	104.66	0	USD	
09/03/2017 00:00	103.91	103.91	103.33	103.33	0	USD	
10/03/2017 00:00	103.77	104.12	103.77	104.12	0	USD	
13/03/2017 00:00	105.38	105.81	105.38	105.81	0	USD	
14/03/2017 00:00	105.84	105.84	105.64	105.64	0	USD	
15/03/2017 00:00	106.06	106.54	106.06	106.54	0	USD	
16/03/2017 00:00	108.52	109.07	108.52	109.07	0	USD	
17/03/2017 00:00	108.83	109.04	108.83	109.04	0	USD	
