date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	4.552	4.562	4.45	4.45	5400	EUR	
08/11/2012 00:00	4.469	4.471	4.455	4.455	4020	EUR	
09/11/2012 00:00	4.428	4.449	4.428	4.449	0	EUR	
12/11/2012 00:00	4.438	4.438	4.421	4.43	8940	EUR	
13/11/2012 00:00	4.416	4.458	4.416	4.455	6852	EUR	
14/11/2012 00:00	4.433	4.433	4.39	4.39	0	EUR	
15/11/2012 00:00	4.353	4.361	4.324	4.324	7200	EUR	
16/11/2012 00:00	4.336	4.336	4.326	4.326	108	EUR	
19/11/2012 00:00	4.376	4.408	4.376	4.406	4380	EUR	
20/11/2012 00:00	4.417	4.425	4.417	4.425	0	EUR	
21/11/2012 00:00	4.436	4.436	4.426	4.426	3000	EUR	
22/11/2012 00:00	4.434	4.434	4.426	4.426	1248	EUR	
23/11/2012 00:00	4.417	4.427	4.417	4.427	0	EUR	
26/11/2012 00:00	4.421	4.421	4.413	4.413	48002	EUR	
27/11/2012 00:00	4.436	4.438	4.436	4.438	0	EUR	
28/11/2012 00:00	4.423	4.426	4.423	4.426	0	EUR	
29/11/2012 00:00	4.451	4.465	4.451	4.465	4752	EUR	
30/11/2012 00:00	4.463	4.463	4.44	4.44	984	EUR	
03/12/2012 00:00	4.46	4.46	4.433	4.433	600	EUR	
04/12/2012 00:00	4.403	4.405	4.399	4.399	720	EUR	
05/12/2012 00:00	4.407	4.407	4.395	4.404	24757	EUR	
06/12/2012 00:00	4.408	4.457	4.405	4.457	51734	EUR	
07/12/2012 00:00	4.474	4.491	4.473	4.473	1140	EUR	
10/12/2012 00:00	4.502	4.502	4.474	4.496	6240	EUR	
11/12/2012 00:00	4.489	4.514	4.489	4.514	1320	EUR	
12/12/2012 00:00	4.509	4.509	4.494	4.494	0	EUR	
13/12/2012 00:00	4.476	4.476	4.461	4.461	216	EUR	
14/12/2012 00:00	4.449	4.449	4.411	4.411	2400	EUR	
17/12/2012 00:00	4.433	4.433	4.416	4.429	191072	EUR	
18/12/2012 00:00	4.477	4.477	4.459	4.459	32401	EUR	
19/12/2012 00:00	4.473	4.473	4.453	4.461	192188	EUR	
20/12/2012 00:00	4.441	4.45	4.441	4.441	4260	EUR	
21/12/2012 00:00	4.433	4.442	4.421	4.422	125717	EUR	
24/12/2012 00:00	4.423	4.423	4.412	4.418	63219	EUR	
27/12/2012 00:00	4.379	4.398	4.359	4.359	543874	EUR	
28/12/2012 00:00	4.377	4.407	4.351	4.37	189992	EUR	
31/12/2012 00:00	4.328	4.328	4.323	4.323	0	EUR	
02/01/2013 00:00	4.41	4.512	4.41	4.512	1656	EUR	
03/01/2013 00:00	4.554	4.581	4.546	4.581	2628	EUR	
04/01/2013 00:00	4.597	4.597	4.595	4.595	108	EUR	
07/01/2013 00:00	4.606	4.606	4.568	4.568	2844	EUR	
08/01/2013 00:00	4.549	4.556	4.549	4.556	324	EUR	
09/01/2013 00:00	4.58	4.594	4.58	4.594	0	EUR	
10/01/2013 00:00	4.592	4.592	4.539	4.539	900	EUR	
11/01/2013 00:00	4.553	4.553	4.51	4.51	7068	EUR	
14/01/2013 00:00	4.529	4.529	4.508	4.508	732	EUR	
15/01/2013 00:00	4.514	4.514	4.506	4.513	4020	EUR	
16/01/2013 00:00	4.531	4.541	4.526	4.536	3600	EUR	
17/01/2013 00:00	4.531	4.543	4.508	4.543	8880	EUR	
18/01/2013 00:00	4.542	4.564	4.542	4.556	6960	EUR	
21/01/2013 00:00	4.575	4.584	4.575	4.584	0	EUR	
22/01/2013 00:00	4.565	4.576	4.55	4.576	8940	EUR	
23/01/2013 00:00	4.601	4.601	4.591	4.599	9000	EUR	
24/01/2013 00:00	4.594	4.604	4.581	4.604	80739	EUR	
25/01/2013 00:00	4.574	4.574	4.566	4.566	300	EUR	
28/01/2013 00:00	4.581	4.581	4.575	4.575	13837	EUR	
29/01/2013 00:00	4.584	4.584	4.565	4.583	11520	EUR	
30/01/2013 00:00	4.582	4.582	4.551	4.551	41762	EUR	
31/01/2013 00:00	4.539	4.539	4.522	4.522	696	EUR	
01/02/2013 00:00	4.521	4.524	4.521	4.524	0	EUR	
04/02/2013 00:00	4.552	4.553	4.545	4.545	1200	EUR	
05/02/2013 00:00	4.57	4.57	4.56	4.56	204	EUR	
06/02/2013 00:00	4.584	4.584	4.576	4.581	300	EUR	
07/02/2013 00:00	4.576	4.613	4.576	4.598	67887	EUR	
08/02/2013 00:00	4.624	4.651	4.624	4.651	9000	EUR	
11/02/2013 00:00	4.657	4.666	4.64	4.64	1260	EUR	
12/02/2013 00:00	4.659	4.659	4.632	4.632	528	EUR	
13/02/2013 00:00	4.64	4.641	4.64	4.641	0	EUR	
14/02/2013 00:00	4.657	4.681	4.657	4.681	0	EUR	
15/02/2013 00:00	4.663	4.684	4.663	4.679	2040	EUR	
18/02/2013 00:00	4.681	4.681	4.672	4.677	996	EUR	
19/02/2013 00:00	4.663	4.689	4.663	4.689	29389	EUR	
20/02/2013 00:00	4.686	4.695	4.686	4.69	960	EUR	
21/02/2013 00:00	4.676	4.676	4.67	4.67	0	EUR	
22/02/2013 00:00	4.687	4.708	4.687	4.708	5100	EUR	
25/02/2013 00:00	4.713	4.721	4.707	4.721	312	EUR	
26/02/2013 00:00	4.701	4.701	4.678	4.68	2544	EUR	
27/02/2013 00:00	4.691	4.73	4.691	4.73	3420	EUR	
28/02/2013 00:00	4.734	4.773	4.734	4.773	7860	EUR	
01/03/2013 00:00	4.753	4.794	4.753	4.794	8400	EUR	
04/03/2013 00:00	4.766	4.798	4.766	4.798	1200	EUR	
05/03/2013 00:00	4.815	4.866	4.815	4.866	0	EUR	
06/03/2013 00:00	4.856	4.873	4.856	4.873	4452	EUR	
07/03/2013 00:00	4.876	4.876	4.851	4.851	0	EUR	
08/03/2013 00:00	4.861	4.903	4.861	4.903	34765	EUR	
11/03/2013 00:00	4.894	4.908	4.894	4.908	1440	EUR	
12/03/2013 00:00	4.913	4.913	4.898	4.898	360	EUR	
13/03/2013 00:00	4.891	4.936	4.891	4.936	312	EUR	
14/03/2013 00:00	4.947	4.961	4.946	4.946	3756	EUR	
15/03/2013 00:00	4.93	4.93	4.91	4.919	2964	EUR	
18/03/2013 00:00	4.916	4.932	4.912	4.932	732	EUR	
19/03/2013 00:00	4.938	4.938	4.925	4.931	1200	EUR	
20/03/2013 00:00	4.951	4.951	4.944	4.946	6360	EUR	
21/03/2013 00:00	4.951	4.955	4.946	4.946	38234	EUR	
22/03/2013 00:00	4.931	4.932	4.917	4.925	187616	EUR	
25/03/2013 00:00	4.951	4.97	4.951	4.963	66183	EUR	
26/03/2013 00:00	4.982	4.991	4.98	4.991	3060	EUR	
27/03/2013 00:00	5.017	5.023	4.995	5.023	1680	EUR	
28/03/2013 00:00	5.022	5.031	5.013	5.023	69087	EUR	
02/04/2013 00:00	5.013	5.043	5.013	5.043	912	EUR	
03/04/2013 00:00	5.054	5.054	4.997	4.997	420	EUR	
04/04/2013 00:00	5.002	5.028	4.989	4.989	5292	EUR	
05/04/2013 00:00	4.967	4.967	4.886	4.886	4392	EUR	
08/04/2013 00:00	4.918	4.932	4.913	4.913	1044	EUR	
09/04/2013 00:00	4.946	4.948	4.916	4.916	3288	EUR	
10/04/2013 00:00	4.931	4.989	4.931	4.989	14605	EUR	
11/04/2013 00:00	4.999	5.007	4.989	5.007	480	EUR	
12/04/2013 00:00	5.006	5.006	4.979	4.979	372	EUR	
15/04/2013 00:00	4.984	4.984	4.967	4.967	132	EUR	
16/04/2013 00:00	4.906	4.909	4.905	4.909	4200	EUR	
17/04/2013 00:00	4.912	4.912	4.89	4.89	0	EUR	
18/04/2013 00:00	4.897	4.897	4.872	4.872	960	EUR	
19/04/2013 00:00	4.876	4.891	4.873	4.891	5508	EUR	
22/04/2013 00:00	4.917	4.917	4.906	4.906	0	EUR	
23/04/2013 00:00	4.91	4.996	4.91	4.996	60578	EUR	
24/04/2013 00:00	5.007	5.023	4.999	5.006	1212	EUR	
25/04/2013 00:00	5.002	5.032	4.996	5.032	8772	EUR	
26/04/2013 00:00	5.011	5.011	5.001	5.001	4680	EUR	
29/04/2013 00:00	4.991	5.001	4.991	5.001	0	EUR	
30/04/2013 00:00	5.019	5.019	4.981	4.981	4284	EUR	
02/05/2013 00:00	4.968	5.038	4.968	5.038	5700	EUR	
03/05/2013 00:00	5.021	5.076	5.018	5.076	4344	EUR	
06/05/2013 00:00	5.073	5.1	5.066	5.089	2868	EUR	
07/05/2013 00:00	5.096	5.106	5.091	5.106	20821	EUR	
08/05/2013 00:00	5.099	5.099	5.096	5.099	131477	EUR	
09/05/2013 00:00	5.111	5.128	5.107	5.128	960	EUR	
10/05/2013 00:00	5.159	5.19	5.159	5.19	300	EUR	
13/05/2013 00:00	5.172	5.186	5.158	5.186	7260	EUR	
14/05/2013 00:00	5.181	5.234	5.171	5.234	4716	EUR	
15/05/2013 00:00	5.272	5.308	5.272	5.308	300	EUR	
16/05/2013 00:00	5.306	5.311	5.287	5.307	960	EUR	
17/05/2013 00:00	5.301	5.339	5.301	5.339	24	EUR	
20/05/2013 00:00	5.333	5.36	5.333	5.353	2244	EUR	
21/05/2013 00:00	5.344	5.35	5.335	5.335	184867	EUR	
22/05/2013 00:00	5.33	5.38	5.33	5.38	360	EUR	
23/05/2013 00:00	5.267	5.269	5.242	5.269	2448	EUR	
24/05/2013 00:00	5.271	5.271	5.241	5.241	1440	EUR	
27/05/2013 00:00	5.266	5.276	5.262	5.276	4416	EUR	
28/05/2013 00:00	5.304	5.346	5.304	5.346	840	EUR	
29/05/2013 00:00	5.295	5.295	5.224	5.239	8316	EUR	
30/05/2013 00:00	5.235	5.242	5.223	5.242	516	EUR	
31/05/2013 00:00	5.241	5.271	5.223	5.271	5484	EUR	
03/06/2013 00:00	5.181	5.181	5.121	5.121	2532	EUR	
04/06/2013 00:00	5.171	5.177	5.166	5.176	540	EUR	
05/06/2013 00:00	5.128	5.128	5.101	5.101	132	EUR	
06/06/2013 00:00	5.078	5.086	5.039	5.039	2400	EUR	
07/06/2013 00:00	5.048	5.131	5.048	5.131	33349	EUR	
10/06/2013 00:00	5.146	5.146	5.132	5.132	96	EUR	
11/06/2013 00:00	5.104	5.104	5.059	5.1	6336	EUR	
12/06/2013 00:00	5.066	5.094	5.034	5.034	720	EUR	
13/06/2013 00:00	4.948	5.011	4.939	5.011	5220	EUR	
14/06/2013 00:00	5.062	5.086	5.042	5.05	19441	EUR	
