date	ouv	haut	bas	clot	vol	devise	
06/11/2015 00:00	7.175	7.175	7.145	7.145	0	EUR	
09/11/2015 00:00	7.165	7.165	7.081	7.081	0	EUR	
10/11/2015 00:00	7.109	7.109	7.086	7.086	0	EUR	
11/11/2015 00:00	7.107	7.107	7.107	7.107	0	EUR	
12/11/2015 00:00	7.094	7.094	7.038	7.038	0	EUR	
13/11/2015 00:00	7.003	7.003	6.943	6.943	0	EUR	
16/11/2015 00:00	6.904	6.925	6.904	6.925	0	EUR	
17/11/2015 00:00	7.012	7.067	7.012	7.067	0	EUR	
18/11/2015 00:00	7.008	7.066	7.008	7.066	0	EUR	
19/11/2015 00:00	7.148	7.148	7.132	7.132	0	EUR	
20/11/2015 00:00	7.148	7.165	7.148	7.165	0	EUR	
23/11/2015 00:00	7.157	7.166	7.157	7.166	0	EUR	
24/11/2015 00:00	7.144	7.144	7.126	7.126	0	EUR	
25/11/2015 00:00	7.146	7.156	7.146	7.156	0	EUR	
26/11/2015 00:00	7.164	7.186	7.164	7.186	0	EUR	
27/11/2015 00:00	7.153	7.163	7.153	7.163	0	EUR	
30/11/2015 00:00	7.14	7.14	7.14	7.14	0	EUR	
01/12/2015 00:00	7.159	7.162	7.159	7.162	0	EUR	
02/12/2015 00:00	7.2	7.2	7.176	7.176	0	EUR	
03/12/2015 00:00	7.146	7.146	7.095	7.095	0	EUR	
04/12/2015 00:00	7.059	7.104	7.059	7.104	0	EUR	
07/12/2015 00:00	7.086	7.086	7.086	7.086	0	EUR	
15/12/2015 00:00	7.006	7.006	7.006	7.006	0	EUR	
16/12/2015 00:00	7.03	7.03	7.018	7.018	0	EUR	
17/12/2015 00:00	7.088	7.088	7.025	7.025	0	EUR	
18/12/2015 00:00	6.941	6.941	6.927	6.927	0	EUR	
21/12/2015 00:00	6.887	6.887	6.878	6.878	0	EUR	
22/12/2015 00:00	6.951	6.951	6.937	6.937	0	EUR	
23/12/2015 00:00	7.048	7.048	7.048	7.048	0	EUR	
28/12/2015 00:00	7.009	7.009	7.009	7.009	0	EUR	
29/12/2015 00:00	7.059	7.111	7.059	7.111	0	EUR	
30/12/2015 00:00	7.096	7.096	7.096	7.096	0	EUR	
04/01/2016 00:00	6.84	6.84	6.84	6.84	0	EUR	
05/01/2016 00:00	6.913	6.913	6.901	6.901	0	EUR	
06/01/2016 00:00	6.854	6.854	6.854	6.854	0	EUR	
07/01/2016 00:00	6.727	6.748	6.727	6.748	0	EUR	
08/01/2016 00:00	6.624	6.624	6.624	6.624	0	EUR	
11/01/2016 00:00	6.562	6.562	6.562	6.562	0	EUR	
12/01/2016 00:00	6.565	6.597	6.565	6.597	0	EUR	
13/01/2016 00:00	6.678	6.678	6.636	6.636	0	EUR	
14/01/2016 00:00	6.519	6.521	6.519	6.521	0	EUR	
15/01/2016 00:00	6.441	6.441	6.441	6.441	0	EUR	
18/01/2016 00:00	6.466	6.466	6.443	6.443	0	EUR	
19/01/2016 00:00	6.548	6.548	6.486	6.486	0	EUR	
20/01/2016 00:00	6.341	6.341	6.293	6.293	0	EUR	
21/01/2016 00:00	6.356	6.356	6.356	6.356	0	EUR	
22/01/2016 00:00	6.479	6.501	6.479	6.501	0	EUR	
25/01/2016 00:00	6.524	6.524	6.495	6.495	0	EUR	
26/01/2016 00:00	6.393	6.5	6.393	6.5	0	EUR	
27/01/2016 00:00	6.479	6.528	6.479	6.528	0	EUR	
28/01/2016 00:00	6.498	6.498	6.465	6.465	0	EUR	
29/01/2016 00:00	6.542	6.569	6.542	6.569	0	EUR	
01/02/2016 00:00	6.617	6.628	6.617	6.628	0	EUR	
02/02/2016 00:00	6.623	6.623	6.574	6.574	0	EUR	
03/02/2016 00:00	6.547	6.547	6.477	6.477	0	EUR	
04/02/2016 00:00	6.594	6.594	6.555	6.555	0	EUR	
05/02/2016 00:00	6.557	6.557	6.472	6.472	0	EUR	
08/02/2016 00:00	6.319	6.319	6.319	6.319	0	EUR	
09/02/2016 00:00	6.367	6.367	6.361	6.361	0	EUR	
10/02/2016 00:00	6.38	6.4	6.38	6.4	0	EUR	
11/02/2016 00:00	6.328	6.328	6.233	6.233	0	EUR	
12/02/2016 00:00	6.319	6.388	6.319	6.388	0	EUR	
15/02/2016 00:00	6.48	6.48	6.48	6.48	0	EUR	
16/02/2016 00:00	6.505	6.505	6.464	6.464	0	EUR	
17/02/2016 00:00	6.485	6.605	6.485	6.605	0	EUR	
18/02/2016 00:00	6.623	6.623	6.591	6.591	0	EUR	
19/02/2016 00:00	6.582	6.582	6.582	6.582	0	EUR	
22/02/2016 00:00	6.643	6.669	6.643	6.669	0	EUR	
23/02/2016 00:00	6.602	6.602	6.602	6.602	0	EUR	
24/02/2016 00:00	6.596	6.596	6.514	6.514	0	EUR	
25/02/2016 00:00	6.623	6.633	6.623	6.633	0	EUR	
26/02/2016 00:00	6.734	6.734	6.708	6.708	0	EUR	
29/02/2016 00:00	6.715	6.715	6.715	6.715	0	EUR	
01/03/2016 00:00	6.649	6.734	6.649	6.734	0	EUR	
02/03/2016 00:00	6.792	6.792	6.791	6.791	0	EUR	
03/03/2016 00:00	6.81	6.81	6.794	6.794	0	EUR	
04/03/2016 00:00	6.839	6.874	6.839	6.874	0	EUR	
07/03/2016 00:00	6.843	6.865	6.843	6.865	0	EUR	
08/03/2016 00:00	6.827	6.827	6.818	6.818	0	EUR	
09/03/2016 00:00	6.815	6.833	6.815	6.833	0	EUR	
10/03/2016 00:00	6.831	6.831	6.79	6.79	0	EUR	
11/03/2016 00:00	6.928	6.928	6.928	6.928	0	EUR	
14/03/2016 00:00	6.932	6.935	6.932	6.935	0	EUR	
15/03/2016 00:00	6.907	6.907	6.904	6.904	0	EUR	
16/03/2016 00:00	6.928	6.928	6.925	6.925	0	EUR	
17/03/2016 00:00	6.988	7.005	6.988	7.005	0	EUR	
18/03/2016 00:00	7.001	7.031	7.001	7.031	0	EUR	
21/03/2016 00:00	7.007	7.028	7.007	7.028	0	EUR	
22/03/2016 00:00	7.018	7.043	7.018	7.043	0	EUR	
23/03/2016 00:00	7.041	7.041	7.015	7.015	0	EUR	
24/03/2016 00:00	6.976	6.976	6.955	6.955	0	EUR	
29/03/2016 00:00	7.007	7.007	6.988	6.988	0	EUR	
30/03/2016 00:00	7.104	7.111	7.086	7.086	9520	EUR	
31/03/2016 00:00	7.068	7.085	7.068	7.085	0	EUR	
01/04/2016 00:00	7.045	7.082	7.045	7.082	0	EUR	
04/04/2016 00:00	7.108	7.108	7.1	7.1	0	EUR	
05/04/2016 00:00	7.06	7.06	7.035	7.035	0	EUR	
06/04/2016 00:00	7.045	7.063	7.045	7.063	0	EUR	
07/04/2016 00:00	7.088	7.088	7.03	7.03	106048	EUR	
08/04/2016 00:00	7.05	7.05	7.046	7.046	0	EUR	
11/04/2016 00:00	7.021	7.039	7.021	7.039	0	EUR	
12/04/2016 00:00	7.027	7.063	7.027	7.063	0	EUR	
13/04/2016 00:00	7.093	7.139	7.093	7.139	82654	EUR	
14/04/2016 00:00	7.134	7.162	7.134	7.162	0	EUR	
15/04/2016 00:00	7.149	7.15	7.149	7.15	0	EUR	
18/04/2016 00:00	7.096	7.174	7.096	7.174	0	EUR	
19/04/2016 00:00	7.202	7.215	7.202	7.215	0	EUR	
20/04/2016 00:00	7.198	7.229	7.198	7.229	14000	EUR	
21/04/2016 00:00	7.239	7.239	7.211	7.211	0	EUR	
22/04/2016 00:00	7.183	7.183	7.163	7.163	0	EUR	
25/04/2016 00:00	7.147	7.147	7.147	7.147	0	EUR	
26/04/2016 00:00	7.182	7.182	7.173	7.173	0	EUR	
27/04/2016 00:00	7.182	7.182	7.173	7.173	0	EUR	
28/04/2016 00:00	7.15	7.209	7.15	7.209	0	EUR	
29/04/2016 00:00	7.077	7.077	7.06	7.06	106048	EUR	
02/05/2016 00:00	7.101	7.119	7.101	7.119	0	EUR	
03/05/2016 00:00	7.06	7.06	7.06	7.06	0	EUR	
04/05/2016 00:00	7.072	7.072	7.039	7.039	0	EUR	
05/05/2016 00:00	7.077	7.077	7.054	7.054	0	EUR	
06/05/2016 00:00	7.02	7.029	7.02	7.029	0	EUR	
09/05/2016 00:00	7.061	7.061	7.061	7.061	0	EUR	
10/05/2016 00:00	7.107	7.135	7.099	7.135	194988	EUR	
