date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	6.254	6.26	6.138	6.138	191695	EUR	
08/11/2012 00:00	6.172	6.172	6.132	6.132	0	EUR	
09/11/2012 00:00	6.134	6.134	6.124	6.124	30330	EUR	
12/11/2012 00:00	6.122	6.122	6.106	6.106	400	EUR	
13/11/2012 00:00	6.092	6.134	6.066	6.134	184145	EUR	
14/11/2012 00:00	6.114	6.114	6.088	6.088	198700	EUR	
15/11/2012 00:00	6.042	6.042	6.014	6.014	27555	EUR	
16/11/2012 00:00	6.02	6.02	5.958	5.958	198780	EUR	
19/11/2012 00:00	6.004	6.09	5.998	6.09	281035	EUR	
20/11/2012 00:00	6.068	6.108	6.068	6.108	50000	EUR	
21/11/2012 00:00	6.098	6.126	6.098	6.126	25145	EUR	
22/11/2012 00:00	6.14	6.164	6.14	6.162	17865	EUR	
23/11/2012 00:00	6.168	6.202	6.152	6.202	81540	EUR	
26/11/2012 00:00	6.178	6.178	6.162	6.168	73520	EUR	
27/11/2012 00:00	6.204	6.204	6.178	6.186	36250	EUR	
28/11/2012 00:00	6.172	6.198	6.156	6.198	1325	EUR	
29/11/2012 00:00	6.218	6.27	6.218	6.27	19580	EUR	
30/11/2012 00:00	6.262	6.276	6.26	6.26	13820	EUR	
03/12/2012 00:00	6.266	6.302	6.26	6.264	20165	EUR	
04/12/2012 00:00	6.258	6.28	6.258	6.264	59315	EUR	
05/12/2012 00:00	6.282	6.296	6.28	6.28	4400	EUR	
06/12/2012 00:00	6.296	6.334	6.296	6.332	42870	EUR	
07/12/2012 00:00	6.336	6.336	6.316	6.33	3440	EUR	
10/12/2012 00:00	6.316	6.34	6.302	6.34	5345	EUR	
11/12/2012 00:00	6.334	6.362	6.334	6.354	90085	EUR	
12/12/2012 00:00	6.364	6.368	6.356	6.368	166785	EUR	
13/12/2012 00:00	6.364	6.364	6.338	6.338	0	EUR	
14/12/2012 00:00	6.346	6.346	6.338	6.338	750	EUR	
17/12/2012 00:00	6.332	6.332	6.312	6.33	250	EUR	
18/12/2012 00:00	6.352	6.366	6.344	6.366	6300	EUR	
19/12/2012 00:00	6.378	6.4	6.378	6.394	11935	EUR	
20/12/2012 00:00	6.378	6.398	6.378	6.398	75630	EUR	
21/12/2012 00:00	6.376	6.376	6.346	6.372	647420	EUR	
24/12/2012 00:00	6.374	6.374	6.374	6.374	500	EUR	
27/12/2012 00:00	6.27	6.384	6.27	6.364	38670	EUR	
28/12/2012 00:00	6.37	6.37	6.322	6.322	16665	EUR	
02/01/2013 00:00	6.454	6.49	6.438	6.49	107430	EUR	
03/01/2013 00:00	6.502	6.502	6.49	6.5	45205	EUR	
04/01/2013 00:00	6.498	6.524	6.492	6.524	3185	EUR	
07/01/2013 00:00	6.53	6.53	6.502	6.502	201250	EUR	
08/01/2013 00:00	6.486	6.512	6.486	6.492	23325	EUR	
09/01/2013 00:00	6.516	6.54	6.508	6.54	79290	EUR	
