date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	26.035	26.035	25.21	25.21	116395	EUR	
08/11/2012 00:00	25.425	25.45	25.215	25.215	4568	EUR	
09/11/2012 00:00	25.215	25.235	24.99	25.23	7098	EUR	
12/11/2012 00:00	25.18	25.23	25.085	25.18	53395	EUR	
13/11/2012 00:00	25.04	25.42	24.93	25.37	17609	EUR	
14/11/2012 00:00	25.325	25.395	25.15	25.15	40184	EUR	
15/11/2012 00:00	24.99	25.085	24.99	25.04	5195	EUR	
16/11/2012 00:00	25.01	25.08	24.695	24.695	5483	EUR	
19/11/2012 00:00	24.96	25.385	24.91	25.385	5742	EUR	
20/11/2012 00:00	25.26	25.515	25.26	25.515	4373	EUR	
21/11/2012 00:00	25.425	25.61	25.425	25.61	7278	EUR	
22/11/2012 00:00	25.695	25.8	25.695	25.775	20938	EUR	
23/11/2012 00:00	25.81	25.98	25.68	25.98	18420	EUR	
26/11/2012 00:00	25.89	25.91	25.825	25.87	48353	EUR	
27/11/2012 00:00	26.06	26.06	25.795	25.835	2944	EUR	
28/11/2012 00:00	25.825	25.9	25.66	25.9	23312	EUR	
29/11/2012 00:00	26.08	26.245	26.06	26.245	32377	EUR	
30/11/2012 00:00	26.22	26.33	26.21	26.21	15949	EUR	
03/12/2012 00:00	26.27	26.43	26.22	26.255	21277	EUR	
04/12/2012 00:00	26.245	26.465	26.23	26.325	45805	EUR	
05/12/2012 00:00	26.53	26.55	26.285	26.345	62917	EUR	
06/12/2012 00:00	26.435	26.61	26.375	26.47	3363	EUR	
07/12/2012 00:00	26.52	26.52	26.38	26.435	4713	EUR	
10/12/2012 00:00	26.26	26.395	26.13	26.395	15936	EUR	
11/12/2012 00:00	26.395	26.665	26.355	26.655	31781	EUR	
12/12/2012 00:00	26.7	26.75	26.66	26.74	32231	EUR	
13/12/2012 00:00	26.805	26.805	26.63	26.695	20192	EUR	
14/12/2012 00:00	26.73	26.745	26.67	26.725	8182	EUR	
17/12/2012 00:00	26.75	26.75	26.57	26.745	13374	EUR	
18/12/2012 00:00	26.825	26.905	26.765	26.905	13784	EUR	
19/12/2012 00:00	26.97	27.055	26.92	27.01	42710	EUR	
20/12/2012 00:00	26.895	27.045	26.895	27.03	1855	EUR	
21/12/2012 00:00	26.92	26.975	26.84	26.965	8887	EUR	
24/12/2012 00:00	27.05	27.05	26.85	26.91	4044	EUR	
27/12/2012 00:00	27	27.125	27	27.07	3222	EUR	
28/12/2012 00:00	27.085	27.085	26.66	26.66	4855	EUR	
31/12/2012 00:00	26.675	26.84	26.665	26.78	10243	EUR	
02/01/2013 00:00	27.37	27.54	27.17	27.54	17691	EUR	
03/01/2013 00:00	27.455	27.495	27.415	27.475	43798	EUR	
04/01/2013 00:00	27.42	27.565	27.36	27.565	217	EUR	
07/01/2013 00:00	27.6	27.6	27.39	27.415	14389	EUR	
08/01/2013 00:00	27.3	27.49	27.3	27.38	12390	EUR	
09/01/2013 00:00	27.335	27.425	27.245	27.425	14567	EUR	
10/01/2013 00:00	27.42	27.575	27.355	27.44	47796	EUR	
11/01/2013 00:00	27.56	27.56	27.43	27.545	18176	EUR	
