date	ouv	haut	bas	clot	vol	devise	
29/07/2022 00:00	10.99	10.99	10.95	10.95	0	EUR	
01/08/2022 00:00	11.02	11.02	10.89	10.89	0	EUR	
02/08/2022 00:00	10.78	10.83	10.78	10.83	0	EUR	
03/08/2022 00:00	10.77	10.81	10.77	10.81	0	EUR	
04/08/2022 00:00	10.84	10.84	10.8	10.8	0	EUR	
05/08/2022 00:00	10.93	11	10.93	11	0	EUR	
08/08/2022 00:00	10.99	10.99	10.97	10.97	0	EUR	
09/08/2022 00:00	11.01	11.01	10.97	10.97	0	EUR	
10/08/2022 00:00	10.86	10.87	10.86	10.87	0	EUR	
11/08/2022 00:00	11.03	11.03	11.03	11.03	0	EUR	
12/08/2022 00:00	11.03	11.06	11.03	11.06	0	EUR	
15/08/2022 00:00	11.04	11.06	11.04	11.06	0	EUR	
16/08/2022 00:00	11.06	11.06	11.06	11.06	0	EUR	
17/08/2022 00:00	11.17	11.17	11.11	11.11	0	EUR	
18/08/2022 00:00	11.06	11.1	11.06	11.1	0	EUR	
19/08/2022 00:00	11.06	11.06	11	11	0	EUR	
22/08/2022 00:00	11.13	11.16	11.13	11.16	0	EUR	
23/08/2022 00:00	11.19	11.19	11.19	11.19	0	EUR	
24/08/2022 00:00	10.95	11	10.95	11	0	EUR	
25/08/2022 00:00	11.02	11.09	11.02	11.09	0	EUR	
26/08/2022 00:00	11.03	11.03	10.96	10.96	0	EUR	
29/08/2022 00:00	10.83	10.83	10.83	10.83	0	EUR	
30/08/2022 00:00	10.8	10.8	10.71	10.71	0	EUR	
31/08/2022 00:00	10.79	10.79	10.67	10.67	0	EUR	
01/09/2022 00:00	10.7	10.74	10.7	10.74	0	EUR	
02/09/2022 00:00	10.67	10.67	10.61	10.61	0	EUR	
05/09/2022 00:00	10.71	10.71	10.68	10.68	0	EUR	
06/09/2022 00:00	10.72	10.72	10.71	10.71	0	EUR	
07/09/2022 00:00	10.78	10.78	10.72	10.72	0	EUR	
08/09/2022 00:00	10.67	10.71	10.67	10.71	0	EUR	
09/09/2022 00:00	10.75	10.77	10.75	10.77	0	EUR	
12/09/2022 00:00	10.58	10.73	10.58	10.73	0	EUR	
13/09/2022 00:00	10.72	10.72	10.71	10.71	0	EUR	
14/09/2022 00:00	10.72	10.72	10.7	10.7	0	EUR	
15/09/2022 00:00	10.6	10.6	10.5	10.5	0	EUR	
16/09/2022 00:00	10.26	10.26	10.23	10.23	0	EUR	
19/09/2022 00:00	10.26	10.26	10.25	10.25	0	EUR	
20/09/2022 00:00	10.23	10.25	10.23	10.25	0	EUR	
21/09/2022 00:00	10.2	10.28	10.2	10.28	0	EUR	
22/09/2022 00:00	10.17	10.22	10.17	10.22	0	EUR	
23/09/2022 00:00	10.16	10.16	10.16	10.16	0	EUR	
26/09/2022 00:00	10.2	10.25	10.2	10.25	0	EUR	
27/09/2022 00:00	10.33	10.33	10.33	10.33	0	EUR	
28/09/2022 00:00	10.18	10.18	10.18	10.18	0	EUR	
29/09/2022 00:00	10.09	10.1	10.09	10.1	0	EUR	
30/09/2022 00:00	10.05	10.05	10.02	10.02	0	EUR	
03/10/2022 00:00	9.87	9.99	9.87	9.99	0	EUR	
04/10/2022 00:00	10.16	10.16	10.16	10.16	0	EUR	
05/10/2022 00:00	10.42	10.42	10.32	10.32	0	EUR	
06/10/2022 00:00	10.35	10.35	10.34	10.34	0	EUR	
07/10/2022 00:00	10.26	10.26	10.2	10.2	0	EUR	
10/10/2022 00:00	9.85	9.85	9.84	9.84	0	EUR	
11/10/2022 00:00	9.8	9.82	9.8	9.82	0	EUR	
12/10/2022 00:00	9.93	9.93	9.89	9.89	0	EUR	
13/10/2022 00:00	9.88	9.88	9.85	9.85	0	EUR	
14/10/2022 00:00	10.04	10.04	10	10	0	EUR	
17/10/2022 00:00	10.08	10.08	10.08	10.08	0	EUR	
18/10/2022 00:00	9.96	9.96	9.93	9.93	0	EUR	
19/10/2022 00:00	9.79	9.79	9.77	9.77	0	EUR	
20/10/2022 00:00	9.77	9.83	9.77	9.83	0	EUR	
21/10/2022 00:00	9.75	9.77	9.75	9.77	0	EUR	
24/10/2022 00:00	9.29	9.29	9.29	9.29	0	EUR	
25/10/2022 00:00	9.29	9.29	9.26	9.26	0	EUR	
26/10/2022 00:00	9.33	9.43	9.3	9.43	11422	EUR	
27/10/2022 00:00	9.22	9.27	9.22	9.27	0	EUR	
28/10/2022 00:00	9.07	9.07	9.05	9.05	0	EUR	
31/10/2022 00:00	8.92	8.97	8.92	8.97	0	EUR	
01/11/2022 00:00	9.23	9.26	9.23	9.26	0	EUR	
02/11/2022 00:00	9.44	9.44	9.35	9.35	0	EUR	
03/11/2022 00:00	9.39	9.49	9.39	9.49	0	EUR	
04/11/2022 00:00	9.8	9.81	9.8	9.81	0	EUR	
