date	ouv	haut	bas	clot	vol	devise	
18/07/2022 00:00	9.74	9.74	9.74	9.74	0	EUR	
19/07/2022 00:00	9.68	9.71	9.68	9.71	0	EUR	
20/07/2022 00:00	9.71	9.74	9.71	9.74	0	EUR	
21/07/2022 00:00	9.74	9.79	9.74	9.79	974	EUR	
22/07/2022 00:00	9.77	9.77	9.75	9.75	0	EUR	
25/07/2022 00:00	9.73	9.74	9.73	9.74	0	EUR	
26/07/2022 00:00	9.79	9.79	9.79	9.79	0	EUR	
27/07/2022 00:00	9.81	9.86	9.81	9.86	0	EUR	
28/07/2022 00:00	9.86	9.88	9.86	9.88	0	EUR	
29/07/2022 00:00	9.79	9.8	9.79	9.8	0	EUR	
01/08/2022 00:00	9.82	9.82	9.74	9.74	0	EUR	
02/08/2022 00:00	9.68	9.77	9.68	9.77	0	EUR	
03/08/2022 00:00	9.76	9.83	9.76	9.83	0	EUR	
04/08/2022 00:00	9.83	9.84	9.83	9.84	0	EUR	
05/08/2022 00:00	9.89	9.89	9.89	9.89	0	EUR	
08/08/2022 00:00	9.9	9.9	9.9	9.9	0	EUR	
09/08/2022 00:00	9.98	9.98	9.84	9.84	50	EUR	
10/08/2022 00:00	9.74	9.83	9.74	9.83	0	EUR	
11/08/2022 00:00	9.91	9.94	9.91	9.94	0	EUR	
12/08/2022 00:00	9.93	10.01	9.93	10.01	0	EUR	
15/08/2022 00:00	10.04	10.09	10.04	10.09	0	EUR	
16/08/2022 00:00	10.08	10.1	10.08	10.1	0	EUR	
17/08/2022 00:00	10.12	10.12	10.05	10.05	0	EUR	
18/08/2022 00:00	10.03	10.06	10.03	10.06	0	EUR	
19/08/2022 00:00	10.05	10.05	9.99	9.99	0	EUR	
22/08/2022 00:00	10	10.03	10	10.03	0	EUR	
23/08/2022 00:00	10.04	10.04	10.04	10.04	0	EUR	
24/08/2022 00:00	10.01	10.1	10.01	10.1	0	EUR	
25/08/2022 00:00	10.15	10.22	10.15	10.21	15855	EUR	
26/08/2022 00:00	10.22	10.22	10.15	10.15	0	EUR	
29/08/2022 00:00	10.08	10.08	10.04	10.04	0	EUR	
30/08/2022 00:00	10.06	10.06	9.91	9.91	0	EUR	
31/08/2022 00:00	10.05	10.05	9.93	9.93	0	EUR	
01/09/2022 00:00	9.85	9.87	9.85	9.87	0	EUR	
02/09/2022 00:00	9.83	9.85	9.83	9.85	0	EUR	
05/09/2022 00:00	9.86	9.86	9.86	9.86	0	EUR	
06/09/2022 00:00	9.84	9.84	9.78	9.78	0	EUR	
07/09/2022 00:00	9.76	9.76	9.73	9.73	0	EUR	
08/09/2022 00:00	9.71	9.74	9.71	9.74	0	EUR	
09/09/2022 00:00	9.75	9.78	9.75	9.78	0	EUR	
12/09/2022 00:00	9.85	9.85	9.85	9.85	0	EUR	
13/09/2022 00:00	9.83	9.83	9.75	9.75	0	EUR	
14/09/2022 00:00	9.75	9.75	9.72	9.72	0	EUR	
15/09/2022 00:00	9.75	9.75	9.67	9.67	0	EUR	
16/09/2022 00:00	9.58	9.58	9.51	9.51	0	EUR	
19/09/2022 00:00	9.51	9.51	9.51	9.51	0	EUR	
20/09/2022 00:00	9.58	9.58	9.55	9.55	235	EUR	
21/09/2022 00:00	9.56	9.57	9.56	9.57	0	EUR	
22/09/2022 00:00	9.47	9.47	9.47	9.47	0	EUR	
23/09/2022 00:00	9.44	9.44	9.36	9.36	0	EUR	
26/09/2022 00:00	9.36	9.36	9.36	9.36	0	EUR	
27/09/2022 00:00	9.37	9.37	9.37	9.37	0	EUR	
28/09/2022 00:00	9.25	9.27	9.25	9.27	0	EUR	
29/09/2022 00:00	9.13	9.13	9	9	0	EUR	
30/09/2022 00:00	9.03	9.06	9.03	9.06	0	EUR	
03/10/2022 00:00	9.04	9.08	9.04	9.08	220	EUR	
04/10/2022 00:00	9.17	9.26	9.17	9.26	0	EUR	
05/10/2022 00:00	9.3	9.3	9.28	9.28	0	EUR	
06/10/2022 00:00	9.31	9.35	9.31	9.35	0	EUR	
07/10/2022 00:00	9.29	9.29	9.22	9.22	0	EUR	
10/10/2022 00:00	9.14	9.14	9.13	9.13	0	EUR	
11/10/2022 00:00	9.03	9.03	9	9	0	EUR	
12/10/2022 00:00	9.03	9.03	8.97	8.97	974	EUR	
13/10/2022 00:00	8.92	8.92	8.92	8.92	0	EUR	
14/10/2022 00:00	9.02	9.02	8.93	8.93	0	EUR	
17/10/2022 00:00	9.05	9.05	9.05	9.05	0	EUR	
18/10/2022 00:00	9.04	9.06	8.97	8.97	17991	EUR	
19/10/2022 00:00	8.96	8.96	8.91	8.91	0	EUR	
20/10/2022 00:00	8.89	9.01	8.89	9.01	0	EUR	
21/10/2022 00:00	8.95	8.99	8.95	8.99	0	EUR	
24/10/2022 00:00	8.76	8.76	8.65	8.65	0	EUR	
25/10/2022 00:00	8.68	8.68	8.66	8.66	0	EUR	
26/10/2022 00:00	8.66	8.75	8.66	8.75	0	EUR	
27/10/2022 00:00	8.66	8.75	8.66	8.75	0	EUR	
28/10/2022 00:00	8.55	8.62	8.55	8.62	0	EUR	
31/10/2022 00:00	8.58	8.68	8.58	8.68	0	EUR	
01/11/2022 00:00	8.82	8.88	8.82	8.88	0	EUR	
02/11/2022 00:00	8.93	8.93	8.87	8.87	0	EUR	
03/11/2022 00:00	8.86	8.94	8.86	8.94	0	EUR	
04/11/2022 00:00	9.12	9.21	9.11	9.11	12065	EUR	
