date	ouv	haut	bas	clot	vol	devise	
29/07/2022 00:00	22.92	23.05	22.92	23.05	0	EUR	
01/08/2022 00:00	23.11	23.11	23.1	23.1	0	EUR	
02/08/2022 00:00	23	23.07	23	23.07	0	EUR	
03/08/2022 00:00	23.01	23.25	23.01	23.25	0	EUR	
04/08/2022 00:00	23.2	23.2	23.13	23.13	0	EUR	
05/08/2022 00:00	23.08	23.08	23.08	23.08	0	EUR	
08/08/2022 00:00	23.3	23.3	23.28	23.28	0	EUR	
09/08/2022 00:00	23.22	23.22	23.04	23.04	0	EUR	
10/08/2022 00:00	22.99	23.24	22.99	23.24	0	EUR	
11/08/2022 00:00	23.4	23.4	23.38	23.38	0	EUR	
12/08/2022 00:00	23.6	23.6	23.6	23.6	0	EUR	
15/08/2022 00:00	23.72	23.78	23.72	23.78	0	EUR	
16/08/2022 00:00	23.91	23.92	23.91	23.92	0	EUR	
17/08/2022 00:00	23.98	23.98	23.71	23.71	0	EUR	
18/08/2022 00:00	23.71	23.92	23.71	23.92	0	EUR	
19/08/2022 00:00	23.89	23.89	23.79	23.79	0	EUR	
22/08/2022 00:00	23.72	23.72	23.64	23.64	0	EUR	
23/08/2022 00:00	23.56	23.56	23.54	23.54	0	EUR	
24/08/2022 00:00	23.53	23.59	23.53	23.59	0	EUR	
25/08/2022 00:00	23.7	23.74	23.7	23.74	0	EUR	
26/08/2022 00:00	23.9	23.9	23.38	23.38	0	EUR	
29/08/2022 00:00	23.03	23.03	23.03	23.03	0	EUR	
30/08/2022 00:00	23.1	23.1	22.78	22.78	0	EUR	
31/08/2022 00:00	22.87	22.87	22.58	22.58	0	EUR	
01/09/2022 00:00	22.41	22.42	22.41	22.42	0	EUR	
02/09/2022 00:00	22.57	22.74	22.57	22.74	0	EUR	
05/09/2022 00:00	22.6	22.61	22.6	22.61	0	EUR	
06/09/2022 00:00	22.56	22.56	22.54	22.54	0	EUR	
07/09/2022 00:00	22.39	22.46	22.39	22.46	0	EUR	
08/09/2022 00:00	22.56	22.73	22.56	22.73	0	EUR	
09/09/2022 00:00	22.65	22.93	22.65	22.93	0	EUR	
12/09/2022 00:00	22.8	23.1	22.8	23.1	0	EUR	
13/09/2022 00:00	23.11	23.11	22.68	22.68	0	EUR	
14/09/2022 00:00	22.57	22.57	22.51	22.51	0	EUR	
15/09/2022 00:00	22.57	22.57	22.39	22.39	0	EUR	
16/09/2022 00:00	22.14	22.14	21.98	21.98	0	EUR	
19/09/2022 00:00	22.07	22.07	22.07	22.07	0	EUR	
20/09/2022 00:00	22.27	22.27	22.02	22.02	0	EUR	
21/09/2022 00:00	22.1	22.29	22.1	22.29	0	EUR	
22/09/2022 00:00	21.84	21.84	21.83	21.83	0	EUR	
23/09/2022 00:00	21.78	21.78	21.55	21.55	0	EUR	
26/09/2022 00:00	21.5	21.59	21.5	21.59	0	EUR	
27/09/2022 00:00	21.63	21.63	21.57	21.57	0	EUR	
28/09/2022 00:00	21.43	21.61	21.43	21.61	0	EUR	
29/09/2022 00:00	21.5	21.5	21.05	21.05	0	EUR	
30/09/2022 00:00	21.11	21.23	21.11	21.23	0	EUR	
03/10/2022 00:00	20.88	21.27	20.88	21.27	0	EUR	
04/10/2022 00:00	21.51	21.71	21.51	21.71	0	EUR	
05/10/2022 00:00	21.68	21.73	21.68	21.73	0	EUR	
06/10/2022 00:00	21.85	21.89	21.85	21.89	0	EUR	
07/10/2022 00:00	21.77	21.77	21.47	21.47	0	EUR	
10/10/2022 00:00	21.37	21.38	21.37	21.38	0	EUR	
11/10/2022 00:00	21.18	21.26	21.18	21.26	0	EUR	
12/10/2022 00:00	21.23	21.23	21.16	21.16	0	EUR	
13/10/2022 00:00	21.07	21.23	21.07	21.23	0	EUR	
14/10/2022 00:00	21.56	21.56	21.56	21.56	0	EUR	
17/10/2022 00:00	21.33	21.48	21.28	21.48	337	EUR	
18/10/2022 00:00	21.61	21.61	21.49	21.49	0	EUR	
19/10/2022 00:00	21.61	21.61	21.54	21.54	0	EUR	
20/10/2022 00:00	21.46	21.59	21.46	21.59	0	EUR	
21/10/2022 00:00	21.38	21.57	21.38	21.57	0	EUR	
24/10/2022 00:00	21.7	21.7	21.7	21.7	0	EUR	
25/10/2022 00:00	21.83	21.86	21.83	21.86	0	EUR	
26/10/2022 00:00	21.76	21.9	21.76	21.9	0	EUR	
27/10/2022 00:00	21.73	21.89	21.73	21.89	0	EUR	
28/10/2022 00:00	21.62	22.06	21.62	22.06	0	EUR	
31/10/2022 00:00	22.12	22.19	22.12	22.19	0	EUR	
01/11/2022 00:00	22.31	22.31	22.28	22.28	0	EUR	
02/11/2022 00:00	22.32	22.32	22.2	22.2	0	EUR	
03/11/2022 00:00	21.97	21.97	21.96	21.96	0	EUR	
04/11/2022 00:00	21.87	21.87	21.87	21.87	0	EUR	
