date	ouv	haut	bas	clot	vol	devise	
04/01/2013 00:00	4.94	4.94	4.93	4.94	4123	EUR	
11/02/2013 00:00	4.76	4.76	4.76	4.76	1000	EUR	
18/04/2013 00:00	5.21	5.22	5.12	5.12	300	EUR	
19/04/2013 00:00	5.12	5.14	5.12	5.14	0	EUR	
22/04/2013 00:00	5.15	5.19	5.15	5.19	20000	EUR	
23/04/2013 00:00	5.2	5.27	5.2	5.27	34502	EUR	
24/04/2013 00:00	5.24	5.26	5.24	5.26	0	EUR	
25/04/2013 00:00	5.26	5.26	5.26	5.26	0	EUR	
26/04/2013 00:00	5.25	5.27	5.25	5.27	0	EUR	
29/04/2013 00:00	5.27	5.27	5.25	5.25	0	EUR	
30/04/2013 00:00	5.27	5.29	5.27	5.29	1500	EUR	
02/05/2013 00:00	5.31	5.54	5.31	5.54	0	EUR	
03/05/2013 00:00	5.5	5.52	5.5	5.52	1200	EUR	
06/05/2013 00:00	5.54	5.58	5.54	5.58	0	EUR	
07/05/2013 00:00	5.59	5.6	5.55	5.55	4610	EUR	
08/05/2013 00:00	5.54	5.65	5.54	5.64	500	EUR	
09/05/2013 00:00	5.65	5.65	5.58	5.58	0	EUR	
10/05/2013 00:00	5.54	5.58	5.54	5.58	18000	EUR	
13/05/2013 00:00	5.6	5.6	5.55	5.55	90	EUR	
14/05/2013 00:00	5.59	5.69	5.59	5.69	0	EUR	
15/05/2013 00:00	5.7	5.77	5.7	5.77	15850	EUR	
16/05/2013 00:00	5.75	5.75	5.7	5.7	2000	EUR	
17/05/2013 00:00	5.75	5.75	5.67	5.67	850	EUR	
20/05/2013 00:00	5.69	5.69	5.55	5.55	31250	EUR	
21/05/2013 00:00	5.56	5.6	5.56	5.6	2420	EUR	
22/05/2013 00:00	5.62	5.74	5.62	5.74	27900	EUR	
23/05/2013 00:00	5.58	5.61	5.55	5.61	6500	EUR	
24/05/2013 00:00	5.61	5.63	5.56	5.56	3500	EUR	
27/05/2013 00:00	5.53	5.53	5.5	5.53	820	EUR	
28/05/2013 00:00	5.54	5.54	5.46	5.46	28500	EUR	
29/05/2013 00:00	5.37	5.37	5.25	5.25	0	EUR	
30/05/2013 00:00	5.24	5.27	5.19	5.19	3700	EUR	
31/05/2013 00:00	5.17	5.17	5.04	5.14	5515	EUR	
03/06/2013 00:00	4.85	4.85	4.56	4.56	71795	EUR	
04/06/2013 00:00	4.72	4.79	4.72	4.77	1050	EUR	
05/06/2013 00:00	4.74	4.74	4.66	4.66	125604	EUR	
06/06/2013 00:00	4.62	4.62	4.3	4.34	215104	EUR	
07/06/2013 00:00	4.37	4.56	4.37	4.56	1020	EUR	
10/06/2013 00:00	4.45	4.46	4.45	4.45	75800	EUR	
11/06/2013 00:00	4.51	4.51	4.37	4.37	600	EUR	
12/06/2013 00:00	4.39	4.45	4.39	4.44	48902	EUR	
13/06/2013 00:00	4.49	4.53	4.46	4.49	1475	EUR	
14/06/2013 00:00	4.59	4.7	4.59	4.68	102202	EUR	
17/06/2013 00:00	4.59	4.67	4.59	4.6	25036	EUR	
18/06/2013 00:00	4.64	4.64	4.48	4.48	49452	EUR	
19/06/2013 00:00	4.44	4.56	4.44	4.53	3915	EUR	
20/06/2013 00:00	4.38	4.39	4.18	4.18	32123	EUR	
21/06/2013 00:00	4.17	4.17	4.13	4.14	32400	EUR	
24/06/2013 00:00	4.18	4.18	4	4.02	77992	EUR	
25/06/2013 00:00	4.11	4.11	4.08	4.08	27350	EUR	
26/06/2013 00:00	4.14	4.25	4.14	4.25	94119	EUR	
27/06/2013 00:00	4.41	4.41	4.38	4.38	48902	EUR	
28/06/2013 00:00	4.46	4.46	4.36	4.39	1565	EUR	
01/07/2013 00:00	4.43	4.44	4.42	4.42	48902	EUR	
02/07/2013 00:00	4.41	4.41	4.41	4.41	0	EUR	
03/07/2013 00:00	4.32	4.32	4.21	4.24	30125	EUR	
04/07/2013 00:00	4.24	4.39	4.24	4.39	0	EUR	
05/07/2013 00:00	4.39	4.39	4.19	4.19	500	EUR	
08/07/2013 00:00	4.21	4.21	4.13	4.13	63369	EUR	
09/07/2013 00:00	4.22	4.24	4.2	4.2	10	EUR	
10/07/2013 00:00	4.19	4.19	4.05	4.05	0	EUR	
11/07/2013 00:00	4.1	4.1	4.03	4.03	38250	EUR	
12/07/2013 00:00	3.97	4.12	3.97	4.12	0	EUR	
15/07/2013 00:00	4.3	4.3	4.28	4.28	2500	EUR	
16/07/2013 00:00	4.29	4.29	4.26	4.28	2500	EUR	
17/07/2013 00:00	4.27	4.36	4.27	4.36	1500	EUR	
18/07/2013 00:00	4.39	4.4	4.39	4.39	500	EUR	
19/07/2013 00:00	4.32	4.32	4.31	4.31	0	EUR	
22/07/2013 00:00	4.31	4.31	4.29	4.29	0	EUR	
23/07/2013 00:00	4.31	4.31	4.26	4.26	0	EUR	
24/07/2013 00:00	4.25	4.25	4.15	4.15	0	EUR	
25/07/2013 00:00	4.1	4.11	4.1	4.11	0	EUR	
26/07/2013 00:00	4.07	4.07	4.03	4.03	500	EUR	
29/07/2013 00:00	4.03	4.07	4.03	4.07	0	EUR	
30/07/2013 00:00	4.1	4.16	4.1	4.16	0	EUR	
31/07/2013 00:00	4.13	4.13	4.03	4.03	1092	EUR	
01/08/2013 00:00	4.09	4.11	4.06	4.06	18912	EUR	
02/08/2013 00:00	4.04	4.13	4.02	4.13	13534	EUR	
05/08/2013 00:00	4.17	4.17	4.11	4.11	242	EUR	
06/08/2013 00:00	4.12	4.12	4.09	4.11	7476	EUR	
07/08/2013 00:00	4.08	4.08	4.06	4.06	1000	EUR	
08/08/2013 00:00	4.03	4.04	4.03	4.04	0	EUR	
09/08/2013 00:00	4.06	4.12	4.06	4.12	27000	EUR	
12/08/2013 00:00	4.1	4.24	4.1	4.23	117952	EUR	
13/08/2013 00:00	4.24	4.24	4.19	4.19	8564	EUR	
14/08/2013 00:00	4.18	4.21	4.18	4.21	0	EUR	
15/08/2013 00:00	4.21	4.21	4.1	4.1	29917	EUR	
16/08/2013 00:00	4.05	4.09	4.05	4.09	30692	EUR	
19/08/2013 00:00	4	4.01	3.95	3.95	2475	EUR	
20/08/2013 00:00	3.92	3.92	3.88	3.91	274548	EUR	
21/08/2013 00:00	3.88	3.88	3.74	3.74	14664	EUR	
22/08/2013 00:00	3.65	3.68	3.62	3.62	97078	EUR	
23/08/2013 00:00	3.64	3.67	3.59	3.63	22644	EUR	
26/08/2013 00:00	3.65	3.68	3.65	3.68	0	EUR	
27/08/2013 00:00	3.58	3.58	3.41	3.42	138325	EUR	
28/08/2013 00:00	3.35	3.44	3.34	3.44	111072	EUR	
29/08/2013 00:00	3.54	3.54	3.5	3.54	67663	EUR	
30/08/2013 00:00	3.5	3.54	3.49	3.49	77450	EUR	
02/09/2013 00:00	3.64	3.67	3.63	3.67	1200	EUR	
03/09/2013 00:00	3.64	3.64	3.51	3.51	14922	EUR	
04/09/2013 00:00	3.56	3.57	3.52	3.52	232845	EUR	
05/09/2013 00:00	3.52	3.52	3.46	3.5	215903	EUR	
06/09/2013 00:00	3.5	3.59	3.5	3.59	69032	EUR	
09/09/2013 00:00	3.56	3.74	3.56	3.74	55999	EUR	
10/09/2013 00:00	3.78	3.84	3.76	3.84	1500	EUR	
11/09/2013 00:00	3.82	3.84	3.82	3.82	148900	EUR	
12/09/2013 00:00	3.85	3.88	3.81	3.88	176590	EUR	
13/09/2013 00:00	3.84	3.88	3.8	3.8	3000	EUR	
16/09/2013 00:00	3.96	4.02	3.95	4.02	500	EUR	
17/09/2013 00:00	3.99	4.01	3.97	4	14952	EUR	
18/09/2013 00:00	4.01	4.02	4.01	4.02	0	EUR	
19/09/2013 00:00	4.33	4.33	4.31	4.33	9	EUR	
20/09/2013 00:00	4.28	4.28	4.2	4.2	503	EUR	
23/09/2013 00:00	4.19	4.19	4.12	4.12	0	EUR	
24/09/2013 00:00	4.13	4.13	4.06	4.09	7610	EUR	
25/09/2013 00:00	4.05	4.07	4.05	4.05	2338	EUR	
26/09/2013 00:00	4.01	4.01	3.96	3.96	49279	EUR	
27/09/2013 00:00	3.96	3.96	3.88	3.88	0	EUR	
30/09/2013 00:00	3.76	3.89	3.76	3.89	254123	EUR	
01/10/2013 00:00	3.96	4.05	3.96	4.05	6341	EUR	
02/10/2013 00:00	4.01	4.01	3.92	3.97	18430	EUR	
03/10/2013 00:00	3.96	3.98	3.96	3.98	1380	EUR	
04/10/2013 00:00	3.99	3.99	3.99	3.99	0	EUR	
07/10/2013 00:00	3.99	4.01	3.98	4.01	4652	EUR	
08/10/2013 00:00	3.98	3.98	3.94	3.94	0	EUR	
09/10/2013 00:00	3.94	3.95	3.92	3.93	10378	EUR	
10/10/2013 00:00	4	4.04	3.99	4.02	122656	EUR	
11/10/2013 00:00	4.06	4.06	4.03	4.03	15112	EUR	
14/10/2013 00:00	4.02	4.05	4.02	4.05	81782	EUR	
15/10/2013 00:00	4.11	4.14	4.11	4.14	0	EUR	
16/10/2013 00:00	4.1	4.11	4.09	4.11	4306	EUR	
17/10/2013 00:00	4.09	4.09	4.06	4.09	4608	EUR	
18/10/2013 00:00	4.11	4.14	4.11	4.14	463	EUR	
21/10/2013 00:00	4.13	4.16	4.13	4.15	7513	EUR	
22/10/2013 00:00	4.13	4.16	4.13	4.16	3230	EUR	
23/10/2013 00:00	4.15	4.15	4.11	4.11	14206	EUR	
24/10/2013 00:00	4.12	4.14	4.1	4.1	5874	EUR	
25/10/2013 00:00	4.07	4.11	4.05	4.11	4562	EUR	
28/10/2013 00:00	4.12	4.15	4.12	4.14	111868	EUR	
29/10/2013 00:00	4.12	4.16	4.12	4.16	4406	EUR	
30/10/2013 00:00	4.14	4.17	4.1	4.1	12004	EUR	
31/10/2013 00:00	4.05	4.11	4.02	4.04	64383	EUR	
01/11/2013 00:00	4	4.01	3.95	3.96	16534	EUR	
04/11/2013 00:00	3.96	3.98	3.95	3.95	2946	EUR	
05/11/2013 00:00	3.96	3.96	3.84	3.85	15162	EUR	
06/11/2013 00:00	3.87	3.88	3.84	3.87	24928	EUR	
07/11/2013 00:00	3.88	4	3.88	3.93	64409	EUR	
08/11/2013 00:00	3.9	3.91	3.81	3.83	75665	EUR	
11/11/2013 00:00	3.82	3.82	3.7	3.7	13039	EUR	
12/11/2013 00:00	3.72	3.72	3.64	3.67	21189	EUR	
13/11/2013 00:00	3.63	3.73	3.63	3.72	131983	EUR	
14/11/2013 00:00	3.76	3.85	3.76	3.84	21645	EUR	
15/11/2013 00:00	3.86	3.9	3.83	3.88	148215	EUR	
18/11/2013 00:00	3.88	3.93	3.88	3.92	9538	EUR	
19/11/2013 00:00	3.9	3.92	3.88	3.89	29468	EUR	
20/11/2013 00:00	3.89	3.96	3.84	3.94	40209	EUR	
21/11/2013 00:00	3.88	3.91	3.87	3.89	38762	EUR	
22/11/2013 00:00	3.9	3.94	3.9	3.93	4474	EUR	
25/11/2013 00:00	4	4.02	4	4	13534	EUR	
26/11/2013 00:00	3.97	3.97	3.9	3.9	7536	EUR	
27/11/2013 00:00	3.91	3.91	3.85	3.87	20377	EUR	
28/11/2013 00:00	3.87	3.87	3.84	3.84	48800	EUR	
29/11/2013 00:00	3.85	3.9	3.84	3.9	12663	EUR	
02/12/2013 00:00	3.92	3.92	3.83	3.83	22582	EUR	
03/12/2013 00:00	3.84	3.84	3.7	3.7	168358	EUR	
04/12/2013 00:00	3.71	3.74	3.66	3.72	42010	EUR	
05/12/2013 00:00	3.68	3.7	3.64	3.65	20157	EUR	
06/12/2013 00:00	3.64	3.78	3.64	3.77	84400	EUR	
09/12/2013 00:00	3.78	3.79	3.75	3.76	60056	EUR	
10/12/2013 00:00	3.74	3.76	3.72	3.75	9549	EUR	
11/12/2013 00:00	3.75	3.77	3.68	3.69	8903	EUR	
12/12/2013 00:00	3.69	3.7	3.67	3.67	59791	EUR	
13/12/2013 00:00	3.69	3.73	3.69	3.73	5147	EUR	
16/12/2013 00:00	3.72	3.81	3.72	3.81	4940	EUR	
17/12/2013 00:00	3.71	3.71	3.56	3.57	23619	EUR	
18/12/2013 00:00	3.45	3.63	3.45	3.61	44416	EUR	
19/12/2013 00:00	3.55	3.63	3.44	3.49	177420	EUR	
20/12/2013 00:00	3.48	3.5	3.43	3.47	324770	EUR	
23/12/2013 00:00	3.47	3.47	3.35	3.38	21840	EUR	
24/12/2013 00:00	3.41	3.46	3.41	3.46	0	EUR	
27/12/2013 00:00	3.03	3.13	2.94	3.13	47193	EUR	
30/12/2013 00:00	3.19	3.32	3.19	3.32	56923	EUR	
31/12/2013 00:00	3.36	3.36	3.27	3.28	111815	EUR	
02/01/2014 00:00	3.23	3.24	3.17	3.22	16476	EUR	
03/01/2014 00:00	3.24	3.26	3.15	3.16	12748	EUR	
06/01/2014 00:00	3.18	3.27	3.16	3.27	15116	EUR	
07/01/2014 00:00	3.26	3.33	3.25	3.33	80408	EUR	
08/01/2014 00:00	3.32	3.32	3.24	3.24	17938	EUR	
09/01/2014 00:00	3.19	3.21	3.18	3.19	4338	EUR	
10/01/2014 00:00	3.23	3.28	3.23	3.27	598	EUR	
13/01/2014 00:00	3.31	3.31	3.25	3.25	1329	EUR	
14/01/2014 00:00	3.21	3.26	3.19	3.26	17234	EUR	
15/01/2014 00:00	3.27	3.29	3.22	3.29	13256	EUR	
16/01/2014 00:00	3.2	3.2	3.17	3.17	500	EUR	
17/01/2014 00:00	3.19	3.19	3.12	3.12	500	EUR	
20/01/2014 00:00	3.06	3.1	3.06	3.1	0	EUR	
21/01/2014 00:00	3.13	3.17	3.08	3.09	2000	EUR	
22/01/2014 00:00	3.17	3.17	3.14	3.14	0	EUR	
23/01/2014 00:00	3.09	3.1	2.98	2.98	58070	EUR	
24/01/2014 00:00	2.99	2.99	2.83	2.86	20756	EUR	
27/01/2014 00:00	2.88	2.95	2.79	2.95	52506	EUR	
28/01/2014 00:00	3	3	2.93	2.94	147660	EUR	
29/01/2014 00:00	3.08	3.09	2.81	2.91	150021	EUR	
30/01/2014 00:00	2.87	2.93	2.8	2.93	15878	EUR	
31/01/2014 00:00	2.91	2.92	2.85	2.92	500	EUR	
03/02/2014 00:00	2.89	2.89	2.85	2.85	0	EUR	
04/02/2014 00:00	2.83	2.95	2.83	2.95	750	EUR	
05/02/2014 00:00	2.93	2.94	2.93	2.94	0	EUR	
06/02/2014 00:00	2.97	3.05	2.97	3.05	0	EUR	
07/02/2014 00:00	3.04	3.06	3.04	3.06	800	EUR	
10/02/2014 00:00	3	3.01	2.99	3	49299	EUR	
11/02/2014 00:00	3.02	3.07	3.02	3.07	0	EUR	
12/02/2014 00:00	3.11	3.11	3.09	3.09	725000	EUR	
13/02/2014 00:00	3.04	3.05	3.02	3.05	2500	EUR	
14/02/2014 00:00	3.04	3.11	3.04	3.11	0	EUR	
17/02/2014 00:00	3.12	3.14	3.12	3.14	0	EUR	
18/02/2014 00:00	3.11	3.11	3.06	3.06	13980	EUR	
19/02/2014 00:00	3.02	3.02	2.96	2.99	651	EUR	
20/02/2014 00:00	2.95	3.02	2.95	3.02	47252	EUR	
21/02/2014 00:00	3.01	3.05	3.01	3.05	3320	EUR	
24/02/2014 00:00	3.03	3.07	3.03	3.07	45202	EUR	
25/02/2014 00:00	2.93	2.94	2.93	2.94	106104	EUR	
26/02/2014 00:00	2.94	2.94	2.88	2.89	180908	EUR	
27/02/2014 00:00	2.85	2.93	2.85	2.93	183289	EUR	
28/02/2014 00:00	2.91	2.93	2.91	2.93	45902	EUR	
03/03/2014 00:00	2.87	2.87	2.83	2.84	1000	EUR	
04/03/2014 00:00	2.91	2.97	2.91	2.96	92719	EUR	
05/03/2014 00:00	2.97	3	2.97	2.97	3001	EUR	
06/03/2014 00:00	3.01	3.03	3.01	3.03	1000	EUR	
07/03/2014 00:00	3	3	2.93	2.94	300	EUR	
