date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	35.155	35.16	34.1	34.1	323835	EUR	
08/11/2012 00:00	34.38	34.38	34.01	34.09	581267	EUR	
09/11/2012 00:00	34.1	34.345	33.75	34.285	395753	EUR	
12/11/2012 00:00	34.195	34.3	34.075	34.145	68767	EUR	
13/11/2012 00:00	33.93	34.36	33.77	34.325	252987	EUR	
14/11/2012 00:00	34.205	34.4	33.98	34.025	166710	EUR	
15/11/2012 00:00	33.83	34.025	33.775	33.84	364092	EUR	
16/11/2012 00:00	33.795	33.965	33.45	33.45	713995	EUR	
19/11/2012 00:00	33.8	34.475	33.745	34.415	426828	EUR	
20/11/2012 00:00	34.255	34.67	34.175	34.645	600682	EUR	
21/11/2012 00:00	34.565	34.86	34.49	34.81	230603	EUR	
22/11/2012 00:00	34.89	35.02	34.86	35.005	123674	EUR	
23/11/2012 00:00	35.085	35.32	34.86	35.32	209850	EUR	
26/11/2012 00:00	35.175	35.25	34.975	35.025	267007	EUR	
27/11/2012 00:00	35.345	35.35	34.97	35.045	328319	EUR	
28/11/2012 00:00	34.995	35.23	34.83	35.19	156441	EUR	
29/11/2012 00:00	35.385	35.74	35.385	35.72	315001	EUR	
30/11/2012 00:00	35.69	35.895	35.63	35.63	245367	EUR	
03/12/2012 00:00	35.735	36.09	35.705	35.72	241682	EUR	
04/12/2012 00:00	35.74	36.015	35.685	35.855	321133	EUR	
05/12/2012 00:00	36.065	36.115	35.81	35.955	343306	EUR	
06/12/2012 00:00	36.075	36.275	35.895	36.02	195908	EUR	
07/12/2012 00:00	36.165	36.28	35.95	36.095	433140	EUR	
10/12/2012 00:00	35.99	36.2	35.81	36.155	187543	EUR	
11/12/2012 00:00	36.18	36.535	36.145	36.46	503540	EUR	
12/12/2012 00:00	36.31	36.37	36.225	36.33	156188	EUR	
13/12/2012 00:00	36.4	36.41	36.2	36.25	232834	EUR	
14/12/2012 00:00	36.295	36.38	36.17	36.28	376261	EUR	
17/12/2012 00:00	36.245	36.315	36.03	36.305	437952	EUR	
18/12/2012 00:00	36.41	36.49	36.24	36.415	143400	EUR	
19/12/2012 00:00	36.5	36.625	36.46	36.58	171280	EUR	
20/12/2012 00:00	36.455	36.665	36.44	36.6	285584	EUR	
21/12/2012 00:00	36.485	36.59	36.305	36.59	395818	EUR	
24/12/2012 00:00	36.63	36.645	36.445	36.54	55365	EUR	
27/12/2012 00:00	36.62	36.77	36.57	36.655	146425	EUR	
28/12/2012 00:00	36.7	36.73	36.105	36.14	252027	EUR	
31/12/2012 00:00	36.045	36.495	36.03	36.29	153136	EUR	
02/01/2013 00:00	37	37.235	36.85	37.235	804571	EUR	
03/01/2013 00:00	37.115	37.19	36.955	37.13	314669	EUR	
04/01/2013 00:00	36.98	37.205	36.895	37.205	192583	EUR	
07/01/2013 00:00	37.19	37.215	36.885	36.965	222902	EUR	
08/01/2013 00:00	36.87	37.23	36.87	36.985	312927	EUR	
09/01/2013 00:00	37.155	37.2	36.96	37.08	255267	EUR	
10/01/2013 00:00	37.035	37.185	36.87	36.945	408053	EUR	
11/01/2013 00:00	37.075	37.075	36.76	36.985	121819	EUR	
14/01/2013 00:00	37.125	37.22	36.98	37.02	116509	EUR	
15/01/2013 00:00	36.92	37.105	36.82	36.93	305873	EUR	
16/01/2013 00:00	36.87	37.08	36.72	37.005	172001	EUR	
17/01/2013 00:00	37.045	37.46	37	37.35	312334	EUR	
18/01/2013 00:00	37.46	37.525	37.27	37.31	186319	EUR	
21/01/2013 00:00	37.455	37.56	37.31	37.56	121131	EUR	
22/01/2013 00:00	37.545	37.55	37.18	37.33	262415	EUR	
23/01/2013 00:00	37.4	37.405	37.07	37.19	231855	EUR	
24/01/2013 00:00	37.1	37.44	37.035	37.415	189529	EUR	
25/01/2013 00:00	37.385	37.74	37.385	37.68	395265	EUR	
28/01/2013 00:00	37.72	37.81	37.635	37.745	305811	EUR	
29/01/2013 00:00	37.715	37.81	37.555	37.81	453377	EUR	
30/01/2013 00:00	37.8	37.85	37.505	37.575	339569	EUR	
31/01/2013 00:00	37.5	37.53	37.175	37.245	294876	EUR	
01/02/2013 00:00	37.29	37.75	37.29	37.655	192236	EUR	
04/02/2013 00:00	37.655	37.665	36.535	36.535	440595	EUR	
05/02/2013 00:00	36.56	37.02	36.55	36.87	449858	EUR	
06/02/2013 00:00	36.74	36.995	36.165	36.355	410643	EUR	
07/02/2013 00:00	36.295	36.515	35.955	35.955	328135	EUR	
08/02/2013 00:00	36.08	36.455	36.01	36.395	315833	EUR	
11/02/2013 00:00	36.43	36.68	36.275	36.435	438252	EUR	
12/02/2013 00:00	36.36	36.775	36.33	36.765	154863	EUR	
13/02/2013 00:00	36.795	37	36.66	36.885	74031	EUR	
14/02/2013 00:00	36.87	37.005	36.49	36.645	300659	EUR	
15/02/2013 00:00	36.61	36.855	36.5	36.535	164320	EUR	
18/02/2013 00:00	36.42	36.595	36.31	36.595	80423	EUR	
19/02/2013 00:00	36.56	37.315	36.56	37.285	300015	EUR	
20/02/2013 00:00	37.2	37.33	36.95	37.005	142715	EUR	
21/02/2013 00:00	36.76	36.795	36.165	36.165	372400	EUR	
22/02/2013 00:00	36.41	36.99	36.405	36.98	455243	EUR	
25/02/2013 00:00	37.27	37.79	36.965	37.145	540226	EUR	
26/02/2013 00:00	36.065	36.59	36.045	36.15	492603	EUR	
27/02/2013 00:00	36.35	36.85	36.115	36.82	160877	EUR	
28/02/2013 00:00	37.015	37.205	36.77	37.15	267824	EUR	
01/03/2013 00:00	37.105	37.235	36.545	36.935	334855	EUR	
04/03/2013 00:00	36.68	37.15	36.65	37.015	109613	EUR	
05/03/2013 00:00	37.43	37.84	37.385	37.765	538021	EUR	
06/03/2013 00:00	37.8	38	37.605	37.625	397340	EUR	
07/03/2013 00:00	37.76	37.93	37.725	37.82	259634	EUR	
