date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	95.54	95.7	94.4	94.4	371	EUR	
08/11/2012 00:00	94.63	94.63	93.87	93.87	0	EUR	
09/11/2012 00:00	94.06	94.06	93.97	93.97	0	EUR	
12/11/2012 00:00	94.12	94.12	94.07	94.07	0	EUR	
13/11/2012 00:00	93.91	94.02	93.91	94.02	0	EUR	
14/11/2012 00:00	93.98	93.98	93.69	93.69	0	EUR	
15/11/2012 00:00	93.51	93.51	92.92	92.93	40	EUR	
16/11/2012 00:00	92.86	92.86	92.86	92.86	0	EUR	
19/11/2012 00:00	92.84	93.54	92.84	93.52	22	EUR	
20/11/2012 00:00	93.41	94.22	93.41	94.22	0	EUR	
21/11/2012 00:00	94.07	94.44	94.07	94.44	0	EUR	
22/11/2012 00:00	94.69	95.48	94.69	95.48	0	EUR	
23/11/2012 00:00	95.63	96.49	95.41	96.49	67	EUR	
26/11/2012 00:00	96.24	96.24	95.69	95.85	30	EUR	
27/11/2012 00:00	96.18	96.48	96.18	96.48	48	EUR	
28/11/2012 00:00	96.35	96.35	95.88	96.32	200	EUR	
29/11/2012 00:00	97	97.51	97	97.51	610	EUR	
30/11/2012 00:00	97.31	97.92	97.31	97.52	49	EUR	
03/12/2012 00:00	97.98	98.03	97.18	97.18	1534	EUR	
04/12/2012 00:00	97.13	97.13	96.94	96.94	0	EUR	
05/12/2012 00:00	97.16	97.57	97.16	97.3	211	EUR	
06/12/2012 00:00	97.61	97.92	97.61	97.92	0	EUR	
07/12/2012 00:00	97.94	98.59	97.94	98.59	0	EUR	
10/12/2012 00:00	97.86	98.54	97.86	98.54	162	EUR	
11/12/2012 00:00	98.63	99.82	98.63	99.82	2210	EUR	
12/12/2012 00:00	99.38	99.44	99.36	99.36	150	EUR	
13/12/2012 00:00	99.5	99.5	99.48	99.48	0	EUR	
14/12/2012 00:00	99.51	99.67	99.41	99.41	2	EUR	
17/12/2012 00:00	99.36	99.36	99.04	99.34	50	EUR	
18/12/2012 00:00	99.56	99.92	99.5	99.72	100	EUR	
19/12/2012 00:00	99.92	100.07	99.92	100.07	0	EUR	
20/12/2012 00:00	99.63	99.72	99.63	99.72	20	EUR	
21/12/2012 00:00	98.79	98.79	98.79	98.79	0	EUR	
24/12/2012 00:00	98.5	98.5	98.3	98.3	6	EUR	
27/12/2012 00:00	98.44	99.45	98.44	99.45	495	EUR	
28/12/2012 00:00	99.28	99.28	98.57	98.57	242	EUR	
31/12/2012 00:00	98.41	98.89	98.41	98.72	80	EUR	
02/01/2013 00:00	100.32	100.73	100.32	100.44	276	EUR	
03/01/2013 00:00	101	101.36	100.96	101.19	329	EUR	
04/01/2013 00:00	101.13	101.37	100.85	101.37	17	EUR	
07/01/2013 00:00	101.77	101.77	101.4	101.6	295	EUR	
08/01/2013 00:00	101.6	101.8	101.6	101.72	59	EUR	
09/01/2013 00:00	101.99	102.46	101.99	102.05	79	EUR	
10/01/2013 00:00	102.13	102.13	101.5	101.57	356	EUR	
11/01/2013 00:00	101.88	101.88	101.55	101.77	24	EUR	
14/01/2013 00:00	101.98	102.39	101.98	102.28	688	EUR	
15/01/2013 00:00	102.27	102.49	101.88	101.94	87	EUR	
16/01/2013 00:00	101.83	101.87	101.51	101.87	45	EUR	
17/01/2013 00:00	101.96	103.55	101.96	103.55	1272	EUR	
18/01/2013 00:00	103.6	104.34	103.6	104.22	579	EUR	
21/01/2013 00:00	104.15	104.44	103.91	104.44	496	EUR	
22/01/2013 00:00	104.49	104.62	104.2	104.26	149	EUR	
23/01/2013 00:00	104.46	104.47	103.97	104.47	91	EUR	
24/01/2013 00:00	104.46	104.49	103.5	104.49	62	EUR	
25/01/2013 00:00	104.81	104.95	104.56	104.9	1429	EUR	
28/01/2013 00:00	104.58	105.28	104.19	104.55	2008	EUR	
29/01/2013 00:00	104.74	104.74	103.98	104.16	2302	EUR	
30/01/2013 00:00	104.3	104.59	103.57	103.85	3061	EUR	
31/01/2013 00:00	103.81	103.89	102.52	103.26	1015	EUR	
01/02/2013 00:00	103.4	105.44	103.4	105.02	316	EUR	
04/02/2013 00:00	105.18	105.18	103.57	103.57	21	EUR	
05/02/2013 00:00	103.52	103.97	103.3	103.91	1064	EUR	
06/02/2013 00:00	104.01	104.01	103.75	103.75	0	EUR	
07/02/2013 00:00	103.8	103.8	103.65	103.65	4	EUR	
08/02/2013 00:00	103.9	104.57	103.9	104.57	36	EUR	
11/02/2013 00:00	104.4	104.51	104.32	104.32	100	EUR	
12/02/2013 00:00	104.42	104.42	104.42	104.42	0	EUR	
13/02/2013 00:00	104.96	105.59	104.96	105.44	34	EUR	
14/02/2013 00:00	105.47	105.5	105.19	105.25	45	EUR	
15/02/2013 00:00	105.25	106.16	105.25	106.16	16	EUR	
18/02/2013 00:00	106.23	106.23	106.1	106.1	8	EUR	
19/02/2013 00:00	106.35	107.4	106.35	107.4	8	EUR	
20/02/2013 00:00	107.3	107.86	106.9	106.9	502	EUR	
21/02/2013 00:00	106.25	106.25	104.88	104.89	282	EUR	
22/02/2013 00:00	105.26	106.39	105.26	105.88	235	EUR	
25/02/2013 00:00	106.56	106.56	105.75	105.89	2332	EUR	
26/02/2013 00:00	104.16	104.58	104.05	104.32	93	EUR	
27/02/2013 00:00	104.6	105.07	103.93	104.97	5422	EUR	
28/02/2013 00:00	105.37	105.66	104.87	105.66	322	EUR	
01/03/2013 00:00	105.97	105.97	105.58	105.58	15	EUR	
04/03/2013 00:00	105.9	105.9	105.67	105.67	10	EUR	
05/03/2013 00:00	106.87	107.56	106.55	107.56	1104	EUR	
06/03/2013 00:00	107.42	107.42	107.09	107.09	0	EUR	
07/03/2013 00:00	107.15	107.15	106.78	107.15	80	EUR	
08/03/2013 00:00	107.57	108.21	107.31	107.81	600	EUR	
11/03/2013 00:00	108.29	108.29	107.67	107.67	32	EUR	
12/03/2013 00:00	107.28	107.62	107.28	107.62	3	EUR	
13/03/2013 00:00	107.56	107.56	107.18	107.18	20	EUR	
14/03/2013 00:00	107.47	108.04	107.47	107.93	430	EUR	
15/03/2013 00:00	108.27	108.27	107.43	107.89	412	EUR	
18/03/2013 00:00	106.72	108.63	106.72	108.23	35	EUR	
19/03/2013 00:00	108.16	108.16	107.3	107.3	0	EUR	
20/03/2013 00:00	107.72	107.8	107.3	107.3	20	EUR	
21/03/2013 00:00	107.82	107.82	106.71	107.22	149	EUR	
22/03/2013 00:00	107.03	107.03	106.33	106.85	245	EUR	
25/03/2013 00:00	107.36	107.36	106.19	106.19	10	EUR	
26/03/2013 00:00	106.36	106.58	105.92	106.21	92	EUR	
27/03/2013 00:00	106.25	106.25	104.15	104.76	100	EUR	
28/03/2013 00:00	104.67	104.98	104.67	104.98	40	EUR	
02/04/2013 00:00	105.36	106.34	105.36	106.06	3	EUR	
03/04/2013 00:00	105.98	105.98	105.84	105.84	0	EUR	
04/04/2013 00:00	105.68	105.68	104.73	104.73	190	EUR	
