date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	33.09	33.09	32.18	32.2	39590	EUR	
08/11/2012 00:00	32.43	32.43	32.12	32.12	33116	EUR	
09/11/2012 00:00	32.13	32.17	31.73	32.14	31044	EUR	
12/11/2012 00:00	32.04	32.19	32.03	32.07	27122	EUR	
13/11/2012 00:00	31.9	32.25	31.79	32.25	44121	EUR	
14/11/2012 00:00	32.17	32.33	32	32	17439	EUR	
15/11/2012 00:00	31.81	31.92	31.77	31.77	59099	EUR	
16/11/2012 00:00	31.77	31.85	31.39	31.39	13170	EUR	
19/11/2012 00:00	31.66	32.21	31.59	32.18	47323	EUR	
20/11/2012 00:00	32.01	32.39	32.01	32.35	38510	EUR	
21/11/2012 00:00	32.25	32.5	32.16	32.45	28592	EUR	
22/11/2012 00:00	32.5	32.69	32.5	32.69	6696	EUR	
23/11/2012 00:00	32.75	32.93	32.49	32.93	15036	EUR	
26/11/2012 00:00	32.83	32.86	32.73	32.8	17542	EUR	
27/11/2012 00:00	33.05	33.06	32.82	32.85	18141	EUR	
28/11/2012 00:00	32.83	32.9	32.64	32.9	12024	EUR	
29/11/2012 00:00	33.09	33.34	33.09	33.33	52323	EUR	
30/11/2012 00:00	33.3	33.52	33.3	33.31	10763	EUR	
03/12/2012 00:00	33.39	33.68	33.31	33.36	6192	EUR	
04/12/2012 00:00	33.36	33.58	33.36	33.41	21089	EUR	
05/12/2012 00:00	33.63	33.68	33.42	33.48	39301	EUR	
06/12/2012 00:00	33.52	33.85	33.52	33.66	37122	EUR	
07/12/2012 00:00	33.69	33.73	33.53	33.63	33261	EUR	
10/12/2012 00:00	33.41	33.58	33.24	33.58	31162	EUR	
11/12/2012 00:00	33.6	33.88	33.6	33.87	16339	EUR	
12/12/2012 00:00	33.73	33.85	33.73	33.79	12117	EUR	
13/12/2012 00:00	33.82	33.88	33.65	33.74	39464	EUR	
14/12/2012 00:00	33.77	33.9	33.71	33.83	61927	EUR	
17/12/2012 00:00	33.83	33.86	33.64	33.79	17225	EUR	
18/12/2012 00:00	33.92	34.03	33.88	34.03	101946	EUR	
19/12/2012 00:00	34.07	34.24	34.07	34.14	101583	EUR	
20/12/2012 00:00	34.01	34.25	34.01	34.22	14556	EUR	
21/12/2012 00:00	34.07	34.11	33.89	34.11	24840	EUR	
27/12/2012 00:00	34.22	34.26	34	34.17	37548	EUR	
28/12/2012 00:00	34.19	34.19	33.7	33.83	79464	EUR	
02/01/2013 00:00	34.47	34.79	34.47	34.79	10861	EUR	
03/01/2013 00:00	34.69	34.78	34.62	34.75	59056	EUR	
04/01/2013 00:00	34.64	34.81	34.6	34.81	12758	EUR	
07/01/2013 00:00	34.82	34.85	34.62	34.65	27523	EUR	
08/01/2013 00:00	34.58	34.83	34.58	34.59	16961	EUR	
09/01/2013 00:00	34.77	34.86	34.64	34.82	28840	EUR	
10/01/2013 00:00	34.79	35	34.72	34.79	100055	EUR	
11/01/2013 00:00	34.88	34.88	34.73	34.85	36859	EUR	
14/01/2013 00:00	35	35.1	34.76	34.84	36839	EUR	
15/01/2013 00:00	34.7	34.89	34.58	34.75	29197	EUR	
16/01/2013 00:00	34.66	34.78	34.59	34.78	16079	EUR	
17/01/2013 00:00	34.8	35.13	34.8	35.06	30629	EUR	
18/01/2013 00:00	35.21	35.21	34.98	35.03	24684	EUR	
21/01/2013 00:00	35.14	35.22	35.03	35.22	24427	EUR	
