date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	72.43	72.43	70.495	70.495	204079	EUR	
08/11/2012 00:00	70.925	71.005	70.065	70.18	78553	EUR	
09/11/2012 00:00	70.32	70.365	68.845	69.795	179895	EUR	
12/11/2012 00:00	69.76	70.06	69.65	69.9	58001	EUR	
13/11/2012 00:00	69.365	69.85	69.1	69.83	117784	EUR	
14/11/2012 00:00	69.7	69.81	69.245	69.245	26073	EUR	
15/11/2012 00:00	68.8	68.97	68.455	68.63	62581	EUR	
16/11/2012 00:00	68.63	68.73	67.73	67.73	132491	EUR	
19/11/2012 00:00	68.44	69.48	68.415	69.39	94644	EUR	
20/11/2012 00:00	69.21	70.03	69.21	69.88	52337	EUR	
21/11/2012 00:00	69.67	70.06	69.61	70	6098	EUR	
22/11/2012 00:00	70.255	70.65	70.255	70.585	65169	EUR	
23/11/2012 00:00	70.715	71.245	70.445	71.21	49705	EUR	
26/11/2012 00:00	70.995	71.21	70.9	71.07	33305	EUR	
27/11/2012 00:00	71.6	71.65	71.275	71.46	53579	EUR	
28/11/2012 00:00	71.29	71.59	70.91	71.55	74422	EUR	
29/11/2012 00:00	71.89	72.23	71.89	72.095	108853	EUR	
30/11/2012 00:00	72.095	72.51	72.095	72.2	22216	EUR	
03/12/2012 00:00	72.33	72.93	72.315	72.385	18416	EUR	
04/12/2012 00:00	72.2	72.665	72.2	72.415	19714	EUR	
05/12/2012 00:00	72.915	72.915	72.41	72.615	26782	EUR	
06/12/2012 00:00	72.94	73.705	72.76	73.4	79730	EUR	
07/12/2012 00:00	73.46	73.57	73	73.24	55334	EUR	
10/12/2012 00:00	73.015	73.42	72.76	73.4	89668	EUR	
11/12/2012 00:00	73.35	74.02	73.29	73.915	142180	EUR	
12/12/2012 00:00	74.13	74.3	74	74.21	71117	EUR	
13/12/2012 00:00	74.215	74.22	73.735	73.88	93668	EUR	
14/12/2012 00:00	74.07	74.2	73.765	74.015	21232	EUR	
17/12/2012 00:00	74.1	74.3	73.72	74.09	38783	EUR	
18/12/2012 00:00	74.415	74.7	74.3	74.615	25218	EUR	
19/12/2012 00:00	74.755	74.85	74.6	74.735	33494	EUR	
20/12/2012 00:00	74.445	74.775	74.44	74.7	7986	EUR	
21/12/2012 00:00	74.45	74.53	74.03	74.41	16852	EUR	
27/12/2012 00:00	74.465	74.765	74.45	74.585	7548	EUR	
28/12/2012 00:00	74.59	74.65	73.785	73.785	6503	EUR	
02/01/2013 00:00	75.68	75.885	75.21	75.785	26958	EUR	
03/01/2013 00:00	75.7	75.72	75.43	75.58	34080	EUR	
04/01/2013 00:00	75.41	75.75	75.3	75.75	13910	EUR	
07/01/2013 00:00	75.635	75.66	75.125	75.325	28596	EUR	
08/01/2013 00:00	75.07	75.5	74.885	74.96	30950	EUR	
09/01/2013 00:00	75.205	75.355	74.895	75.21	42514	EUR	
10/01/2013 00:00	75.245	75.7	74.925	75.11	47858	EUR	
11/01/2013 00:00	75.315	75.315	74.9	75.18	45543	EUR	
14/01/2013 00:00	75.345	75.8	75.03	75.32	21097	EUR	
15/01/2013 00:00	75.105	75.25	74.41	74.79	59872	EUR	
16/01/2013 00:00	74.67	74.935	74.43	74.905	47015	EUR	
17/01/2013 00:00	74.715	75.6	74.64	75.34	136958	EUR	
18/01/2013 00:00	75.465	75.485	75.05	75.085	49253	EUR	
21/01/2013 00:00	75.37	75.49	75.21	75.465	23568	EUR	
22/01/2013 00:00	75.43	75.43	74.345	75.005	216907	EUR	
23/01/2013 00:00	74.995	75.305	74.865	75.115	86092	EUR	
24/01/2013 00:00	74.76	75.495	74.64	75.495	43387	EUR	
25/01/2013 00:00	75.405	76.595	75.405	76.52	212315	EUR	
28/01/2013 00:00	76.545	76.63	76.3	76.31	46182	EUR	
29/01/2013 00:00	76.39	76.5	76.01	76.49	102166	EUR	
30/01/2013 00:00	76.54	76.57	75.77	76.105	62151	EUR	
31/01/2013 00:00	75.975	76.02	75.72	75.795	11350	EUR	
01/02/2013 00:00	75.91	76.365	75.865	76.255	43034	EUR	
04/02/2013 00:00	76.16	76.33	74.4	74.4	81896	EUR	
05/02/2013 00:00	74.39	74.735	74.25	74.63	76892	EUR	
06/02/2013 00:00	74.555	74.78	73.42	73.84	95595	EUR	
07/02/2013 00:00	73.765	74.51	73.765	73.94	66953	EUR	
08/02/2013 00:00	74.12	74.535	73.89	74.47	27860	EUR	
11/02/2013 00:00	74.325	74.73	74	74.325	64568	EUR	
12/02/2013 00:00	74.175	74.595	74	74.58	52653	EUR	
13/02/2013 00:00	74.705	75.3	74.5	75.115	102003	EUR	
14/02/2013 00:00	74.995	75.235	74.095	74.345	40333	EUR	
15/02/2013 00:00	74.355	74.43	73.89	73.955	19761	EUR	
18/02/2013 00:00	73.91	74.29	73.71	74.29	29787	EUR	
19/02/2013 00:00	74.21	75.595	74.2	75.495	100002	EUR	
20/02/2013 00:00	75.46	75.755	75.28	75.28	24765	EUR	
21/02/2013 00:00	74.855	74.87	73.565	73.83	138289	EUR	
22/02/2013 00:00	74.13	74.74	74.105	74.6	70168	EUR	
25/02/2013 00:00	75.29	76.54	75.265	75.675	215755	EUR	
26/02/2013 00:00	74.15	74.66	73.97	74.025	108886	EUR	
27/02/2013 00:00	74.175	74.745	73.7	74.745	102387	EUR	
28/02/2013 00:00	75.215	75.5	74.925	75.395	36387	EUR	
01/03/2013 00:00	75.405	75.55	74.295	75.13	108932	EUR	
04/03/2013 00:00	74.555	75.06	74.43	74.945	37475	EUR	
05/03/2013 00:00	75.785	76.69	75.74	76.64	44061	EUR	
06/03/2013 00:00	76.925	77.665	76.925	77.145	37447	EUR	
07/03/2013 00:00	77.245	77.42	77.085	77.31	28661	EUR	
08/03/2013 00:00	77.655	78.35	77	77.745	52568	EUR	
11/03/2013 00:00	77.67	77.73	77.45	77.73	50365	EUR	
12/03/2013 00:00	77.565	77.875	77.245	77.57	41301	EUR	
13/03/2013 00:00	77.515	77.65	77.355	77.65	32368	EUR	
14/03/2013 00:00	78.05	78.475	78.04	78.45	31872	EUR	
15/03/2013 00:00	78.505	78.505	77.91	78.275	83850	EUR	
18/03/2013 00:00	77.015	78.1	76.965	77.98	84239	EUR	
19/03/2013 00:00	77.65	77.885	77.145	77.425	41152	EUR	
20/03/2013 00:00	77.775	78.19	77.63	77.895	56101	EUR	
21/03/2013 00:00	77.775	77.825	76.91	77.22	72084	EUR	
22/03/2013 00:00	77.05	77.33	76.775	77.05	28248	EUR	
25/03/2013 00:00	76.65	78.185	76.45	76.65	93838	EUR	
26/03/2013 00:00	76.875	77.04	76.525	76.745	99399	EUR	
27/03/2013 00:00	76.925	76.925	75.44	75.885	170227	EUR	
28/03/2013 00:00	75.85	76.25	75.75	75.915	45798	EUR	
02/04/2013 00:00	76.05	77.345	76.05	77.345	105887	EUR	
03/04/2013 00:00	77.19	77.35	76.68	76.68	114649	EUR	
04/04/2013 00:00	76.96	77.17	76	76.12	140309	EUR	
05/04/2013 00:00	76.125	76.135	74.3	74.58	145152	EUR	
08/04/2013 00:00	74.745	74.905	74.39	74.57	54766	EUR	
09/04/2013 00:00	74.875	75.095	74.135	74.275	92201	EUR	
10/04/2013 00:00	74.625	76.1	74.625	76.03	99983	EUR	
11/04/2013 00:00	75.86	76.65	75.86	76.65	56802	EUR	
12/04/2013 00:00	76.205	76.23	75.295	75.365	62899	EUR	
15/04/2013 00:00	75.475	75.66	74.5	75.095	52884	EUR	
16/04/2013 00:00	74.66	75.31	74.37	74.815	68775	EUR	
17/04/2013 00:00	75.105	75.105	72.65	73.105	148026	EUR	
