date	ouv	haut	bas	clot	vol	devise	
05/12/2017 00:00	20.36	20.36	20.36	20.36	0	EUR	
06/12/2017 00:00	20.38	20.38	20.38	20.38	0	EUR	
07/12/2017 00:00	20.4	20.4	20.4	20.4	0	EUR	
08/12/2017 00:00	20.47	20.47	20.42	20.42	0	EUR	
11/12/2017 00:00	20.45	20.45	20.4	20.4	0	EUR	
12/12/2017 00:00	20.44	20.46	20.44	20.46	0	EUR	
13/12/2017 00:00	20.44	20.44	20.37	20.37	0	EUR	
14/12/2017 00:00	20.36	20.36	20.3	20.3	0	EUR	
15/12/2017 00:00	20.27	20.29	20.27	20.29	0	EUR	
18/12/2017 00:00	20.54	20.54	20.54	20.54	0	EUR	
19/12/2017 00:00	20.55	20.55	20.49	20.49	0	EUR	
20/12/2017 00:00	20.49	20.49	20.35	20.35	0	EUR	
21/12/2017 00:00	20.39	20.39	20.39	20.39	0	EUR	
22/12/2017 00:00	20.36	20.37	20.36	20.37	0	EUR	
27/12/2017 00:00	20.37	20.42	20.37	20.42	0	EUR	
28/12/2017 00:00	20.41	20.41	20.37	20.37	0	EUR	
29/12/2017 00:00	20.36	20.36	20.3	20.3	0	EUR	
02/01/2018 00:00	20.33	20.33	20.3	20.3	0	EUR	
03/01/2018 00:00	20.35	20.41	20.35	20.41	0	EUR	
04/01/2018 00:00	20.6	20.6	20.6	20.6	0	EUR	
05/01/2018 00:00	20.63	20.78	20.63	20.78	0	EUR	
08/01/2018 00:00	20.84	20.84	20.81	20.81	0	EUR	
09/01/2018 00:00	20.84	20.88	20.84	20.88	0	EUR	
10/01/2018 00:00	20.85	20.85	20.74	20.74	0	EUR	
11/01/2018 00:00	20.76	20.76	20.66	20.66	0	EUR	
12/01/2018 00:00	20.69	20.71	20.69	20.71	0	EUR	
15/01/2018 00:00	20.7	20.7	20.7	20.7	0	EUR	
16/01/2018 00:00	20.74	20.8	20.74	20.8	0	EUR	
17/01/2018 00:00	20.76	20.8	20.76	20.8	0	EUR	
18/01/2018 00:00	20.84	20.84	20.79	20.79	0	EUR	
19/01/2018 00:00	20.8	20.92	20.8	20.92	0	EUR	
22/01/2018 00:00	20.92	20.95	20.92	20.95	0	EUR	
23/01/2018 00:00	21	21	20.99	20.99	0	EUR	
24/01/2018 00:00	20.96	20.96	20.82	20.82	0	EUR	
25/01/2018 00:00	20.81	20.81	20.71	20.71	0	EUR	
26/01/2018 00:00	20.71	20.8	20.71	20.8	0	EUR	
29/01/2018 00:00	20.79	20.79	20.695	20.695	0	EUR	
30/01/2018 00:00	20.63	20.63	20.555	20.555	0	EUR	
31/01/2018 00:00	20.6	20.645	20.6	20.645	0	EUR	
01/02/2018 00:00	20.72	20.72	20.635	20.635	0	EUR	
02/02/2018 00:00	20.335	20.335	20.335	20.335	0	EUR	
05/02/2018 00:00	20.055	20.055	20.055	20.055	0	EUR	
06/02/2018 00:00	19.628	19.628	19.628	19.628	0	EUR	
07/02/2018 00:00	19.884	20.015	19.884	20.015	250	EUR	
08/02/2018 00:00	19.95	19.95	19.658	19.658	0	EUR	
09/02/2018 00:00	19.612	19.612	19.542	19.542	0	EUR	
12/02/2018 00:00	19.656	19.718	19.656	19.718	0	EUR	
13/02/2018 00:00	19.754	19.754	19.592	19.592	0	EUR	
14/02/2018 00:00	19.71	19.742	19.71	19.742	0	EUR	
15/02/2018 00:00	19.88	19.88	19.88	19.88	0	EUR	
16/02/2018 00:00	19.998	20.115	19.998	20.115	0	EUR	
19/02/2018 00:00	20.165	20.165	20.015	20.015	0	EUR	
20/02/2018 00:00	20.035	20.085	20.035	20.085	0	EUR	
21/02/2018 00:00	20.005	20.07	20.005	20.07	0	EUR	
22/02/2018 00:00	19.944	20.105	19.944	20.105	0	EUR	
23/02/2018 00:00	20.14	20.19	20.14	20.19	0	EUR	
26/02/2018 00:00	20.275	20.275	20.265	20.265	0	EUR	
27/02/2018 00:00	20.295	20.295	20.19	20.19	0	EUR	
28/02/2018 00:00	20.115	20.115	20.11	20.11	0	EUR	
01/03/2018 00:00	20.06	20.06	19.872	19.872	0	EUR	
02/03/2018 00:00	19.698	19.698	19.554	19.554	0	EUR	
05/03/2018 00:00	19.498	19.732	19.498	19.732	0	EUR	
06/03/2018 00:00	19.874	19.874	19.806	19.806	0	EUR	
07/03/2018 00:00	19.758	19.894	19.758	19.894	0	EUR	
08/03/2018 00:00	19.902	20.115	19.902	20.115	0	EUR	
09/03/2018 00:00	20.105	20.19	20.105	20.19	0	EUR	
12/03/2018 00:00	20.305	20.305	20.25	20.25	0	EUR	
13/03/2018 00:00	20.245	20.245	20.09	20.09	0	EUR	
14/03/2018 00:00	20.035	20.035	19.992	19.992	0	EUR	
15/03/2018 00:00	20.045	20.075	20.045	20.075	0	EUR	
16/03/2018 00:00	20.085	20.085	20.045	20.045	0	EUR	
19/03/2018 00:00	19.994	19.994	19.912	19.912	0	EUR	
20/03/2018 00:00	19.936	19.958	19.936	19.958	0	EUR	
21/03/2018 00:00	19.98	19.98	19.922	19.922	0	EUR	
22/03/2018 00:00	19.834	19.834	19.716	19.716	65	EUR	
23/03/2018 00:00	19.568	19.568	19.568	19.568	0	EUR	
26/03/2018 00:00	19.61	19.64	19.462	19.462	65	EUR	
27/03/2018 00:00	19.674	19.674	19.652	19.652	0	EUR	
28/03/2018 00:00	19.778	19.778	19.778	19.778	0	EUR	
29/03/2018 00:00	19.784	19.834	19.784	19.834	0	EUR	
03/04/2018 00:00	19.722	19.722	19.686	19.686	0	EUR	
04/04/2018 00:00	19.724	19.724	19.618	19.618	0	EUR	
06/04/2018 00:00	19.934	19.964	19.934	19.964	0	EUR	
09/04/2018 00:00	20.015	20.015	19.992	19.992	0	EUR	
10/04/2018 00:00	20.055	20.06	20.055	20.06	0	EUR	
11/04/2018 00:00	20.05	20.05	19.992	19.992	0	EUR	
12/04/2018 00:00	19.984	19.984	19.984	19.984	0	EUR	
13/04/2018 00:00	20.125	20.125	20.125	20.125	0	EUR	
16/04/2018 00:00	20.135	20.135	20.11	20.11	0	EUR	
17/04/2018 00:00	20.125	20.245	20.125	20.245	0	EUR	
18/04/2018 00:00	20.26	20.29	20.26	20.29	0	EUR	
19/04/2018 00:00	20.31	20.32	20.31	20.32	0	EUR	
20/04/2018 00:00	20.355	20.355	20.34	20.34	0	EUR	
23/04/2018 00:00	20.34	20.34	20.34	20.34	0	EUR	
24/04/2018 00:00	20.325	20.325	20.27	20.27	100	EUR	
25/04/2018 00:00	20.195	20.195	20.17	20.17	0	EUR	
26/04/2018 00:00	20.17	20.395	20.17	20.395	0	EUR	
27/04/2018 00:00	20.44	20.54	20.44	20.54	0	EUR	
30/04/2018 00:00	20.545	20.6	20.545	20.6	0	EUR	
02/05/2018 00:00	20.645	20.685	20.645	20.685	0	EUR	
03/05/2018 00:00	20.625	20.625	20.625	20.625	0	EUR	
04/05/2018 00:00	20.66	20.68	20.66	20.68	0	EUR	
07/05/2018 00:00	20.7	20.795	20.7	20.795	0	EUR	
08/05/2018 00:00	20.795	20.845	20.795	20.845	0	EUR	
09/05/2018 00:00	20.845	20.88	20.845	20.88	0	EUR	
10/05/2018 00:00	20.85	20.895	20.85	20.895	0	EUR	
11/05/2018 00:00	20.91	20.91	20.905	20.905	0	EUR	
14/05/2018 00:00	20.915	20.915	20.905	20.905	0	EUR	
15/05/2018 00:00	20.825	20.825	20.805	20.805	0	EUR	
16/05/2018 00:00	20.78	20.79	20.78	20.79	0	EUR	
17/05/2018 00:00	20.78	20.93	20.78	20.93	0	EUR	
18/05/2018 00:00	20.9	20.925	20.9	20.925	0	EUR	
21/05/2018 00:00	20.955	21	20.955	21	0	EUR	
22/05/2018 00:00	21.01	21.02	21.01	21.02	0	EUR	
23/05/2018 00:00	20.955	20.955	20.885	20.885	0	EUR	
24/05/2018 00:00	20.82	20.82	20.82	20.82	0	EUR	
25/05/2018 00:00	20.885	20.885	20.875	20.875	0	EUR	
28/05/2018 00:00	20.835	20.835	20.835	20.835	0	EUR	
29/05/2018 00:00	20.62	20.62	20.62	20.62	0	EUR	
30/05/2018 00:00	20.72	20.72	20.72	20.72	0	EUR	
31/05/2018 00:00	20.775	20.775	20.67	20.67	0	EUR	
01/06/2018 00:00	20.765	20.82	20.765	20.82	0	EUR	
04/06/2018 00:00	20.915	20.935	20.915	20.935	0	EUR	
05/06/2018 00:00	20.915	20.915	20.915	20.915	0	EUR	
06/06/2018 00:00	20.94	20.94	20.93	20.93	0	EUR	
07/06/2018 00:00	20.985	21.02	20.86	20.86	570	EUR	
08/06/2018 00:00	20.76	20.855	20.76	20.855	0	EUR	
11/06/2018 00:00	20.945	20.945	20.945	20.945	0	EUR	
12/06/2018 00:00	21.035	21.035	21.005	21.005	0	EUR	
13/06/2018 00:00	21.025	21.025	21.025	21.025	0	EUR	
14/06/2018 00:00	20.94	21.175	20.94	21.175	0	EUR	
15/06/2018 00:00	21.22	21.22	21.085	21.085	0	EUR	
18/06/2018 00:00	21.05	21.05	20.91	20.91	0	EUR	
19/06/2018 00:00	20.775	20.775	20.775	20.775	0	EUR	
20/06/2018 00:00	20.89	20.89	20.78	20.78	0	EUR	
21/06/2018 00:00	20.835	20.835	20.7	20.7	0	EUR	
