date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	25.675	25.7	24.875	24.89	533302	EUR	
08/11/2012 00:00	25.105	25.105	24.815	24.875	637018	EUR	
09/11/2012 00:00	24.91	24.975	24.545	24.895	859761	EUR	
12/11/2012 00:00	24.835	24.94	24.765	24.845	483766	EUR	
13/11/2012 00:00	24.69	25.055	24.59	25.01	255291	EUR	
14/11/2012 00:00	24.945	25.095	24.765	24.815	492688	EUR	
15/11/2012 00:00	24.635	24.825	24.635	24.71	327249	EUR	
16/11/2012 00:00	24.675	24.75	24.38	24.38	310097	EUR	
19/11/2012 00:00	24.6	25.09	24.55	25.075	528392	EUR	
20/11/2012 00:00	24.925	25.21	24.925	25.195	616605	EUR	
21/11/2012 00:00	25.105	25.33	25.045	25.29	544615	EUR	
22/11/2012 00:00	25.335	25.47	25.335	25.455	411021	EUR	
23/11/2012 00:00	25.515	25.66	25.355	25.655	325714	EUR	
26/11/2012 00:00	25.54	25.62	25.485	25.54	409442	EUR	
27/11/2012 00:00	25.745	25.745	25.445	25.5	467580	EUR	
28/11/2012 00:00	25.46	25.57	25.32	25.56	668866	EUR	
29/11/2012 00:00	25.715	25.925	25.715	25.9	599548	EUR	
30/11/2012 00:00	25.875	26.035	25.875	25.88	559312	EUR	
03/12/2012 00:00	25.95	26.19	25.89	25.91	715569	EUR	
04/12/2012 00:00	25.925	26.125	25.915	26.01	557348	EUR	
05/12/2012 00:00	26.19	26.215	25.915	26.035	553771	EUR	
06/12/2012 00:00	26.06	26.3	26.025	26.14	684676	EUR	
07/12/2012 00:00	26.22	26.265	26.02	26.105	1117621	EUR	
10/12/2012 00:00	25.93	26.07	25.78	26.065	464355	EUR	
11/12/2012 00:00	26.085	26.365	26.045	26.325	1051665	EUR	
12/12/2012 00:00	26.24	26.31	26.19	26.29	345906	EUR	
13/12/2012 00:00	26.34	26.34	26.19	26.25	521105	EUR	
14/12/2012 00:00	26.27	26.32	26.195	26.28	130963	EUR	
17/12/2012 00:00	26.26	26.325	26.12	26.29	364636	EUR	
18/12/2012 00:00	26.385	26.47	26.315	26.44	853418	EUR	
19/12/2012 00:00	26.505	26.61	26.45	26.545	531752	EUR	
20/12/2012 00:00	26.445	26.62	26.445	26.585	447783	EUR	
21/12/2012 00:00	26.46	26.53	26.35	26.52	1200120	EUR	
27/12/2012 00:00	26.585	26.69	26.57	26.6	570962	EUR	
28/12/2012 00:00	26.645	26.645	26.15	26.275	524603	EUR	
02/01/2013 00:00	26.905	27.095	26.76	27.09	2036030	EUR	
03/01/2013 00:00	26.995	27.07	26.905	27.03	740803	EUR	
04/01/2013 00:00	26.96	27.125	26.92	27.125	660519	EUR	
07/01/2013 00:00	27.125	27.17	26.93	26.98	293884	EUR	
08/01/2013 00:00	26.87	27.125	26.87	26.925	585133	EUR	
09/01/2013 00:00	27.035	27.12	26.935	27.085	595444	EUR	
10/01/2013 00:00	27.095	27.28	26.97	27.105	583177	EUR	
11/01/2013 00:00	27.23	27.23	27.06	27.21	464879	EUR	
14/01/2013 00:00	27.31	27.365	27.1	27.17	734683	EUR	
15/01/2013 00:00	27.1	27.215	26.95	27.07	603098	EUR	
16/01/2013 00:00	27.015	27.09	26.89	27.05	1025087	EUR	
17/01/2013 00:00	27.025	27.315	27.005	27.22	575276	EUR	
18/01/2013 00:00	27.315	27.34	27.105	27.12	459382	EUR	
21/01/2013 00:00	27.25	27.325	27.17	27.325	300397	EUR	
22/01/2013 00:00	27.3	27.3	27.025	27.205	318255	EUR	
23/01/2013 00:00	27.265	27.265	27.08	27.135	297030	EUR	
24/01/2013 00:00	27.045	27.31	27.015	27.295	569366	EUR	
25/01/2013 00:00	27.235	27.545	27.235	27.505	444285	EUR	
28/01/2013 00:00	27.535	27.62	27.5	27.54	726960	EUR	
29/01/2013 00:00	27.52	27.59	27.415	27.585	273074	EUR	
30/01/2013 00:00	27.56	27.61	27.345	27.405	1177657	EUR	
31/01/2013 00:00	27.37	27.37	27.1	27.1	508728	EUR	
01/02/2013 00:00	27.08	27.27	27.08	27.175	1581871	EUR	
04/02/2013 00:00	27.16	27.185	26.34	26.34	1408342	EUR	
05/02/2013 00:00	26.305	26.665	26.305	26.565	1276399	EUR	
06/02/2013 00:00	26.52	26.66	26.125	26.265	644125	EUR	
07/02/2013 00:00	26.255	26.47	26.04	26.04	1195429	EUR	
08/02/2013 00:00	26.13	26.4	26.065	26.37	1221789	EUR	
11/02/2013 00:00	26.325	26.475	26.215	26.305	729908	EUR	
12/02/2013 00:00	26.245	26.565	26.21	26.565	409740	EUR	
