date	ouv	haut	bas	clot	vol	devise	
18/12/2013 00:00	101.28	101.82	101.28	101.81	82	EUR	
19/12/2013 00:00	104.37	104.37	104.37	104.37	50	EUR	
20/12/2013 00:00	104.95	104.95	104.95	104.95	0	EUR	
23/12/2013 00:00	105.49	105.49	105.49	105.49	0	EUR	
27/12/2013 00:00	106.81	107.18	106.81	107.18	40	EUR	
30/12/2013 00:00	107.46	107.46	107.46	107.46	0	EUR	
03/01/2014 00:00	106.29	106.29	106.29	106.29	37	EUR	
06/01/2014 00:00	106	106	106	106	0	EUR	
07/01/2014 00:00	107.97	107.97	107.97	107.97	0	EUR	
08/01/2014 00:00	112.59	114.07	112.59	113.67	19840	EUR	
09/01/2014 00:00	114.07	115.27	113.18	114.59	24220	EUR	
10/01/2014 00:00	114.39	114.39	113.41	113.42	6265	EUR	
13/01/2014 00:00	115	115.86	115	115.86	255	EUR	
14/01/2014 00:00	114.02	115.77	114.02	115.77	2660	EUR	
15/01/2014 00:00	116.66	118.97	116.66	118.97	11749	EUR	
16/01/2014 00:00	118.62	118.62	117.26	117.26	854	EUR	
17/01/2014 00:00	117.38	117.38	116.14	116.54	1248	EUR	
20/01/2014 00:00	115.2	115.53	114.8	115.02	1117	EUR	
21/01/2014 00:00	116.19	116.31	115.07	115.13	19875	EUR	
22/01/2014 00:00	115.81	116.32	113.78	114.05	1645	EUR	
23/01/2014 00:00	114.83	115.77	113.95	113.95	2074	EUR	
24/01/2014 00:00	114.26	114.39	110.5	110.5	3726	EUR	
27/01/2014 00:00	110.21	110.21	109.05	109.67	200	EUR	
28/01/2014 00:00	110.59	111.99	110.59	111.61	58895	EUR	
29/01/2014 00:00	113.5	113.69	111.05	111.25	2837	EUR	
30/01/2014 00:00	110.31	112.04	110.31	111.6	897	EUR	
31/01/2014 00:00	111.12	111.12	109.32	110.98	2203	EUR	
03/02/2014 00:00	110.85	110.95	107.9	107.9	6251	EUR	
04/02/2014 00:00	107.2	109.34	107.2	109.19	1728	EUR	
05/02/2014 00:00	108.98	110.98	108.98	110.54	7224	EUR	
06/02/2014 00:00	111.47	113.12	111.45	113.12	2901	EUR	
07/02/2014 00:00	113.66	114.12	113.23	114.12	368	EUR	
10/02/2014 00:00	114.54	114.54	113.6	113.6	459	EUR	
11/02/2014 00:00	114.14	115.25	113.92	115.25	16643	EUR	
12/02/2014 00:00	115.89	117.06	115.89	116.4	2166	EUR	
13/02/2014 00:00	115.31	115.6	113.99	115.51	3280	EUR	
14/02/2014 00:00	116.17	116.76	115.39	116.22	14127	EUR	
17/02/2014 00:00	116.21	116.74	115.94	116.63	601	EUR	
18/02/2014 00:00	116.84	116.84	115.93	116.32	4722	EUR	
19/02/2014 00:00	116.39	116.39	115.2	115.94	4828	EUR	
20/02/2014 00:00	114.18	115.84	114.18	115.49	4220	EUR	
21/02/2014 00:00	116.27	116.27	115.41	116.07	811	EUR	
24/02/2014 00:00	115.44	117.12	115.44	117.12	9628	EUR	
25/02/2014 00:00	117.1	117.53	117.05	117.43	1207	EUR	
26/02/2014 00:00	118.07	118.07	116.83	117.08	170	EUR	
27/02/2014 00:00	116.98	117.21	115.55	117.21	2068	EUR	
28/02/2014 00:00	116.98	116.98	115.83	116.86	6337	EUR	
03/03/2014 00:00	114.2	114.36	112.97	112.97	3390	EUR	
04/03/2014 00:00	114.48	116.25	114.23	116.22	18628	EUR	
05/03/2014 00:00	116.24	118.22	116.24	117.53	12	EUR	
06/03/2014 00:00	118.79	119.5	118.57	118.57	14208	EUR	
07/03/2014 00:00	118.7	118.7	116.35	116.35	1799	EUR	
10/03/2014 00:00	116.35	118.18	116.12	116.96	1073	EUR	
11/03/2014 00:00	117.75	117.75	116.68	116.8	2040	EUR	
12/03/2014 00:00	116.48	116.48	115.72	115.72	838	EUR	
13/03/2014 00:00	116.38	116.38	114.05	114.05	10000	EUR	
14/03/2014 00:00	113.34	113.34	110.5	111.77	583	EUR	
17/03/2014 00:00	112.67	114.12	112.53	113.98	2133	EUR	
18/03/2014 00:00	114.01	116.2	114.01	115.64	1422	EUR	
19/03/2014 00:00	116.21	116.21	115.59	115.59	100	EUR	
20/03/2014 00:00	114.6	115.78	114.6	115.78	561	EUR	
21/03/2014 00:00	116.22	116.8	115.56	115.66	5217	EUR	
24/03/2014 00:00	115.69	115.69	112.96	112.96	328	EUR	
25/03/2014 00:00	113.77	114.28	112.9	113.68	528	EUR	
26/03/2014 00:00	114.26	115.71	114.26	115.11	283	EUR	
27/03/2014 00:00	114.65	115.08	114.65	115.08	4630	EUR	
28/03/2014 00:00	115.61	116.9	115.61	116.9	4335	EUR	
31/03/2014 00:00	117.71	118.99	117.71	118.3	254	EUR	
01/04/2014 00:00	119.25	121.85	119.25	121.31	6783	EUR	
02/04/2014 00:00	122	122.24	120.55	120.63	11197	EUR	
03/04/2014 00:00	120.88	123.5	120.88	122.96	4484	EUR	
04/04/2014 00:00	123.14	124.31	122.8	123.88	17221	EUR	
07/04/2014 00:00	122.86	123.43	122.2	122.47	10590	EUR	
08/04/2014 00:00	122.46	122.46	119.5	120.42	6415	EUR	
09/04/2014 00:00	120.66	121.42	119.78	119.78	3111	EUR	
10/04/2014 00:00	120.58	120.58	117.76	117.76	1754	EUR	
11/04/2014 00:00	116.94	117.36	114.88	116.27	5988	EUR	
14/04/2014 00:00	115.81	116.14	113.46	116.14	647	EUR	
15/04/2014 00:00	116.18	116.18	113.56	113.67	6036	EUR	
16/04/2014 00:00	115.25	116.53	114.9	116.53	2615	EUR	
17/04/2014 00:00	116.67	117.75	116.21	117.75	12681	EUR	
22/04/2014 00:00	117.79	119.54	117.43	119.54	2029	EUR	
23/04/2014 00:00	119.14	119.14	118.19	118.19	28670	EUR	
24/04/2014 00:00	119.05	119.93	118.68	118.76	1247	EUR	
25/04/2014 00:00	117.82	117.98	116.24	116.24	310	EUR	
28/04/2014 00:00	116.99	117.32	116.27	116.45	2777	EUR	
29/04/2014 00:00	117.43	118.86	117.36	118.67	1428	EUR	
30/04/2014 00:00	118.17	118.17	116.72	117.5	46	EUR	
02/05/2014 00:00	117.43	117.43	116.93	117.19	304	EUR	
05/05/2014 00:00	116.95	116.95	115.16	116.67	2646	EUR	
06/05/2014 00:00	117.15	117.15	115.48	115.69	1809	EUR	
07/05/2014 00:00	114.92	115.64	114.6	114.96	3494	EUR	
08/05/2014 00:00	115.56	117.94	115.45	117.94	2495	EUR	
09/05/2014 00:00	117.71	117.71	115.25	115.65	9502	EUR	
12/05/2014 00:00	116.15	116.82	116.05	116.39	191	EUR	
13/05/2014 00:00	117.07	117.07	115.84	116.22	4265	EUR	
14/05/2014 00:00	116.26	116.26	115.18	115.38	1887	EUR	
15/05/2014 00:00	114.96	115.95	111.19	111.19	7948	EUR	
16/05/2014 00:00	111.11	112.75	109.93	112.75	12379	EUR	
19/05/2014 00:00	111.89	112.33	110.96	111.65	33079	EUR	
20/05/2014 00:00	111.79	113.14	111.79	113.14	1597	EUR	
21/05/2014 00:00	111.92	114.19	111.57	114.07	4012	EUR	
22/05/2014 00:00	114.69	114.69	113.03	113.49	11447	EUR	
23/05/2014 00:00	113.83	115.14	113.83	115	5301	EUR	
26/05/2014 00:00	116.26	117.42	116.13	117.31	18008	EUR	
27/05/2014 00:00	117.27	118.57	117.27	117.84	276	EUR	
28/05/2014 00:00	117.76	119.14	117.76	118.96	2081	EUR	
29/05/2014 00:00	119.18	119.18	118.15	118.29	161	EUR	
30/05/2014 00:00	116.6	118.36	116.6	118.36	4413	EUR	
02/06/2014 00:00	118.79	119.02	118.03	118.78	1266	EUR	
03/06/2014 00:00	118.64	119.14	117.53	119.14	16320	EUR	
04/06/2014 00:00	117.83	118.75	117.19	118.75	2111	EUR	
05/06/2014 00:00	118.78	122.48	118.49	120.16	6192	EUR	
06/06/2014 00:00	121.2	123.77	120.89	123.1	14675	EUR	
09/06/2014 00:00	124.05	124.43	123.93	124.4	5612	EUR	
10/06/2014 00:00	124.26	125.98	123.12	124.39	2402	EUR	
11/06/2014 00:00	123.23	123.23	121.94	122.42	14986	EUR	
12/06/2014 00:00	121.9	122.24	121.42	121.42	417	EUR	
