date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	15.94	15.94	15.415	15.415	68572	EUR	
08/11/2012 00:00	15.505	15.505	15.285	15.315	184108	EUR	
09/11/2012 00:00	15.355	15.355	15.1	15.295	116339	EUR	
12/11/2012 00:00	15.305	15.36	15.265	15.27	150235	EUR	
13/11/2012 00:00	15.18	15.495	15.18	15.475	52500	EUR	
14/11/2012 00:00	15.415	15.545	15.345	15.395	81395	EUR	
15/11/2012 00:00	15.26	15.36	15.26	15.29	4449	EUR	
16/11/2012 00:00	15.29	15.29	14.98	14.985	30835	EUR	
19/11/2012 00:00	15.16	15.45	15.16	15.45	83751	EUR	
20/11/2012 00:00	15.38	15.435	15.305	15.41	36801	EUR	
21/11/2012 00:00	15.375	15.595	15.375	15.535	7459	EUR	
22/11/2012 00:00	15.595	15.72	15.595	15.715	19669	EUR	
23/11/2012 00:00	15.735	15.815	15.65	15.8	6000	EUR	
26/11/2012 00:00	15.74	15.74	15.68	15.68	2481	EUR	
27/11/2012 00:00	15.85	15.85	15.59	15.625	72098	EUR	
28/11/2012 00:00	15.6	15.61	15.445	15.61	80982	EUR	
29/11/2012 00:00	15.7	16.06	15.7	16.06	65802	EUR	
30/11/2012 00:00	16.02	16.09	15.96	15.96	39570	EUR	
03/12/2012 00:00	16.015	16.245	16.015	16.025	105777	EUR	
04/12/2012 00:00	16.06	16.22	16.03	16.21	28890	EUR	
05/12/2012 00:00	16.33	16.385	16.045	16.13	7595	EUR	
06/12/2012 00:00	16.095	16.195	15.8	15.98	117140	EUR	
07/12/2012 00:00	16	16	15.74	15.87	185814	EUR	
10/12/2012 00:00	15.465	15.535	15.265	15.535	163982	EUR	
11/12/2012 00:00	15.52	15.745	15.505	15.735	177798	EUR	
12/12/2012 00:00	15.705	15.845	15.675	15.845	205686	EUR	
13/12/2012 00:00	15.92	15.99	15.83	15.94	107051	EUR	
14/12/2012 00:00	15.975	16.01	15.905	15.975	44979	EUR	
17/12/2012 00:00	16.025	16.09	15.9	16.09	295821	EUR	
18/12/2012 00:00	16.14	16.235	16.1	16.22	49819	EUR	
19/12/2012 00:00	16.305	16.43	16.25	16.43	27779	EUR	
20/12/2012 00:00	16.305	16.485	16.305	16.485	183084	EUR	
21/12/2012 00:00	16.38	16.415	16.275	16.37	19260	EUR	
27/12/2012 00:00	16.485	16.565	16.475	16.475	29097	EUR	
28/12/2012 00:00	16.505	16.505	16.33	16.33	8191	EUR	
02/01/2013 00:00	16.7	16.99	16.64	16.96	81357	EUR	
03/01/2013 00:00	16.9	16.98	16.86	16.97	38163	EUR	
04/01/2013 00:00	16.94	17.04	16.88	17.04	10878	EUR	
07/01/2013 00:00	17.08	17.155	16.925	16.965	120167	EUR	
08/01/2013 00:00	16.89	17.115	16.89	17.03	27767	EUR	
09/01/2013 00:00	17.165	17.47	17.155	17.425	126825	EUR	
10/01/2013 00:00	17.485	17.63	17.38	17.53	105425	EUR	
11/01/2013 00:00	17.61	17.61	17.42	17.57	390104	EUR	
14/01/2013 00:00	17.685	17.765	17.345	17.455	234118	EUR	
15/01/2013 00:00	17.41	17.545	17.38	17.545	41640	EUR	
16/01/2013 00:00	17.47	17.47	17.29	17.4	71759	EUR	
17/01/2013 00:00	17.41	17.67	17.41	17.67	59757	EUR	
18/01/2013 00:00	17.765	17.765	17.55	17.55	98756	EUR	
21/01/2013 00:00	17.69	17.725	17.58	17.725	82248	EUR	
22/01/2013 00:00	17.75	17.84	17.495	17.78	31770	EUR	
23/01/2013 00:00	17.8	17.8	17.63	17.66	137065	EUR	
24/01/2013 00:00	17.585	17.84	17.545	17.83	56361	EUR	
25/01/2013 00:00	17.765	17.94	17.735	17.83	92867	EUR	
28/01/2013 00:00	17.87	18	17.84	17.95	95610	EUR	
