date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	29.49	29.49	29.07	29.07	525	EUR	
08/11/2012 00:00	29.22	29.22	28.91	28.91	145	EUR	
09/11/2012 00:00	28.66	28.66	28.66	28.66	0	EUR	
12/11/2012 00:00	28.7	28.72	28.7	28.72	0	EUR	
13/11/2012 00:00	28.69	28.74	28.69	28.74	0	EUR	
14/11/2012 00:00	28.72	28.76	28.51	28.51	969	EUR	
15/11/2012 00:00	28.44	28.44	28.24	28.24	0	EUR	
16/11/2012 00:00	28.3	28.3	28.04	28.04	0	EUR	
19/11/2012 00:00	28.16	28.32	28.16	28.32	200	EUR	
20/11/2012 00:00	28.28	28.31	28.28	28.31	0	EUR	
21/11/2012 00:00	28.33	28.53	28.33	28.47	106	EUR	
22/11/2012 00:00	28.57	28.63	28.57	28.63	0	EUR	
23/11/2012 00:00	28.65	28.7	28.65	28.7	0	EUR	
26/11/2012 00:00	28.83	28.83	28.65	28.65	28	EUR	
27/11/2012 00:00	28.82	28.87	28.82	28.87	0	EUR	
28/11/2012 00:00	28.82	28.89	28.82	28.89	0	EUR	
29/11/2012 00:00	28.95	28.95	28.95	28.95	200	EUR	
30/11/2012 00:00	29.32	29.6	29.32	29.6	58	EUR	
03/12/2012 00:00	29.57	29.74	29.51	29.51	6218	EUR	
04/12/2012 00:00	29.58	29.58	29.47	29.47	0	EUR	
05/12/2012 00:00	29.56	29.56	29.31	29.45	14703	EUR	
06/12/2012 00:00	29.54	29.54	29.52	29.52	0	EUR	
07/12/2012 00:00	29.55	29.72	29.55	29.72	0	EUR	
10/12/2012 00:00	29.75	29.78	29.62	29.78	144	EUR	
11/12/2012 00:00	29.77	29.8	29.67	29.8	18	EUR	
12/12/2012 00:00	29.55	29.55	29.55	29.55	0	EUR	
13/12/2012 00:00	29.51	29.51	29.51	29.51	0	EUR	
14/12/2012 00:00	29.55	29.55	29.46	29.55	200	EUR	
17/12/2012 00:00	29.58	29.58	29.41	29.52	200	EUR	
18/12/2012 00:00	29.61	29.7	29.5	29.7	300	EUR	
19/12/2012 00:00	29.72	29.8	29.67	29.77	665	EUR	
20/12/2012 00:00	29.75	29.99	29.73	29.99	215	EUR	
21/12/2012 00:00	29.83	29.83	29.83	29.83	0	EUR	
27/12/2012 00:00	29.79	29.98	29.79	29.98	1000	EUR	
28/12/2012 00:00	29.99	29.99	29.82	29.82	145	EUR	
02/01/2013 00:00	30.08	30.08	29.88	30.04	220	EUR	
03/01/2013 00:00	30.37	30.37	30.08	30.08	348	EUR	
04/01/2013 00:00	30.07	30.17	30.07	30.17	0	EUR	
07/01/2013 00:00	30.26	30.26	30.07	30.07	0	EUR	
08/01/2013 00:00	30	30	30	30	0	EUR	
09/01/2013 00:00	30.02	30.02	29.93	29.93	0	EUR	
10/01/2013 00:00	29.93	29.94	29.68	29.68	57	EUR	
11/01/2013 00:00	29.75	29.75	29.58	29.58	18032	EUR	
14/01/2013 00:00	29.41	29.46	29.41	29.46	60	EUR	
15/01/2013 00:00	29.47	29.53	29.47	29.53	0	EUR	
16/01/2013 00:00	29.57	29.57	29.51	29.51	0	EUR	
17/01/2013 00:00	29.48	29.48	29.44	29.44	0	EUR	
18/01/2013 00:00	29.44	29.47	29.44	29.47	0	EUR	
21/01/2013 00:00	29.45	29.45	29.39	29.39	17	EUR	
22/01/2013 00:00	29.43	29.43	29.31	29.31	103	EUR	
23/01/2013 00:00	29.42	29.42	29.34	29.34	150	EUR	
24/01/2013 00:00	29.28	29.34	29.28	29.34	99	EUR	
25/01/2013 00:00	29.31	29.4	29.31	29.32	63	EUR	
28/01/2013 00:00	29.36	29.39	29.18	29.18	2880	EUR	
29/01/2013 00:00	29.25	29.25	29.15	29.15	0	EUR	
30/01/2013 00:00	29.2	29.21	29.17	29.17	150	EUR	
31/01/2013 00:00	29.2	29.2	29.06	29.06	10567	EUR	
01/02/2013 00:00	29.06	29.06	28.94	28.94	0	EUR	
04/02/2013 00:00	29	29	28.79	28.79	0	EUR	
05/02/2013 00:00	28.95	28.95	28.93	28.93	0	EUR	
06/02/2013 00:00	28.99	28.99	28.86	28.86	0	EUR	
07/02/2013 00:00	28.89	28.89	28.79	28.79	0	EUR	
08/02/2013 00:00	28.88	29.13	28.88	29.06	170	EUR	
11/02/2013 00:00	28.89	29	28.89	28.89	0	EUR	
12/02/2013 00:00	28.93	29.17	28.93	29.17	0	EUR	
13/02/2013 00:00	29.22	29.42	29.22	29.42	0	EUR	
14/02/2013 00:00	29.39	29.54	29.36	29.36	100	EUR	
15/02/2013 00:00	29.4	29.4	29.39	29.39	0	EUR	
18/02/2013 00:00	29.44	29.55	29.34	29.55	151	EUR	
19/02/2013 00:00	29.62	29.71	29.62	29.71	2005	EUR	
20/02/2013 00:00	29.68	29.73	29.6	29.6	470	EUR	
21/02/2013 00:00	29.65	29.65	29.34	29.34	20	EUR	
22/02/2013 00:00	29.45	29.48	29.45	29.48	0	EUR	
25/02/2013 00:00	29.39	29.39	29.3	29.3	0	EUR	
26/02/2013 00:00	29.16	29.16	29.16	29.16	0	EUR	
27/02/2013 00:00	29.17	29.29	29.17	29.2	463	EUR	
28/02/2013 00:00	29.17	29.43	29.17	29.43	2432	EUR	
01/03/2013 00:00	29.59	29.59	29.5	29.55	57	EUR	
04/03/2013 00:00	29.66	29.66	29.4	29.57	5327	EUR	
05/03/2013 00:00	29.77	29.98	29.77	29.98	0	EUR	
06/03/2013 00:00	30.01	30.01	29.77	29.77	17	EUR	
07/03/2013 00:00	29.98	29.98	29.93	29.93	5	EUR	
08/03/2013 00:00	30	30.04	29.91	29.91	2631	EUR	
11/03/2013 00:00	29.89	29.89	29.68	29.68	509	EUR	
12/03/2013 00:00	29.37	29.37	29.37	29.37	0	EUR	
13/03/2013 00:00	29.39	29.46	29.39	29.46	0	EUR	
14/03/2013 00:00	29.59	29.93	29.59	29.86	43	EUR	
15/03/2013 00:00	29.91	29.91	29.71	29.71	260	EUR	
18/03/2013 00:00	29.63	29.77	29.49	29.77	67	EUR	
19/03/2013 00:00	29.7	29.73	29.62	29.62	4	EUR	
20/03/2013 00:00	29.71	29.71	29.65	29.65	0	EUR	
21/03/2013 00:00	29.7	29.7	29.51	29.59	3300	EUR	
22/03/2013 00:00	29.6	29.61	29.6	29.61	0	EUR	
25/03/2013 00:00	29.77	29.77	29.58	29.58	0	EUR	
26/03/2013 00:00	29.69	29.73	29.55	29.59	201	EUR	
27/03/2013 00:00	29.66	29.66	29.34	29.34	0	EUR	
28/03/2013 00:00	29.42	29.77	29.42	29.77	3394	EUR	
02/04/2013 00:00	29.88	29.96	29.88	29.96	152	EUR	
03/04/2013 00:00	29.99	30	29.94	29.94	433	EUR	
04/04/2013 00:00	29.91	29.94	29.72	29.72	1412	EUR	
05/04/2013 00:00	29.73	29.73	29.73	29.73	0	EUR	
08/04/2013 00:00	29.47	29.5	29.39	29.39	100	EUR	
09/04/2013 00:00	29.53	29.59	29.5	29.55	3540	EUR	
10/04/2013 00:00	29.64	29.8	29.64	29.8	400	EUR	
11/04/2013 00:00	30.03	30.25	30.03	30.24	199	EUR	
12/04/2013 00:00	30.29	30.53	30.29	30.53	2012	EUR	
15/04/2013 00:00	30.52	30.52	30.2	30.2	46	EUR	
16/04/2013 00:00	30.14	30.24	30.14	30.19	3141	EUR	
17/04/2013 00:00	30.26	30.26	29.9	29.91	33	EUR	
18/04/2013 00:00	29.86	29.93	29.86	29.92	403	EUR	
19/04/2013 00:00	29.99	30.07	29.99	30.07	1200	EUR	
22/04/2013 00:00	30.15	30.41	30.15	30.27	5600	EUR	
23/04/2013 00:00	30.24	30.65	30.24	30.64	3700	EUR	
24/04/2013 00:00	30.74	30.95	30.74	30.91	562	EUR	
25/04/2013 00:00	30.95	31.16	30.95	31.09	187	EUR	
26/04/2013 00:00	30.87	30.97	30.82	30.97	125	EUR	
29/04/2013 00:00	31.01	31.3	31.01	31.3	170	EUR	
30/04/2013 00:00	31.6	31.6	31.16	31.16	3159	EUR	
02/05/2013 00:00	31.34	31.48	31.34	31.48	0	EUR	
03/05/2013 00:00	31.38	31.51	31.38	31.51	2500	EUR	
06/05/2013 00:00	31.64	31.81	31.64	31.81	48	EUR	
07/05/2013 00:00	31.81	32.09	31.81	31.99	1197	EUR	
08/05/2013 00:00	31.91	32.19	31.91	32.19	0	EUR	
09/05/2013 00:00	32.12	32.33	32.12	32.25	93	EUR	
10/05/2013 00:00	32.23	32.5	32.23	32.37	311	EUR	
13/05/2013 00:00	32.31	32.51	32.31	32.51	50	EUR	
14/05/2013 00:00	32.76	32.79	32.67	32.7	995	EUR	
15/05/2013 00:00	32.8	33.28	32.8	33.28	145	EUR	
16/05/2013 00:00	33.4	33.4	33.36	33.36	180	EUR	
17/05/2013 00:00	33.41	33.6	33.24	33.6	167	EUR	
20/05/2013 00:00	33.53	33.75	33.53	33.73	104	EUR	
21/05/2013 00:00	33.68	33.71	33.6	33.6	17	EUR	
22/05/2013 00:00	33.73	33.73	33.32	33.32	120	EUR	
23/05/2013 00:00	32.63	32.63	32.49	32.49	98	EUR	
24/05/2013 00:00	32.48	32.48	32.24	32.43	228	EUR	
27/05/2013 00:00	32.62	32.62	32.49	32.49	25	EUR	
28/05/2013 00:00	32.62	32.68	32.62	32.68	0	EUR	
