date	ouv	haut	bas	clot	vol	devise	
15/12/2020 00:00	22.565	22.565	22.565	22.565	0	EUR	
16/12/2020 00:00	22.675	22.765	22.675	22.765	0	EUR	
17/12/2020 00:00	22.855	22.855	22.855	22.855	0	EUR	
18/12/2020 00:00	22.8	22.8	22.795	22.795	0	EUR	
21/12/2020 00:00	22.395	22.395	22.27	22.27	72	EUR	
22/12/2020 00:00	22.41	22.57	22.41	22.57	0	EUR	
23/12/2020 00:00	22.66	22.74	22.66	22.74	0	EUR	
24/12/2020 00:00	22.795	22.795	22.795	22.795	0	EUR	
28/12/2020 00:00	23.075	23.075	23.04	23.04	30	EUR	
29/12/2020 00:00	23.34	23.34	23.045	23.045	9	EUR	
30/12/2020 00:00	23.075	23.075	23.02	23.02	0	EUR	
31/12/2020 00:00	23.02	23.02	22.91	22.91	32	EUR	
04/01/2021 00:00	23.08	23.08	23.08	23.08	0	EUR	
05/01/2021 00:00	23.035	23.035	23	23.02	10	EUR	
06/01/2021 00:00	23.125	23.52	23.125	23.38	11850	EUR	
07/01/2021 00:00	23.45	23.565	23.41	23.41	44150	EUR	
08/01/2021 00:00	23.615	23.615	23.58	23.58	0	EUR	
11/01/2021 00:00	23.57	23.575	23.455	23.455	50	EUR	
12/01/2021 00:00	23.55	23.55	23.435	23.435	6608	EUR	
13/01/2021 00:00	23.53	23.53	23.48	23.48	22	EUR	
14/01/2021 00:00	23.57	23.635	23.57	23.635	0	EUR	
15/01/2021 00:00	23.515	23.59	23.395	23.395	126	EUR	
18/01/2021 00:00	23.365	23.425	23.365	23.415	29	EUR	
19/01/2021 00:00	23.525	23.55	23.42	23.42	9890	EUR	
20/01/2021 00:00	23.5	23.575	23.465	23.575	16	EUR	
21/01/2021 00:00	23.725	23.725	23.605	23.605	60	EUR	
22/01/2021 00:00	23.575	23.575	23.53	23.53	65	EUR	
25/01/2021 00:00	23.62	23.62	23.32	23.32	2	EUR	
26/01/2021 00:00	23.375	23.63	23.375	23.505	1096	EUR	
27/01/2021 00:00	23.355	23.355	23.085	23.225	27	EUR	
28/01/2021 00:00	23.01	23.255	22.915	23.255	998	EUR	
29/01/2021 00:00	22.975	22.985	22.87	22.87	25	EUR	
01/02/2021 00:00	23.08	23.245	23.08	23.215	1080	EUR	
02/02/2021 00:00	23.36	23.525	23.36	23.47	8	EUR	
03/02/2021 00:00	23.675	23.68	23.555	23.555	41	EUR	
04/02/2021 00:00	23.615	23.73	23.6	23.705	119	EUR	
05/02/2021 00:00	23.71	23.71	23.68	23.68	0	EUR	
08/02/2021 00:00	23.87	23.87	23.765	23.765	191	EUR	
09/02/2021 00:00	23.77	23.77	23.72	23.72	1235	EUR	
10/02/2021 00:00	23.76	23.81	23.655	23.655	806	EUR	
11/02/2021 00:00	23.71	23.84	23.71	23.84	200	EUR	
12/02/2021 00:00	23.825	24.005	23.825	24.005	123	EUR	
15/02/2021 00:00	24.1	24.235	24.1	24.215	2462	EUR	
16/02/2021 00:00	24.24	24.24	24.105	24.105	15081	EUR	
17/02/2021 00:00	23.965	23.965	23.89	23.89	100	EUR	
18/02/2021 00:00	23.94	23.98	23.72	23.72	1288	EUR	
19/02/2021 00:00	23.835	23.955	23.835	23.93	2487	EUR	
22/02/2021 00:00	23.685	23.725	23.53	23.69	9855	EUR	
23/02/2021 00:00	23.715	23.715	23.495	23.6	1502	EUR	
24/02/2021 00:00	23.75	23.75	23.63	23.64	4186	EUR	
25/02/2021 00:00	23.86	23.86	23.715	23.715	4532	EUR	
26/02/2021 00:00	23.34	23.56	23.34	23.405	1709	EUR	
01/03/2021 00:00	23.825	23.855	23.7	23.8	26070	EUR	
02/03/2021 00:00	23.83	23.85	23.81	23.81	403	EUR	
03/03/2021 00:00	23.915	23.965	23.7	23.75	718	EUR	
04/03/2021 00:00	23.63	23.63	23.49	23.575	605	EUR	
05/03/2021 00:00	23.385	23.385	23.3	23.32	379	EUR	
08/03/2021 00:00	23.6	23.835	23.5	23.835	168	EUR	
09/03/2021 00:00	23.77	24.005	23.77	23.99	83	EUR	
10/03/2021 00:00	23.995	24.16	23.995	24.13	222	EUR	
11/03/2021 00:00	24.355	24.355	24.345	24.345	170	EUR	
12/03/2021 00:00	24.345	24.345	24.16	24.16	873	EUR	
15/03/2021 00:00	24.255	24.345	24.185	24.185	608	EUR	
16/03/2021 00:00	24.3	24.31	24.28	24.3	123	EUR	
17/03/2021 00:00	24.315	24.315	24.215	24.24	33	EUR	
18/03/2021 00:00	24.32	24.355	24.24	24.33	586	EUR	
19/03/2021 00:00	24.18	24.285	24.18	24.205	420	EUR	
22/03/2021 00:00	24.09	24.2	24.09	24.2	262	EUR	
23/03/2021 00:00	24.14	24.345	24.14	24.235	158	EUR	
24/03/2021 00:00	24.18	24.34	24.18	24.285	102	EUR	
25/03/2021 00:00	24.16	24.28	24.05	24.275	595	EUR	
26/03/2021 00:00	24.43	24.565	24.43	24.56	3318	EUR	
29/03/2021 00:00	24.7	24.7	24.63	24.63	113	EUR	
30/03/2021 00:00	24.715	24.775	24.715	24.775	110	EUR	
31/03/2021 00:00	24.78	24.82	24.78	24.78	391	EUR	
01/04/2021 00:00	24.84	24.95	24.84	24.95	19	EUR	
06/04/2021 00:00	25.18	25.2	25.11	25.11	7361	EUR	
07/04/2021 00:00	25.19	25.19	25.005	25.035	895	EUR	
