date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	78.4	78.4	76.79	76.79	0	EUR	
08/11/2012 00:00	77.22	77.22	76.7	76.7	26	EUR	
09/11/2012 00:00	76.86	76.97	76.86	76.97	280	EUR	
12/11/2012 00:00	76.81	76.81	76.79	76.79	0	EUR	
13/11/2012 00:00	76.55	77.19	76.55	77.19	2700	EUR	
14/11/2012 00:00	77.04	77.04	76.63	76.63	0	EUR	
15/11/2012 00:00	76.32	76.32	75.87	75.87	2	EUR	
16/11/2012 00:00	75.8	75.8	75.33	75.33	0	EUR	
19/11/2012 00:00	75.88	76.95	75.88	76.95	40	EUR	
20/11/2012 00:00	76.77	77.64	76.77	77.64	24	EUR	
21/11/2012 00:00	77.42	77.76	77.42	77.76	0	EUR	
22/11/2012 00:00	77.95	78.4	77.95	78.4	21	EUR	
23/11/2012 00:00	78.5	78.84	78.5	78.84	0	EUR	
26/11/2012 00:00	78.63	78.71	78.63	78.71	150	EUR	
27/11/2012 00:00	79.17	79.17	79.12	79.12	0	EUR	
28/11/2012 00:00	79.06	79.37	79.02	79.37	101	EUR	
29/11/2012 00:00	79.65	80.02	79.65	80.02	100	EUR	
30/11/2012 00:00	79.94	80.48	79.94	80.23	257	EUR	
03/12/2012 00:00	80.38	80.38	80.3	80.38	0	EUR	
04/12/2012 00:00	80.39	80.42	80.31	80.31	1442	EUR	
05/12/2012 00:00	80.5	80.5	80.15	80.15	12	EUR	
06/12/2012 00:00	80.55	81	80.55	81	225	EUR	
07/12/2012 00:00	81.16	81.16	80.99	80.99	127	EUR	
10/12/2012 00:00	80.66	81.13	80.66	81.13	40	EUR	
11/12/2012 00:00	81.1	81.5	81.1	81.5	0	EUR	
12/12/2012 00:00	81.62	81.62	81.33	81.33	40	EUR	
13/12/2012 00:00	81.59	81.59	81.16	81.16	29	EUR	
14/12/2012 00:00	81.32	81.56	81.3	81.35	250	EUR	
17/12/2012 00:00	81.41	81.41	81.15	81.15	2	EUR	
18/12/2012 00:00	81.36	81.54	81.36	81.54	24	EUR	
19/12/2012 00:00	81.76	81.89	81.63	81.89	6	EUR	
20/12/2012 00:00	81.66	81.84	81.66	81.84	45	EUR	
21/12/2012 00:00	81.71	81.71	81.3	81.59	1856	EUR	
27/12/2012 00:00	81.15	81.59	81.01	81.56	1010	EUR	
28/12/2012 00:00	81.66	81.66	80.76	80.9	3507	EUR	
02/01/2013 00:00	82.4	82.86	82.4	82.86	90	EUR	
03/01/2013 00:00	83.05	83.05	82.5	82.65	434	EUR	
04/01/2013 00:00	82.32	82.71	82.32	82.7	1438	EUR	
07/01/2013 00:00	82.46	82.46	81.95	81.95	177	EUR	
08/01/2013 00:00	81.76	82.13	81.76	81.76	420	EUR	
09/01/2013 00:00	82	82	81.77	81.8	1109	EUR	
10/01/2013 00:00	81.75	81.75	81.47	81.47	0	EUR	
