date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	144.86	145	142.95	142.95	490	EUR	
08/11/2012 00:00	143.31	143.31	141.59	141.59	11	EUR	
09/11/2012 00:00	141.85	141.85	141.25	141.25	0	EUR	
12/11/2012 00:00	141.39	141.39	140.43	140.43	0	EUR	
13/11/2012 00:00	140.27	140.27	139.6	140.13	11	EUR	
14/11/2012 00:00	140.13	140.13	139.48	139.48	0	EUR	
15/11/2012 00:00	139.01	139.01	138.34	138.4	96	EUR	
16/11/2012 00:00	138.14	138.14	136.96	136.96	944	EUR	
19/11/2012 00:00	138.07	139.73	138.07	139.73	738	EUR	
20/11/2012 00:00	139.61	140.02	139.4	140.02	100	EUR	
21/11/2012 00:00	140.17	140.64	140.17	140.64	10	EUR	
22/11/2012 00:00	141.04	142.19	140.61	142.19	9	EUR	
23/11/2012 00:00	142.67	143.11	142.64	143.11	412	EUR	
26/11/2012 00:00	143.05	143.05	142.7	142.7	0	EUR	
27/11/2012 00:00	143.44	143.67	142.69	143.21	152	EUR	
28/11/2012 00:00	143.05	143.05	142.88	142.88	0	EUR	
29/11/2012 00:00	143.45	144.86	143.45	144.86	389	EUR	
30/11/2012 00:00	144.67	145.28	144.67	144.76	7000	EUR	
03/12/2012 00:00	145.78	145.78	144.8	144.8	2333	EUR	
04/12/2012 00:00	144.8	145.15	144.79	145.15	43	EUR	
05/12/2012 00:00	145.49	146.07	145.49	146.07	20	EUR	
06/12/2012 00:00	146.41	147.06	146.41	147.06	120	EUR	
07/12/2012 00:00	147.14	147.2	146.77	146.91	190	EUR	
10/12/2012 00:00	146.18	146.51	145.55	146.51	111	EUR	
11/12/2012 00:00	146.65	148.3	146.65	148.3	15380	EUR	
12/12/2012 00:00	148.37	148.52	148.17	148.18	5857	EUR	
13/12/2012 00:00	148.69	148.69	148.15	148.62	3300	EUR	
14/12/2012 00:00	148.81	149.2	148.56	148.98	50	EUR	
17/12/2012 00:00	149.27	149.39	148.46	149.39	32	EUR	
18/12/2012 00:00	149.65	150.28	149.47	150.28	1776	EUR	
19/12/2012 00:00	150.93	152	150.93	151.66	10279	EUR	
20/12/2012 00:00	151.63	152.14	151.63	152.14	9	EUR	
21/12/2012 00:00	151.6	151.6	151.24	151.43	535	EUR	
27/12/2012 00:00	151.52	152.02	151.52	151.76	4865	EUR	
28/12/2012 00:00	152.03	152.03	150.83	151.16	3071	EUR	
02/01/2013 00:00	155.4	155.4	153.82	154.8	106	EUR	
03/01/2013 00:00	155.12	155.48	154.87	155.48	834	EUR	
04/01/2013 00:00	155.93	156.75	155.93	156.75	15165	EUR	
07/01/2013 00:00	157.14	157.68	157.14	157.68	0	EUR	
08/01/2013 00:00	157.74	158.19	157.62	157.62	323	EUR	
09/01/2013 00:00	158.37	158.88	158.17	158.88	240	EUR	
10/01/2013 00:00	159.1	159.79	158.99	158.99	472	EUR	
11/01/2013 00:00	159.46	159.46	159.26	159.26	6035	EUR	
14/01/2013 00:00	159.38	160	158.43	158.43	5496	EUR	
15/01/2013 00:00	158.3	158.3	157.6	157.6	2230	EUR	
16/01/2013 00:00	157.31	157.89	157.03	157.78	5840	EUR	
17/01/2013 00:00	157.86	159.43	157.86	159.42	624	EUR	
18/01/2013 00:00	159.86	160.3	159.86	160.3	14564	EUR	
21/01/2013 00:00	160.54	160.75	160.26	160.75	1269	EUR	
22/01/2013 00:00	160.92	161.01	160	160.99	4639	EUR	
23/01/2013 00:00	161.26	161.5	161.25	161.5	228	EUR	
24/01/2013 00:00	161.3	162.21	161.3	162.21	10860	EUR	
25/01/2013 00:00	161.78	162.69	161.78	162.46	41	EUR	
28/01/2013 00:00	162.92	163.25	162.92	162.97	2601	EUR	
29/01/2013 00:00	163.13	163.34	161.7	162.18	4268	EUR	
30/01/2013 00:00	162.27	162.27	160.94	160.94	86	EUR	
31/01/2013 00:00	160.95	160.95	159.01	160.05	2179	EUR	
01/02/2013 00:00	160.26	161.77	160.26	161.77	10335	EUR	
04/02/2013 00:00	162.13	162.13	158.63	158.63	2645	EUR	
05/02/2013 00:00	158.32	159.6	158.2	159.6	3103	EUR	
06/02/2013 00:00	159.65	160	159	159.82	405	EUR	
07/02/2013 00:00	160.3	160.3	159.9	159.9	0	EUR	
08/02/2013 00:00	160.27	161.38	160.27	161.38	2651	EUR	
11/02/2013 00:00	161.48	161.48	160.91	161.15	2070	EUR	
12/02/2013 00:00	160.97	162.2	160.97	162.2	3112	EUR	
13/02/2013 00:00	162.58	164.21	162.58	163.61	4220	EUR	
14/02/2013 00:00	163.66	163.95	162.83	162.9	4286	EUR	
15/02/2013 00:00	162.91	163.39	162.91	163.21	135	EUR	
18/02/2013 00:00	163.36	163.36	162.8	162.8	11	EUR	
19/02/2013 00:00	163.11	165.3	163.11	165.3	1025	EUR	
20/02/2013 00:00	165.48	165.51	164.58	164.71	4253	EUR	
21/02/2013 00:00	163.95	163.95	161.57	161.7	2319	EUR	
22/02/2013 00:00	162.38	163.08	162.38	163.08	75	EUR	
25/02/2013 00:00	163.72	164.78	163.29	163.29	233	EUR	
26/02/2013 00:00	161.7	161.7	158.52	160.57	3807	EUR	
27/02/2013 00:00	161.26	162.25	160.97	162.25	114	EUR	
28/02/2013 00:00	162.94	162.94	162.5	162.5	14134	EUR	
01/03/2013 00:00	162.64	162.64	160.97	161.49	9399	EUR	
04/03/2013 00:00	161.17	161.17	160.45	160.73	12353	EUR	
05/03/2013 00:00	162.05	163.23	162.05	163.11	1352	EUR	
06/03/2013 00:00	163.77	163.77	162.74	162.74	24	EUR	
07/03/2013 00:00	163.29	163.29	162.97	163.08	5865	EUR	
08/03/2013 00:00	163.33	164.15	163.32	163.69	1075	EUR	
11/03/2013 00:00	163.8	163.8	162.83	163.37	131	EUR	
12/03/2013 00:00	163.58	164.65	163.58	164.06	186	EUR	
13/03/2013 00:00	164.03	164.03	163.49	163.56	1458	EUR	
14/03/2013 00:00	164	164.89	163.95	164.89	2487	EUR	
15/03/2013 00:00	165.13	165.34	165.12	165.12	13	EUR	
18/03/2013 00:00	162.9	164.81	162.9	164.81	7	EUR	
19/03/2013 00:00	164.72	164.72	162.96	162.96	0	EUR	
20/03/2013 00:00	163.78	163.84	163.56	163.84	4652	EUR	
21/03/2013 00:00	163.98	163.98	163.07	163.07	300	EUR	
22/03/2013 00:00	162.74	162.76	161.88	162.7	547	EUR	
25/03/2013 00:00	161.94	161.94	161.23	161.94	170	EUR	
26/03/2013 00:00	162.48	162.48	161.66	161.67	124	EUR	
27/03/2013 00:00	162.3	162.3	159.71	159.98	385	EUR	
28/03/2013 00:00	159.63	160.68	159.63	160.68	160	EUR	
02/04/2013 00:00	160.31	161.31	160.31	161.31	120	EUR	
03/04/2013 00:00	161.19	161.26	160	160.23	760	EUR	
04/04/2013 00:00	160.48	160.48	159.04	159.04	0	EUR	
05/04/2013 00:00	159.25	159.25	155.64	156.21	15223	EUR	
08/04/2013 00:00	156.82	157.06	156.25	156.25	16	EUR	
09/04/2013 00:00	156.92	157.47	156.74	157.47	700	EUR	
10/04/2013 00:00	157.93	161.07	157.93	160.86	1405	EUR	
11/04/2013 00:00	160.97	162.54	160.97	162.54	125	EUR	
12/04/2013 00:00	162.18	162.18	161.28	161.44	100	EUR	
15/04/2013 00:00	161.54	161.54	159.86	159.86	45	EUR	
16/04/2013 00:00	158.92	158.92	158.6	158.86	70	EUR	
17/04/2013 00:00	159.51	159.51	156.39	156.58	900	EUR	
18/04/2013 00:00	156.51	156.51	155.98	156.3	1527	EUR	
19/04/2013 00:00	156.78	157.29	156.78	157.29	0	EUR	
22/04/2013 00:00	158.24	158.69	158.08	158.08	7	EUR	
23/04/2013 00:00	158.27	160.9	158.27	160.9	95	EUR	
24/04/2013 00:00	161.15	161.88	161.15	161.88	2215	EUR	
25/04/2013 00:00	162.16	163.2	162.16	163.19	4925	EUR	
26/04/2013 00:00	163.17	163.17	162	162.57	1169	EUR	
29/04/2013 00:00	163.06	163.64	163	163.64	21	EUR	
30/04/2013 00:00	164.2	164.52	163.46	163.8	242	EUR	
02/05/2013 00:00	163.35	164.08	163.35	164.08	0	EUR	
03/05/2013 00:00	164.68	166.08	164.55	165.78	2717	EUR	
06/05/2013 00:00	165.92	166.21	165.92	166.21	2717	EUR	
07/05/2013 00:00	166.42	167.78	166.42	167.34	7015	EUR	
08/05/2013 00:00	167.62	169.44	167.62	169.44	35	EUR	
09/05/2013 00:00	169.14	169.83	169.14	169.6	79	EUR	
10/05/2013 00:00	169.99	170.92	169.7	170.34	374	EUR	
13/05/2013 00:00	170.43	170.43	169.64	170.39	76	EUR	
14/05/2013 00:00	170.54	170.86	170.4	170.86	266	EUR	
15/05/2013 00:00	170.67	172.04	170.67	172.04	521	EUR	
16/05/2013 00:00	171.97	172.6	171.61	172.28	2932	EUR	
17/05/2013 00:00	172.1	173.18	172.1	173.18	343	EUR	
20/05/2013 00:00	173.27	173.66	173.27	173.66	12500	EUR	
21/05/2013 00:00	173.72	173.72	172.84	173.4	309	EUR	
22/05/2013 00:00	173.68	174.06	172.86	173.49	3000	EUR	
23/05/2013 00:00	170.01	170.01	169.3	169.95	1299	EUR	
