date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	89.69	89.69	86.92	86.92	330	EUR	
08/11/2012 00:00	87.61	87.61	86.77	86.77	0	EUR	
09/11/2012 00:00	86.75	86.75	86.1	86.52	16357	EUR	
12/11/2012 00:00	86.39	86.39	86.23	86.32	40	EUR	
13/11/2012 00:00	85.72	86.84	85.72	86.84	0	EUR	
14/11/2012 00:00	86.53	86.69	86.31	86.31	151	EUR	
15/11/2012 00:00	85.54	85.79	85.54	85.79	0	EUR	
16/11/2012 00:00	85.71	85.71	84.39	84.39	113	EUR	
19/11/2012 00:00	85.19	86.64	85.19	86.64	0	EUR	
20/11/2012 00:00	86.2	86.95	86.2	86.95	28	EUR	
21/11/2012 00:00	86.58	87.32	86.58	87.32	0	EUR	
22/11/2012 00:00	87.54	87.94	87.54	87.94	0	EUR	
23/11/2012 00:00	88.16	88.63	88.16	88.63	1083	EUR	
26/11/2012 00:00	88.37	88.37	88.11	88.11	0	EUR	
27/11/2012 00:00	88.96	88.96	88.05	88.05	67	EUR	
28/11/2012 00:00	87.83	88.07	87.28	88.07	157	EUR	
29/11/2012 00:00	88.59	89.43	88.59	89.43	68	EUR	
30/11/2012 00:00	89.41	89.45	89.41	89.45	113	EUR	
03/12/2012 00:00	89.52	89.79	89.36	89.36	470	EUR	
04/12/2012 00:00	89.39	89.9	89.39	89.68	1380	EUR	
05/12/2012 00:00	90.44	90.44	90.08	90.08	130	EUR	
06/12/2012 00:00	90.25	90.32	90.25	90.32	0	EUR	
07/12/2012 00:00	90.47	90.6	90.17	90.17	97	EUR	
10/12/2012 00:00	89.52	89.8	89.52	89.8	0	EUR	
11/12/2012 00:00	89.91	90.81	89.91	90.81	300	EUR	
12/12/2012 00:00	90.44	90.84	90.44	90.84	215	EUR	
13/12/2012 00:00	90.93	90.93	90.7	90.7	1050	EUR	
14/12/2012 00:00	90.87	90.94	90.87	90.94	13	EUR	
17/12/2012 00:00	90.91	90.98	90.91	90.98	18	EUR	
18/12/2012 00:00	91.32	91.8	91.32	91.8	31	EUR	
19/12/2012 00:00	91.96	92.23	91.96	92.23	388	EUR	
20/12/2012 00:00	91.79	92.28	91.79	92.25	738	EUR	
21/12/2012 00:00	91.94	92.18	91.66	92.18	1914	EUR	
27/12/2012 00:00	92.26	92.34	92.26	92.34	3592	EUR	
28/12/2012 00:00	92.46	92.46	91.09	91.16	3532	EUR	
02/01/2013 00:00	93.37	94.15	92.94	94.15	15086	EUR	
03/01/2013 00:00	94.08	94.26	94.08	94.26	61	EUR	
04/01/2013 00:00	93.99	94.44	93.99	94.44	0	EUR	
07/01/2013 00:00	94.68	94.77	94.31	94.31	140	EUR	
08/01/2013 00:00	94.01	94.6	94.01	94.16	2857	EUR	
09/01/2013 00:00	94.68	95.05	94.68	95.05	1206	EUR	
10/01/2013 00:00	95.23	95.77	95.23	95.4	16	EUR	
11/01/2013 00:00	95.83	95.83	95.45	95.61	1683	EUR	
14/01/2013 00:00	96.11	96.44	95.65	95.68	2755	EUR	
15/01/2013 00:00	95.26	95.26	95.17	95.22	69	EUR	
16/01/2013 00:00	94.97	95.04	94.49	95.04	10223	EUR	
17/01/2013 00:00	95.11	95.81	95.09	95.81	72	EUR	
18/01/2013 00:00	96.13	96.13	95.6	95.6	60	EUR	
21/01/2013 00:00	96.12	96.19	95.77	96.19	2672	EUR	
22/01/2013 00:00	96.12	96.12	95.67	95.67	3513	EUR	
23/01/2013 00:00	95.7	95.7	95.05	95.13	5009	EUR	
24/01/2013 00:00	94.75	95.77	94.75	95.77	300	EUR	
25/01/2013 00:00	95.52	96.51	95.52	96.21	55453	EUR	
28/01/2013 00:00	96.5	96.53	96.39	96.41	824	EUR	
29/01/2013 00:00	96.41	96.66	96.08	96.66	514	EUR	
30/01/2013 00:00	96.61	96.61	95.5	95.73	11465	EUR	
31/01/2013 00:00	95.62	95.62	94.76	95.05	400	EUR	
01/02/2013 00:00	94.64	95.01	94.64	95.01	0	EUR	
04/02/2013 00:00	94.91	94.91	92.02	92.02	300	EUR	
05/02/2013 00:00	91.83	92.73	91.59	92.73	270	EUR	
06/02/2013 00:00	92.55	92.95	91.92	91.92	472	EUR	
07/02/2013 00:00	91.92	92.48	91.01	91.15	15819	EUR	
08/02/2013 00:00	91.39	92.27	91.39	92.27	120	EUR	
11/02/2013 00:00	92.3	92.3	92.3	92.3	0	EUR	
12/02/2013 00:00	92.04	93	92.04	93	60	EUR	
13/02/2013 00:00	93.14	93.75	92.92	93.39	1225	EUR	
14/02/2013 00:00	93.26	93.36	92.48	92.67	7246	EUR	
15/02/2013 00:00	92.67	92.8	92	92	6546	EUR	
18/02/2013 00:00	91.83	92.3	91.83	92.22	1389	EUR	
19/02/2013 00:00	92.03	93.55	92.03	93.51	18	EUR	
20/02/2013 00:00	93.41	93.41	92.62	92.62	0	EUR	
21/02/2013 00:00	91.87	91.87	90.24	90.24	130	EUR	
22/02/2013 00:00	90.79	91.83	90.79	91.83	3252	EUR	
25/02/2013 00:00	92.73	93.68	92.53	92.53	348	EUR	
26/02/2013 00:00	89.66	90.14	89.66	89.71	59	EUR	
27/02/2013 00:00	90.33	91.21	89.86	91.21	175	EUR	
28/02/2013 00:00	91.79	91.86	91.79	91.86	0	EUR	
01/03/2013 00:00	91.64	91.64	90.87	90.87	22433	EUR	
04/03/2013 00:00	90.37	91.2	90.33	91.2	16131	EUR	
05/03/2013 00:00	92.33	93.5	92.33	93.35	15940	EUR	
06/03/2013 00:00	93.42	93.57	93.2	93.2	520	EUR	
07/03/2013 00:00	93.5	93.52	93.5	93.52	0	EUR	
08/03/2013 00:00	94.15	95.14	94.15	95.14	1	EUR	
