date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	1.51	1.51	1.465	1.465	34990	EUR	
08/11/2012 00:00	1.475	1.475	1.38	1.39	66819	EUR	
09/11/2012 00:00	1.41	1.45	1.39	1.44	32543	EUR	
12/11/2012 00:00	1.45	1.45	1.34	1.345	127391	EUR	
13/11/2012 00:00	1.355	1.375	1.31	1.36	128954	EUR	
14/11/2012 00:00	1.345	1.405	1.345	1.375	139890	EUR	
15/11/2012 00:00	1.37	1.385	1.355	1.355	730	EUR	
16/11/2012 00:00	1.355	1.38	1.355	1.365	59230	EUR	
19/11/2012 00:00	1.38	1.445	1.38	1.445	33530	EUR	
20/11/2012 00:00	1.45	1.45	1.415	1.435	36625	EUR	
21/11/2012 00:00	1.43	1.45	1.39	1.45	56448	EUR	
22/11/2012 00:00	1.445	1.5	1.44	1.48	78530	EUR	
23/11/2012 00:00	1.495	1.51	1.49	1.49	57160	EUR	
26/11/2012 00:00	1.5	1.51	1.48	1.5	127547	EUR	
27/11/2012 00:00	1.5	1.52	1.46	1.475	30972	EUR	
28/11/2012 00:00	1.47	1.47	1.39	1.41	102032	EUR	
29/11/2012 00:00	1.395	1.425	1.39	1.4	63000	EUR	
30/11/2012 00:00	1.4	1.4	1.37	1.375	83458	EUR	
03/12/2012 00:00	1.355	1.42	1.355	1.405	118283	EUR	
04/12/2012 00:00	1.4	1.41	1.385	1.385	60440	EUR	
05/12/2012 00:00	1.4	1.41	1.39	1.405	74915	EUR	
06/12/2012 00:00	1.39	1.455	1.39	1.425	314680	EUR	
07/12/2012 00:00	1.43	1.445	1.43	1.43	194300	EUR	
10/12/2012 00:00	1.43	1.465	1.405	1.46	100650	EUR	
11/12/2012 00:00	1.465	1.5	1.455	1.49	82929	EUR	
12/12/2012 00:00	1.495	1.5	1.48	1.485	58394	EUR	
13/12/2012 00:00	1.48	1.5	1.435	1.45	288762	EUR	
14/12/2012 00:00	1.47	1.48	1.46	1.46	66442	EUR	
17/12/2012 00:00	1.46	1.465	1.4	1.425	241716	EUR	
18/12/2012 00:00	1.42	1.425	1.4	1.415	78904	EUR	
19/12/2012 00:00	1.46	1.49	1.46	1.485	103569	EUR	
20/12/2012 00:00	1.495	1.505	1.47	1.475	85445	EUR	
21/12/2012 00:00	1.475	1.525	1.475	1.52	248181	EUR	
27/12/2012 00:00	1.525	1.56	1.515	1.535	281731	EUR	
28/12/2012 00:00	1.525	1.555	1.51	1.525	216867	EUR	
02/01/2013 00:00	1.555	1.59	1.55	1.575	234311	EUR	
03/01/2013 00:00	1.575	1.6	1.57	1.6	410026	EUR	
04/01/2013 00:00	1.595	1.635	1.595	1.625	340300	EUR	
07/01/2013 00:00	1.635	1.64	1.615	1.62	448172	EUR	
08/01/2013 00:00	1.63	1.69	1.62	1.65	794218	EUR	
09/01/2013 00:00	1.66	1.665	1.63	1.655	161731	EUR	
10/01/2013 00:00	1.655	1.66	1.62	1.645	98678	EUR	
11/01/2013 00:00	1.645	1.655	1.62	1.62	302500	EUR	
14/01/2013 00:00	1.64	1.675	1.61	1.62	905350	EUR	
15/01/2013 00:00	1.61	1.61	1.57	1.585	549949	EUR	
16/01/2013 00:00	1.56	1.615	1.555	1.59	173729	EUR	
