date	ouv	haut	bas	clot	vol	devise	
08/07/2020 00:00	19.912	19.912	19.912	19.912	0	EUR	
09/07/2020 00:00	19.572	19.572	19.572	19.572	0	EUR	
10/07/2020 00:00	19.546	19.77	19.546	19.77	0	EUR	
13/07/2020 00:00	20.01	20.085	20.01	20.085	0	EUR	
14/07/2020 00:00	19.818	19.894	19.818	19.894	0	EUR	
15/07/2020 00:00	20.045	20.205	20.045	20.205	0	EUR	
16/07/2020 00:00	20.07	20.15	20.07	20.15	0	EUR	
17/07/2020 00:00	20.215	20.215	20.155	20.155	0	EUR	
20/07/2020 00:00	20.09	20.355	20.09	20.355	0	EUR	
21/07/2020 00:00	20.53	20.69	20.43	20.43	146	EUR	
22/07/2020 00:00	20.35	20.35	20.27	20.27	500	EUR	
23/07/2020 00:00	20.385	20.385	20.26	20.26	670	EUR	
24/07/2020 00:00	20.005	20.005	19.904	19.94	250	EUR	
27/07/2020 00:00	19.94	19.94	19.918	19.918	0	EUR	
28/07/2020 00:00	19.906	19.91	19.826	19.91	1090	EUR	
29/07/2020 00:00	19.968	19.968	19.938	19.938	0	EUR	
30/07/2020 00:00	19.868	19.868	19.368	19.368	0	EUR	
31/07/2020 00:00	19.43	19.43	19.182	19.182	0	EUR	
03/08/2020 00:00	19.222	19.558	19.222	19.558	0	EUR	
04/08/2020 00:00	19.694	19.694	19.53	19.53	0	EUR	
05/08/2020 00:00	19.656	19.656	19.588	19.588	25	EUR	
06/08/2020 00:00	19.55	19.55	19.466	19.466	0	EUR	
07/08/2020 00:00	19.468	19.534	19.468	19.534	0	EUR	
10/08/2020 00:00	19.576	19.576	19.552	19.552	0	EUR	
11/08/2020 00:00	19.74	19.928	19.74	19.928	0	EUR	
12/08/2020 00:00	19.892	20.145	19.892	20.145	1	EUR	
13/08/2020 00:00	20.125	20.125	20.07	20.07	49	EUR	
14/08/2020 00:00	19.952	19.952	19.83	19.83	0	EUR	
17/08/2020 00:00	19.978	19.978	19.874	19.874	200	EUR	
18/08/2020 00:00	19.752	19.83	19.752	19.76	175	EUR	
19/08/2020 00:00	19.734	19.914	19.734	19.914	0	EUR	
20/08/2020 00:00	19.758	19.758	19.682	19.682	1702	EUR	
21/08/2020 00:00	19.754	19.754	19.5	19.618	25	EUR	
24/08/2020 00:00	19.884	20.005	19.884	20.005	0	EUR	
25/08/2020 00:00	20.175	20.2	20.01	20.01	25	EUR	
26/08/2020 00:00	19.994	20.21	19.994	20.21	1344	EUR	
27/08/2020 00:00	20.24	20.24	20.055	20.055	3716	EUR	
28/08/2020 00:00	20.095	20.095	19.99	19.99	750	EUR	
31/08/2020 00:00	20.105	20.105	19.732	19.732	0	EUR	
01/09/2020 00:00	19.878	19.878	19.76	19.76	250	EUR	
02/09/2020 00:00	19.92	20.185	19.92	20.085	2	EUR	
03/09/2020 00:00	20.355	20.355	19.866	19.866	0	EUR	
04/09/2020 00:00	19.712	19.712	19.6	19.658	1	EUR	
07/09/2020 00:00	19.796	19.94	19.796	19.94	0	EUR	
08/09/2020 00:00	20.04	20.04	19.698	19.698	99	EUR	
09/09/2020 00:00	19.79	20.07	19.79	20.07	0	EUR	
10/09/2020 00:00	20.105	20.105	20.01	20.01	1	EUR	
11/09/2020 00:00	19.99	20.025	19.99	20.025	0	EUR	
14/09/2020 00:00	20.25	20.25	20.055	20.055	10	EUR	
15/09/2020 00:00	20.1	20.145	20.1	20.145	0	EUR	
16/09/2020 00:00	20.215	20.215	20.19	20.19	0	EUR	
17/09/2020 00:00	19.95	20.095	19.95	20.095	0	EUR	
18/09/2020 00:00	20.09	20.09	19.918	19.918	49	EUR	
21/09/2020 00:00	19.798	19.798	19.22	19.22	65	EUR	
22/09/2020 00:00	19.374	19.374	19.248	19.248	0	EUR	
23/09/2020 00:00	19.446	19.446	19.346	19.346	0	EUR	
24/09/2020 00:00	19.272	19.298	19.266	19.266	27	EUR	
25/09/2020 00:00	19.228	19.228	19.152	19.152	0	EUR	
28/09/2020 00:00	19.44	19.6	19.44	19.6	0	EUR	
29/09/2020 00:00	19.57	19.62	19.57	19.62	0	EUR	
30/09/2020 00:00	19.572	19.582	19.544	19.544	51	EUR	
01/10/2020 00:00	19.762	19.762	19.638	19.638	0	EUR	
