date	ouv	haut	bas	clot	vol	devise	
12/06/2014 00:00	10.85	10.86	10.85	10.85	2473	EUR	
13/06/2014 00:00	10.88	10.9	10.86	10.88	386	EUR	
16/06/2014 00:00	10.94	10.94	10.82	10.82	3488	EUR	
17/06/2014 00:00	10.83	10.83	10.83	10.83	0	EUR	
19/06/2014 00:00	10.75	10.78	10.73	10.73	3435	EUR	
20/06/2014 00:00	10.79	10.79	10.79	10.79	0	EUR	
24/06/2014 00:00	10.67	10.93	10.64	10.93	2752	EUR	
25/06/2014 00:00	10.59	10.59	10.59	10.59	0	EUR	
27/06/2014 00:00	10.69	10.7	10.69	10.7	914	EUR	
30/06/2014 00:00	10.69	10.69	10.69	10.69	0	EUR	
02/07/2014 00:00	10.86	10.94	10.86	10.89	1000	EUR	
03/07/2014 00:00	10.97	11.29	10.97	11.03	4726	EUR	
04/07/2014 00:00	11.03	11.07	11.03	11.05	993	EUR	
07/07/2014 00:00	11.08	11.32	11.02	11.02	2425	EUR	
08/07/2014 00:00	11.04	11.04	11	11.01	1584	EUR	
09/07/2014 00:00	10.85	10.91	10.85	10.89	597	EUR	
10/07/2014 00:00	10.9	10.9	10.82	10.82	275	EUR	
11/07/2014 00:00	10.88	10.88	10.88	10.88	0	EUR	
14/07/2014 00:00	11.01	11.06	11.01	11.06	2311	EUR	
15/07/2014 00:00	11.05	11.05	11.01	11.01	4650	EUR	
16/07/2014 00:00	11.05	11.16	11.05	11.15	1250	EUR	
17/07/2014 00:00	11.04	11.08	11.04	11.07	15873	EUR	
18/07/2014 00:00	11.02	11.07	11.02	11.07	500	EUR	
21/07/2014 00:00	11	11	10.97	10.99	16382	EUR	
22/07/2014 00:00	11.2	11.33	11.2	11.33	780	EUR	
23/07/2014 00:00	11.46	11.56	11.46	11.51	1635	EUR	
24/07/2014 00:00	11.65	11.68	11.63	11.67	4166	EUR	
25/07/2014 00:00	11.64	11.77	11.64	11.7	2976	EUR	
28/07/2014 00:00	11.8	11.85	11.8	11.83	1334	EUR	
29/07/2014 00:00	11.89	11.95	11.89	11.92	1313	EUR	
30/07/2014 00:00	11.89	11.92	11.87	11.88	4817	EUR	
31/07/2014 00:00	11.9	12.14	11.75	11.75	1027	EUR	
01/08/2014 00:00	11.76	11.76	11.71	11.73	4117	EUR	
04/08/2014 00:00	11.88	11.89	11.82	11.82	300	EUR	
05/08/2014 00:00	11.73	11.78	11.71	11.73	3810	EUR	
06/08/2014 00:00	11.72	11.72	11.67	11.67	2053	EUR	
07/08/2014 00:00	11.64	11.7	11.61	11.61	1339	EUR	
08/08/2014 00:00	11.59	11.67	11.59	11.67	1050	EUR	
11/08/2014 00:00	11.82	11.92	11.81	11.89	1034	EUR	
12/08/2014 00:00	11.83	11.92	11.83	11.87	1168	EUR	
13/08/2014 00:00	11.87	12.08	11.87	12.08	1050	EUR	
14/08/2014 00:00	11.86	11.91	11.86	11.91	10342	EUR	
15/08/2014 00:00	11.93	11.93	11.82	11.82	2982	EUR	
18/08/2014 00:00	11.81	11.87	11.81	11.85	5020	EUR	
19/08/2014 00:00	11.87	12.17	11.87	11.95	8515	EUR	
20/08/2014 00:00	11.89	11.97	11.89	11.93	2110	EUR	
21/08/2014 00:00	11.82	11.86	11.74	11.74	1549	EUR	
22/08/2014 00:00	11.84	11.94	11.84	11.88	6326	EUR	
25/08/2014 00:00	12.08	12.08	12.05	12.05	963	EUR	
26/08/2014 00:00	12.06	12.31	12.06	12.1	4411	EUR	
27/08/2014 00:00	12.07	12.07	12.05	12.05	7530	EUR	
28/08/2014 00:00	11.9	11.9	11.79	11.81	10659	EUR	
29/08/2014 00:00	11.92	12.18	11.88	11.88	1862	EUR	
01/09/2014 00:00	11.96	11.96	11.92	11.92	3367	EUR	
02/09/2014 00:00	11.96	12.02	11.96	11.96	5687	EUR	
03/09/2014 00:00	12.55	12.59	12.38	12.38	6846	EUR	
04/09/2014 00:00	12.45	12.66	12.4	12.6	23853	EUR	
05/09/2014 00:00	12.59	12.59	12.52	12.55	9636	EUR	
08/09/2014 00:00	12.62	12.63	12.59	12.63	725	EUR	
09/09/2014 00:00	12.65	12.95	12.6	12.61	13015	EUR	
10/09/2014 00:00	12.61	12.61	12.26	12.29	21705	EUR	
11/09/2014 00:00	12.64	12.64	12.15	12.19	14286	EUR	
12/09/2014 00:00	12.22	12.22	12.15	12.15	1656	EUR	
15/09/2014 00:00	12.52	12.52	11.99	11.99	9247	EUR	
16/09/2014 00:00	11.93	12.18	11.86	11.97	7965	EUR	
17/09/2014 00:00	12.02	12.11	12.02	12.09	11509	EUR	
18/09/2014 00:00	12.04	12.13	12.02	12.06	15703	EUR	
19/09/2014 00:00	12.06	12.06	12.01	12.01	3066	EUR	
22/09/2014 00:00	12.33	12.33	11.85	11.86	5533	EUR	
23/09/2014 00:00	11.86	12.14	11.73	11.87	28719	EUR	
24/09/2014 00:00	12.2	12.2	11.9	11.9	68901	EUR	
25/09/2014 00:00	12.32	12.32	11.82	11.85	24609	EUR	
26/09/2014 00:00	12.17	12.17	11.88	11.96	5728	EUR	
29/09/2014 00:00	12.3	12.3	11.66	11.67	4543	EUR	
30/09/2014 00:00	11.67	12.05	11.62	11.73	18912	EUR	
01/10/2014 00:00	11.75	12.07	11.7	11.96	9435	EUR	
02/10/2014 00:00	11.56	11.56	11.39	11.39	7896	EUR	
03/10/2014 00:00	11.69	11.96	11.69	11.77	11602	EUR	
06/10/2014 00:00	12.25	12.25	11.89	11.9	4062	EUR	
07/10/2014 00:00	11.87	11.89	11.77	11.77	6060	EUR	
08/10/2014 00:00	11.78	11.82	11.67	11.71	6204	EUR	
09/10/2014 00:00	11.76	11.79	11.72	11.74	8875	EUR	
10/10/2014 00:00	11.64	11.89	11.56	11.57	21329	EUR	
13/10/2014 00:00	11.6	11.69	11.6	11.65	20453	EUR	
14/10/2014 00:00	11.58	11.63	11.47	11.63	25089	EUR	
15/10/2014 00:00	11.68	11.68	11.26	11.42	14763	EUR	
16/10/2014 00:00	11.36	11.43	11.2	11.34	11238	EUR	
17/10/2014 00:00	11.39	11.62	11.38	11.62	7110	EUR	
20/10/2014 00:00	11.53	11.53	11.45	11.49	142	EUR	
21/10/2014 00:00	11.42	11.68	11.4	11.68	1907	EUR	
22/10/2014 00:00	11.67	11.74	11.67	11.74	6350	EUR	
23/10/2014 00:00	11.76	11.82	11.76	11.81	11389	EUR	
24/10/2014 00:00	11.74	11.8	11.74	11.8	1719	EUR	
27/10/2014 00:00	11.64	11.75	11.6	11.6	1725	EUR	
28/10/2014 00:00	11.83	11.9	11.82	11.9	4661	EUR	
29/10/2014 00:00	12.03	12.03	12.03	12.03	0	EUR	
30/10/2014 00:00	12.1	12.1	12.04	12.06	5410	EUR	
31/10/2014 00:00	12.16	12.29	12.16	12.23	4941	EUR	
03/11/2014 00:00	12.18	12.18	12.1	12.1	53	EUR	
04/11/2014 00:00	12.27	12.27	12.17	12.17	2779	EUR	
05/11/2014 00:00	12.14	12.19	12.14	12.18	2787	EUR	
06/11/2014 00:00	12.11	12.2	12.07	12.2	2512	EUR	
07/11/2014 00:00	12.18	12.18	12.18	12.18	0	EUR	
10/11/2014 00:00	12.22	12.25	12.22	12.25	2512	EUR	
11/11/2014 00:00	12.32	12.32	12.29	12.29	248	EUR	
12/11/2014 00:00	12.28	12.31	12.27	12.28	3418	EUR	
13/11/2014 00:00	12.36	12.4	12.22	12.33	7139	EUR	
14/11/2014 00:00	12.35	12.51	12.3	12.5	6741	EUR	
17/11/2014 00:00	12.07	12.17	12.05	12.17	3962	EUR	
18/11/2014 00:00	11.95	11.95	11.9	11.92	2093	EUR	
19/11/2014 00:00	11.82	11.84	11.82	11.84	2951	EUR	
20/11/2014 00:00	11.82	11.83	11.76	11.83	200	EUR	
21/11/2014 00:00	11.88	12.54	11.88	12.41	109648	EUR	
24/11/2014 00:00	12.52	12.52	12.45	12.45	12622	EUR	
25/11/2014 00:00	12.46	12.48	12.34	12.34	8452	EUR	
26/11/2014 00:00	12.63	12.71	12.63	12.67	2924	EUR	
27/11/2014 00:00	12.69	12.7	12.62	12.68	14756	EUR	
28/11/2014 00:00	12.81	12.82	12.78	12.79	1666	EUR	
01/12/2014 00:00	12.45	12.45	12.39	12.4	18517	EUR	
02/12/2014 00:00	12.75	12.9	12.74	12.9	773	EUR	
03/12/2014 00:00	12.71	12.94	12.71	12.94	1271	EUR	
04/12/2014 00:00	13.25	13.5	13.25	13.27	28322	EUR	
05/12/2014 00:00	13.22	13.53	13.22	13.53	6150	EUR	
08/12/2014 00:00	13.73	13.84	13.69	13.69	2832	EUR	
09/12/2014 00:00	13.13	13.28	12.88	12.92	54554	EUR	
10/12/2014 00:00	13.13	13.13	12.95	12.95	3124	EUR	
11/12/2014 00:00	12.79	13	12.79	13	12742	EUR	
12/12/2014 00:00	12.89	12.89	12.63	12.65	2800	EUR	
15/12/2014 00:00	12.79	12.86	12.64	12.64	6729	EUR	
16/12/2014 00:00	12.77	12.84	12.43	12.84	13652	EUR	
17/12/2014 00:00	12.87	13.09	12.83	13.09	3381	EUR	
18/12/2014 00:00	13.13	13.25	13.13	13.25	704	EUR	
19/12/2014 00:00	13.26	13.39	13.23	13.37	433	EUR	
22/12/2014 00:00	13.68	13.78	13.68	13.78	7956	EUR	
23/12/2014 00:00	13.77	13.77	13.77	13.77	0	EUR	
29/12/2014 00:00	13.98	14.13	13.98	14.13	4856	EUR	
30/12/2014 00:00	13.89	13.89	13.89	13.89	0	EUR	
02/01/2015 00:00	14.38	14.48	14.35	14.39	557	EUR	
05/01/2015 00:00	14.58	14.64	14.37	14.39	29715	EUR	
06/01/2015 00:00	14.25	14.31	14.17	14.17	13700	EUR	
07/01/2015 00:00	14.3	14.53	14.3	14.47	10121	EUR	
08/01/2015 00:00	14.45	14.66	14.45	14.6	552	EUR	
09/01/2015 00:00	14.6	14.6	14.49	14.49	5969	EUR	
12/01/2015 00:00	14.49	14.61	14.42	14.42	1403	EUR	
13/01/2015 00:00	14.51	14.7	14.51	14.68	10442	EUR	
14/01/2015 00:00	14.54	14.65	14.42	14.42	3965	EUR	
15/01/2015 00:00	14.8	14.95	14.72	14.95	8903	EUR	
16/01/2015 00:00	14.82	14.89	14.61	14.76	5000	EUR	
19/01/2015 00:00	14.15	14.23	14.05	14.2	9536	EUR	
20/01/2015 00:00	14.4	14.47	14.37	14.47	5610	EUR	
21/01/2015 00:00	14.82	14.82	14.72	14.72	8001	EUR	
22/01/2015 00:00	14.8	15.19	14.77	15.19	18918	EUR	
23/01/2015 00:00	15.43	15.79	15.43	15.6	11172	EUR	
26/01/2015 00:00	15.59	15.59	15.54	15.58	3554	EUR	
27/01/2015 00:00	15.33	15.33	14.97	15.06	5686	EUR	
28/01/2015 00:00	15.11	15.11	14.85	14.9	5647	EUR	
29/01/2015 00:00	14.9	14.9	14.72	14.77	1505	EUR	
30/01/2015 00:00	14.79	14.79	14.68	14.68	1260	EUR	
02/02/2015 00:00	14.61	14.67	14.55	14.67	377	EUR	
03/02/2015 00:00	14.81	14.85	14.68	14.76	14773	EUR	
04/02/2015 00:00	14.73	15.15	14.6	15.11	6119	EUR	
05/02/2015 00:00	14.85	14.85	14.72	14.85	22454	EUR	
06/02/2015 00:00	14.57	14.77	14.53	14.72	7416	EUR	
09/02/2015 00:00	14.66	14.7	14.62	14.67	3965	EUR	
10/02/2015 00:00	14.72	14.81	14.72	14.77	3657	EUR	
11/02/2015 00:00	14.73	14.73	14.7	14.72	137	EUR	
12/02/2015 00:00	14.83	14.93	14.82	14.88	15055	EUR	
13/02/2015 00:00	14.93	15.03	14.93	14.95	2271	EUR	
16/02/2015 00:00	15	15	14.92	14.99	1438	EUR	
17/02/2015 00:00	15.02	15.11	15.02	15.06	5111	EUR	
18/02/2015 00:00	15.11	15.15	15.07	15.13	53001	EUR	
19/02/2015 00:00	15.03	15.12	15	15.12	1231	EUR	
20/02/2015 00:00	15.13	15.23	15.13	15.18	2047	EUR	
23/02/2015 00:00	15.18	15.21	15.12	15.12	1324	EUR	
24/02/2015 00:00	15.16	15.36	15.16	15.36	41040	EUR	
25/02/2015 00:00	15.13	15.34	15.13	15.19	3490	EUR	
26/02/2015 00:00	15.36	15.58	15.36	15.58	3645	EUR	
27/02/2015 00:00	15.58	15.65	15.54	15.65	4135	EUR	
02/03/2015 00:00	15.6	15.62	15.48	15.61	7087	EUR	
03/03/2015 00:00	15.23	15.42	15.13	15.13	15005	EUR	
04/03/2015 00:00	14.95	15.03	14.95	15.03	1263	EUR	
05/03/2015 00:00	14.97	15.02	14.97	14.99	2995	EUR	
06/03/2015 00:00	14.98	15.12	14.98	15.05	4155	EUR	
