date	ouv	haut	bas	clot	vol	devise	
03/06/2014 00:00	10.25	10.25	10.15	10.15	100	EUR	
04/06/2014 00:00	10.14	10.15	10.14	10.15	0	EUR	
05/06/2014 00:00	10.17	10.21	10.17	10.21	0	EUR	
06/06/2014 00:00	10.22	10.29	10.22	10.29	0	EUR	
10/06/2014 00:00	10.37	10.43	10.37	10.43	0	EUR	
11/06/2014 00:00	10.46	10.46	10.39	10.39	0	EUR	
12/06/2014 00:00	10.43	10.43	10.39	10.39	0	EUR	
13/06/2014 00:00	10.42	10.46	10.42	10.46	0	EUR	
16/06/2014 00:00	10.43	10.43	10.4	10.4	0	EUR	
17/06/2014 00:00	10.41	10.43	10.41	10.43	0	EUR	
18/06/2014 00:00	10.35	10.35	10.35	10.35	0	EUR	
19/06/2014 00:00	10.46	10.5	10.46	10.48	149	EUR	
20/06/2014 00:00	10.49	10.55	10.49	10.55	0	EUR	
23/06/2014 00:00	10.56	10.56	10.53	10.53	0	EUR	
24/06/2014 00:00	10.55	10.6	10.55	10.6	0	EUR	
25/06/2014 00:00	10.52	10.52	10.45	10.45	0	EUR	
26/06/2014 00:00	10.51	10.51	10.46	10.46	285	EUR	
27/06/2014 00:00	10.43	10.45	10.43	10.45	0	EUR	
30/06/2014 00:00	10.45	10.47	10.44	10.44	1057	EUR	
01/07/2014 00:00	10.73	10.73	10.51	10.52	200	EUR	
02/07/2014 00:00	10.49	10.55	10.49	10.51	671	EUR	
03/07/2014 00:00	10.49	10.51	10.49	10.51	2160	EUR	
04/07/2014 00:00	10.52	10.57	10.52	10.53	1054	EUR	
07/07/2014 00:00	10.57	10.57	10.45	10.45	1120	EUR	
08/07/2014 00:00	10.46	10.46	10.35	10.35	5854	EUR	
09/07/2014 00:00	10.37	10.39	10.35	10.35	330	EUR	
10/07/2014 00:00	10.37	10.37	10.28	10.28	1669	EUR	
11/07/2014 00:00	10.3	10.36	10.29	10.29	242	EUR	
14/07/2014 00:00	10.38	10.38	10.35	10.35	430	EUR	
15/07/2014 00:00	10.34	10.42	10.34	10.37	603	EUR	
16/07/2014 00:00	10.4	10.49	10.4	10.42	1675	EUR	
17/07/2014 00:00	10.41	10.44	10.36	10.36	1050	EUR	
18/07/2014 00:00	10.36	10.43	10.36	10.43	307	EUR	
21/07/2014 00:00	10.43	10.43	10.41	10.41	0	EUR	
22/07/2014 00:00	10.47	10.57	10.47	10.57	281	EUR	
23/07/2014 00:00	10.56	10.58	10.53	10.53	910	EUR	
24/07/2014 00:00	10.53	10.55	10.53	10.54	400	EUR	
25/07/2014 00:00	10.52	10.52	10.45	10.45	700	EUR	
28/07/2014 00:00	10.48	10.48	10.41	10.41	4122	EUR	
29/07/2014 00:00	10.41	10.42	10.41	10.41	1000	EUR	
30/07/2014 00:00	10.39	10.45	10.36	10.36	3075	EUR	
31/07/2014 00:00	10.33	10.33	10.16	10.16	2011	EUR	
01/08/2014 00:00	10.09	10.09	10.09	10.09	0	EUR	
04/08/2014 00:00	9.96	10.03	9.93	9.93	50	EUR	
05/08/2014 00:00	9.91	10.03	9.91	10.03	1000	EUR	
06/08/2014 00:00	9.97	9.97	9.97	9.97	0	EUR	
07/08/2014 00:00	9.93	9.97	9.93	9.97	0	EUR	
08/08/2014 00:00	9.94	9.98	9.92	9.98	2432	EUR	
11/08/2014 00:00	10.08	10.14	10.07	10.14	1470	EUR	
12/08/2014 00:00	10.12	10.15	10.12	10.15	0	EUR	
13/08/2014 00:00	10.24	10.27	10.19	10.19	1327	EUR	
14/08/2014 00:00	10.17	10.22	10.17	10.22	1340	EUR	
15/08/2014 00:00	10.23	10.31	10.21	10.21	2746	EUR	
18/08/2014 00:00	10.33	10.38	10.33	10.34	414	EUR	
19/08/2014 00:00	10.38	10.43	10.38	10.43	1180	EUR	
20/08/2014 00:00	10.39	10.47	10.39	10.43	100	EUR	
21/08/2014 00:00	10.49	10.53	10.48	10.48	1206	EUR	
22/08/2014 00:00	10.51	10.53	10.5	10.51	895	EUR	
25/08/2014 00:00	10.8	10.8	10.58	10.58	1920	EUR	
26/08/2014 00:00	10.58	10.62	10.58	10.58	1170	EUR	
27/08/2014 00:00	10.55	10.58	10.55	10.55	1185	EUR	
28/08/2014 00:00	10.56	10.58	10.53	10.56	2275	EUR	
29/08/2014 00:00	10.58	10.59	10.52	10.55	607	EUR	
01/09/2014 00:00	10.62	10.62	10.61	10.61	2029	EUR	
02/09/2014 00:00	10.59	10.61	10.59	10.59	283	EUR	
03/09/2014 00:00	10.86	10.86	10.67	10.71	3550	EUR	
04/09/2014 00:00	10.67	10.83	10.65	10.77	3153	EUR	
05/09/2014 00:00	10.77	10.77	10.72	10.72	884	EUR	
08/09/2014 00:00	10.74	10.74	10.7	10.7	1959	EUR	
09/09/2014 00:00	10.7	10.8	10.62	10.62	9441	EUR	
10/09/2014 00:00	10.6	10.63	10.59	10.59	1630	EUR	
11/09/2014 00:00	10.6	10.62	10.55	10.6	3678	EUR	
12/09/2014 00:00	10.57	10.58	10.55	10.55	956	EUR	
15/09/2014 00:00	10.55	10.55	10.52	10.53	655	EUR	
16/09/2014 00:00	10.55	10.55	10.49	10.52	7057	EUR	
17/09/2014 00:00	10.56	10.57	10.53	10.53	3238	EUR	
18/09/2014 00:00	10.53	10.55	10.53	10.55	700	EUR	
19/09/2014 00:00	10.63	10.64	10.54	10.64	4014	EUR	
22/09/2014 00:00	10.58	10.58	10.55	10.55	2057	EUR	
23/09/2014 00:00	10.53	10.53	10.39	10.39	2416	EUR	
24/09/2014 00:00	10.42	10.48	10.41	10.48	1112	EUR	
25/09/2014 00:00	10.78	10.78	10.41	10.42	2177	EUR	
26/09/2014 00:00	10.69	10.69	10.36	10.42	3115	EUR	
29/09/2014 00:00	10.71	10.71	10.35	10.35	2165	EUR	
30/09/2014 00:00	10.42	10.45	10.42	10.43	520	EUR	
