date	ouv	haut	bas	clot	vol	devise	
16/05/2019 00:00	9.852	9.852	9.852	9.852	0	EUR	
17/05/2019 00:00	9.812	9.817	9.812	9.817	0	EUR	
20/05/2019 00:00	9.808	9.808	9.723	9.723	0	EUR	
21/05/2019 00:00	9.76	9.784	9.76	9.784	0	EUR	
22/05/2019 00:00	9.769	9.775	9.769	9.775	0	EUR	
23/05/2019 00:00	9.714	9.714	9.633	9.633	0	EUR	
24/05/2019 00:00	9.673	9.729	9.673	9.696	4100	EUR	
27/05/2019 00:00	9.761	9.761	9.728	9.728	0	EUR	
28/05/2019 00:00	9.763	9.763	9.691	9.691	180	EUR	
29/05/2019 00:00	9.638	9.638	9.565	9.565	0	EUR	
30/05/2019 00:00	9.62	9.621	9.617	9.621	180	EUR	
31/05/2019 00:00	9.53	9.535	9.493	9.535	10	EUR	
03/06/2019 00:00	9.483	9.568	9.483	9.568	0	EUR	
04/06/2019 00:00	9.516	9.627	9.516	9.627	0	EUR	
05/06/2019 00:00	9.633	9.656	9.633	9.656	0	EUR	
06/06/2019 00:00	9.676	9.676	9.656	9.656	0	EUR	
07/06/2019 00:00	9.707	9.746	9.707	9.746	0	EUR	
10/06/2019 00:00	9.802	9.802	9.802	9.802	0	EUR	
11/06/2019 00:00	9.809	9.836	9.809	9.836	0	EUR	
12/06/2019 00:00	9.8	9.808	9.8	9.808	0	EUR	
13/06/2019 00:00	9.802	9.821	9.802	9.821	0	EUR	
14/06/2019 00:00	9.799	9.799	9.785	9.785	0	EUR	
17/06/2019 00:00	9.805	9.805	9.779	9.779	0	EUR	
18/06/2019 00:00	9.78	9.942	9.78	9.942	0	EUR	
19/06/2019 00:00	9.954	9.954	9.943	9.943	0	EUR	
20/06/2019 00:00	10.014	10.014	9.988	9.988	0	EUR	
21/06/2019 00:00	10	10	9.95	9.95	0	EUR	
24/06/2019 00:00	9.95	9.95	9.925	9.925	0	EUR	
25/06/2019 00:00	9.903	9.915	9.903	9.915	0	EUR	
26/06/2019 00:00	9.897	9.897	9.887	9.887	0	EUR	
27/06/2019 00:00	9.909	9.909	9.886	9.886	0	EUR	
28/06/2019 00:00	9.894	9.951	9.894	9.951	0	EUR	
01/07/2019 00:00	10.08	10.08	10.03	10.03	0	EUR	
02/07/2019 00:00	10.052	10.064	10.052	10.064	0	EUR	
03/07/2019 00:00	10.098	10.152	10.098	10.152	0	EUR	
04/07/2019 00:00	10.17	10.17	10.16	10.16	0	EUR	
05/07/2019 00:00	10.152	10.152	10.088	10.088	0	EUR	
08/07/2019 00:00	10.078	10.078	10.078	10.078	0	EUR	
09/07/2019 00:00	10.042	10.042	10.03	10.03	0	EUR	
10/07/2019 00:00	10.016	10.016	10.014	10.014	0	EUR	
11/07/2019 00:00	10.05	10.05	10	10	0	EUR	
