date	ouv	haut	bas	clot	vol	devise	
04/01/2019 00:00	10.038	10.038	10.012	10.012	0	EUR	
07/01/2019 00:00	10.012	10.012	9.997	9.997	0	EUR	
08/01/2019 00:00	9.991	9.991	9.984	9.984	0	EUR	
09/01/2019 00:00	9.984	10.002	9.984	10.002	0	EUR	
10/01/2019 00:00	10.01	10.016	10.01	10.016	0	EUR	
11/01/2019 00:00	10.03	10.03	10.03	10.03	0	EUR	
14/01/2019 00:00	10.04	10.04	10.04	10.04	0	EUR	
15/01/2019 00:00	10.044	10.052	10.044	10.052	140	EUR	
16/01/2019 00:00	10.052	10.058	10.052	10.058	0	EUR	
17/01/2019 00:00	10.064	10.064	10.056	10.056	0	EUR	
18/01/2019 00:00	10.056	10.056	10.056	10.056	0	EUR	
21/01/2019 00:00	10.058	10.058	10.05	10.05	0	EUR	
22/01/2019 00:00	10.066	10.066	10.064	10.064	100	EUR	
23/01/2019 00:00	10.072	10.072	10.068	10.072	300	EUR	
24/01/2019 00:00	10.08	10.112	10.08	10.112	0	EUR	
25/01/2019 00:00	10.114	10.12	10.114	10.114	880	EUR	
28/01/2019 00:00	10.108	10.108	10.106	10.106	15	EUR	
29/01/2019 00:00	10.11	10.112	10.108	10.108	300	EUR	
30/01/2019 00:00	10.11	10.114	10.11	10.114	0	EUR	
31/01/2019 00:00	10.126	10.138	10.126	10.138	2250	EUR	
01/02/2019 00:00	10.134	10.134	10.106	10.106	16	EUR	
04/02/2019 00:00	10.096	10.114	10.096	10.1	1021	EUR	
05/02/2019 00:00	10.102	10.102	10.092	10.096	813	EUR	
06/02/2019 00:00	10.096	10.096	10.084	10.086	320	EUR	
07/02/2019 00:00	10.084	10.088	10.082	10.088	52	EUR	
08/02/2019 00:00	10.092	10.092	10.088	10.09	1165	EUR	
11/02/2019 00:00	10.086	10.092	10.082	10.086	323	EUR	
12/02/2019 00:00	10	10.092	10	10.086	1405	EUR	
13/02/2019 00:00	10.092	10.104	10.092	10.104	6	EUR	
14/02/2019 00:00	10.104	10.114	10.104	10.108	16	EUR	
15/02/2019 00:00	10.104	10.106	10.098	10.106	170	EUR	
18/02/2019 00:00	10.106	10.106	10.106	10.106	0	EUR	
19/02/2019 00:00	10.112	10.116	10.112	10.112	115	EUR	
20/02/2019 00:00	10.11	10.11	10.108	10.108	0	EUR	
21/02/2019 00:00	10.104	10.114	10.098	10.102	217	EUR	
22/02/2019 00:00	10.108	10.12	10.108	10.114	268	EUR	
25/02/2019 00:00	10.126	10.126	10.122	10.122	400	EUR	
26/02/2019 00:00	10.134	10.134	10.128	10.128	61	EUR	
27/02/2019 00:00	10.126	10.126	10.1	10.1	0	EUR	
28/02/2019 00:00	10.114	10.124	10.106	10.112	94832	EUR	
