date	ouv	haut	bas	clot	vol	devise	
28/05/2014 00:00	10.49	10.49	10.48	10.49	124	EUR	
29/05/2014 00:00	10.63	10.63	10.63	10.63	0	EUR	
30/05/2014 00:00	10.57	10.57	10.45	10.45	0	EUR	
02/06/2014 00:00	10.7	10.7	10.64	10.64	0	EUR	
03/06/2014 00:00	10.67	10.67	10.67	10.67	0	EUR	
04/06/2014 00:00	10.6	10.69	10.6	10.69	453	EUR	
05/06/2014 00:00	10.82	10.82	10.73	10.73	0	EUR	
06/06/2014 00:00	10.7	10.7	10.7	10.7	0	EUR	
10/06/2014 00:00	10.8	10.8	10.8	10.8	0	EUR	
11/06/2014 00:00	11.19	11.19	11.12	11.12	119	EUR	
12/06/2014 00:00	11.09	11.09	11.08	11.08	119	EUR	
13/06/2014 00:00	11.04	11.04	11	11.02	144	EUR	
16/06/2014 00:00	10.7	10.9	10.7	10.9	0	EUR	
17/06/2014 00:00	11.02	11.02	10.89	10.89	0	EUR	
18/06/2014 00:00	11.02	11.02	11.02	11.02	0	EUR	
19/06/2014 00:00	11.25	11.25	11.02	11.02	0	EUR	
20/06/2014 00:00	10.94	11.11	10.94	10.96	63	EUR	
23/06/2014 00:00	11.17	11.17	11.17	11.17	0	EUR	
24/06/2014 00:00	11.22	11.44	11.22	11.44	0	EUR	
25/06/2014 00:00	11.24	11.24	11.16	11.16	0	EUR	
26/06/2014 00:00	11.09	11.09	11.09	11.09	0	EUR	
27/06/2014 00:00	11.11	11.12	11.1	11.12	150	EUR	
30/06/2014 00:00	11.08	11.08	10.99	10.99	0	EUR	
01/07/2014 00:00	10.93	10.96	10.93	10.96	91	EUR	
02/07/2014 00:00	11.07	11.16	11.07	11.16	0	EUR	
03/07/2014 00:00	11.23	11.32	11.23	11.24	180	EUR	
04/07/2014 00:00	11.16	11.27	11.07	11.07	1100	EUR	
07/07/2014 00:00	11.19	11.24	11.19	11.19	40	EUR	
08/07/2014 00:00	11.45	11.45	11.27	11.27	0	EUR	
09/07/2014 00:00	11.27	11.31	11.27	11.31	142	EUR	
10/07/2014 00:00	11.62	11.62	11.19	11.25	1346	EUR	
11/07/2014 00:00	11.22	11.22	11.22	11.22	0	EUR	
14/07/2014 00:00	11.16	11.16	11.09	11.09	25	EUR	
15/07/2014 00:00	11.01	11.02	11.01	11.02	0	EUR	
16/07/2014 00:00	11.04	11.15	11.04	11.15	905	EUR	
17/07/2014 00:00	10.8	10.8	10.51	10.51	324	EUR	
18/07/2014 00:00	10.26	10.59	10.26	10.59	0	EUR	
21/07/2014 00:00	10.4	10.4	10.27	10.27	0	EUR	
22/07/2014 00:00	10.48	10.56	10.48	10.5	37	EUR	
23/07/2014 00:00	10.64	10.64	10.53	10.53	0	EUR	
24/07/2014 00:00	10.43	10.61	10.43	10.61	0	EUR	
25/07/2014 00:00	10.45	10.45	10.39	10.39	0	EUR	
28/07/2014 00:00	10.35	10.35	10.15	10.15	144	EUR	
29/07/2014 00:00	10.24	10.24	10.17	10.17	647	EUR	
30/07/2014 00:00	10.31	10.31	10.19	10.19	860	EUR	
31/07/2014 00:00	10.37	10.37	10.02	10.02	48	EUR	
01/08/2014 00:00	10	10	9.95	9.95	0	EUR	
04/08/2014 00:00	10.16	10.16	10.16	10.16	0	EUR	
05/08/2014 00:00	9.9	9.98	9.89	9.89	2628	EUR	
06/08/2014 00:00	9.7	9.85	9.69	9.69	1000	EUR	
07/08/2014 00:00	9.55	9.55	9.55	9.55	0	EUR	
12/08/2014 00:00	10.19	10.19	10.19	10.19	260	EUR	
13/08/2014 00:00	10.1	10.1	10.1	10.1	0	EUR	
14/08/2014 00:00	10.18	10.22	10.17	10.17	2885	EUR	
15/08/2014 00:00	10.45	10.45	10.29	10.29	534	EUR	
18/08/2014 00:00	10.31	10.4	10.31	10.4	200	EUR	
19/08/2014 00:00	10.49	10.51	10.49	10.51	0	EUR	
20/08/2014 00:00	10.53	10.62	10.53	10.62	105	EUR	
21/08/2014 00:00	10.74	10.74	10.67	10.68	94	EUR	
22/08/2014 00:00	10.69	10.69	10.61	10.61	187	EUR	
25/08/2014 00:00	10.64	10.77	10.64	10.68	1148	EUR	
26/08/2014 00:00	10.76	10.79	10.69	10.69	1260	EUR	
27/08/2014 00:00	10.76	10.8	10.72	10.72	207	EUR	
28/08/2014 00:00	10.59	10.59	10.39	10.39	4388	EUR	
29/08/2014 00:00	10.32	10.36	10.12	10.12	2354	EUR	
01/09/2014 00:00	10.14	10.14	10.1	10.1	0	EUR	
02/09/2014 00:00	10.35	10.35	10.02	10.02	4305	EUR	
03/09/2014 00:00	10.71	10.87	10.71	10.86	573	EUR	
04/09/2014 00:00	10.7	10.78	10.44	10.78	1750	EUR	
05/09/2014 00:00	10.72	10.93	10.72	10.83	791	EUR	
08/09/2014 00:00	10.86	10.86	10.79	10.84	1300	EUR	
09/09/2014 00:00	11.14	11.14	10.8	10.85	1095	EUR	
10/09/2014 00:00	10.82	10.83	10.78	10.78	1045	EUR	
11/09/2014 00:00	10.77	10.79	10.57	10.57	877	EUR	
12/09/2014 00:00	10.62	10.65	10.55	10.58	2464	EUR	
15/09/2014 00:00	10.87	10.87	10.36	10.42	4300	EUR	
16/09/2014 00:00	10.34	10.64	10.34	10.64	3679	EUR	
17/09/2014 00:00	10.25	10.46	10.25	10.45	2665	EUR	
18/09/2014 00:00	10.41	10.47	10.3	10.3	3303	EUR	
19/09/2014 00:00	10.26	10.31	10.26	10.26	1467	EUR	
22/09/2014 00:00	10.23	10.23	10.1	10.17	8020	EUR	
23/09/2014 00:00	10.18	10.32	10.1	10.32	2675	EUR	
24/09/2014 00:00	10.63	10.63	10.34	10.52	823	EUR	
25/09/2014 00:00	10.83	10.83	10.4	10.41	3033	EUR	
26/09/2014 00:00	10.33	10.36	10.19	10.32	1132	EUR	
29/09/2014 00:00	10.23	10.23	10.08	10.11	2256	EUR	
30/09/2014 00:00	10.17	10.34	10.03	10.11	2104	EUR	
01/10/2014 00:00	10.15	10.15	9.98	9.98	300	EUR	
02/10/2014 00:00	9.87	9.88	9.81	9.88	9016	EUR	
03/10/2014 00:00	9.77	10.06	9.77	10.06	1292	EUR	
06/10/2014 00:00	10.15	10.49	10.11	10.21	911	EUR	
07/10/2014 00:00	10.28	10.28	10.04	10.1	3910	EUR	
08/10/2014 00:00	10.02	10.02	9.8	9.86	3675	EUR	
09/10/2014 00:00	9.86	9.86	9.75	9.82	279	EUR	
10/10/2014 00:00	9.68	9.83	9.61	9.83	5639	EUR	
13/10/2014 00:00	9.87	9.87	9.71	9.8	1632	EUR	
14/10/2014 00:00	9.75	9.77	9.75	9.76	150	EUR	
15/10/2014 00:00	9.86	9.86	9.59	9.77	4866	EUR	
16/10/2014 00:00	9.61	9.63	9.35	9.63	3025	EUR	
17/10/2014 00:00	9.57	9.75	9.39	9.75	3137	EUR	
20/10/2014 00:00	9.62	9.62	9.5	9.5	1955	EUR	
21/10/2014 00:00	9.46	9.62	9.4	9.62	348	EUR	
22/10/2014 00:00	9.56	9.56	9.5	9.5	0	EUR	
23/10/2014 00:00	9.44	9.47	9.34	9.47	2000	EUR	
24/10/2014 00:00	9.32	9.45	9.27	9.45	494	EUR	
27/10/2014 00:00	9.63	9.63	9.33	9.33	500	EUR	
28/10/2014 00:00	9.38	9.5	9.38	9.5	1736	EUR	
29/10/2014 00:00	9.45	9.64	9.45	9.64	1958	EUR	
30/10/2014 00:00	9.71	10.03	9.64	10.03	1500	EUR	
31/10/2014 00:00	10.13	10.13	9.96	9.96	430	EUR	
03/11/2014 00:00	10.11	10.11	9.88	9.88	556	EUR	
