date	ouv	haut	bas	clot	vol	devise	
30/11/2018 00:00	10.255	10.255	10.255	10.255	0	EUR	
03/12/2018 00:00	10.419	10.419	10.419	10.419	0	EUR	
04/12/2018 00:00	10.404	10.404	10.365	10.365	0	EUR	
05/12/2018 00:00	10.147	10.195	10.147	10.176	655	EUR	
06/12/2018 00:00	10.029	10.029	9.851	9.851	0	EUR	
07/12/2018 00:00	10.044	10.044	9.948	9.948	18	EUR	
10/12/2018 00:00	9.847	9.847	9.7	9.7	18	EUR	
11/12/2018 00:00	9.869	9.913	9.869	9.913	2	EUR	
12/12/2018 00:00	9.913	10.006	9.913	10.006	0	EUR	
13/12/2018 00:00	9.995	9.995	9.956	9.956	13	EUR	
14/12/2018 00:00	9.829	9.829	9.811	9.811	0	EUR	
17/12/2018 00:00	9.743	9.743	9.706	9.706	0	EUR	
18/12/2018 00:00	9.564	9.602	9.564	9.577	27	EUR	
19/12/2018 00:00	9.544	9.586	9.544	9.586	0	EUR	
20/12/2018 00:00	9.323	9.323	9.287	9.287	52	EUR	
21/12/2018 00:00	9.283	9.283	9.265	9.265	0	EUR	
24/12/2018 00:00	9.05	9.05	8.951	8.951	1	EUR	
27/12/2018 00:00	9.124	9.137	9.124	9.137	665	EUR	
28/12/2018 00:00	9.302	9.31	9.302	9.31	0	EUR	
31/12/2018 00:00	9.372	9.389	9.371	9.371	299	EUR	
02/01/2019 00:00	9.251	9.354	9.251	9.354	0	EUR	
03/01/2019 00:00	9.256	9.256	9.156	9.156	12132	EUR	
04/01/2019 00:00	9.257	9.412	9.257	9.412	0	EUR	
07/01/2019 00:00	9.475	9.52	9.457	9.52	19	EUR	
08/01/2019 00:00	9.553	9.553	9.525	9.525	0	EUR	
09/01/2019 00:00	9.627	9.651	9.627	9.651	0	EUR	
10/01/2019 00:00	9.586	9.652	9.586	9.652	355	EUR	
11/01/2019 00:00	9.675	9.695	9.664	9.664	14	EUR	
14/01/2019 00:00	9.619	9.645	9.619	9.645	0	EUR	
15/01/2019 00:00	9.689	9.701	9.689	9.701	0	EUR	
16/01/2019 00:00	9.765	9.783	9.745	9.783	1	EUR	
17/01/2019 00:00	9.717	9.784	9.717	9.784	0	EUR	
18/01/2019 00:00	9.867	9.965	9.867	9.965	0	EUR	
21/01/2019 00:00	9.94	9.94	9.931	9.931	0	EUR	
22/01/2019 00:00	9.913	9.913	9.854	9.865	24878	EUR	
23/01/2019 00:00	9.809	9.855	9.809	9.814	1	EUR	
24/01/2019 00:00	9.847	9.862	9.838	9.838	2	EUR	
25/01/2019 00:00	9.891	9.958	9.891	9.958	0	EUR	
28/01/2019 00:00	9.91	9.91	9.803	9.82	12199	EUR	
29/01/2019 00:00	9.834	9.836	9.834	9.836	0	EUR	
30/01/2019 00:00	9.861	9.925	9.861	9.925	2	EUR	
31/01/2019 00:00	10.034	10.072	10.024	10.072	5	EUR	
01/02/2019 00:00	10.1	10.114	10.081	10.114	323	EUR	
04/02/2019 00:00	10.105	10.116	10.086	10.116	1	EUR	
05/02/2019 00:00	10.139	10.19	10.139	10.19	0	EUR	
06/02/2019 00:00	10.185	10.185	10.178	10.185	23	EUR	
07/02/2019 00:00	10.15	10.15	10.016	10.016	23562	EUR	
08/02/2019 00:00	10.059	10.059	9.998	9.998	11779	EUR	
11/02/2019 00:00	10.097	10.108	10.097	10.101	55	EUR	
12/02/2019 00:00	10.174	10.249	10.174	10.249	0	EUR	
13/02/2019 00:00	10.276	10.276	10.258	10.259	412	EUR	
14/02/2019 00:00	10.305	10.305	10.198	10.198	46964	EUR	
15/02/2019 00:00	10.196	10.343	10.177	10.343	46830	EUR	
18/02/2019 00:00	10.359	10.361	10.359	10.361	0	EUR	
19/02/2019 00:00	10.355	10.355	10.355	10.355	0	EUR	
20/02/2019 00:00	10.361	10.383	10.345	10.383	7	EUR	
21/02/2019 00:00	10.411	10.411	10.343	10.343	0	EUR	
22/02/2019 00:00	10.356	10.426	10.356	10.426	0	EUR	
25/02/2019 00:00	10.451	10.498	10.451	10.498	1	EUR	
26/02/2019 00:00	10.402	10.444	10.402	10.444	0	EUR	
27/02/2019 00:00	10.387	10.387	10.378	10.378	0	EUR	
28/02/2019 00:00	10.372	10.406	10.372	10.406	0	EUR	
01/03/2019 00:00	10.429	10.441	10.411	10.411	37	EUR	
04/03/2019 00:00	10.495	10.495	10.41	10.41	194	EUR	
05/03/2019 00:00	10.411	10.413	10.41	10.413	193	EUR	
06/03/2019 00:00	10.389	10.399	10.356	10.356	18	EUR	
07/03/2019 00:00	10.3	10.3	10.265	10.265	0	EUR	
08/03/2019 00:00	10.21	10.21	10.174	10.174	0	EUR	
11/03/2019 00:00	10.277	10.369	10.256	10.369	23387	EUR	
12/03/2019 00:00	10.402	10.426	10.402	10.426	490	EUR	
13/03/2019 00:00	10.404	10.501	10.404	10.501	30	EUR	
14/03/2019 00:00	10.494	10.494	10.473	10.481	74	EUR	
15/03/2019 00:00	10.487	10.549	10.487	10.549	0	EUR	
18/03/2019 00:00	10.539	10.573	10.53	10.53	100	EUR	
19/03/2019 00:00	10.601	10.634	10.601	10.624	2334	EUR	
20/03/2019 00:00	10.56	10.567	10.484	10.484	5854	EUR	
21/03/2019 00:00	10.474	10.601	10.474	10.601	1179	EUR	
22/03/2019 00:00	10.644	10.644	10.468	10.468	1	EUR	
25/03/2019 00:00	10.407	10.429	10.407	10.422	52	EUR	
26/03/2019 00:00	10.465	10.539	10.465	10.491	22948	EUR	
27/03/2019 00:00	10.52	10.52	10.412	10.412	11503	EUR	
28/03/2019 00:00	10.434	10.497	10.434	10.45	11615	EUR	
29/03/2019 00:00	10.523	10.56	10.523	10.543	11576	EUR	
01/04/2019 00:00	10.62	10.655	10.62	10.646	44548	EUR	
02/04/2019 00:00	10.661	10.689	10.661	10.666	42	EUR	
03/04/2019 00:00	10.72	10.751	10.72	10.743	22	EUR	
04/04/2019 00:00	10.829	10.829	10.701	10.701	188	EUR	
05/04/2019 00:00	10.742	10.775	10.742	10.76	359	EUR	
08/04/2019 00:00	10.753	10.759	10.753	10.759	0	EUR	
09/04/2019 00:00	10.762	10.762	10.725	10.725	0	EUR	
10/04/2019 00:00	10.733	10.742	10.727	10.742	1	EUR	
11/04/2019 00:00	10.768	10.77	10.757	10.759	52	EUR	
12/04/2019 00:00	10.763	10.811	10.763	10.811	126	EUR	
15/04/2019 00:00	10.821	10.821	10.801	10.801	0	EUR	
