date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	33.11	33.26	32.44	32.44	400	EUR	
08/11/2012 00:00	32.6	32.6	32.01	32.01	12	EUR	
09/11/2012 00:00	32.03	32.1	31.89	32.1	66600	EUR	
12/11/2012 00:00	31.99	31.99	31.97	31.97	0	EUR	
13/11/2012 00:00	31.82	32.02	31.82	32	110	EUR	
14/11/2012 00:00	31.9	31.9	31.6	31.6	0	EUR	
15/11/2012 00:00	31.37	31.42	31.37	31.42	109	EUR	
16/11/2012 00:00	31.55	31.55	31.22	31.22	75	EUR	
19/11/2012 00:00	31.54	32.46	31.54	32.39	50400	EUR	
20/11/2012 00:00	32.2	32.6	32.2	32.6	0	EUR	
21/11/2012 00:00	32.67	32.98	32.67	32.98	0	EUR	
22/11/2012 00:00	33.13	33.15	33.13	33.14	38300	EUR	
23/11/2012 00:00	33.18	33.35	33.18	33.35	0	EUR	
26/11/2012 00:00	33.24	33.34	33.21	33.34	250	EUR	
27/11/2012 00:00	33.49	33.5	33.47	33.47	3820	EUR	
28/11/2012 00:00	33.44	33.55	33.14	33.55	24838	EUR	
29/11/2012 00:00	33.61	34.02	33.61	34.02	0	EUR	
30/11/2012 00:00	34.04	34.35	34.04	34.35	380	EUR	
03/12/2012 00:00	34.28	34.48	34.28	34.28	150	EUR	
04/12/2012 00:00	34.25	34.44	34.23	34.23	3000	EUR	
05/12/2012 00:00	34.47	34.47	34.12	34.2	1815	EUR	
06/12/2012 00:00	34.41	34.6	34.41	34.54	3970	EUR	
07/12/2012 00:00	34.59	34.64	34.59	34.64	0	EUR	
10/12/2012 00:00	34.49	34.75	34.49	34.72	34000	EUR	
11/12/2012 00:00	34.72	35.19	34.72	35.19	4600	EUR	
12/12/2012 00:00	35.26	35.35	35.26	35.35	0	EUR	
13/12/2012 00:00	35.44	35.5	35.23	35.39	48609	EUR	
14/12/2012 00:00	35.46	35.73	35.46	35.73	0	EUR	
17/12/2012 00:00	35.82	36	35.82	36	8775	EUR	
18/12/2012 00:00	36.13	36.13	36.03	36.11	81	EUR	
19/12/2012 00:00	36.13	36.13	35.73	35.86	12575	EUR	
20/12/2012 00:00	35.72	36.2	35.72	36.2	9511	EUR	
21/12/2012 00:00	35.8	36.19	35.8	36.19	18235	EUR	
27/12/2012 00:00	36.35	36.35	36.24	36.24	32	EUR	
28/12/2012 00:00	36.45	36.45	35.97	35.97	3627	EUR	
02/01/2013 00:00	37.18	37.32	37.18	37.2	18228	EUR	
03/01/2013 00:00	37.2	37.37	37.2	37.37	49289	EUR	
04/01/2013 00:00	37.3	37.31	37.18	37.31	47	EUR	
07/01/2013 00:00	37.33	37.33	37.19	37.19	6800	EUR	
08/01/2013 00:00	37.22	37.22	36.64	36.64	25	EUR	
09/01/2013 00:00	36.85	36.85	36.38	36.57	1421	EUR	
10/01/2013 00:00	36.68	36.94	36.68	36.86	5830	EUR	
11/01/2013 00:00	36.81	36.96	36.57	36.96	1042	EUR	
14/01/2013 00:00	37.06	37.5	37.06	37.29	11190	EUR	
15/01/2013 00:00	37.3	37.35	37.19	37.35	7861	EUR	
16/01/2013 00:00	37.11	37.32	37.11	37.32	35	EUR	
17/01/2013 00:00	37.19	37.6	37.19	37.58	20647	EUR	
18/01/2013 00:00	37.77	37.77	37.48	37.51	4450	EUR	
21/01/2013 00:00	37.59	37.77	37.58	37.77	80	EUR	
22/01/2013 00:00	37.59	37.62	37.32	37.62	10486	EUR	
23/01/2013 00:00	37.63	37.88	37.63	37.73	10064	EUR	
24/01/2013 00:00	37.57	37.65	37.54	37.65	8360	EUR	
25/01/2013 00:00	37.6	38.06	37.6	38.06	4860	EUR	
28/01/2013 00:00	38.22	38.31	38.13	38.13	9786	EUR	
29/01/2013 00:00	38.26	38.26	38.17	38.18	45	EUR	
30/01/2013 00:00	38.22	38.22	37.76	37.76	0	EUR	
31/01/2013 00:00	37.45	37.45	37.4	37.4	64	EUR	
01/02/2013 00:00	37.48	38.06	37.48	38.06	126	EUR	
04/02/2013 00:00	38.23	38.23	36.92	36.92	11403	EUR	
05/02/2013 00:00	36.78	36.78	36.71	36.77	215	EUR	
06/02/2013 00:00	36.74	37.12	36.6	37.03	665	EUR	
07/02/2013 00:00	37.28	37.45	37.28	37.45	0	EUR	
08/02/2013 00:00	37.69	38.33	37.69	38.33	23	EUR	
