date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	16.555	16.59	16.14	16.14	204858	EUR	
08/11/2012 00:00	16.2	16.215	16.035	16.095	58356	EUR	
09/11/2012 00:00	16.095	16.095	15.67	15.94	490262	EUR	
12/11/2012 00:00	15.83	15.98	15.805	15.91	23266	EUR	
13/11/2012 00:00	15.79	16.175	15.79	16.175	54756	EUR	
14/11/2012 00:00	16.09	16.19	15.955	15.99	75381	EUR	
15/11/2012 00:00	15.8	16.035	15.8	15.96	248602	EUR	
16/11/2012 00:00	15.96	15.995	15.64	15.64	38512	EUR	
19/11/2012 00:00	15.815	16.185	15.815	16.185	40680	EUR	
20/11/2012 00:00	16.075	16.16	15.94	16.11	111891	EUR	
21/11/2012 00:00	16.085	16.245	16.085	16.205	130776	EUR	
22/11/2012 00:00	16.25	16.35	16.235	16.35	120727	EUR	
23/11/2012 00:00	16.355	16.48	16.285	16.465	141186	EUR	
26/11/2012 00:00	16.38	16.39	16.23	16.27	72731	EUR	
27/11/2012 00:00	16.435	16.45	16.3	16.37	95574	EUR	
28/11/2012 00:00	16.315	16.315	16.12	16.295	32324	EUR	
29/11/2012 00:00	16.4	16.625	16.4	16.625	173797	EUR	
30/11/2012 00:00	16.58	16.7	16.565	16.615	450027	EUR	
03/12/2012 00:00	16.58	16.78	16.575	16.62	541799	EUR	
04/12/2012 00:00	16.605	16.735	16.605	16.71	184127	EUR	
05/12/2012 00:00	16.83	16.89	16.73	16.81	164650	EUR	
06/12/2012 00:00	16.875	17	16.775	16.905	321843	EUR	
07/12/2012 00:00	16.93	16.935	16.81	16.86	115188	EUR	
10/12/2012 00:00	16.745	16.745	16.535	16.725	268581	EUR	
11/12/2012 00:00	16.67	16.805	16.6	16.66	102954	EUR	
12/12/2012 00:00	16.775	16.88	16.75	16.88	116244	EUR	
13/12/2012 00:00	16.88	16.895	16.775	16.8	130800	EUR	
14/12/2012 00:00	16.785	16.825	16.75	16.795	354453	EUR	
17/12/2012 00:00	16.81	16.81	16.675	16.8	184343	EUR	
18/12/2012 00:00	16.845	16.985	16.845	16.985	235638	EUR	
19/12/2012 00:00	17.02	17.28	17.02	17.22	313137	EUR	
20/12/2012 00:00	17.175	17.265	17.15	17.235	110512	EUR	
21/12/2012 00:00	17.145	17.155	16.97	17.07	256078	EUR	
27/12/2012 00:00	16.955	17.17	16.955	17.09	107911	EUR	
28/12/2012 00:00	17.105	17.11	16.875	16.89	24746	EUR	
02/01/2013 00:00	17.28	17.595	17.245	17.56	132726	EUR	
03/01/2013 00:00	17.6	17.6	17.535	17.595	60956	EUR	
04/01/2013 00:00	17.57	17.705	17.535	17.665	85014	EUR	
07/01/2013 00:00	17.87	18.07	17.86	17.88	236926	EUR	
08/01/2013 00:00	17.785	18.09	17.785	17.935	191069	EUR	
09/01/2013 00:00	18.105	18.355	18.105	18.31	536317	EUR	
10/01/2013 00:00	18.45	18.555	18.285	18.42	549624	EUR	
11/01/2013 00:00	18.495	18.495	18.26	18.455	714335	EUR	
14/01/2013 00:00	18.54	18.61	18.4	18.485	357606	EUR	
15/01/2013 00:00	18.35	18.435	18.285	18.385	245523	EUR	
16/01/2013 00:00	18.305	18.33	18.105	18.3	278576	EUR	
17/01/2013 00:00	18.33	18.47	18.33	18.45	192386	EUR	
18/01/2013 00:00	18.5	18.525	18.435	18.49	165060	EUR	
21/01/2013 00:00	18.53	18.54	18.46	18.51	198296	EUR	
22/01/2013 00:00	18.495	18.515	18.32	18.42	161557	EUR	
23/01/2013 00:00	18.44	18.44	18.26	18.26	181747	EUR	
24/01/2013 00:00	18.22	18.51	18.19	18.49	116998	EUR	
25/01/2013 00:00	18.42	18.65	18.42	18.555	256220	EUR	
28/01/2013 00:00	18.58	18.755	18.57	18.705	330497	EUR	
29/01/2013 00:00	18.715	18.725	18.485	18.63	71181	EUR	
30/01/2013 00:00	18.685	18.775	18.475	18.505	118221	EUR	
31/01/2013 00:00	18.545	18.545	18.265	18.465	105693	EUR	
01/02/2013 00:00	18.34	18.53	18.32	18.39	158801	EUR	
04/02/2013 00:00	18.38	18.38	17.84	17.84	361834	EUR	
05/02/2013 00:00	17.8	18.16	17.8	18.01	616391	EUR	
06/02/2013 00:00	18.08	18.15	17.8	17.98	265577	EUR	
07/02/2013 00:00	17.95	18.14	17.83	17.83	119403	EUR	
08/02/2013 00:00	17.975	18.315	17.96	18.295	63579	EUR	
11/02/2013 00:00	18.205	18.35	18.135	18.19	84149	EUR	
12/02/2013 00:00	18.11	18.59	18.11	18.575	113566	EUR	
13/02/2013 00:00	18.58	18.6	18.47	18.505	76030	EUR	
14/02/2013 00:00	18.475	18.585	18.355	18.455	146177	EUR	
