date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	46.55	46.55	45.23	45.25	20022	EUR	
08/11/2012 00:00	45.59	45.68	45.14	45.24	28590	EUR	
09/11/2012 00:00	45.16	45.2	44.54	45.09	23367	EUR	
12/11/2012 00:00	44.96	45.07	44.67	44.72	2821	EUR	
13/11/2012 00:00	44.15	44.6	43.85	44.6	53629	EUR	
14/11/2012 00:00	44.43	44.43	43.45	43.55	3363	EUR	
15/11/2012 00:00	43.03	43.38	42.89	43.05	37898	EUR	
16/11/2012 00:00	43.15	43.26	42.51	42.51	46372	EUR	
19/11/2012 00:00	43.3	43.73	43.21	43.68	13829	EUR	
20/11/2012 00:00	43.61	43.91	43.55	43.87	22819	EUR	
21/11/2012 00:00	43.65	43.92	43.61	43.7	8897	EUR	
22/11/2012 00:00	43.94	44.28	43.94	44.07	18146	EUR	
23/11/2012 00:00	44.08	44.23	43.79	44.23	24457	EUR	
26/11/2012 00:00	44.09	44.25	43.76	43.95	53057	EUR	
27/11/2012 00:00	44.52	44.52	43.83	43.91	4608	EUR	
28/11/2012 00:00	43.65	43.73	43.15	43.58	8792	EUR	
29/11/2012 00:00	43.98	44.88	43.98	44.74	1980	EUR	
30/11/2012 00:00	44.66	44.91	44.53	44.53	5035	EUR	
03/12/2012 00:00	44.61	45.03	44.53	44.66	24830	EUR	
04/12/2012 00:00	44.47	44.77	44.35	44.46	22565	EUR	
05/12/2012 00:00	45.08	45.51	44.95	45.23	27066	EUR	
06/12/2012 00:00	45.4	45.99	45.4	45.95	6970	EUR	
07/12/2012 00:00	46.02	46.22	45.55	45.89	61167	EUR	
10/12/2012 00:00	45.92	46.16	45.82	46.16	9463	EUR	
11/12/2012 00:00	46.12	46.62	46.08	46.62	43594	EUR	
12/12/2012 00:00	46.61	46.85	46.51	46.68	208110	EUR	
13/12/2012 00:00	46.76	46.81	46.36	46.57	36324	EUR	
14/12/2012 00:00	46.47	46.7	46.38	46.59	27435	EUR	
17/12/2012 00:00	46.61	47.17	46.61	47.17	35687	EUR	
18/12/2012 00:00	47.47	47.91	47.47	47.84	43390	EUR	
19/12/2012 00:00	47.96	48.27	47.56	47.66	69475	EUR	
20/12/2012 00:00	47.56	47.87	47.51	47.6	73203	EUR	
21/12/2012 00:00	47.21	47.48	46.72	47.26	78102	EUR	
27/12/2012 00:00	47.05	48.23	47.05	47.58	58420	EUR	
28/12/2012 00:00	47.69	47.91	47.37	47.4	117969	EUR	
02/01/2013 00:00	48.86	49.88	48.86	49.81	51698	EUR	
03/01/2013 00:00	49.83	49.84	49.39	49.84	87717	EUR	
04/01/2013 00:00	49.61	49.61	49.03	49.32	31119	EUR	
07/01/2013 00:00	49.02	49.2	48.94	48.95	40051	EUR	
08/01/2013 00:00	48.7	49.02	48.66	48.77	19555	EUR	
09/01/2013 00:00	49.07	49.2	48.52	49	44227	EUR	
10/01/2013 00:00	49.1	49.21	48.55	48.66	38573	EUR	
11/01/2013 00:00	48.18	48.18	47.58	47.74	56128	EUR	
14/01/2013 00:00	47.84	47.95	47.46	47.47	17107	EUR	
15/01/2013 00:00	47.51	47.93	47.07	47.44	3820	EUR	
16/01/2013 00:00	47.06	47.06	46.58	46.68	25165	EUR	
17/01/2013 00:00	46.36	46.75	46.06	46.53	41406	EUR	
18/01/2013 00:00	46.8	46.94	46.42	46.45	51050	EUR	
21/01/2013 00:00	46.66	47	46.58	46.99	24028	EUR	
22/01/2013 00:00	46.92	46.99	46.28	46.98	35123	EUR	
23/01/2013 00:00	47.15	47.2	46.87	46.91	13464	EUR	
24/01/2013 00:00	46.77	47.15	46.76	47.11	58030	EUR	
25/01/2013 00:00	46.91	46.91	46.33	46.54	73665	EUR	
28/01/2013 00:00	46.42	46.49	46.09	46.09	17472	EUR	
29/01/2013 00:00	46.14	46.95	46.14	46.95	36676	EUR	
30/01/2013 00:00	47.02	47.02	46.06	46.2	12831	EUR	
31/01/2013 00:00	46.28	46.48	46.26	46.36	31298	EUR	
01/02/2013 00:00	46.55	46.79	46.43	46.79	41912	EUR	
04/02/2013 00:00	46.78	46.8	46.05	46.24	23026	EUR	
05/02/2013 00:00	46.26	46.49	45.93	45.93	29457	EUR	
06/02/2013 00:00	46.16	46.52	46.16	46.48	16112	EUR	
07/02/2013 00:00	46.31	46.75	46.21	46.44	49943	EUR	
08/02/2013 00:00	46.84	47.1	46.66	46.97	15112	EUR	
11/02/2013 00:00	46.58	46.9	46.42	46.5	30669	EUR	
12/02/2013 00:00	46.53	46.53	45.98	46.31	2716	EUR	
13/02/2013 00:00	46.58	47.36	46.47	46.97	42355	EUR	
14/02/2013 00:00	47.4	47.4	46.84	47.2	3025	EUR	
15/02/2013 00:00	47.26	47.44	47.03	47.03	6649	EUR	
18/02/2013 00:00	46.83	46.83	46.51	46.56	8765	EUR	
19/02/2013 00:00	46.52	46.9	46.48	46.65	47056	EUR	
20/02/2013 00:00	46.55	46.55	45.39	45.5	50207	EUR	
21/02/2013 00:00	44.79	44.79	44.43	44.48	60526	EUR	
