date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	64.76	64.76	63.34	63.34	47	EUR	
08/11/2012 00:00	63.63	63.63	63.25	63.25	204	EUR	
09/11/2012 00:00	63.43	63.5	62.71	63.31	36048	EUR	
12/11/2012 00:00	63.09	63.3	63.09	63.21	1105	EUR	
13/11/2012 00:00	63.1	63.58	63.09	63.58	7602	EUR	
14/11/2012 00:00	63.32	63.49	63.13	63.13	240	EUR	
15/11/2012 00:00	62.67	62.83	62.45	62.45	714	EUR	
16/11/2012 00:00	62.43	62.43	62.04	62.04	923	EUR	
19/11/2012 00:00	62.52	63.49	62.52	63.49	266	EUR	
20/11/2012 00:00	63.33	64.2	63.33	64.2	10498	EUR	
21/11/2012 00:00	63.95	64.14	63.94	64.14	2531	EUR	
22/11/2012 00:00	64.37	64.78	64.37	64.75	10143	EUR	
23/11/2012 00:00	64.87	65.7	64.87	65.7	100	EUR	
26/11/2012 00:00	65.31	65.52	65.22	65.52	153	EUR	
27/11/2012 00:00	65.94	65.94	65.74	65.89	145	EUR	
28/11/2012 00:00	65.63	66.19	65.63	66.19	4963	EUR	
29/11/2012 00:00	66.51	66.65	66.51	66.65	240	EUR	
30/11/2012 00:00	66.62	66.71	66.62	66.64	376	EUR	
03/12/2012 00:00	66.9	67.05	66.75	66.79	255	EUR	
04/12/2012 00:00	66.83	66.85	66.48	66.48	145	EUR	
05/12/2012 00:00	66.76	66.76	66.36	66.36	13	EUR	
06/12/2012 00:00	66.76	67.65	66.76	67.65	2913	EUR	
07/12/2012 00:00	67.82	67.89	67.4	67.56	24259	EUR	
10/12/2012 00:00	67.66	68.04	67.45	67.93	1563	EUR	
11/12/2012 00:00	67.88	68.16	67.88	68.16	12312	EUR	
12/12/2012 00:00	68.32	68.32	68.11	68.27	3725	EUR	
13/12/2012 00:00	68.31	68.31	68.02	68.04	2410	EUR	
14/12/2012 00:00	68.48	68.65	68.42	68.43	203	EUR	
17/12/2012 00:00	68.55	68.65	68.32	68.35	4950	EUR	
18/12/2012 00:00	68.66	68.7	68.45	68.56	17858	EUR	
19/12/2012 00:00	68.46	68.89	68.46	68.87	3292	EUR	
20/12/2012 00:00	68.63	68.83	68.63	68.69	8936	EUR	
21/12/2012 00:00	68.67	68.67	68.11	68.26	3501	EUR	
27/12/2012 00:00	68.21	68.44	68.21	68.26	5600	EUR	
28/12/2012 00:00	68.13	68.13	67.65	67.67	3526	EUR	
02/01/2013 00:00	68.9	69.16	68.77	68.88	1203	EUR	
03/01/2013 00:00	68.76	68.76	68.61	68.62	208	EUR	
04/01/2013 00:00	68.36	68.76	68.35	68.72	67	EUR	
07/01/2013 00:00	68.4	68.4	68	68.12	819	EUR	
08/01/2013 00:00	67.93	68.12	67.93	67.96	94	EUR	
09/01/2013 00:00	68.13	68.19	67.9	68.19	1083	EUR	
10/01/2013 00:00	68.29	68.29	67.8	67.8	1591	EUR	
11/01/2013 00:00	67.73	67.73	67.6	67.72	400	EUR	
14/01/2013 00:00	67.65	68.04	67.65	67.86	2222	EUR	
15/01/2013 00:00	67.49	67.97	67.49	67.76	6808	EUR	
16/01/2013 00:00	67.82	68.27	67.82	68.27	1080	EUR	
17/01/2013 00:00	68.25	68.91	68.25	68.91	235	EUR	
18/01/2013 00:00	69.06	69.06	68.82	68.82	34	EUR	
21/01/2013 00:00	69.19	69.25	69.15	69.25	91	EUR	
22/01/2013 00:00	69.19	69.19	68.91	69.04	115	EUR	
23/01/2013 00:00	69.2	69.22	69.09	69.15	2318	EUR	
24/01/2013 00:00	69.05	69.48	69.05	69.48	165	EUR	
25/01/2013 00:00	69.52	70.59	69.52	70.59	4761	EUR	
28/01/2013 00:00	70.32	70.32	70.1	70.15	837	EUR	
29/01/2013 00:00	70.12	70.12	69.89	69.99	164	EUR	
30/01/2013 00:00	70	70	69.45	69.45	0	EUR	
31/01/2013 00:00	69.5	69.5	69.2	69.2	0	EUR	
01/02/2013 00:00	69.12	69.96	69.12	69.96	20	EUR	
04/02/2013 00:00	69.73	69.73	68.54	68.58	369	EUR	
05/02/2013 00:00	68.81	68.81	68.57	68.68	201	EUR	
06/02/2013 00:00	68.46	68.62	67.66	67.8	28107	EUR	
07/02/2013 00:00	67.74	68	67.74	67.9	1382	EUR	
08/02/2013 00:00	68.12	68.23	68.12	68.23	13	EUR	
11/02/2013 00:00	68.41	68.54	67.91	68.11	475	EUR	
12/02/2013 00:00	67.99	68.27	67.99	68.1	8911	EUR	
13/02/2013 00:00	68.36	69.03	68.36	68.94	15100	EUR	
14/02/2013 00:00	69.1	69.1	68.25	68.26	4028	EUR	
15/02/2013 00:00	68.07	68.23	68	68	69	EUR	
18/02/2013 00:00	67.88	68.05	67.88	68.05	89	EUR	
19/02/2013 00:00	67.95	69.45	67.95	69.45	12950	EUR	
20/02/2013 00:00	69.24	69.66	69.24	69.46	228	EUR	
21/02/2013 00:00	68.9	68.9	68.26	68.31	130	EUR	
22/02/2013 00:00	68.62	69.48	68.62	69.48	6966	EUR	
25/02/2013 00:00	70.02	70.34	69.91	69.91	13731	EUR	
26/02/2013 00:00	68.62	69.16	68.62	68.73	5719	EUR	
27/02/2013 00:00	68.99	69.13	68.48	69.13	182	EUR	
28/02/2013 00:00	69.56	69.78	69.44	69.78	91	EUR	
01/03/2013 00:00	69.67	69.97	68.92	69.57	112	EUR	
04/03/2013 00:00	68.99	69.58	68.99	69.58	0	EUR	
05/03/2013 00:00	69.81	70.84	69.81	70.84	329	EUR	
06/03/2013 00:00	70.99	71.42	70.97	70.97	3864	EUR	
07/03/2013 00:00	71.03	71.13	70.76	70.76	115	EUR	
08/03/2013 00:00	70.83	71.12	70.82	70.91	364	EUR	
11/03/2013 00:00	70.82	71.03	70.68	71.03	1315	EUR	
12/03/2013 00:00	70.82	71.14	70.77	71.14	9995	EUR	
13/03/2013 00:00	71.11	71.5	71.11	71.42	38	EUR	
14/03/2013 00:00	71.73	72.19	71.73	72.19	2987	EUR	
15/03/2013 00:00	72.3	72.3	71.8	71.97	3090	EUR	
18/03/2013 00:00	71.16	71.91	71.16	71.91	31	EUR	
19/03/2013 00:00	71.56	71.79	71.36	71.53	601	EUR	
20/03/2013 00:00	71.8	72.04	71.8	72.04	340	EUR	
21/03/2013 00:00	71.66	71.66	70.61	70.75	7435	EUR	
22/03/2013 00:00	70.5	70.5	70.24	70.24	62	EUR	
25/03/2013 00:00	70.8	71.1	69.86	69.86	6067	EUR	
26/03/2013 00:00	69.97	70.27	69.97	70.27	69	EUR	
27/03/2013 00:00	70.43	70.43	69.26	69.6	21129	EUR	
28/03/2013 00:00	69.83	70	69.64	70	6852	EUR	
02/04/2013 00:00	69.84	70.78	69.84	70.78	8266	EUR	
03/04/2013 00:00	70.84	71.1	70.65	70.65	110	EUR	
04/04/2013 00:00	70.75	70.77	69.91	69.91	204	EUR	
05/04/2013 00:00	69.95	69.95	68.32	68.32	5292	EUR	
