date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	25.645	25.645	25.095	25.095	0	EUR	
08/11/2012 00:00	25.275	25.275	24.915	24.915	1417	EUR	
09/11/2012 00:00	24.895	24.945	24.86	24.945	36000	EUR	
12/11/2012 00:00	24.945	24.945	24.795	24.795	0	EUR	
13/11/2012 00:00	24.675	24.895	24.675	24.895	0	EUR	
14/11/2012 00:00	24.74	24.74	24.525	24.525	50	EUR	
15/11/2012 00:00	24.41	24.41	24.365	24.365	0	EUR	
16/11/2012 00:00	24.395	24.395	24.1	24.1	1691	EUR	
19/11/2012 00:00	24.315	24.77	24.315	24.77	420	EUR	
20/11/2012 00:00	24.705	24.865	24.705	24.865	0	EUR	
21/11/2012 00:00	24.8	24.845	24.8	24.845	0	EUR	
22/11/2012 00:00	24.92	24.965	24.92	24.965	0	EUR	
23/11/2012 00:00	25.025	25.145	25.025	25.145	0	EUR	
26/11/2012 00:00	25.03	25.03	25.02	25.02	0	EUR	
27/11/2012 00:00	25.28	25.28	25.08	25.08	0	EUR	
28/11/2012 00:00	24.97	25.075	24.87	25.075	33000	EUR	
29/11/2012 00:00	25.19	25.52	25.19	25.52	0	EUR	
30/11/2012 00:00	25.585	25.67	25.585	25.605	37838	EUR	
03/12/2012 00:00	25.665	25.765	25.65	25.65	1152	EUR	
04/12/2012 00:00	25.62	25.645	25.62	25.645	0	EUR	
05/12/2012 00:00	25.775	25.815	25.775	25.815	0	EUR	
06/12/2012 00:00	25.95	26.12	25.95	26.065	6236	EUR	
07/12/2012 00:00	26.14	26.2	26.13	26.13	80	EUR	
10/12/2012 00:00	26.065	26.16	26.065	26.16	0	EUR	
11/12/2012 00:00	26.145	26.375	26.145	26.375	200	EUR	
12/12/2012 00:00	26.435	26.495	26.435	26.44	350	EUR	
13/12/2012 00:00	26.375	26.375	26.285	26.37	352	EUR	
14/12/2012 00:00	26.435	26.435	26.43	26.43	0	EUR	
17/12/2012 00:00	26.445	26.625	26.445	26.625	19500	EUR	
18/12/2012 00:00	26.745	26.86	26.745	26.86	184	EUR	
19/12/2012 00:00	27.02	27.235	27.02	27.17	116	EUR	
20/12/2012 00:00	27.1	27.405	27.1	27.395	5469	EUR	
21/12/2012 00:00	27.265	27.28	27.1	27.28	13919	EUR	
27/12/2012 00:00	27.225	27.425	27.225	27.425	717	EUR	
28/12/2012 00:00	27.43	27.43	27.105	27.105	4536	EUR	
02/01/2013 00:00	27.575	28.005	27.575	27.87	11540	EUR	
03/01/2013 00:00	28.005	28.05	27.895	28	243366	EUR	
04/01/2013 00:00	27.93	28.07	27.885	28.07	1313	EUR	
07/01/2013 00:00	28.085	28.085	27.85	27.89	44330	EUR	
08/01/2013 00:00	27.865	27.865	27.56	27.6	56	EUR	
09/01/2013 00:00	27.72	27.785	27.68	27.785	3777	EUR	
10/01/2013 00:00	27.785	27.785	27.64	27.64	40000	EUR	
11/01/2013 00:00	27.665	27.665	27.5	27.54	354	EUR	
14/01/2013 00:00	27.735	27.765	27.455	27.455	400	EUR	
15/01/2013 00:00	27.395	27.395	27.265	27.265	0	EUR	
16/01/2013 00:00	27.315	27.425	27.315	27.425	0	EUR	
17/01/2013 00:00	27.305	27.69	27.305	27.69	730	EUR	
18/01/2013 00:00	27.81	27.81	27.56	27.56	290	EUR	
21/01/2013 00:00	27.73	27.73	27.585	27.655	110099	EUR	
22/01/2013 00:00	27.675	27.675	27.485	27.615	250	EUR	
23/01/2013 00:00	27.585	27.585	27.55	27.55	0	EUR	
24/01/2013 00:00	27.53	27.715	27.53	27.715	500	EUR	
25/01/2013 00:00	27.615	27.865	27.615	27.865	0	EUR	
28/01/2013 00:00	27.865	27.865	27.745	27.745	23	EUR	
29/01/2013 00:00	27.74	27.74	27.675	27.675	0	EUR	
30/01/2013 00:00	27.69	27.69	27.46	27.46	0	EUR	
31/01/2013 00:00	27.515	27.515	27.35	27.35	0	EUR	
01/02/2013 00:00	27.28	27.525	27.28	27.525	14114	EUR	
04/02/2013 00:00	27.505	27.505	26.855	26.855	0	EUR	
05/02/2013 00:00	26.865	26.995	26.865	26.995	200	EUR	
06/02/2013 00:00	26.955	26.955	26.88	26.895	240	EUR	
07/02/2013 00:00	26.92	27.085	26.88	26.88	232	EUR	
08/02/2013 00:00	26.965	27.03	26.965	27.03	0	EUR	
11/02/2013 00:00	27.08	27.08	26.995	27.08	0	EUR	
12/02/2013 00:00	27.065	27.175	27.065	27.175	1940	EUR	
13/02/2013 00:00	27.345	27.79	27.345	27.79	20000	EUR	
14/02/2013 00:00	27.73	27.785	27.73	27.785	0	EUR	
15/02/2013 00:00	27.655	27.67	27.655	27.67	0	EUR	
18/02/2013 00:00	27.515	27.69	27.515	27.69	342	EUR	
19/02/2013 00:00	27.555	28.01	27.555	27.975	1460	EUR	
20/02/2013 00:00	28.055	28.19	28.055	28.19	0	EUR	
21/02/2013 00:00	28.07	28.07	27.6	27.615	25	EUR	
22/02/2013 00:00	27.755	28.195	27.755	28.195	0	EUR	
25/02/2013 00:00	28.375	28.39	28.325	28.325	148	EUR	
26/02/2013 00:00	27.97	27.97	27.97	27.97	0	EUR	
27/02/2013 00:00	28.06	28.545	28.06	28.545	200	EUR	
28/02/2013 00:00	28.62	28.62	28.58	28.58	80	EUR	
01/03/2013 00:00	28.555	28.56	28.555	28.56	0	EUR	
04/03/2013 00:00	28.365	28.515	28.34	28.515	1640	EUR	
05/03/2013 00:00	28.795	29.02	28.795	29.02	10	EUR	
06/03/2013 00:00	29.06	29.2	28.99	28.99	664	EUR	
07/03/2013 00:00	29.07	29.16	29.07	29.16	0	EUR	
08/03/2013 00:00	29.215	29.335	29.21	29.285	2507	EUR	
11/03/2013 00:00	29.225	29.24	29.17	29.195	16500	EUR	
12/03/2013 00:00	29.14	29.32	29.14	29.27	10845	EUR	
13/03/2013 00:00	29.195	29.195	29.14	29.14	0	EUR	
14/03/2013 00:00	29.305	29.49	29.305	29.49	3829	EUR	
15/03/2013 00:00	29.63	29.63	29.43	29.43	212	EUR	
18/03/2013 00:00	29.15	29.31	29.15	29.31	70	EUR	
19/03/2013 00:00	29.23	29.23	29.09	29.09	34	EUR	
20/03/2013 00:00	29.26	29.45	29.24	29.45	85	EUR	
21/03/2013 00:00	29.415	29.415	29.09	29.09	65	EUR	
22/03/2013 00:00	28.93	28.93	28.62	28.735	40	EUR	
25/03/2013 00:00	28.98	28.98	28.575	28.575	305	EUR	
26/03/2013 00:00	28.68	28.795	28.68	28.795	70000	EUR	
27/03/2013 00:00	28.86	28.86	28.445	28.545	5250	EUR	
28/03/2013 00:00	28.55	28.6	28.55	28.6	0	EUR	
02/04/2013 00:00	28.555	28.855	28.555	28.855	509	EUR	
