date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	25.64	25.64	25.3	25.3	0	EUR	
08/11/2012 00:00	25.42	25.42	25.22	25.22	0	EUR	
09/11/2012 00:00	25.25	25.25	25.07	25.07	0	EUR	
12/11/2012 00:00	25.08	25.08	25.08	25.08	0	EUR	
13/11/2012 00:00	25	25.06	25	25.06	45	EUR	
14/11/2012 00:00	24.97	24.97	24.73	24.73	0	EUR	
15/11/2012 00:00	24.53	24.53	24.48	24.48	0	EUR	
16/11/2012 00:00	24.53	24.53	24.2	24.2	0	EUR	
19/11/2012 00:00	24.38	24.7	24.38	24.7	0	EUR	
20/11/2012 00:00	24.63	24.8	24.63	24.8	12200	EUR	
21/11/2012 00:00	24.77	24.79	24.77	24.79	0	EUR	
22/11/2012 00:00	24.87	24.96	24.87	24.96	0	EUR	
23/11/2012 00:00	24.97	25.2	24.97	25.2	0	EUR	
26/11/2012 00:00	25.23	25.23	25.15	25.15	0	EUR	
27/11/2012 00:00	25.27	25.27	25.08	25.08	0	EUR	
28/11/2012 00:00	25.01	25.1	25.01	25.1	0	EUR	
29/11/2012 00:00	25.21	25.37	25.21	25.37	180	EUR	
30/11/2012 00:00	25.36	25.36	25.31	25.31	50	EUR	
03/12/2012 00:00	25.39	25.42	25.39	25.39	5	EUR	
04/12/2012 00:00	25.4	25.48	25.4	25.48	0	EUR	
05/12/2012 00:00	25.55	25.67	25.55	25.67	0	EUR	
06/12/2012 00:00	25.67	25.82	25.67	25.79	96	EUR	
07/12/2012 00:00	25.82	25.82	25.81	25.81	0	EUR	
10/12/2012 00:00	25.78	25.92	25.78	25.92	0	EUR	
11/12/2012 00:00	25.88	25.98	25.88	25.98	0	EUR	
12/12/2012 00:00	26.01	26.06	26.01	26.06	110	EUR	
13/12/2012 00:00	26.05	26.05	25.98	26.03	1045	EUR	
14/12/2012 00:00	26.03	26.03	25.96	26.03	1520	EUR	
17/12/2012 00:00	26.02	26.25	26.02	26.25	7500	EUR	
18/12/2012 00:00	26.25	26.4	26.25	26.4	166	EUR	
19/12/2012 00:00	26.46	26.6	26.46	26.6	200	EUR	
20/12/2012 00:00	26.63	26.82	26.63	26.77	3380	EUR	
21/12/2012 00:00	26.69	26.69	26.67	26.67	0	EUR	
27/12/2012 00:00	26.59	26.73	26.59	26.68	380	EUR	
28/12/2012 00:00	26.69	26.72	26.63	26.63	237	EUR	
02/01/2013 00:00	27.33	27.33	27.32	27.32	2297	EUR	
03/01/2013 00:00	27.46	27.53	27.46	27.53	450	EUR	
04/01/2013 00:00	27.56	27.68	27.56	27.68	96187	EUR	
07/01/2013 00:00	27.71	27.81	27.71	27.78	1250	EUR	
08/01/2013 00:00	27.71	27.71	27.64	27.64	72	EUR	
09/01/2013 00:00	27.74	27.79	27.73	27.78	6000	EUR	
10/01/2013 00:00	27.79	27.85	27.66	27.66	9108	EUR	
11/01/2013 00:00	27.75	27.88	27.75	27.88	27000	EUR	
14/01/2013 00:00	27.95	28.07	27.95	28.07	11015	EUR	
15/01/2013 00:00	27.99	27.99	27.91	27.94	840	EUR	
16/01/2013 00:00	27.89	27.89	27.74	27.82	5118	EUR	
17/01/2013 00:00	27.83	28.01	27.77	28.01	224	EUR	
18/01/2013 00:00	28.11	28.12	28.07	28.11	709	EUR	
21/01/2013 00:00	28.19	28.19	28.16	28.19	70	EUR	
22/01/2013 00:00	28.16	28.16	27.89	28.11	26060	EUR	
23/01/2013 00:00	28.03	28.03	27.92	28.03	5523	EUR	
24/01/2013 00:00	27.99	28.24	27.94	28.24	2254	EUR	
25/01/2013 00:00	28.2	28.42	28.2	28.42	9638	EUR	
28/01/2013 00:00	28.41	28.51	28.41	28.42	1458	EUR	
29/01/2013 00:00	28.6	28.6	28.51	28.51	0	EUR	
30/01/2013 00:00	28.54	28.54	28.3	28.3	0	EUR	
31/01/2013 00:00	28.28	28.28	28.09	28.09	200	EUR	
01/02/2013 00:00	28.06	28.26	28.06	28.26	260	EUR	
04/02/2013 00:00	28.35	28.35	27.98	27.98	3776	EUR	
05/02/2013 00:00	28.01	28.23	28.01	28.18	327	EUR	
06/02/2013 00:00	28.34	28.6	28.34	28.6	177	EUR	
07/02/2013 00:00	28.6	28.6	28.56	28.56	0	EUR	
08/02/2013 00:00	28.71	28.88	28.71	28.88	0	EUR	
11/02/2013 00:00	28.87	28.88	28.8	28.8	5400	EUR	
12/02/2013 00:00	28.87	29.12	28.87	29.12	41	EUR	
13/02/2013 00:00	29.1	29.35	29.1	29.35	0	EUR	
14/02/2013 00:00	29.37	29.55	29.31	29.42	243	EUR	
15/02/2013 00:00	29.38	29.42	29.33	29.33	450	EUR	
18/02/2013 00:00	29.38	29.43	29.21	29.21	6221	EUR	
19/02/2013 00:00	29.22	29.54	29.22	29.54	30	EUR	
20/02/2013 00:00	29.49	29.65	29.49	29.55	484	EUR	
