date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	46.38	46.515	46.085	46.085	10101	EUR	
08/11/2012 00:00	46.355	46.355	46.16	46.24	9866	EUR	
09/11/2012 00:00	46.415	46.445	46.33	46.445	3478	EUR	
12/11/2012 00:00	46.45	46.5	46.35	46.35	505	EUR	
13/11/2012 00:00	46.405	46.685	46.32	46.685	3177	EUR	
14/11/2012 00:00	46.585	46.6	46.365	46.365	81	EUR	
15/11/2012 00:00	46.175	46.175	45.79	45.79	1022	EUR	
16/11/2012 00:00	45.715	45.805	45.635	45.635	120	EUR	
19/11/2012 00:00	45.78	46.26	45.74	46.26	16635	EUR	
20/11/2012 00:00	46.155	46.455	46.155	46.455	32715	EUR	
21/11/2012 00:00	46.395	46.395	46.3	46.39	9075	EUR	
22/11/2012 00:00	46.615	46.83	46.615	46.83	8500	EUR	
23/11/2012 00:00	46.805	47.055	46.805	47.015	1150	EUR	
26/11/2012 00:00	47.055	47.085	46.905	46.935	305	EUR	
27/11/2012 00:00	47.08	47.295	47.08	47.22	603	EUR	
28/11/2012 00:00	47.185	47.405	47.185	47.405	3460	EUR	
29/11/2012 00:00	47.57	47.585	47.485	47.57	420	EUR	
30/11/2012 00:00	47.565	47.57	47.38	47.38	702	EUR	
03/12/2012 00:00	47.54	47.575	47.37	47.415	8258	EUR	
04/12/2012 00:00	47.435	47.51	47.345	47.345	889	EUR	
05/12/2012 00:00	47.365	47.38	47.145	47.245	3066	EUR	
06/12/2012 00:00	47.35	47.45	47.305	47.45	511	EUR	
07/12/2012 00:00	47.575	47.67	47.5	47.67	4509	EUR	
10/12/2012 00:00	47.73	47.82	47.695	47.82	73470	EUR	
11/12/2012 00:00	47.72	47.835	47.72	47.725	1751	EUR	
12/12/2012 00:00	47.715	47.715	47.505	47.565	9399	EUR	
13/12/2012 00:00	47.65	47.65	47.39	47.44	682	EUR	
14/12/2012 00:00	47.565	47.565	47.275	47.275	2100	EUR	
17/12/2012 00:00	47.255	47.255	47	47.06	27106	EUR	
18/12/2012 00:00	47.115	47.115	47.07	47.105	13813	EUR	
19/12/2012 00:00	47.15	47.35	47.15	47.23	49082	EUR	
20/12/2012 00:00	47.225	47.4	47.225	47.31	7938	EUR	
21/12/2012 00:00	47.255	47.255	47	47.035	463	EUR	
27/12/2012 00:00	46.99	46.99	46.815	46.835	1330	EUR	
28/12/2012 00:00	46.94	46.94	46.685	46.685	442	EUR	
02/01/2013 00:00	47.375	47.54	47.06	47.475	36491	EUR	
03/01/2013 00:00	47.34	47.475	47.28	47.42	33553	EUR	
04/01/2013 00:00	47.31	47.685	47.31	47.685	4831	EUR	
07/01/2013 00:00	47.59	47.59	47.365	47.365	27121	EUR	
08/01/2013 00:00	47.32	47.34	47.275	47.275	908	EUR	
