date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	49.95	50.24	49.25	49.28	951	EUR	
08/11/2012 00:00	49.42	49.42	49.24	49.25	31	EUR	
09/11/2012 00:00	49.56	49.65	49.26	49.65	2007	EUR	
12/11/2012 00:00	49.68	49.68	49.37	49.37	1595	EUR	
13/11/2012 00:00	49.27	49.61	49.13	49.61	1000	EUR	
14/11/2012 00:00	49.61	49.61	49.17	49.17	5878	EUR	
15/11/2012 00:00	49.06	49.06	48.52	48.52	283	EUR	
16/11/2012 00:00	48.51	48.51	48.32	48.32	6637	EUR	
19/11/2012 00:00	48.38	48.75	48.38	48.75	1650	EUR	
20/11/2012 00:00	48.67	48.79	48.51	48.79	8656	EUR	
21/11/2012 00:00	48.82	48.92	48.69	48.92	2573	EUR	
22/11/2012 00:00	48.92	49.19	48.92	49.18	1310	EUR	
23/11/2012 00:00	49.23	49.48	49.23	49.48	505	EUR	
26/11/2012 00:00	49.45	49.45	49.13	49.21	13797	EUR	
27/11/2012 00:00	49.39	49.53	49.39	49.52	6058	EUR	
28/11/2012 00:00	49.43	49.67	49.43	49.67	8969	EUR	
29/11/2012 00:00	49.8	50.13	49.8	50.11	8455	EUR	
30/11/2012 00:00	50.05	50.08	49.81	49.83	701	EUR	
03/12/2012 00:00	49.74	50.05	49.74	49.99	1741	EUR	
04/12/2012 00:00	50.06	50.19	50.01	50.06	26676	EUR	
05/12/2012 00:00	50.11	50.16	49.9	50.15	5103	EUR	
06/12/2012 00:00	50.25	50.6	50.25	50.55	3576	EUR	
07/12/2012 00:00	50.56	50.82	50.56	50.75	641	EUR	
10/12/2012 00:00	50.86	51.14	50.77	51.14	43319	EUR	
11/12/2012 00:00	51.02	51.4	51.02	51.34	18951	EUR	
12/12/2012 00:00	51.39	51.44	51.21	51.21	7212	EUR	
13/12/2012 00:00	51.17	51.17	50.77	50.82	2477	EUR	
14/12/2012 00:00	50.81	50.83	50.67	50.67	1502	EUR	
17/12/2012 00:00	50.65	50.67	50.41	50.56	24019	EUR	
18/12/2012 00:00	50.64	50.73	50.51	50.71	5246	EUR	
19/12/2012 00:00	50.75	50.75	50.55	50.63	9108	EUR	
20/12/2012 00:00	50.49	50.49	50.38	50.45	28227	EUR	
21/12/2012 00:00	50.4	50.54	50.35	50.54	12199	EUR	
27/12/2012 00:00	50.55	50.55	50.17	50.34	5297	EUR	
28/12/2012 00:00	50.38	50.38	50.1	50.12	137	EUR	
02/01/2013 00:00	50.73	50.98	50.52	50.95	15919	EUR	
03/01/2013 00:00	51	51.3	51	51.27	11259	EUR	
04/01/2013 00:00	51.27	51.64	51.27	51.63	842	EUR	
07/01/2013 00:00	51.72	51.72	51.33	51.34	24691	EUR	
08/01/2013 00:00	51.32	51.79	51.32	51.75	8416	EUR	
09/01/2013 00:00	51.85	51.91	51.69	51.91	72857	EUR	
10/01/2013 00:00	51.8	51.8	51.52	51.58	4280	EUR	
11/01/2013 00:00	51.68	51.68	51.36	51.5	1594	EUR	
14/01/2013 00:00	51.58	51.58	51.25	51.32	20882	EUR	
15/01/2013 00:00	51.09	51.23	50.95	51.2	9922	EUR	
16/01/2013 00:00	51.34	51.48	51.34	51.44	962	EUR	
17/01/2013 00:00	51.54	51.78	51.51	51.78	4603	EUR	
18/01/2013 00:00	51.68	51.68	51.39	51.39	747	EUR	
21/01/2013 00:00	51.44	51.58	51.44	51.58	1992	EUR	
22/01/2013 00:00	51.55	51.6	51.37	51.51	6208	EUR	
23/01/2013 00:00	51.87	52.44	51.77	52.38	9636	EUR	
24/01/2013 00:00	52.36	52.47	52.33	52.39	976	EUR	
25/01/2013 00:00	52.19	52.46	52.18	52.29	1916	EUR	
28/01/2013 00:00	52.26	52.32	52.18	52.21	1381	EUR	
29/01/2013 00:00	52.28	52.39	52.04	52.36	434	EUR	
30/01/2013 00:00	52.26	52.26	52.12	52.18	1131	EUR	
31/01/2013 00:00	52.21	52.21	51.91	52.12	3257	EUR	
01/02/2013 00:00	52.11	52.4	52.05	52.13	20525	EUR	
04/02/2013 00:00	52.33	52.55	52.11	52.12	13857	EUR	
05/02/2013 00:00	52.36	52.58	52.28	52.28	2833	EUR	
06/02/2013 00:00	52.3	52.52	52.04	52.27	2270	EUR	
07/02/2013 00:00	51.93	52.09	51.85	51.86	2643	EUR	
08/02/2013 00:00	52.13	52.43	51.91	52.43	2572	EUR	
11/02/2013 00:00	51.84	52.16	51.84	51.87	1761	EUR	
12/02/2013 00:00	52	52.03	51.8	52.03	3423	EUR	
13/02/2013 00:00	52.09	52.4	52.03	52.36	22427	EUR	
14/02/2013 00:00	52.38	52.54	52.26	52.52	1697	EUR	
15/02/2013 00:00	52.55	52.75	52.55	52.66	1648	EUR	
18/02/2013 00:00	52.62	52.65	52.48	52.65	1123	EUR	
19/02/2013 00:00	52.68	53.15	52.68	53.15	9365	EUR	
20/02/2013 00:00	53.16	53.49	53.16	53.49	952	EUR	
21/02/2013 00:00	53.45	53.5	52.82	52.82	17312	EUR	
22/02/2013 00:00	52.93	53.58	52.93	53.58	26911	EUR	
25/02/2013 00:00	53.69	53.77	53.47	53.69	9988	EUR	
26/02/2013 00:00	53.07	53.59	53.07	53.38	15628	EUR	
27/02/2013 00:00	53.42	53.47	53.26	53.47	2301	EUR	
28/02/2013 00:00	53.47	54.05	53.47	54.05	8851	EUR	
01/03/2013 00:00	54.13	54.31	53.88	54.28	5149	EUR	
04/03/2013 00:00	54.2	54.65	54.2	54.65	11214	EUR	
