date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	34.105	34.105	33.535	33.535	14496	EUR	
08/11/2012 00:00	33.785	33.785	33.46	33.46	0	EUR	
09/11/2012 00:00	33.52	33.52	33.44	33.455	15500	EUR	
12/11/2012 00:00	33.35	33.35	33.23	33.23	0	EUR	
13/11/2012 00:00	33.185	33.295	33.185	33.295	0	EUR	
14/11/2012 00:00	33.185	33.185	33	33	3130	EUR	
15/11/2012 00:00	32.835	32.835	32.62	32.62	168	EUR	
16/11/2012 00:00	32.635	32.635	32.425	32.425	6084	EUR	
19/11/2012 00:00	32.625	33.02	32.625	33.02	0	EUR	
20/11/2012 00:00	32.965	33.26	32.965	33.245	7500	EUR	
21/11/2012 00:00	33.145	33.235	33.145	33.235	112	EUR	
22/11/2012 00:00	33.315	33.48	33.315	33.48	0	EUR	
23/11/2012 00:00	33.495	33.665	33.495	33.665	29	EUR	
26/11/2012 00:00	33.595	33.595	33.5	33.5	0	EUR	
27/11/2012 00:00	33.735	33.735	33.59	33.7	5999	EUR	
28/11/2012 00:00	33.6	33.72	33.6	33.72	0	EUR	
29/11/2012 00:00	33.875	34.115	33.875	34.115	800	EUR	
30/11/2012 00:00	34.125	34.16	34.125	34.16	0	EUR	
03/12/2012 00:00	34.26	34.29	34.26	34.26	3	EUR	
04/12/2012 00:00	34.21	34.245	34.21	34.245	0	EUR	
05/12/2012 00:00	34.385	34.49	34.385	34.455	638	EUR	
06/12/2012 00:00	34.605	34.81	34.605	34.735	17265	EUR	
07/12/2012 00:00	34.745	34.805	34.745	34.805	0	EUR	
10/12/2012 00:00	34.73	34.83	34.605	34.83	18684	EUR	
11/12/2012 00:00	34.79	34.98	34.79	34.915	2614	EUR	
12/12/2012 00:00	34.975	35	34.865	34.865	593	EUR	
13/12/2012 00:00	34.82	34.82	34.635	34.635	13	EUR	
14/12/2012 00:00	34.675	34.695	34.675	34.695	0	EUR	
17/12/2012 00:00	34.665	34.665	34.51	34.585	45550	EUR	
18/12/2012 00:00	34.66	34.865	34.66	34.865	900	EUR	
19/12/2012 00:00	34.875	35.145	34.875	35.145	23011	EUR	
20/12/2012 00:00	34.975	35.12	34.975	35.12	10630	EUR	
21/12/2012 00:00	35.085	35.085	34.9	34.97	35071	EUR	
27/12/2012 00:00	34.885	35.015	34.885	34.965	4915	EUR	
28/12/2012 00:00	34.96	34.96	34.68	34.68	7488	EUR	
02/01/2013 00:00	35.285	35.9	35.285	35.76	22094	EUR	
03/01/2013 00:00	35.73	35.79	35.73	35.79	3920	EUR	
04/01/2013 00:00	35.745	35.875	35.745	35.875	734160	EUR	
07/01/2013 00:00	35.82	35.82	35.69	35.69	0	EUR	
08/01/2013 00:00	35.62	35.69	35.505	35.505	1065	EUR	
09/01/2013 00:00	35.585	35.67	35.565	35.67	1400	EUR	
10/01/2013 00:00	35.67	35.67	35.59	35.59	290	EUR	
11/01/2013 00:00	35.665	35.665	35.56	35.56	0	EUR	
14/01/2013 00:00	35.595	35.595	35.245	35.25	19373	EUR	
15/01/2013 00:00	35.17	35.17	35.115	35.17	43	EUR	
16/01/2013 00:00	35.15	35.3	35.15	35.3	1345	EUR	
17/01/2013 00:00	35.28	35.505	35.28	35.505	5100	EUR	
18/01/2013 00:00	35.515	35.515	35.465	35.465	0	EUR	
21/01/2013 00:00	35.61	35.625	35.605	35.605	687	EUR	
22/01/2013 00:00	35.665	35.73	35.535	35.72	1018	EUR	
23/01/2013 00:00	35.72	35.74	35.62	35.74	6000	EUR	
