date	ouv	haut	bas	clot	vol	devise	
07/11/2012 00:00	17.925	17.935	17.54	17.54	7559	EUR	
08/11/2012 00:00	17.685	17.685	17.585	17.595	1489	EUR	
09/11/2012 00:00	17.545	17.545	17.17	17.41	1290	EUR	
12/11/2012 00:00	17.38	17.46	17.38	17.43	710	EUR	
13/11/2012 00:00	17.375	17.59	17.365	17.59	580	EUR	
14/11/2012 00:00	17.52	17.59	17.515	17.515	150	EUR	
15/11/2012 00:00	17.36	17.36	17.325	17.325	0	EUR	
16/11/2012 00:00	17.32	17.32	17.025	17.025	7500	EUR	
19/11/2012 00:00	17.21	17.5	17.21	17.5	58122	EUR	
20/11/2012 00:00	17.425	17.6	17.425	17.6	600	EUR	
21/11/2012 00:00	17.555	17.7	17.555	17.7	0	EUR	
22/11/2012 00:00	17.8	17.8	17.78	17.78	875	EUR	
23/11/2012 00:00	17.8	17.91	17.8	17.905	11275	EUR	
26/11/2012 00:00	17.86	17.92	17.795	17.85	72845	EUR	
27/11/2012 00:00	17.965	17.98	17.845	17.86	15173	EUR	
28/11/2012 00:00	17.785	17.895	17.755	17.895	23030	EUR	
29/11/2012 00:00	18.01	18.115	18.01	18.115	3550	EUR	
30/11/2012 00:00	18.1	18.19	18.1	18.105	4060	EUR	
03/12/2012 00:00	18.165	18.245	18.125	18.125	2087	EUR	
04/12/2012 00:00	18.18	18.265	18.18	18.185	3560	EUR	
05/12/2012 00:00	18.275	18.275	18.235	18.26	800	EUR	
06/12/2012 00:00	18.315	18.475	18.315	18.44	13298	EUR	
07/12/2012 00:00	18.45	18.465	18.44	18.465	380	EUR	
10/12/2012 00:00	18.4	18.45	18.24	18.41	6659	EUR	
11/12/2012 00:00	18.41	18.47	18.41	18.445	11133	EUR	
12/12/2012 00:00	18.49	18.56	18.49	18.545	30266	EUR	
13/12/2012 00:00	18.56	18.565	18.555	18.555	200	EUR	
14/12/2012 00:00	18.555	18.56	18.45	18.475	670	EUR	
17/12/2012 00:00	18.455	18.47	18.35	18.47	194981	EUR	
18/12/2012 00:00	18.55	18.58	18.49	18.53	4090	EUR	
19/12/2012 00:00	18.505	18.72	18.505	18.72	28903	EUR	
20/12/2012 00:00	18.68	18.8	18.68	18.79	8430	EUR	
21/12/2012 00:00	18.715	18.735	18.625	18.705	30239	EUR	
27/12/2012 00:00	18.67	18.715	18.67	18.715	27	EUR	
28/12/2012 00:00	18.7	18.7	18.51	18.515	30474	EUR	
02/01/2013 00:00	18.88	19.2	18.88	19.13	42777	EUR	
03/01/2013 00:00	19.2	19.205	19.17	19.195	9369	EUR	
04/01/2013 00:00	19.165	19.26	19.145	19.26	856	EUR	
07/01/2013 00:00	19.33	19.39	19.25	19.27	31165	EUR	
08/01/2013 00:00	19.17	19.285	19.17	19.18	8188	EUR	
09/01/2013 00:00	19.19	19.25	19.14	19.25	61845	EUR	
10/01/2013 00:00	19.28	19.32	19.215	19.22	9213	EUR	
11/01/2013 00:00	19.3	19.31	19.245	19.245	2239	EUR	
14/01/2013 00:00	19.34	19.34	19.145	19.17	71175	EUR	
15/01/2013 00:00	19.165	19.165	19.04	19.05	38150	EUR	
16/01/2013 00:00	19.035	19.035	18.865	18.875	23775	EUR	
17/01/2013 00:00	18.855	19	18.855	18.99	7538	EUR	
18/01/2013 00:00	19.015	19.015	18.92	18.92	3010	EUR	
21/01/2013 00:00	18.995	18.995	18.95	18.955	140772	EUR	
22/01/2013 00:00	18.945	18.945	18.775	18.925	595	EUR	
23/01/2013 00:00	18.95	18.95	18.725	18.79	48783	EUR	
24/01/2013 00:00	18.73	18.93	18.73	18.93	300	EUR	
25/01/2013 00:00	18.87	18.97	18.87	18.97	4246	EUR	
28/01/2013 00:00	18.995	19.06	18.98	19.01	40177	EUR	
29/01/2013 00:00	19.075	19.075	18.98	19.06	1295	EUR	
30/01/2013 00:00	19.095	19.095	19.025	19.04	100	EUR	
31/01/2013 00:00	19.125	19.125	18.905	19.01	17865	EUR	
01/02/2013 00:00	19.02	19.05	18.955	18.955	145	EUR	
04/02/2013 00:00	18.98	18.98	18.535	18.535	40820	EUR	
05/02/2013 00:00	18.55	18.755	18.55	18.675	4228	EUR	
06/02/2013 00:00	18.71	18.71	18.44	18.53	15834	EUR	
07/02/2013 00:00	18.54	18.54	18.44	18.44	0	EUR	
08/02/2013 00:00	18.545	18.685	18.53	18.675	948	EUR	
11/02/2013 00:00	18.72	18.8	18.69	18.69	68612	EUR	
12/02/2013 00:00	18.67	18.825	18.67	18.825	1000	EUR	
13/02/2013 00:00	18.82	18.895	18.73	18.82	25888	EUR	
14/02/2013 00:00	18.805	18.825	18.765	18.825	1493	EUR	
15/02/2013 00:00	18.84	18.85	18.74	18.74	1000	EUR	
18/02/2013 00:00	18.72	18.785	18.68	18.785	1753	EUR	
19/02/2013 00:00	18.765	19.04	18.765	19.04	1634	EUR	
20/02/2013 00:00	18.99	19.035	18.835	18.835	1800	EUR	
21/02/2013 00:00	18.78	18.78	18.53	18.53	2200	EUR	
22/02/2013 00:00	18.645	18.83	18.645	18.83	7750	EUR	
25/02/2013 00:00	18.95	19.02	18.81	18.81	3866	EUR	
26/02/2013 00:00	18.405	18.465	18.365	18.365	1128	EUR	
27/02/2013 00:00	18.49	18.585	18.47	18.585	300	EUR	
28/02/2013 00:00	18.68	18.83	18.615	18.83	17377	EUR	
01/03/2013 00:00	18.8	18.8	18.575	18.76	98315	EUR	
04/03/2013 00:00	18.65	18.72	18.63	18.72	1441	EUR	
05/03/2013 00:00	18.855	19.18	18.855	19.18	1879	EUR	
06/03/2013 00:00	19.17	19.335	19.17	19.295	5106	EUR	
07/03/2013 00:00	19.26	19.28	19.25	19.25	2019	EUR	
08/03/2013 00:00	19.305	19.51	19.305	19.505	59480	EUR	
11/03/2013 00:00	19.395	19.45	19.395	19.45	0	EUR	
12/03/2013 00:00	19.44	19.55	19.44	19.52	29514	EUR	
13/03/2013 00:00	19.51	19.72	19.51	19.72	6800	EUR	
14/03/2013 00:00	19.89	20.1	19.89	20.095	1401	EUR	
15/03/2013 00:00	20.135	20.145	19.965	20	36936	EUR	
18/03/2013 00:00	19.6	19.81	19.565	19.765	46897	EUR	
19/03/2013 00:00	19.705	19.705	19.605	19.605	0	EUR	
20/03/2013 00:00	19.745	19.76	19.68	19.76	38423	EUR	
21/03/2013 00:00	19.745	19.745	19.52	19.565	7271	EUR	
22/03/2013 00:00	19.495	19.565	19.495	19.565	0	EUR	
